,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,38679.95,38889.2,38364.05,38564.9,38600.0,38512.75,38578.55,44699.0,34952.65,16473,635504531.8,8527,PAGEIND
1,2023-12-28,EQ,37929.45,38677.6,37861.1,37929.45,38550.0,38564.9,38394.02,44699.0,34952.65,33096,1270688337.35,14644,PAGEIND
2,2023-12-27,EQ,37564.75,37999.9,37364.8,37564.75,37925.0,37929.45,37690.87,44699.0,34952.65,25789,972009905.6,9298,PAGEIND
3,2023-12-26,EQ,37870.0,37870.0,37400.0,37612.25,37450.0,37564.75,37535.34,44699.0,34952.65,13279,498431728.05,6502,PAGEIND
4,2023-12-22,EQ,37480.0,37777.0,37181.85,37229.25,37576.9,37612.25,37510.76,44699.0,34952.65,20574,771746415.2,10748,PAGEIND
5,2023-12-21,EQ,37080.0,37354.2,36746.1,37013.4,37285.6,37229.25,37167.67,44699.0,34952.65,10933,406354156.55,5985,PAGEIND
6,2023-12-20,EQ,37949.95,38190.0,36800.0,37756.05,37085.05,37013.4,37573.64,44699.0,34952.65,22773,855664436.8,11938,PAGEIND
7,2023-12-19,EQ,37962.1,38038.2,37606.9,37962.1,37810.8,37756.05,37830.01,44699.0,34952.65,25328,958158527.1,11289,PAGEIND
8,2023-12-18,EQ,37852.3,38565.3,37610.0,37852.3,37910.0,37962.1,38144.25,44699.0,34952.65,26693,1018184341.6,13251,PAGEIND
9,2023-12-15,EQ,37679.05,38086.0,37679.05,37678.05,37755.0,37852.3,37900.38,46972.9,34952.65,26189,992573090.85,8612,PAGEIND
10,2023-12-14,EQ,37698.95,37825.0,37420.0,37607.75,37600.0,37678.05,37610.53,46972.9,34952.65,16898,635542745.05,9401,PAGEIND
11,2023-12-13,EQ,37498.95,37700.0,37151.5,37438.55,37622.05,37607.75,37315.7,46972.9,34952.65,25598,955207249.35,9362,PAGEIND
12,2023-12-12,EQ,37349.95,37660.0,37218.0,37291.8,37456.65,37438.55,37430.36,46972.9,34952.65,17207,644064205.1,8565,PAGEIND
13,2023-12-11,EQ,37489.95,37489.95,36905.0,37335.5,37209.15,37291.8,37092.28,46972.9,34952.65,46091,1709620308.55,12571,PAGEIND
14,2023-12-08,EQ,37400.0,37774.95,37111.0,37436.4,37290.0,37335.5,37478.58,47889.95,34952.65,69746,2613980841.0,11502,PAGEIND
15,2023-12-07,EQ,37060.0,37711.8,36700.0,36732.85,37450.0,37436.4,37309.03,47889.95,34952.65,36293,1354056657.85,12961,PAGEIND
16,2023-12-06,EQ,37267.0,37579.6,36648.45,36848.45,36900.0,36732.85,36997.45,47889.95,34952.65,32370,1197607364.0,14603,PAGEIND
17,2023-12-05,EQ,37555.05,37700.0,36529.55,37487.75,37000.0,36848.45,36983.64,47889.95,34952.65,75226,2782131191.25,9023,PAGEIND
18,2023-12-04,EQ,37850.2,38240.0,37425.1,37790.65,37460.0,37487.75,37644.39,47889.95,34952.65,30391,1144050738.95,11080,PAGEIND
19,2023-12-01,EQ,37259.4,37953.55,37150.0,37259.4,37700.0,37790.65,37521.62,47889.95,34952.65,23223,871364520.1,9043,PAGEIND
20,2023-11-30,EQ,37500.0,37530.0,37056.0,37353.75,37270.0,37259.4,37241.37,47889.95,34952.65,25775,959896257.05,10473,PAGEIND
21,2023-11-29,EQ,37700.0,37821.9,37320.0,37653.35,37371.6,37353.75,37508.82,47889.95,34952.65,19979,749388762.5,9760,PAGEIND
22,2023-11-28,EQ,37580.0,37973.0,37406.45,37504.0,37650.0,37653.35,37730.94,47889.95,34952.65,21591,814648796.45,10448,PAGEIND
