,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,88.8,90.8,87.2,88.05,88.15,88.15,88.7,96.35,26.1,755355,66999107.55,4210,PARACABLES
1,2023-12-28,EQ,90.55,93.3,87.0,90.45,88.5,88.05,89.71,96.35,26.1,847643,76042491.45,6046,PARACABLES
2,2023-12-27,EQ,94.4,94.4,88.0,92.6,90.6,90.45,90.32,96.35,26.1,1474557,133182358.45,8605,PARACABLES
3,2023-12-26,EQ,94.5,96.35,92.1,92.1,92.95,92.6,93.85,96.35,26.1,1968070,184710461.25,11313,PARACABLES
4,2023-12-22,EQ,92.1,92.1,88.5,87.75,92.1,92.1,91.78,92.1,26.1,2376529,218118822.5,6969,PARACABLES
5,2023-12-21,EQ,83.0,87.75,80.65,83.6,87.75,87.75,86.27,90.9,26.1,1218668,105135545.9,4101,PARACABLES
6,2023-12-20,EQ,90.9,90.9,82.4,86.6,83.0,83.6,88.43,90.9,26.1,5766019,509877474.05,19002,PARACABLES
7,2023-12-19,EQ,86.6,86.6,86.6,82.5,86.6,86.6,86.6,86.65,26.1,203510,17623966.0,570,PARACABLES
8,2023-12-18,EQ,78.75,82.5,78.75,78.6,82.5,82.5,82.23,86.65,26.1,673347,55369188.9,2076,PARACABLES
9,2023-12-15,EQ,86.0,86.65,78.55,82.65,78.6,78.6,82.49,86.65,26.1,3665379,302340003.65,15870,PARACABLES
10,2023-12-14,EQ,82.65,82.65,80.05,78.75,82.65,82.65,82.46,82.65,26.1,1845930,152212639.15,5660,PARACABLES
11,2023-12-13,EQ,77.0,79.35,74.0,75.6,78.45,78.75,78.36,79.35,26.1,4647726,364172712.3,15258,PARACABLES
12,2023-12-12,EQ,74.8,75.6,72.75,72.0,75.6,75.6,75.13,76.25,26.1,2210453,166064171.05,5742,PARACABLES
13,2023-12-11,EQ,71.95,72.0,70.3,68.6,72.0,72.0,71.68,76.25,26.1,1177808,84425532.05,4086,PARACABLES
14,2023-12-08,EQ,66.0,68.6,66.0,65.35,68.6,68.6,67.86,76.25,26.1,2211935,150103384.7,6508,PARACABLES
15,2023-12-07,EQ,62.75,65.35,62.5,62.25,65.35,65.35,64.73,76.25,26.1,630231,40792550.6,2923,PARACABLES
16,2023-12-06,EQ,62.25,63.3,61.8,62.2,62.35,62.25,62.35,76.25,26.1,536844,33473419.1,3023,PARACABLES
17,2023-12-05,EQ,63.0,63.3,61.75,62.95,62.25,62.2,62.49,76.25,26.1,436209,27260653.35,2723,PARACABLES
18,2023-12-04,EQ,64.7,64.8,62.35,63.05,63.0,62.95,63.43,76.25,26.1,424459,26925219.05,3072,PARACABLES
19,2023-12-01,EQ,66.0,66.2,62.75,64.65,63.25,63.05,64.41,76.25,26.1,616123,39682124.6,3510,PARACABLES
20,2023-11-30,EQ,66.5,67.05,63.6,65.8,65.0,64.65,64.97,76.25,26.1,460154,29897215.3,3023,PARACABLES
21,2023-11-29,EQ,67.3,68.0,65.6,65.4,66.0,65.8,66.8,76.25,26.1,781426,52201282.05,6495,PARACABLES
22,2023-11-28,EQ,63.5,65.4,62.05,62.3,65.4,65.4,64.96,76.25,26.1,662409,43031723.85,2811,PARACABLES
23,2023-08-21,EQ,52.1,56.1,51.2,53.45,55.85,56.0,54.36,57.75,14.25,3517594,191223886.6,8049,PARACABLES
24,2023-08-18,EQ,57.0,57.75,53.45,56.25,53.45,53.45,54.72,57.75,12.9,4824165,263958842.0,9196,PARACABLES
25,2023-08-17,EQ,56.25,56.25,54.95,53.6,56.25,56.25,56.12,56.25,12.9,4639100,260338819.8,5373,PARACABLES
26,2023-08-16,EQ,53.6,53.6,52.3,51.05,53.6,53.6,53.58,53.6,12.9,1699490,91057492.1,844,PARACABLES
27,2023-08-14,EQ,49.3,51.05,47.25,48.65,51.05,51.05,49.79,51.5,12.9,1401724,69785464.0,3847,PARACABLES
28,2023-08-11,EQ,51.5,51.5,48.3,49.35,48.85,48.65,49.7,51.5,11.8,1716056,85284189.4,6867,PARACABLES
29,2023-08-10,EQ,49.0,51.2,47.25,48.8,48.3,49.35,50.41,51.2,11.8,2637914,132977420.2,6281,PARACABLES
30,2023-08-09,EQ,48.9,49.35,47.1,49.4,48.35,48.8,47.93,50.2,11.8,1625093,77885744.05,6473,PARACABLES
31,2023-08-08,EQ,50.2,50.2,47.8,47.85,48.4,49.4,49.75,50.2,11.8,8975212,446498032.45,11824,PARACABLES
32,2023-08-07,EQ,47.85,47.85,47.85,45.6,47.85,47.85,47.85,47.85,11.8,321392,15378607.2,403,PARACABLES
33,2023-08-04,EQ,44.95,45.6,44.45,43.45,45.6,45.6,45.48,45.6,10.85,430249,19566587.5,927,PARACABLES
34,2023-08-03,EQ,42.0,43.65,41.25,41.6,43.65,43.45,42.87,43.9,10.85,1829721,78446779.25,4787,PARACABLES
35,2023-08-02,EQ,43.7,43.7,40.25,41.65,41.5,41.6,42.87,43.9,10.85,2689488,115300106.95,5818,PARACABLES
36,2023-08-01,EQ,41.65,41.65,41.65,39.7,41.65,41.65,41.65,43.9,10.85,224060,9332099.0,351,PARACABLES
