,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,50.9,52.85,50.05,50.9,51.85,51.9,51.46,56.3,35.0,456425,23489130.3,2547,PDMJEPAPER
1,2023-12-28,EQ,51.45,51.45,50.7,51.1,50.9,50.9,51.08,56.3,35.0,168322,8598500.85,1255,PDMJEPAPER
2,2023-12-27,EQ,50.9,52.5,50.6,50.5,51.0,51.1,51.46,56.3,35.0,437048,22490940.1,3492,PDMJEPAPER
3,2023-12-26,EQ,50.2,51.5,50.1,50.15,50.95,50.5,50.76,56.3,35.0,243046,12336206.6,1612,PDMJEPAPER
4,2023-12-22,EQ,51.2,51.6,49.2,50.4,50.25,50.15,50.49,56.3,35.0,577866,29176035.7,2654,PDMJEPAPER
5,2023-12-21,EQ,49.2,51.2,48.45,49.5,50.5,50.4,49.95,56.3,35.0,452555,22603582.0,2757,PDMJEPAPER
6,2023-12-20,EQ,49.75,53.7,48.9,49.25,49.15,49.5,51.34,56.3,35.0,2828260,145204031.25,10433,PDMJEPAPER
7,2023-12-19,EQ,48.95,49.7,48.55,48.7,49.5,49.25,49.15,56.3,35.0,253274,12448645.5,1630,PDMJEPAPER
8,2023-12-18,EQ,48.65,49.95,47.85,48.4,48.6,48.7,48.81,56.3,35.0,327709,15996584.65,2396,PDMJEPAPER
9,2023-12-15,EQ,49.7,49.95,48.2,49.5,48.35,48.4,48.84,56.3,35.0,233223,11390694.2,1972,PDMJEPAPER
10,2023-12-14,EQ,49.45,50.5,49.0,48.95,49.5,49.5,49.47,56.3,35.0,195553,9673171.25,1254,PDMJEPAPER
11,2023-12-13,EQ,49.0,49.2,48.45,48.75,49.05,48.95,48.8,56.3,35.0,99541,4857111.0,986,PDMJEPAPER
12,2023-12-12,EQ,49.65,49.9,48.0,49.55,48.6,48.75,48.77,56.3,35.0,249101,12148271.55,1970,PDMJEPAPER
13,2023-12-11,EQ,48.7,49.95,48.7,48.65,49.75,49.55,49.4,56.3,35.0,262070,12946474.3,1673,PDMJEPAPER
14,2023-12-08,EQ,49.05,49.75,48.5,49.05,48.85,48.65,49.09,56.3,35.0,212559,10435421.0,1688,PDMJEPAPER
15,2023-12-07,EQ,49.65,49.85,48.9,50.0,49.2,49.05,49.24,56.3,35.0,215387,10604594.9,1727,PDMJEPAPER
16,2023-12-06,EQ,50.0,51.0,49.6,48.5,49.8,50.0,50.24,56.3,35.0,889177,44670787.7,4107,PDMJEPAPER
17,2023-12-05,EQ,47.3,49.0,46.5,47.25,48.8,48.5,48.06,56.3,35.0,675414,32460648.0,3395,PDMJEPAPER
18,2023-12-04,EQ,47.8,47.95,46.9,47.05,47.3,47.25,47.5,56.3,35.0,153281,7280129.35,1105,PDMJEPAPER
19,2023-12-01,EQ,47.35,48.1,46.9,46.75,47.2,47.05,47.29,56.3,35.0,223299,10559489.25,4485,PDMJEPAPER
20,2023-11-30,EQ,47.6,47.6,46.2,47.2,47.0,46.75,46.88,56.3,35.0,107586,5043581.2,1237,PDMJEPAPER
