,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,7519.05,7519.05,7363.65,7519.05,7390.0,7389.4,7412.15,7560.0,3789.95,264806,1962780656.55,34879,PERSISTENT
1,2023-12-28,EQ,7420.0,7560.0,7371.0,7395.8,7551.9,7519.05,7467.8,7560.0,3789.95,335610,2506269664.5,35445,PERSISTENT
2,2023-12-27,EQ,7375.0,7485.0,7352.05,7358.55,7383.0,7395.8,7412.42,7490.95,3789.95,306811,2274212805.05,30474,PERSISTENT
3,2023-12-26,EQ,7450.0,7455.0,7325.0,7431.35,7353.5,7358.55,7375.03,7490.95,3789.95,306361,2259422667.85,35668,PERSISTENT
4,2023-12-22,EQ,7200.05,7490.95,7155.0,7162.6,7430.0,7431.35,7345.77,7490.95,3784.05,630521,4631663508.55,59233,PERSISTENT
5,2023-12-21,EQ,6940.0,7175.0,6918.95,6996.6,7163.3,7162.6,7100.56,7400.25,3784.05,283900,2015849225.2,40190,PERSISTENT
6,2023-12-20,EQ,7125.0,7274.2,6957.0,7064.3,6978.0,6996.6,7151.62,7400.25,3784.05,385763,2758830568.6,50268,PERSISTENT
7,2023-12-19,EQ,7190.0,7190.0,6965.25,7146.55,7063.05,7064.3,7041.67,7400.25,3784.05,396500,2792020190.2,45488,PERSISTENT
8,2023-12-18,EQ,7224.85,7246.45,7075.7,7224.85,7150.0,7146.55,7153.43,7400.25,3784.05,398884,2853389538.15,51208,PERSISTENT
9,2023-12-15,EQ,6899.0,7400.25,6865.8,6859.3,7212.0,7224.85,7194.54,7400.25,3784.05,1461431,10514328790.5,141647,PERSISTENT
10,2023-12-14,EQ,6596.0,6897.15,6581.7,6521.7,6865.05,6859.3,6793.45,6897.15,3784.05,757543,5146329139.55,63154,PERSISTENT
11,2023-12-13,EQ,6554.0,6569.55,6426.25,6527.45,6543.0,6521.7,6490.05,6664.95,3784.05,166972,1083657180.9,24516,PERSISTENT
12,2023-12-12,EQ,6550.0,6664.95,6500.0,6527.05,6525.0,6527.45,6578.12,6664.95,3784.05,442046,2907833067.35,58084,PERSISTENT
13,2023-12-11,EQ,6500.0,6540.0,6462.0,6464.5,6512.1,6527.05,6502.78,6624.65,3784.05,318228,2069367325.5,30580,PERSISTENT
14,2023-12-08,EQ,6350.0,6536.0,6314.35,6308.85,6467.0,6464.5,6427.84,6624.65,3784.05,511246,3286206138.55,46479,PERSISTENT
15,2023-12-07,EQ,6370.0,6373.6,6289.3,6335.8,6290.0,6308.85,6321.27,6624.65,3784.05,210255,1329078453.3,25798,PERSISTENT
16,2023-12-06,EQ,6414.9,6485.0,6322.05,6379.95,6331.5,6335.8,6389.61,6624.65,3784.05,223890,1430569397.15,39199,PERSISTENT
17,2023-12-05,EQ,6470.0,6499.0,6270.8,6441.45,6408.0,6379.95,6374.95,6624.65,3784.05,352814,2249171882.9,51856,PERSISTENT
18,2023-12-04,EQ,6501.0,6525.0,6396.7,6433.3,6484.0,6441.45,6442.24,6624.65,3784.05,396407,2553748656.4,47340,PERSISTENT
19,2023-12-01,EQ,6445.0,6483.35,6390.0,6399.95,6401.05,6433.3,6430.52,6624.65,3784.05,207847,1336565217.65,29906,PERSISTENT
20,2023-11-30,EQ,6487.0,6510.0,6330.3,6442.7,6406.45,6399.95,6404.06,6624.65,3784.05,7264052,46519413698.55,128873,PERSISTENT
21,2023-11-29,EQ,6374.95,6475.0,6366.0,6319.1,6449.95,6442.7,6438.84,6624.65,3784.05,437669,2818081532.0,36610,PERSISTENT
22,2023-11-28,EQ,6425.0,6440.0,6276.0,6390.35,6335.65,6319.1,6324.05,6624.65,3784.05,570088,3605262993.75,49012,PERSISTENT
23,2023-11-24,EQ,6410.0,6473.9,6326.7,6378.85,6360.0,6390.35,6396.74,6624.65,3617.8,514807,3293087838.95,68994,PERSISTENT
24,2023-11-23,EQ,6614.8,6624.65,6366.0,6594.0,6383.9,6378.85,6488.19,6624.65,3617.8,559477,3629990575.95,65403,PERSISTENT
25,2023-11-22,EQ,6453.95,6615.0,6425.05,6465.6,6586.1,6594.0,6547.26,6615.0,3617.8,403953,2644786194.4,35311,PERSISTENT
26,2023-11-21,EQ,6500.0,6576.0,6433.05,6480.5,6440.0,6465.6,6514.89,6576.0,3617.8,471699,3073065660.1,43028,PERSISTENT
27,2023-11-20,EQ,6409.0,6499.95,6388.55,6386.85,6461.0,6480.5,6460.14,6499.95,3617.8,479401,3096995270.35,52974,PERSISTENT
28,2023-11-17,EQ,6438.0,6480.35,6363.0,6396.25,6380.0,6386.85,6410.46,6480.35,3617.8,335498,2150697426.95,35438,PERSISTENT
29,2023-11-16,EQ,6289.95,6411.0,6262.3,6263.8,6380.0,6396.25,6346.83,6411.0,3617.8,423673,2688980574.15,43312,PERSISTENT
