,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,224.0,225.4,221.4,222.4,222.85,222.65,222.61,254.4,191.7,3941535,877427012.15,41486,PETRONET
1,2023-12-28,EQ,218.9,223.85,217.7,216.3,222.4,222.4,221.57,254.4,191.7,9235328,2046291178.05,58948,PETRONET
2,2023-12-27,EQ,217.0,217.5,215.0,215.65,216.55,216.3,216.35,254.4,191.7,4236656,916593110.8,32967,PETRONET
3,2023-12-26,EQ,215.3,217.4,214.7,214.2,215.85,215.65,215.79,254.4,191.7,3294209,710866810.05,32539,PETRONET
4,2023-12-22,EQ,213.4,215.3,212.5,211.45,214.5,214.2,214.02,254.4,191.7,4647771,994719220.35,71969,PETRONET
5,2023-12-21,EQ,206.85,212.0,206.4,208.85,211.45,211.45,210.72,254.4,191.7,3653271,769809215.15,61580,PETRONET
6,2023-12-20,EQ,217.75,218.45,207.75,216.1,208.45,208.85,213.13,254.4,191.7,6914530,1473713308.45,71296,PETRONET
7,2023-12-19,EQ,217.05,218.35,215.0,216.35,216.05,216.1,216.38,254.4,191.7,3744882,810305347.7,31072,PETRONET
8,2023-12-18,EQ,215.5,217.9,214.5,214.05,216.5,216.35,216.47,254.4,191.7,5210046,1127806649.65,29978,PETRONET
9,2023-12-15,EQ,214.1,216.2,213.25,212.1,214.0,214.05,214.7,254.4,191.7,8703054,1868540381.75,81801,PETRONET
10,2023-12-14,EQ,211.35,213.6,209.55,209.8,212.0,212.1,211.33,254.4,191.7,8357888,1766274228.2,47635,PETRONET
11,2023-12-13,EQ,210.0,210.5,207.65,208.85,209.75,209.8,209.21,254.4,191.7,2495791,522154258.3,27476,PETRONET
12,2023-12-12,EQ,211.25,212.25,208.2,210.9,209.25,208.85,209.7,254.4,191.7,3413678,715833582.85,28117,PETRONET
13,2023-12-11,EQ,211.15,212.55,209.85,210.0,210.9,210.9,211.28,254.4,191.7,2232024,471578900.55,16340,PETRONET
14,2023-12-08,EQ,213.95,213.95,206.9,212.8,210.2,210.0,210.07,254.4,191.7,6125811,1286841105.8,32717,PETRONET
15,2023-12-07,EQ,211.85,215.0,208.85,211.2,212.5,212.8,213.0,254.4,191.7,6391001,1361275547.9,42851,PETRONET
16,2023-12-06,EQ,207.5,212.35,206.55,206.15,211.25,211.2,209.57,254.4,191.7,13599249,2850021215.45,64647,PETRONET
17,2023-12-05,EQ,206.8,207.5,203.75,205.15,206.25,206.15,205.49,254.4,191.7,7096084,1458175420.1,27221,PETRONET
18,2023-12-04,EQ,204.95,206.95,203.3,201.95,205.55,205.15,205.17,254.4,191.7,8087321,1659272855.95,44098,PETRONET
19,2023-12-01,EQ,205.0,205.0,200.75,202.8,202.15,201.95,201.9,254.4,191.7,7234662,1460707322.9,48621,PETRONET
20,2023-11-30,EQ,200.35,204.2,198.1,199.2,203.1,202.8,201.4,254.4,191.7,20168101,4061764625.8,67537,PETRONET
21,2023-11-29,EQ,196.5,200.95,196.4,196.35,199.5,199.2,199.54,254.4,191.7,10196509,2034596051.8,43045,PETRONET
22,2023-11-28,EQ,196.0,197.3,195.4,195.3,196.5,196.35,196.5,254.4,191.7,7356644,1445550101.0,27337,PETRONET
23,2023-11-24,EQ,196.15,196.6,195.0,196.2,195.2,195.3,195.45,254.4,191.7,1409808,275547883.3,16304,PETRONET
24,2023-11-23,EQ,196.9,196.9,194.8,195.85,196.35,196.2,195.9,254.4,191.7,1543100,302298982.0,18154,PETRONET
25,2023-11-22,EQ,195.4,197.3,194.4,194.95,196.0,195.85,195.82,254.4,191.7,2353287,460811955.75,19039,PETRONET
26,2023-11-21,EQ,195.3,197.95,194.8,195.15,195.1,194.95,195.69,254.4,191.7,13471767,2636315814.6,37460,PETRONET
27,2023-11-20,EQ,196.0,196.6,194.5,196.05,195.4,195.15,195.29,254.4,191.7,1599098,312289578.2,16469,PETRONET
28,2023-11-17,EQ,197.95,198.5,195.5,197.45,195.6,196.05,196.73,254.4,191.7,3330232,655156657.1,29326,PETRONET
29,2023-11-16,EQ,198.3,198.5,196.9,197.85,197.35,197.45,197.62,254.4,191.7,9168785,1811898708.3,29707,PETRONET
30,2023-11-15,EQ,199.5,199.5,196.85,197.5,197.9,197.85,197.74,254.4,191.7,3102710,613534280.6,27406,PETRONET
31,2023-11-13,EQ,196.0,197.95,195.2,196.05,197.5,197.5,197.02,254.4,191.7,2558189,504014205.4,17506,PETRONET
32,2023-11-12,EQ,196.0,196.65,195.0,194.7,196.2,196.05,196.04,254.4,191.7,896217,175690714.95,10483,PETRONET
33,2023-11-10,EQ,193.8,196.6,191.7,200.05,194.7,194.7,193.79,254.4,191.7,12910371,2501882694.65,43623,PETRONET
34,2023-11-09,EQ,200.5,202.45,198.75,199.7,200.1,200.05,200.06,254.4,193.35,7662419,1532944330.35,35496,PETRONET
35,2023-11-08,EQ,201.65,202.0,198.3,200.75,199.9,199.7,199.39,254.4,193.35,6621178,1320179294.6,41299,PETRONET
36,2023-11-07,EQ,203.8,203.85,199.45,202.8,200.45,200.75,200.96,254.4,193.35,6806917,1367923308.35,39946,PETRONET
37,2023-11-06,EQ,197.5,203.8,197.05,196.05,202.9,202.8,200.84,254.4,193.35,11291751,2267802235.15,59745,PETRONET
38,2023-11-03,EQ,197.4,198.65,195.5,195.0,196.95,196.05,196.1,254.4,193.35,11830222,2319917056.65,36687,PETRONET
39,2023-11-02,EQ,195.05,196.2,193.55,193.75,195.35,195.0,194.84,254.4,193.35,4963231,967022938.65,40770,PETRONET
40,2023-11-01,EQ,201.0,201.8,193.35,199.6,194.15,193.75,195.84,254.4,193.35,10396821,2036099253.15,85604,PETRONET
41,2023-10-31,EQ,199.25,201.9,195.1,201.7,199.0,199.6,199.09,254.4,195.1,14828380,2952209562.0,88810,PETRONET
42,2023-10-30,EQ,220.3,223.55,198.25,220.25,201.25,201.7,205.27,254.4,198.25,20131240,4132318492.4,111096,PETRONET
43,2023-10-27,EQ,220.1,221.6,219.05,218.8,220.5,220.25,220.47,254.4,199.55,817496,180233899.0,9282,PETRONET
44,2023-10-26,EQ,219.8,219.8,216.5,219.85,218.9,218.8,217.83,254.4,199.55,1640778,357412010.05,16353,PETRONET
45,2023-10-25,EQ,220.9,222.2,218.35,219.9,220.4,219.85,220.13,254.4,199.55,2515592,553762636.3,26803,PETRONET
46,2023-10-23,EQ,226.1,226.8,219.05,226.05,220.45,219.9,222.13,254.4,199.55,1335598,296672160.35,18606,PETRONET
47,2023-10-20,EQ,230.9,232.0,224.75,230.75,226.1,226.05,227.25,254.4,199.3,2059852,468108136.25,19158,PETRONET
