,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4290.0,4302.0,4230.0,4262.5,4270.05,4268.95,4267.32,4559.0,3408.0,68213,291086442.85,9492,PFIZER
1,2023-12-28,EQ,4296.0,4311.0,4245.1,4261.7,4250.0,4262.5,4277.03,4559.0,3408.0,15417,65939039.85,4086,PFIZER
2,2023-12-27,EQ,4231.9,4287.0,4211.2,4231.85,4250.0,4261.7,4248.81,4559.0,3408.0,16121,68495108.85,3732,PFIZER
3,2023-12-26,EQ,4250.0,4250.0,4203.7,4220.3,4230.0,4231.85,4227.99,4559.0,3408.0,8034,33967632.6,1680,PFIZER
4,2023-12-22,EQ,4263.0,4265.2,4182.2,4220.7,4218.3,4220.3,4219.15,4559.0,3408.0,10803,45579466.65,3123,PFIZER
5,2023-12-21,EQ,4240.0,4240.0,4160.0,4240.0,4224.0,4220.7,4208.87,4559.0,3408.0,10446,43965875.0,2611,PFIZER
6,2023-12-20,EQ,4241.1,4254.45,4201.0,4240.35,4240.0,4240.0,4239.1,4559.0,3408.0,25530,108224349.9,3775,PFIZER
7,2023-12-19,EQ,4235.65,4260.0,4186.55,4237.6,4244.35,4240.35,4235.94,4559.0,3408.0,33297,141043934.1,3022,PFIZER
8,2023-12-18,EQ,4199.65,4265.95,4149.65,4199.65,4230.0,4237.6,4222.36,4559.0,3408.0,20521,86647099.55,5721,PFIZER
9,2023-12-15,EQ,4160.05,4215.05,4125.0,4158.95,4206.5,4199.65,4183.11,4559.0,3408.0,22885,95730462.25,4682,PFIZER
10,2023-12-14,EQ,4100.0,4175.45,4093.5,4097.6,4166.0,4158.95,4141.73,4559.0,3408.0,80631,333951468.6,8549,PFIZER
11,2023-12-13,EQ,4115.0,4121.3,4050.7,4095.35,4102.0,4097.6,4090.21,4559.0,3408.0,11264,46072099.1,3356,PFIZER
12,2023-12-12,EQ,4098.8,4105.0,4044.9,4089.4,4103.0,4095.35,4089.49,4559.0,3408.0,16762,68547990.8,4008,PFIZER
