,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2381.0,2397.2,2346.05,2400.9,2370.0,2373.6,2366.51,2569.6,1002.5,34326,81232874.25,5771,PGEL
1,2023-12-28,EQ,2427.85,2435.95,2390.0,2411.65,2392.35,2400.9,2411.53,2569.6,1002.5,19518,47068312.55,3956,PGEL
2,2023-12-27,EQ,2450.9,2484.25,2382.15,2451.25,2440.0,2411.65,2430.48,2569.6,1002.5,33171,80621391.7,4573,PGEL
3,2023-12-26,EQ,2449.9,2468.95,2421.0,2453.45,2449.0,2451.25,2442.31,2569.6,1002.5,28529,69676719.0,4715,PGEL
4,2023-12-22,EQ,2501.0,2501.0,2431.6,2499.0,2462.0,2453.45,2458.6,2569.6,1002.5,28241,69433209.9,5477,PGEL
5,2023-12-21,EQ,2295.9,2569.6,2295.9,2366.8,2518.7,2499.0,2421.64,2569.6,1002.5,42374,102614780.5,8265,PGEL
6,2023-12-20,EQ,2400.05,2434.9,2325.35,2418.95,2351.5,2366.8,2391.25,2521.45,1002.5,53658,128309498.75,7065,PGEL
7,2023-12-19,EQ,2383.05,2444.0,2351.7,2383.05,2410.05,2418.95,2406.11,2521.45,1002.5,47400,114049849.5,8774,PGEL
8,2023-12-18,EQ,2411.0,2425.0,2332.5,2431.45,2381.55,2383.05,2367.64,2521.45,1002.5,50251,118976128.05,7489,PGEL
9,2023-12-15,EQ,2454.0,2521.45,2409.05,2447.7,2413.9,2431.45,2449.2,2521.45,1002.5,55032,134784321.65,6682,PGEL
10,2023-12-14,EQ,2334.75,2471.65,2330.05,2322.75,2460.0,2447.7,2423.74,2471.65,1002.5,68096,165046734.2,10464,PGEL
11,2023-12-13,EQ,2344.0,2354.2,2297.25,2330.65,2328.0,2322.75,2320.11,2462.15,1002.5,17673,41003307.6,3071,PGEL
12,2023-12-12,EQ,2289.0,2378.0,2285.35,2288.85,2316.05,2330.65,2335.89,2462.15,1002.5,27806,64951657.15,5468,PGEL
13,2023-12-11,EQ,2279.0,2299.0,2259.25,2271.65,2290.0,2288.85,2276.57,2462.15,1002.5,11188,25470254.85,1931,PGEL
14,2023-12-08,EQ,2245.0,2281.3,2245.0,2242.65,2267.35,2271.65,2263.72,2462.15,989.25,44907,101656733.4,3742,PGEL
15,2023-12-07,EQ,2270.2,2323.2,2240.0,2293.75,2240.7,2242.65,2256.24,2462.15,989.25,49889,112561758.3,5491,PGEL
16,2023-12-06,EQ,2327.4,2341.55,2290.0,2327.4,2291.9,2293.75,2309.37,2462.15,989.25,19281,44526974.4,3029,PGEL
17,2023-12-05,EQ,2329.5,2340.0,2307.8,2306.65,2330.0,2327.4,2327.73,2462.15,989.25,16359,38079402.25,3760,PGEL
18,2023-12-04,EQ,2362.0,2384.9,2290.0,2349.55,2307.45,2306.65,2330.93,2462.15,989.25,40480,94355983.6,6033,PGEL
19,2023-12-01,EQ,2322.0,2385.0,2306.0,2384.45,2348.0,2349.55,2346.37,2462.15,955.55,55640,130552194.7,7870,PGEL
20,2023-11-30,EQ,2344.0,2424.9,2302.2,2325.05,2319.95,2384.45,2380.95,2462.15,955.55,298148,709874982.75,23675,PGEL
21,2023-11-29,EQ,2391.0,2403.0,2316.0,2389.8,2323.0,2325.05,2338.91,2462.15,955.55,74618,174525066.55,15212,PGEL
22,2023-11-28,EQ,2382.9,2399.0,2335.2,2381.55,2388.0,2389.8,2369.5,2462.15,955.55,48742,115494192.05,11082,PGEL
23,2023-11-24,EQ,2405.2,2405.2,2324.35,2405.2,2379.0,2381.55,2364.64,2462.15,955.55,66226,156600759.85,13452,PGEL
24,2023-11-23,EQ,2388.0,2430.0,2320.35,2387.45,2383.05,2405.2,2357.14,2462.15,955.55,105212,247999517.4,19540,PGEL
25,2023-11-22,EQ,2408.7,2462.15,2336.9,2392.95,2388.0,2387.45,2413.37,2462.15,955.55,90337,218016756.1,17100,PGEL
26,2023-11-21,EQ,2330.9,2412.0,2310.25,2336.5,2395.0,2392.95,2376.95,2412.0,955.55,84748,201441877.4,16393,PGEL
27,2023-11-20,EQ,2240.0,2404.0,2237.0,2257.35,2325.15,2336.5,2353.61,2404.0,955.55,149198,351154148.85,21328,PGEL
28,2023-11-17,EQ,2258.0,2280.0,2235.0,2261.45,2245.0,2257.35,2255.71,2280.0,955.55,53660,121041296.9,11605,PGEL
29,2023-11-16,EQ,2227.05,2279.0,2209.35,2226.1,2257.8,2261.45,2240.07,2279.0,955.55,167246,374642289.8,17677,PGEL
30,2023-11-15,EQ,2130.0,2250.0,2130.0,2111.6,2224.9,2226.1,2205.41,2250.0,955.55,135973,299875846.25,26283,PGEL
31,2023-11-13,EQ,2036.0,2138.6,2022.05,2035.9,2117.0,2111.6,2085.62,2184.9,955.55,57802,120552746.0,7808,PGEL
32,2023-11-12,EQ,2025.05,2061.6,2025.05,2026.65,2031.0,2035.9,2038.1,2184.9,955.55,6831,13922268.6,1392,PGEL
33,2023-11-10,EQ,2050.0,2069.1,2018.0,2047.7,2025.1,2026.65,2038.13,2184.9,955.55,28956,59016174.7,5188,PGEL
34,2023-11-09,EQ,2019.0,2089.9,2018.05,2016.05,2044.95,2047.7,2054.52,2184.9,955.55,53745,110420277.9,9988,PGEL
35,2023-11-08,EQ,2009.05,2045.0,1990.3,1989.15,2019.0,2016.05,2016.98,2184.9,955.55,51337,103545949.35,7733,PGEL
36,2023-11-07,EQ,2028.0,2060.0,1975.0,1997.85,1992.4,1989.15,2016.99,2184.9,955.55,83810,169043716.6,11870,PGEL
37,2023-11-06,EQ,2020.0,2020.3,1991.2,1990.6,1997.5,1997.85,2000.26,2184.9,955.55,30048,60103772.1,5533,PGEL
38,2023-11-03,EQ,1974.95,2017.45,1974.95,1957.15,1995.0,1990.6,1996.14,2184.9,955.55,55567,110919544.8,8332,PGEL
39,2023-11-02,EQ,1971.0,1989.3,1936.1,1962.65,1953.0,1957.15,1955.13,2184.9,955.55,32253,63058924.6,6268,PGEL
40,2023-11-01,EQ,1969.5,2001.0,1926.0,1970.25,1960.0,1962.65,1955.53,2184.9,955.55,57354,112157584.65,10824,PGEL
41,2023-10-31,EQ,1988.05,2039.2,1960.0,1988.55,1968.0,1970.25,2004.63,2184.9,955.55,49189,98605675.8,12634,PGEL
42,2023-10-30,EQ,2016.95,2018.25,1950.0,1995.8,1990.0,1988.55,1987.85,2184.9,955.55,55205,109739254.75,10624,PGEL
43,2023-10-27,EQ,1901.8,2017.9,1890.05,1859.95,1984.0,1995.8,1972.47,2184.9,955.55,87126,171853258.2,16821,PGEL
44,2023-10-26,EQ,1906.95,1913.0,1773.7,1906.6,1877.4,1859.95,1849.1,2184.9,955.55,113593,210045324.85,20671,PGEL
45,2023-10-25,EQ,2050.75,2087.1,1896.5,2044.15,1913.0,1906.6,1969.81,2184.9,955.55,90844,178945344.05,17138,PGEL
46,2023-10-23,EQ,2105.15,2184.9,2025.05,2105.15,2034.95,2044.15,2102.8,2184.9,955.55,198127,416621151.85,26417,PGEL
47,2023-10-20,EQ,2009.95,2115.0,2009.95,2000.4,2108.7,2105.15,2088.23,2143.95,955.55,217658,454520627.8,27960,PGEL
48,2023-10-19,EQ,1990.0,2028.0,1985.6,1989.0,1999.0,2000.4,2014.33,2143.95,955.55,63545,128000683.25,6195,PGEL
49,2023-10-18,EQ,1969.0,2049.7,1965.1,1953.95,1996.65,1989.0,2010.58,2143.95,955.55,189345,380693422.3,21183,PGEL
50,2023-10-17,EQ,1945.0,1984.6,1909.95,1941.9,1950.0,1953.95,1951.58,2143.95,955.55,102327,199699665.25,14494,PGEL
51,2023-10-16,EQ,1965.05,1975.95,1920.2,1966.55,1944.9,1941.9,1936.92,2143.95,955.55,34264,66366698.45,5540,PGEL
52,2023-10-13,EQ,1953.9,1989.7,1946.0,1976.35,1958.1,1966.55,1969.24,2143.95,955.55,35980,70853244.8,6002,PGEL
53,2023-10-12,EQ,1957.7,1988.7,1941.7,1936.0,1974.15,1976.35,1970.13,2143.95,955.55,64034,126155149.05,11794,PGEL
54,2023-10-11,EQ,1900.0,1969.5,1900.0,1891.7,1950.0,1936.0,1942.53,2143.95,955.55,80250,155887863.0,12273,PGEL
55,2023-10-10,EQ,1888.7,1921.0,1875.0,1875.75,1888.1,1891.7,1899.88,2143.95,955.55,105493,200424344.7,23767,PGEL
56,2023-10-09,EQ,1792.0,1903.75,1792.0,1810.05,1877.0,1875.75,1872.03,2143.95,955.55,167657,313858848.2,15883,PGEL
57,2023-10-06,EQ,1793.0,1847.0,1770.05,1774.25,1811.75,1810.05,1819.9,2143.95,955.55,69089,125735317.9,11420,PGEL
58,2023-10-05,EQ,1734.8,1785.9,1731.0,1723.35,1774.0,1774.25,1764.61,2143.95,955.55,30346,53548947.9,5416,PGEL
59,2023-10-04,EQ,1782.5,1796.35,1710.0,1777.4,1720.35,1723.35,1741.1,2143.95,955.55,105493,183673562.95,15356,PGEL
60,2023-10-03,EQ,1787.9,1816.0,1774.8,1776.1,1782.2,1777.4,1792.9,2143.95,955.55,30566,54801855.15,5727,PGEL
61,2023-09-29,EQ,1790.0,1799.8,1766.3,1778.4,1773.75,1776.1,1781.01,2143.95,955.55,21777,38784947.85,5542,PGEL
62,2023-09-28,EQ,1790.75,1826.0,1768.0,1783.4,1774.05,1778.4,1789.03,2143.95,955.55,54951,98309044.05,9950,PGEL
63,2023-09-27,EQ,1770.0,1803.0,1764.55,1770.7,1788.8,1783.4,1780.75,2143.95,955.55,51114,91021395.2,9455,PGEL
64,2023-09-26,EQ,1771.8,1794.55,1762.7,1771.8,1775.0,1770.7,1773.89,2143.95,955.55,39245,69616440.95,9031,PGEL
65,2023-09-25,EQ,1767.6,1807.0,1725.55,1774.55,1775.0,1771.8,1768.24,2143.95,955.55,65660,116102783.25,11539,PGEL
66,2023-09-22,EQ,1779.7,1787.85,1729.55,1777.55,1775.0,1774.55,1763.12,2143.95,955.55,54280,95702322.4,9223,PGEL
67,2023-09-21,EQ,1798.95,1848.0,1761.05,1811.5,1780.0,1777.55,1798.72,2143.95,955.55,52765,94909283.8,8638,PGEL
68,2023-09-20,EQ,1813.7,1832.0,1799.9,1814.35,1815.2,1811.5,1817.39,2143.95,955.55,19444,35337239.8,4621,PGEL
69,2023-09-18,EQ,1840.0,1840.0,1801.5,1822.25,1811.2,1814.35,1818.06,2143.95,955.55,13952,25365578.85,3083,PGEL
70,2023-09-15,EQ,1790.0,1830.0,1790.0,1787.9,1830.0,1822.25,1810.19,2143.95,955.55,45855,83006192.6,7377,PGEL
71,2023-09-14,EQ,1782.9,1819.2,1765.0,1769.55,1788.0,1787.9,1796.78,2143.95,955.55,20737,37259895.3,3926,PGEL
72,2023-09-13,EQ,1780.0,1809.15,1753.05,1787.6,1764.0,1769.55,1774.12,2143.95,955.55,51332,91069354.7,9737,PGEL
73,2023-09-12,EQ,1830.0,1833.35,1731.05,1821.2,1784.05,1787.6,1785.13,2143.95,955.55,63176,112777687.05,8689,PGEL
