,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4932.1,4982.45,4932.1,4938.45,4935.2,4947.75,4950.44,5500.0,3870.1,29113,144122287.3,2714,PGHL
1,2023-12-28,EQ,4943.4,4966.0,4927.6,4943.4,4950.0,4938.45,4945.31,5500.0,3870.1,6085,30092237.65,1676,PGHL
2,2023-12-27,EQ,4952.05,4973.85,4930.05,4951.55,4935.0,4943.4,4950.31,5500.0,3870.1,5395,26706934.85,1154,PGHL
3,2023-12-26,EQ,4952.4,4986.8,4935.05,4952.4,4945.0,4951.55,4956.82,5500.0,3870.1,4744,23515159.65,1457,PGHL
4,2023-12-22,EQ,4967.6,4967.6,4932.3,4942.85,4950.0,4952.4,4949.8,5500.0,3870.1,4703,23278931.7,1939,PGHL
5,2023-12-21,EQ,4950.0,4960.0,4927.6,4961.95,4945.0,4942.85,4949.19,5500.0,3870.1,3843,19019747.45,1103,PGHL
6,2023-12-20,EQ,5000.0,5011.95,4930.0,5003.5,4950.0,4961.95,4982.45,5500.0,3870.1,5259,26202701.45,1674,PGHL
7,2023-12-19,EQ,5068.25,5068.6,4995.95,5038.1,5000.0,5003.5,5008.07,5500.0,3870.1,6624,33173471.0,2508,PGHL
8,2023-12-18,EQ,5094.5,5127.45,5014.95,5063.55,5016.55,5038.1,5047.74,5500.0,3870.1,14457,72975125.85,4274,PGHL
9,2023-12-15,EQ,5005.05,5102.5,4982.6,4981.9,5050.0,5063.55,5038.12,5500.0,3870.1,23404,117912168.75,4010,PGHL
10,2023-12-14,EQ,5032.85,5032.85,4975.0,5007.8,4985.0,4981.9,4987.91,5500.0,3870.1,3599,17951491.55,1246,PGHL
11,2023-12-13,EQ,4950.05,5041.0,4950.05,4966.45,5000.0,5007.8,4990.86,5500.0,3870.1,3793,18930316.55,1555,PGHL
12,2023-12-12,EQ,4989.75,4989.75,4949.05,4969.6,4960.0,4966.45,4953.52,5500.0,3870.1,8612,42659679.5,2091,PGHL
13,2023-12-11,EQ,4955.0,4999.8,4925.0,4950.55,4952.1,4969.6,4952.31,5500.0,3870.1,6056,29991168.05,1859,PGHL
14,2023-12-08,EQ,5000.0,5035.0,4940.0,5004.05,4975.0,4950.55,4988.39,5500.0,3870.1,8986,44825668.95,2520,PGHL
15,2023-12-07,EQ,5094.0,5099.95,4981.7,5080.7,5000.0,5004.05,5019.96,5500.0,3870.1,12218,61333821.9,3290,PGHL
16,2023-12-06,EQ,5130.0,5143.95,5064.0,5129.65,5084.9,5080.7,5086.18,5500.0,3870.1,6865,34916639.65,2236,PGHL
17,2023-12-05,EQ,5170.85,5196.7,5102.1,5170.85,5107.4,5129.65,5133.03,5500.0,3870.1,42628,218810734.65,3086,PGHL
18,2023-12-04,EQ,5153.9,5195.75,5132.6,5128.25,5174.0,5170.85,5163.33,5500.0,3870.1,9616,49650533.7,3119,PGHL
19,2023-12-01,EQ,5128.95,5178.5,5110.0,5128.95,5140.0,5128.25,5148.52,5500.0,3870.1,6373,32811525.05,2011,PGHL
