,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2710.0,2753.6,2678.55,2708.3,2710.05,2715.1,2720.8,2753.6,2250.05,691045,1880197589.7,48154,PIDILITIND
1,2023-12-28,EQ,2719.9,2723.45,2696.05,2699.1,2714.95,2708.3,2708.92,2735.0,2250.05,409640,1109681709.0,37280,PIDILITIND
2,2023-12-27,EQ,2673.0,2717.05,2667.95,2667.95,2700.0,2699.1,2696.37,2735.0,2250.05,487539,1314585933.45,35384,PIDILITIND
3,2023-12-26,EQ,2645.0,2680.0,2636.0,2643.45,2671.0,2667.95,2661.05,2735.0,2250.05,213484,568092111.1,19400,PIDILITIND
4,2023-12-22,EQ,2616.15,2649.85,2612.15,2616.1,2635.65,2643.45,2638.35,2735.0,2250.05,237427,626416275.65,19507,PIDILITIND
5,2023-12-21,EQ,2565.1,2622.0,2547.85,2584.2,2611.95,2616.1,2599.54,2735.0,2250.05,201946,524967244.9,19197,PIDILITIND
6,2023-12-20,EQ,2662.0,2671.0,2568.85,2648.75,2580.0,2584.2,2646.16,2735.0,2250.05,597865,1582044355.1,30763,PIDILITIND
7,2023-12-19,EQ,2647.5,2661.0,2618.9,2647.5,2652.0,2648.75,2641.37,2735.0,2250.05,389801,1029608583.6,24933,PIDILITIND
8,2023-12-18,EQ,2651.0,2666.9,2643.0,2651.05,2643.0,2647.5,2653.56,2735.0,2250.05,464591,1232820165.75,30093,PIDILITIND
9,2023-12-15,EQ,2634.3,2656.95,2623.95,2634.3,2640.0,2651.05,2648.11,2737.35,2250.05,515599,1365361468.7,34219,PIDILITIND
10,2023-12-14,EQ,2633.35,2638.0,2600.0,2623.25,2635.0,2634.3,2626.84,2737.35,2250.05,451306,1185506496.3,36615,PIDILITIND
11,2023-12-13,EQ,2621.35,2649.0,2576.0,2607.5,2620.65,2623.25,2616.75,2737.35,2250.05,631170,1651615745.0,48065,PIDILITIND
12,2023-12-12,EQ,2546.05,2614.8,2546.05,2545.55,2603.15,2607.5,2587.46,2737.35,2250.05,705500,1825454792.4,49603,PIDILITIND
13,2023-12-11,EQ,2561.65,2567.8,2535.7,2561.65,2548.0,2545.55,2548.6,2737.35,2250.05,252758,644177804.55,31028,PIDILITIND
14,2023-12-08,EQ,2607.0,2607.0,2545.0,2588.85,2562.0,2561.65,2569.38,2796.0,2250.05,215930,554807007.9,23504,PIDILITIND
15,2023-12-07,EQ,2590.0,2628.0,2583.05,2576.15,2589.8,2588.85,2605.1,2796.0,2250.05,418572,1090422572.45,35484,PIDILITIND
16,2023-12-06,EQ,2589.95,2616.2,2570.0,2571.0,2573.0,2576.15,2592.98,2796.0,2250.05,439281,1139047562.8,33833,PIDILITIND
17,2023-12-05,EQ,2555.0,2588.4,2545.65,2553.45,2570.0,2571.0,2568.02,2796.0,2250.05,364575,936234409.85,31478,PIDILITIND
18,2023-12-04,EQ,2576.0,2582.0,2546.0,2562.15,2554.95,2553.45,2557.53,2796.0,2250.05,356930,912858706.1,36658,PIDILITIND
19,2023-12-01,EQ,2570.0,2576.15,2544.05,2552.35,2559.95,2562.15,2560.13,2796.0,2250.05,300500,769319851.65,30602,PIDILITIND
20,2023-11-30,EQ,2503.6,2563.6,2487.0,2503.6,2560.0,2552.35,2538.44,2796.0,2250.05,894422,2270438642.5,44153,PIDILITIND
21,2023-11-29,EQ,2488.95,2515.9,2485.0,2488.05,2500.95,2503.6,2503.7,2796.0,2250.05,385084,964136669.1,25776,PIDILITIND
22,2023-11-28,EQ,2491.0,2514.3,2481.75,2504.1,2489.0,2488.05,2491.43,2796.0,2250.05,229294,571270864.9,36009,PIDILITIND
23,2023-11-24,EQ,2515.9,2516.45,2482.0,2509.3,2509.65,2504.1,2497.76,2796.0,2250.05,247748,618816044.2,18009,PIDILITIND
24,2023-11-23,EQ,2488.35,2516.0,2482.95,2488.35,2505.05,2509.3,2505.8,2796.0,2250.05,253442,635073973.6,25034,PIDILITIND
25,2023-11-22,EQ,2495.55,2507.8,2478.05,2495.6,2488.0,2488.35,2493.51,2796.0,2250.05,143168,356990826.4,20030,PIDILITIND
26,2023-11-21,EQ,2484.0,2504.75,2471.65,2483.55,2494.5,2495.6,2491.27,2796.0,2250.05,225993,563010135.2,21038,PIDILITIND
