,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3491.95,3521.95,3466.05,3484.8,3511.0,3515.9,3503.06,4011.15,2868.9,257567,902271884.8,24142,PIIND
1,2023-12-28,EQ,3479.9,3491.0,3446.9,3462.8,3485.0,3484.8,3465.87,4011.15,2868.9,291684,1010938363.6,22861,PIIND
2,2023-12-27,EQ,3458.0,3480.0,3433.0,3451.85,3457.0,3462.8,3458.22,4011.15,2868.9,293268,1014184413.35,20493,PIIND
3,2023-12-26,EQ,3446.95,3466.05,3430.0,3427.95,3462.0,3451.85,3449.23,4011.15,2868.9,220989,762242002.45,24751,PIIND
4,2023-12-22,EQ,3447.0,3447.8,3403.3,3424.95,3430.0,3427.95,3430.84,4011.15,2868.9,327130,1122330851.25,28633,PIIND
5,2023-12-21,EQ,3351.0,3428.0,3329.55,3370.55,3420.2,3424.95,3410.05,4011.15,2868.9,487463,1662273560.95,36323,PIIND
6,2023-12-20,EQ,3412.0,3463.0,3353.6,3393.95,3366.25,3370.55,3418.46,4011.15,2868.9,1127059,3852806067.1,72062,PIIND
7,2023-12-19,EQ,3415.0,3424.85,3370.85,3414.8,3395.0,3393.95,3392.61,4011.15,2868.9,580769,1970324897.35,38625,PIIND
8,2023-12-18,EQ,3401.0,3424.95,3380.5,3400.7,3414.0,3414.8,3404.63,4011.15,2868.9,488134,1661915910.6,35667,PIIND
9,2023-12-15,EQ,3395.0,3444.0,3365.3,3364.5,3400.0,3400.7,3401.75,4011.15,2868.9,1488926,5064950224.7,111130,PIIND
10,2023-12-14,EQ,3466.0,3473.95,3316.55,3426.85,3362.0,3364.5,3375.07,4011.15,2868.9,2557032,8630170155.6,140854,PIIND
11,2023-12-13,EQ,3545.0,3575.0,3347.1,3484.0,3425.0,3426.85,3423.51,4011.15,2868.9,3437251,11767477061.8,261177,PIIND
12,2023-12-12,EQ,3890.45,3893.65,3451.0,3869.45,3484.0,3484.0,3598.98,4011.15,2868.9,1490344,5363723676.7,123864,PIIND
13,2023-12-11,EQ,3843.5,3899.0,3832.25,3843.5,3878.9,3869.45,3873.53,4011.15,2868.9,221981,859850847.9,19924,PIIND
14,2023-12-08,EQ,3865.0,3887.9,3804.65,3844.0,3835.1,3843.5,3837.08,4011.15,2868.9,474651,1821271498.3,17590,PIIND
15,2023-12-07,EQ,3887.0,3887.25,3822.0,3862.1,3839.0,3844.0,3845.81,4011.15,2868.9,115395,443787390.7,14153,PIIND
16,2023-12-06,EQ,3816.4,3920.0,3800.0,3816.55,3861.0,3862.1,3870.72,4011.15,2868.9,323837,1253481439.2,30646,PIIND
17,2023-12-05,EQ,3866.0,3902.95,3793.8,3864.8,3827.25,3816.55,3832.27,4011.15,2868.9,462196,1771259237.25,30151,PIIND
18,2023-12-04,EQ,3842.75,3869.95,3816.85,3816.85,3867.8,3864.8,3849.35,4011.15,2868.9,176006,677508372.3,20731,PIIND
19,2023-12-01,EQ,3788.95,3822.0,3760.2,3770.9,3821.0,3816.85,3806.11,4011.15,2868.9,248448,945619282.9,21138,PIIND
20,2023-11-30,EQ,3780.0,3794.95,3756.25,3782.15,3775.9,3770.9,3772.77,4011.15,2868.9,422345,1593411163.75,36052,PIIND
21,2023-11-29,EQ,3764.95,3789.8,3718.5,3740.35,3770.0,3782.15,3765.44,4011.15,2868.9,184260,693819612.75,21208,PIIND
22,2023-11-28,EQ,3765.5,3765.5,3680.0,3765.5,3740.0,3740.35,3727.1,4011.15,2868.9,301275,1122882704.85,41627,PIIND
23,2023-11-24,EQ,3780.0,3805.0,3741.0,3758.2,3750.0,3765.5,3784.22,4011.15,2868.9,447648,1693998920.35,42241,PIIND
24,2023-11-23,EQ,3651.5,3783.0,3651.5,3648.85,3753.95,3758.2,3729.84,4011.15,2868.9,695533,2594229086.2,64378,PIIND
25,2023-11-22,EQ,3680.0,3712.0,3640.85,3680.0,3648.0,3648.85,3675.63,4011.15,2868.9,134195,493250536.9,14326,PIIND
26,2023-11-21,EQ,3707.95,3711.45,3665.05,3689.35,3667.0,3680.0,3687.37,4011.15,2868.9,120594,444674632.5,15133,PIIND
27,2023-11-20,EQ,3726.5,3731.0,3675.0,3726.5,3682.5,3689.35,3700.2,4011.15,2868.9,136505,505095811.55,16835,PIIND
28,2023-11-17,EQ,3694.0,3768.0,3674.0,3681.8,3721.4,3726.5,3736.59,4011.15,2868.9,236652,884270395.7,21038,PIIND
29,2023-11-16,EQ,3715.0,3725.0,3670.0,3716.8,3685.0,3681.8,3691.2,4011.15,2868.9,249147,919652108.0,21202,PIIND
30,2023-11-15,EQ,3694.85,3719.95,3665.0,3670.7,3709.35,3716.8,3708.8,4011.15,2868.9,215887,800682504.05,29364,PIIND
31,2023-11-13,EQ,3731.65,3731.65,3640.85,3716.9,3669.0,3670.7,3667.84,4011.15,2868.9,237635,871607900.25,15934,PIIND
32,2023-11-12,EQ,3714.45,3734.3,3705.0,3687.35,3722.0,3716.9,3720.5,4011.15,2868.9,53137,197696186.2,6150,PIIND
33,2023-11-10,EQ,3675.0,3739.0,3590.3,3647.85,3692.0,3687.35,3692.0,4011.15,2868.9,674266,2489388287.8,53534,PIIND
34,2023-11-09,EQ,3664.95,3737.5,3555.0,3579.1,3639.85,3647.85,3653.55,4011.15,2868.9,1560879,5702751706.9,101675,PIIND
35,2023-11-08,EQ,3534.0,3605.0,3518.45,3514.5,3577.0,3579.1,3570.75,4011.15,2868.9,316185,1129016809.6,32846,PIIND
36,2023-11-07,EQ,3490.0,3523.35,3471.7,3481.45,3510.0,3514.5,3501.66,4011.15,2868.9,158696,555698788.0,20389,PIIND
37,2023-11-06,EQ,3415.1,3526.95,3381.2,3489.2,3474.85,3481.45,3467.18,4011.15,2868.9,335423,1162971823.95,30678,PIIND
38,2023-11-03,EQ,3429.9,3503.75,3419.85,3410.75,3473.0,3489.2,3472.46,4011.15,2868.9,168171,583967853.15,22355,PIIND
39,2023-11-02,EQ,3402.0,3420.35,3380.05,3380.55,3405.55,3410.75,3406.19,4011.15,2868.9,123532,420773084.8,19660,PIIND
40,2023-11-01,EQ,3393.0,3409.95,3355.0,3401.25,3378.0,3380.55,3376.52,4011.15,2868.9,266407,899528982.05,25087,PIIND
41,2023-10-31,EQ,3373.55,3410.3,3362.25,3351.6,3393.0,3401.25,3394.86,4011.15,2868.9,154112,523188995.55,20288,PIIND
42,2023-10-30,EQ,3328.95,3365.0,3296.05,3315.3,3359.0,3351.6,3326.97,4011.15,2868.9,117438,390712899.9,14971,PIIND
43,2023-10-27,EQ,3305.0,3362.2,3304.85,3290.3,3324.0,3315.3,3329.3,4011.15,2868.9,167643,558134597.1,20489,PIIND
44,2023-10-26,EQ,3333.1,3333.1,3271.05,3334.5,3295.0,3290.3,3290.5,4011.15,2868.9,327822,1078699097.75,39228,PIIND
45,2023-10-25,EQ,3406.0,3435.65,3321.0,3406.0,3340.0,3334.5,3364.38,4011.15,2868.9,293489,987407326.3,30745,PIIND
46,2023-10-23,EQ,3467.25,3479.85,3391.6,3467.2,3408.0,3406.0,3433.5,4011.15,2868.9,156985,539007992.15,24450,PIIND
47,2023-10-20,EQ,3500.4,3509.9,3445.5,3500.45,3466.0,3467.2,3473.98,4011.15,2868.9,111257,386504227.4,14959,PIIND
48,2023-10-19,EQ,3490.8,3524.2,3465.0,3508.35,3493.9,3500.45,3491.4,4011.15,2868.9,83871,292827076.65,14395,PIIND
49,2023-10-18,EQ,3538.0,3538.7,3490.7,3535.65,3506.0,3508.35,3509.23,4011.15,2868.9,78158,274274762.9,11321,PIIND
50,2023-10-17,EQ,3522.75,3543.0,3500.0,3500.05,3528.35,3535.65,3525.5,4011.15,2868.9,151140,532844014.75,15710,PIIND
51,2023-10-16,EQ,3510.0,3533.35,3479.7,3481.15,3501.8,3500.05,3507.34,4011.15,2868.9,186370,653662929.1,16140,PIIND
52,2023-10-13,EQ,3481.0,3494.9,3454.3,3485.95,3480.0,3481.15,3482.44,4011.15,2868.9,132213,460423451.05,11202,PIIND
53,2023-10-12,EQ,3507.85,3513.9,3472.65,3488.3,3495.0,3485.95,3489.92,4011.15,2868.9,111881,390456232.4,13332,PIIND
54,2023-10-11,EQ,3480.0,3522.0,3477.1,3460.85,3489.85,3488.3,3502.47,4011.15,2868.9,247589,867173510.7,33345,PIIND
55,2023-10-10,EQ,3445.25,3476.9,3416.75,3422.85,3464.85,3460.85,3454.24,4011.15,2868.9,110323,381082062.4,15986,PIIND
56,2023-10-09,EQ,3402.05,3440.55,3365.1,3420.7,3415.0,3422.85,3409.31,4011.15,2868.9,121797,415243820.3,15827,PIIND
57,2023-10-06,EQ,3408.95,3440.9,3393.05,3385.95,3411.0,3420.7,3409.21,4011.15,2868.9,122175,416520566.65,15361,PIIND
58,2023-10-05,EQ,3408.7,3416.9,3376.0,3394.15,3387.0,3385.95,3400.07,4011.15,2868.9,158919,540335379.45,14301,PIIND
59,2023-10-04,EQ,3400.1,3416.45,3380.7,3414.65,3394.0,3394.15,3398.75,4011.15,2868.9,164978,560719271.85,26249,PIIND
60,2023-10-03,EQ,3453.0,3453.0,3400.0,3453.0,3413.35,3414.65,3416.06,4011.15,2868.9,196751,672112309.05,19977,PIIND
61,2023-09-29,EQ,3420.05,3479.6,3406.8,3395.15,3456.0,3453.0,3447.2,4011.15,2868.9,143143,493442883.85,15770,PIIND
62,2023-09-28,EQ,3462.0,3467.8,3376.0,3454.15,3408.0,3395.15,3431.37,4011.15,2868.9,360497,1236999986.8,27159,PIIND
63,2023-09-27,EQ,3413.95,3467.05,3378.05,3406.35,3462.0,3454.15,3417.75,4011.15,2868.9,253803,867434703.0,20743,PIIND
64,2023-09-26,EQ,3403.95,3430.0,3396.1,3393.2,3413.0,3406.35,3410.65,4011.15,2868.9,242797,828096239.95,21496,PIIND
65,2023-09-25,EQ,3415.6,3438.05,3381.0,3415.6,3393.9,3393.2,3401.79,4011.15,2868.9,382424,1300927973.4,35504,PIIND
66,2023-09-22,EQ,3445.85,3479.6,3410.0,3445.85,3412.0,3415.6,3428.17,4011.15,2868.9,400689,1373630727.55,30700,PIIND
67,2023-09-21,EQ,3500.0,3500.95,3440.0,3501.5,3450.1,3445.85,3464.21,4011.15,2868.9,330208,1143911203.95,28811,PIIND
68,2023-09-20,EQ,3566.0,3596.45,3496.0,3590.35,3498.0,3501.5,3521.06,4011.15,2868.9,339193,1194319229.2,35133,PIIND
69,2023-09-18,EQ,3550.0,3620.0,3532.2,3631.65,3583.0,3590.35,3580.99,4011.15,2868.9,458818,1643021846.55,37356,PIIND
70,2023-09-15,EQ,3674.45,3681.0,3622.0,3657.2,3627.0,3631.65,3638.04,4011.15,2868.9,279903,1018298828.7,20162,PIIND
71,2023-09-14,EQ,3640.05,3697.0,3635.1,3637.4,3652.1,3657.2,3661.57,4011.15,2868.9,187725,687368098.4,21919,PIIND
72,2023-09-13,EQ,3597.0,3645.0,3565.4,3604.15,3641.0,3637.4,3608.63,4011.15,2868.9,127594,460439772.45,14524,PIIND
73,2023-09-12,EQ,3670.0,3713.55,3588.0,3677.7,3610.95,3604.15,3632.08,4011.15,2868.9,221164,803285496.5,20751,PIIND
74,2023-09-11,EQ,3675.0,3688.1,3642.0,3655.5,3681.6,3677.7,3661.33,4011.15,2868.9,201967,739467325.55,18520,PIIND
75,2023-09-08,EQ,3664.95,3677.35,3633.05,3648.9,3656.95,3655.5,3649.75,4011.15,2868.9,127980,467094366.6,13326,PIIND
76,2023-09-07,EQ,3620.0,3670.0,3616.35,3615.2,3656.4,3648.9,3634.32,4011.15,2868.9,417461,1517187740.15,29696,PIIND
