,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1325.0,1352.95,1261.0,1324.7,1282.0,1292.55,1307.28,1568.95,702.0,19300,25230549.5,2750,PIXTRANS
1,2023-12-28,EQ,1355.0,1361.9,1320.0,1346.0,1323.05,1324.7,1330.09,1568.95,702.0,8974,11936206.75,1623,PIXTRANS
2,2023-12-27,EQ,1355.0,1358.95,1330.0,1345.45,1348.55,1346.0,1343.72,1568.95,702.0,4670,6275159.9,1057,PIXTRANS
3,2023-12-26,EQ,1380.0,1386.8,1339.3,1366.8,1356.0,1345.45,1351.06,1568.95,702.0,8790,11875833.4,1590,PIXTRANS
4,2023-12-22,EQ,1332.85,1379.9,1332.85,1332.7,1354.0,1366.8,1362.28,1568.95,702.0,10773,14675805.65,1901,PIXTRANS
5,2023-12-21,EQ,1345.0,1357.8,1315.2,1333.05,1342.0,1332.7,1334.34,1568.95,702.0,9122,12171820.25,2533,PIXTRANS
6,2023-12-20,EQ,1415.4,1424.95,1315.0,1399.55,1335.0,1333.05,1365.16,1568.95,702.0,18991,25925738.9,3876,PIXTRANS
7,2023-12-19,EQ,1434.9,1440.15,1385.45,1419.45,1389.05,1399.55,1401.45,1568.95,702.0,12203,17101912.65,2298,PIXTRANS
8,2023-12-18,EQ,1369.0,1425.0,1356.1,1381.5,1416.1,1419.45,1405.35,1568.95,702.0,16204,22772238.45,2407,PIXTRANS
9,2023-12-15,EQ,1407.0,1407.0,1375.0,1389.85,1377.0,1381.5,1392.76,1568.95,702.0,7865,10954020.55,1598,PIXTRANS
10,2023-12-14,EQ,1408.0,1414.3,1383.0,1415.1,1386.5,1389.85,1396.77,1568.95,702.0,17227,24062107.95,3427,PIXTRANS
11,2023-12-13,EQ,1389.8,1440.0,1348.6,1388.8,1411.25,1415.1,1386.24,1568.95,702.0,33718,46741103.1,6459,PIXTRANS
12,2023-12-12,EQ,1445.0,1488.9,1362.35,1304.7,1386.9,1388.8,1425.27,1568.95,702.0,206575,294425845.8,24499,PIXTRANS
13,2023-12-11,EQ,1302.0,1360.0,1300.0,1320.4,1319.05,1304.7,1320.24,1568.95,702.0,17912,23648109.0,3464,PIXTRANS
14,2023-12-08,EQ,1363.8,1368.9,1310.0,1363.8,1313.0,1320.4,1334.18,1568.95,702.0,18746,25010631.05,3647,PIXTRANS
15,2023-12-07,EQ,1385.05,1416.7,1334.0,1406.95,1349.0,1363.8,1384.31,1568.95,702.0,16934,23441902.8,2714,PIXTRANS
16,2023-12-06,EQ,1421.1,1430.0,1380.0,1421.1,1391.0,1406.95,1400.19,1568.95,702.0,17418,24388569.4,2120,PIXTRANS
17,2023-12-05,EQ,1457.95,1457.95,1380.5,1440.7,1402.05,1421.1,1416.3,1568.95,702.0,26904,38104132.7,3011,PIXTRANS
18,2023-12-04,EQ,1424.0,1463.0,1411.65,1403.4,1440.0,1440.7,1441.1,1568.95,702.0,48499,69891980.45,4919,PIXTRANS
19,2023-12-01,EQ,1343.0,1431.3,1332.85,1340.65,1407.0,1403.4,1398.41,1568.95,702.0,92621,129521720.7,11621,PIXTRANS
20,2023-11-30,EQ,1339.8,1355.05,1317.55,1329.4,1340.0,1340.65,1337.65,1568.95,702.0,26130,34952914.15,3092,PIXTRANS
21,2023-11-29,EQ,1300.65,1357.8,1289.95,1297.55,1326.0,1329.4,1328.39,1568.95,702.0,34039,45217062.35,5669,PIXTRANS
22,2023-11-28,EQ,1301.55,1310.3,1290.0,1301.55,1303.0,1297.55,1298.7,1568.95,702.0,18205,23642824.8,2656,PIXTRANS
23,2023-11-24,EQ,1328.4,1328.4,1294.15,1324.65,1300.0,1301.55,1305.67,1568.95,702.0,13937,18197129.9,2360,PIXTRANS
24,2023-11-23,EQ,1335.0,1371.0,1320.0,1331.4,1326.0,1324.65,1345.7,1568.95,702.0,24648,33168718.3,3704,PIXTRANS
25,2023-11-22,EQ,1353.95,1364.7,1307.95,1350.05,1320.0,1331.4,1330.26,1568.95,702.0,28980,38550815.1,4466,PIXTRANS
26,2023-11-21,EQ,1235.05,1370.0,1224.05,1234.45,1345.0,1350.05,1330.9,1568.95,702.0,109884,146244079.95,16631,PIXTRANS
27,2023-11-20,EQ,1279.95,1288.95,1230.05,1253.95,1233.0,1234.45,1243.25,1568.95,702.0,16664,20717583.05,2636,PIXTRANS
28,2023-11-17,EQ,1280.0,1280.0,1249.0,1277.2,1253.0,1253.95,1264.2,1568.95,702.0,14498,18328305.55,2902,PIXTRANS
29,2023-11-16,EQ,1273.35,1310.0,1266.65,1285.0,1280.95,1277.2,1290.93,1568.95,702.0,22823,29462829.05,4272,PIXTRANS
