,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,503.0,516.5,498.2,508.85,500.95,502.7,506.06,550.0,262.1,72970,36927480.05,5862,POCL
1,2023-12-28,EQ,521.0,550.0,505.0,520.3,506.7,508.85,529.06,550.0,262.1,324971,171929718.45,25523,POCL
2,2023-12-27,EQ,499.0,536.0,382.45,478.05,516.2,520.3,512.69,536.0,262.1,1068710,547920146.1,63618,POCL
3,2023-12-26,EQ,475.3,486.8,468.45,470.6,480.35,478.05,478.06,521.3,262.1,109208,52208230.05,9178,POCL
4,2023-12-22,EQ,449.4,477.0,445.25,442.75,469.8,470.6,464.13,521.3,262.1,148720,69025858.75,10731,POCL
5,2023-12-21,EQ,428.9,447.95,422.05,429.8,444.0,442.75,438.17,521.3,262.1,42579,18656783.7,2155,POCL
6,2023-12-20,EQ,443.1,461.85,427.0,444.2,429.1,429.8,443.29,521.3,262.1,64321,28512980.05,5961,POCL
7,2023-12-19,EQ,440.85,447.3,438.1,438.85,445.0,444.2,441.99,521.3,262.1,24214,10702237.35,1498,POCL
8,2023-12-18,EQ,448.0,451.95,436.05,440.95,439.3,438.85,443.03,521.3,262.1,22389,9919031.35,2052,POCL
9,2023-12-15,EQ,441.1,449.1,438.15,441.4,442.0,440.95,443.53,521.3,262.1,26620,11806818.75,2857,POCL
10,2023-12-14,EQ,445.0,447.7,435.6,436.75,441.2,441.4,442.47,521.3,262.1,29589,13092328.6,2494,POCL
11,2023-12-13,EQ,443.65,452.5,432.55,439.25,437.0,436.75,438.36,521.3,262.1,17139,7513050.75,1958,POCL
12,2023-12-12,EQ,443.95,446.2,437.2,443.6,437.2,439.25,442.09,521.3,262.1,19456,8601310.95,1573,POCL
13,2023-12-11,EQ,436.6,455.0,434.35,436.6,440.85,443.6,441.46,521.3,262.1,29301,12935203.4,3571,POCL
14,2023-12-08,EQ,456.8,456.8,434.85,452.6,440.0,436.6,443.45,521.3,262.1,31030,13760224.3,3297,POCL
15,2023-12-07,EQ,436.0,465.0,435.4,436.0,452.5,452.6,452.56,521.3,262.1,136881,61947240.85,12737,POCL
16,2023-12-06,EQ,438.15,439.9,434.0,433.8,438.0,436.0,436.32,521.3,262.1,37970,16567156.75,2957,POCL
17,2023-12-05,EQ,437.9,441.95,430.5,433.65,433.0,433.8,436.57,521.3,262.1,37107,16199672.55,3519,POCL
18,2023-12-04,EQ,439.95,440.0,431.85,434.05,435.0,433.65,434.58,521.3,262.1,22058,9585982.75,1626,POCL
19,2023-12-01,EQ,440.55,440.55,432.9,436.2,433.0,434.05,435.11,521.3,262.1,12862,5596429.4,853,POCL
20,2023-11-30,EQ,427.8,441.4,426.2,426.15,435.9,436.2,435.24,521.3,262.1,27451,11947727.75,2694,POCL
21,2023-11-29,EQ,439.5,439.5,425.8,433.0,426.0,426.15,427.6,521.3,262.1,34495,14750104.9,1820,POCL
22,2023-11-28,EQ,437.25,443.95,429.5,437.15,432.05,433.0,434.61,521.3,262.1,26924,11701511.95,1550,POCL
23,2023-11-24,EQ,445.05,448.05,434.3,443.0,436.65,437.15,438.12,521.3,262.1,15128,6627888.1,1286,POCL
24,2023-11-23,EQ,439.1,450.7,439.1,440.05,441.5,443.0,444.62,521.3,262.1,29379,13062445.9,2404,POCL
25,2023-11-22,EQ,440.5,443.9,439.6,440.0,440.0,440.05,440.77,521.3,262.1,22860,10075968.65,1775,POCL
26,2023-11-21,EQ,443.9,444.2,435.3,440.85,440.0,440.0,439.91,521.3,262.1,38136,16776240.7,1821,POCL
27,2023-11-20,EQ,435.0,450.25,435.0,434.85,440.2,440.85,442.36,521.3,262.1,32941,14571937.1,2740,POCL
28,2023-11-17,EQ,433.95,440.0,432.0,433.35,438.65,434.85,435.83,521.3,262.1,23173,10099495.3,3906,POCL
29,2023-11-16,EQ,435.65,439.15,432.0,435.65,435.6,433.35,435.11,521.3,262.1,23309,10142064.75,3269,POCL
30,2023-11-15,EQ,442.55,446.7,434.0,438.25,434.8,435.65,439.17,521.3,262.1,35056,15395531.95,2365,POCL
31,2023-11-13,EQ,437.05,450.15,435.0,451.8,442.0,438.25,441.5,521.3,262.1,27371,12084256.3,2526,POCL
32,2023-11-12,EQ,454.7,454.7,438.0,445.65,446.05,451.8,448.15,521.3,262.1,17957,8047358.9,1350,POCL
33,2023-11-10,EQ,435.7,451.0,433.95,434.95,447.35,445.65,443.76,521.3,262.1,22984,10199373.85,1949,POCL
34,2023-11-09,EQ,445.0,446.55,432.0,443.3,435.1,434.95,437.77,521.3,262.1,29982,13125198.15,2532,POCL
35,2023-11-08,EQ,470.0,470.0,434.05,474.35,444.7,443.3,445.11,521.3,262.1,119996,53410842.55,7201,POCL
36,2023-11-07,EQ,484.85,487.0,463.1,459.25,473.0,474.35,475.58,521.3,262.1,106130,50473776.25,4312,POCL
37,2023-11-06,EQ,429.0,469.4,426.05,428.45,460.05,459.25,452.37,521.3,262.1,84656,38295908.4,8512,POCL
38,2023-11-03,EQ,431.55,433.4,427.0,427.35,427.9,428.45,429.02,521.3,262.1,13138,5636506.4,1381,POCL
39,2023-11-02,EQ,421.55,435.2,421.55,426.75,426.55,427.35,427.9,521.3,262.1,16052,6868628.05,1731,POCL
40,2023-11-01,EQ,432.0,439.2,425.1,430.6,425.5,426.75,429.72,521.3,262.1,15550,6682072.2,1808,POCL
41,2023-10-31,EQ,431.5,441.45,429.7,435.45,431.0,430.6,434.3,521.3,262.1,21305,9252698.55,2419,POCL
42,2023-10-30,EQ,453.0,457.05,425.5,454.2,431.7,435.45,442.67,521.3,262.1,32460,14369066.15,2164,POCL
43,2023-10-27,EQ,441.0,459.0,441.0,440.85,450.1,454.2,453.19,521.3,262.1,23592,10691765.05,2488,POCL
44,2023-10-26,EQ,415.0,448.85,399.0,418.3,440.5,440.85,417.47,521.3,262.1,33760,14093706.95,4154,POCL
45,2023-10-25,EQ,425.95,436.75,410.95,432.45,417.05,418.3,422.56,521.3,262.1,18706,7904343.7,2612,POCL
46,2023-10-23,EQ,459.0,459.0,428.1,445.25,430.0,432.45,446.13,521.3,262.1,31668,14128085.5,2674,POCL
47,2023-10-20,EQ,457.25,457.95,437.55,457.3,453.0,445.25,448.63,521.3,262.1,25927,11631713.05,2591,POCL
48,2023-10-19,EQ,463.95,465.9,454.5,464.8,457.05,457.3,460.09,521.3,262.1,14524,6682300.85,1670,POCL
49,2023-10-18,EQ,461.95,475.0,453.55,461.95,465.0,464.8,461.02,521.3,262.1,26444,12191108.95,2155,POCL
50,2023-10-17,EQ,458.25,463.0,451.9,449.35,461.0,461.95,458.56,521.3,262.1,15121,6933917.4,1406,POCL
51,2023-10-16,EQ,453.75,463.7,446.2,453.75,448.3,449.35,455.02,521.3,262.1,23768,10814890.9,2720,POCL
52,2023-10-13,EQ,457.75,468.0,450.1,453.3,454.25,453.75,458.08,521.3,262.1,31540,14447721.95,2538,POCL
53,2023-10-12,EQ,455.0,460.95,445.55,455.5,454.0,453.3,453.56,521.3,262.1,20411,9257559.95,1995,POCL
54,2023-10-11,EQ,464.8,464.95,452.35,456.05,454.5,455.5,457.78,521.3,262.1,14003,6410298.4,1667,POCL
55,2023-10-10,EQ,469.9,469.9,453.2,454.8,458.8,456.05,457.51,521.3,262.1,13443,6150335.25,2062,POCL
56,2023-10-09,EQ,464.0,468.05,450.5,470.35,457.0,454.8,458.73,521.3,262.1,18188,8343358.1,2481,POCL
57,2023-10-06,EQ,475.95,477.9,469.0,475.95,469.0,470.35,472.81,521.3,262.1,21853,10332383.85,2678,POCL
58,2023-10-05,EQ,476.95,489.95,472.0,474.1,474.95,475.95,479.09,521.3,262.1,41325,19798504.3,4893,POCL
59,2023-10-04,EQ,458.95,489.0,455.6,459.9,473.0,474.1,477.77,521.3,262.1,131514,62832942.25,10715,POCL
60,2023-10-03,EQ,462.05,462.75,450.8,462.05,462.0,459.9,456.95,521.3,262.1,24846,11353461.2,3828,POCL
61,2023-09-29,EQ,472.0,472.0,458.05,460.85,461.05,462.05,463.08,521.3,262.1,25795,11945236.85,3759,POCL
62,2023-09-28,EQ,466.0,479.45,456.9,459.45,462.35,460.85,463.82,521.3,262.1,27990,12982253.55,3373,POCL
63,2023-09-27,EQ,436.8,467.75,436.8,441.2,463.0,459.45,452.78,521.3,262.1,28474,12892529.3,3800,POCL
64,2023-09-26,EQ,444.5,447.8,436.2,442.55,441.95,441.2,441.11,521.3,262.1,31321,13816099.85,3190,POCL
65,2023-09-25,EQ,458.95,458.95,439.05,455.1,441.0,442.55,447.66,521.3,262.1,23459,10501706.8,3242,POCL
66,2023-09-22,EQ,460.25,464.0,453.0,455.75,453.0,455.1,457.49,521.3,262.1,20287,9281098.5,2778,POCL
67,2023-09-21,EQ,455.0,469.8,453.05,460.25,457.8,455.75,459.02,521.3,262.1,13857,6360630.55,2420,POCL
68,2023-09-20,EQ,447.0,464.8,445.6,450.35,463.0,460.25,454.37,521.3,262.1,22621,10278272.2,4037,POCL
