,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,5470.0,5564.55,5431.55,5458.95,5500.0,5484.85,5496.03,5733.0,2500.25,347319,1908875476.9,32425,POLYCAB
1,2023-12-28,EQ,5457.95,5493.85,5435.0,5436.65,5457.65,5458.95,5457.45,5733.0,2500.25,233728,1275559500.6,32339,POLYCAB
2,2023-12-27,EQ,5420.0,5458.0,5385.05,5394.75,5430.0,5436.65,5430.75,5733.0,2500.25,357111,1939378907.35,36114,POLYCAB
3,2023-12-26,EQ,5359.3,5449.0,5309.0,5359.3,5400.0,5394.75,5384.68,5733.0,2500.25,682407,3674540519.65,56142,POLYCAB
4,2023-12-22,EQ,5633.0,5633.0,5305.65,5619.3,5362.85,5359.3,5416.46,5733.0,2500.25,1898658,10284005436.35,162844,POLYCAB
5,2023-12-21,EQ,5489.0,5627.0,5415.25,5498.0,5605.0,5619.3,5562.49,5733.0,2500.25,242120,1346790586.9,29040,POLYCAB
6,2023-12-20,EQ,5644.9,5684.0,5461.0,5610.9,5472.0,5498.0,5568.34,5733.0,2500.25,345075,1921495292.25,40089,POLYCAB
7,2023-12-19,EQ,5692.55,5698.95,5573.05,5678.75,5615.0,5610.9,5628.53,5733.0,2500.25,306765,1726635065.25,36274,POLYCAB
8,2023-12-18,EQ,5686.0,5713.45,5637.0,5670.0,5670.0,5678.75,5677.11,5733.0,2500.25,310923,1765144591.6,32753,POLYCAB
9,2023-12-15,EQ,5688.15,5700.0,5621.25,5653.45,5670.1,5670.0,5658.74,5733.0,2500.25,267973,1516389518.9,30563,POLYCAB
10,2023-12-14,EQ,5714.9,5719.1,5630.0,5678.15,5655.0,5653.45,5660.7,5733.0,2500.25,351256,1988355175.2,30560,POLYCAB
11,2023-12-13,EQ,5639.0,5703.1,5606.25,5609.9,5675.0,5678.15,5661.96,5733.0,2500.25,320345,1813781271.95,25493,POLYCAB
12,2023-12-12,EQ,5700.0,5733.0,5580.05,5691.95,5615.0,5609.9,5644.69,5733.0,2500.25,524434,2960269371.7,49199,POLYCAB
13,2023-12-11,EQ,5464.95,5710.35,5446.0,5446.65,5681.6,5691.95,5606.56,5710.35,2500.25,973960,5460569486.0,94569,POLYCAB
14,2023-12-08,EQ,5432.0,5520.8,5392.5,5419.95,5435.0,5446.65,5455.11,5520.8,2500.25,419779,2289940802.8,42069,POLYCAB
15,2023-12-07,EQ,5330.0,5443.0,5290.55,5318.95,5411.0,5419.95,5394.71,5493.65,2500.25,338949,1828532079.15,39677,POLYCAB
16,2023-12-06,EQ,5378.0,5418.0,5300.05,5360.15,5316.05,5318.95,5343.79,5493.65,2500.25,393732,2104021181.15,42360,POLYCAB
17,2023-12-05,EQ,5350.0,5390.0,5270.0,5341.6,5360.0,5360.15,5352.35,5493.65,2500.25,325063,1739851905.7,38585,POLYCAB
18,2023-12-04,EQ,5300.0,5355.7,5268.05,5234.55,5344.0,5341.6,5326.38,5493.65,2500.25,487407,2596112595.0,48606,POLYCAB
