,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1502.55,1503.4,1475.05,1502.6,1487.0,1489.9,1485.67,1677.0,820.3,43103,64036985.95,5993,POLYMED
1,2023-12-28,EQ,1522.75,1539.35,1478.0,1522.75,1510.0,1502.6,1498.98,1677.0,820.3,78959,118357728.25,10538,POLYMED
2,2023-12-27,EQ,1451.9,1550.0,1444.4,1442.55,1527.0,1522.75,1517.34,1677.0,820.3,421378,639373845.9,45812,POLYMED
3,2023-12-26,EQ,1450.0,1463.5,1437.1,1459.6,1444.0,1442.55,1445.37,1677.0,820.3,141930,205141433.15,6634,POLYMED
4,2023-12-22,EQ,1468.9,1483.75,1448.25,1458.75,1465.0,1459.6,1465.57,1677.0,820.3,45876,67234429.3,13283,POLYMED
5,2023-12-21,EQ,1456.3,1479.5,1440.0,1477.05,1463.5,1458.75,1457.97,1677.0,820.3,48710,71017619.7,10645,POLYMED
6,2023-12-20,EQ,1505.7,1518.9,1455.0,1505.7,1470.0,1477.05,1489.37,1677.0,820.3,51519,76730616.1,12358,POLYMED
7,2023-12-19,EQ,1540.0,1540.0,1500.0,1518.2,1505.4,1505.7,1508.42,1677.0,820.3,37569,56669774.9,8381,POLYMED
8,2023-12-18,EQ,1558.0,1558.0,1512.2,1558.0,1513.0,1518.2,1532.64,1677.0,820.3,39133,59976968.2,6813,POLYMED
9,2023-12-15,EQ,1588.65,1588.65,1522.2,1577.4,1565.0,1558.0,1545.59,1677.0,820.3,99006,153023099.4,15588,POLYMED
10,2023-12-14,EQ,1610.0,1615.95,1570.6,1603.4,1571.0,1577.4,1591.16,1677.0,820.3,35556,56575304.95,5947,POLYMED
11,2023-12-13,EQ,1611.0,1614.7,1578.05,1597.8,1610.0,1603.4,1593.92,1677.0,820.3,56334,89791810.7,7320,POLYMED
12,2023-12-12,EQ,1576.0,1607.4,1561.75,1574.25,1605.75,1597.8,1585.53,1677.0,820.3,56199,89105210.0,8059,POLYMED
13,2023-12-11,EQ,1600.0,1605.9,1560.6,1582.65,1577.0,1574.25,1582.62,1677.0,820.3,91482,144781601.7,19142,POLYMED
14,2023-12-08,EQ,1677.0,1677.0,1557.0,1666.75,1594.0,1582.65,1594.53,1677.0,820.3,97255,155075894.75,13316,POLYMED
15,2023-12-07,EQ,1655.3,1674.0,1623.9,1653.05,1661.0,1666.75,1657.43,1674.0,820.3,58503,96964428.5,9743,POLYMED
16,2023-12-06,EQ,1632.0,1665.0,1611.05,1636.3,1649.0,1653.05,1641.27,1665.0,820.3,82529,135452324.35,14212,POLYMED
17,2023-12-05,EQ,1620.0,1649.7,1615.05,1614.6,1635.0,1636.3,1636.19,1649.7,820.3,129885,212516589.65,16962,POLYMED
18,2023-12-04,EQ,1610.0,1637.7,1570.45,1592.8,1623.95,1614.6,1603.14,1637.7,820.3,190040,304660110.2,20571,POLYMED
19,2023-12-01,EQ,1538.6,1608.0,1530.0,1525.65,1590.0,1592.8,1582.37,1608.0,820.3,159007,251607779.2,15854,POLYMED
20,2023-11-30,EQ,1513.45,1537.85,1504.35,1514.15,1520.0,1525.65,1525.97,1581.0,820.3,58967,89981916.3,9307,POLYMED
21,2023-11-29,EQ,1508.0,1537.15,1491.3,1494.9,1520.0,1514.15,1516.17,1581.0,820.3,52440,79507747.1,10822,POLYMED
22,2023-11-28,EQ,1530.45,1567.95,1485.0,1530.45,1487.0,1494.9,1533.97,1581.0,820.3,103777,159190537.95,16956,POLYMED
23,2023-11-24,EQ,1522.85,1539.0,1508.0,1509.55,1525.0,1530.45,1527.15,1581.0,820.3,36432,55637202.7,6295,POLYMED
24,2023-11-23,EQ,1528.55,1544.0,1504.0,1515.25,1510.2,1509.55,1518.5,1581.0,820.3,36064,54763195.6,6241,POLYMED
25,2023-11-22,EQ,1522.45,1536.0,1503.05,1519.0,1520.0,1515.25,1518.04,1581.0,820.3,37968,57637021.65,7345,POLYMED
26,2023-11-21,EQ,1567.75,1567.75,1511.0,1554.35,1525.0,1519.0,1530.11,1581.0,820.3,37412,57244370.15,5869,POLYMED
27,2023-11-20,EQ,1535.0,1581.0,1531.0,1540.0,1541.0,1554.35,1554.23,1581.0,820.3,74892,116399111.2,11659,POLYMED
28,2023-11-17,EQ,1509.9,1550.0,1493.25,1518.4,1541.5,1540.0,1530.44,1575.0,820.3,106301,162687231.35,14802,POLYMED
29,2023-11-16,EQ,1491.5,1528.0,1453.0,1483.05,1513.0,1518.4,1498.64,1575.0,820.3,113458,170032157.55,14225,POLYMED
30,2023-11-15,EQ,1434.2,1506.0,1429.05,1420.35,1486.0,1483.05,1475.13,1575.0,820.3,135928,200511586.3,18225,POLYMED
31,2023-11-13,EQ,1448.3,1469.95,1415.0,1448.3,1422.0,1420.35,1435.65,1575.0,820.3,56762,81490452.35,11810,POLYMED
32,2023-11-12,EQ,1450.0,1453.15,1434.95,1440.2,1450.65,1448.3,1446.54,1575.0,820.3,7661,11081972.25,1254,POLYMED
33,2023-11-10,EQ,1479.9,1494.0,1435.0,1469.0,1445.0,1440.2,1457.37,1575.0,820.3,71685,104471888.25,11580,POLYMED
34,2023-11-09,EQ,1432.0,1555.0,1432.0,1432.0,1470.6,1469.0,1509.23,1575.0,820.3,759170,1145760398.6,56900,POLYMED
35,2023-11-08,EQ,1411.3,1454.0,1411.3,1409.75,1430.1,1432.0,1437.12,1575.0,820.3,110024,158117411.75,12204,POLYMED
36,2023-11-07,EQ,1375.0,1421.2,1362.85,1372.4,1410.0,1409.75,1400.09,1575.0,820.3,134025,187647356.05,16836,POLYMED
37,2023-11-06,EQ,1439.95,1439.95,1365.25,1462.45,1369.9,1372.4,1389.64,1575.0,820.3,179616,249602417.45,18749,POLYMED
38,2023-11-03,EQ,1459.15,1475.0,1444.15,1454.7,1470.0,1462.45,1458.66,1575.0,820.3,125977,183757050.45,15481,POLYMED
39,2023-11-02,EQ,1391.05,1467.0,1391.05,1401.4,1462.0,1454.7,1439.88,1575.0,820.3,119204,171639123.3,12050,POLYMED
40,2023-11-01,EQ,1411.0,1424.9,1382.45,1405.8,1401.0,1401.4,1403.97,1575.0,820.3,30581,42934786.15,5951,POLYMED
41,2023-10-31,EQ,1390.25,1415.0,1379.05,1386.2,1403.5,1405.8,1398.35,1575.0,820.3,102837,143801768.55,6823,POLYMED
