,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,5300.0,5379.95,5241.5,5252.65,5261.75,5264.35,5305.63,5379.95,2905.85,44428,235718704.4,8080,POWERINDIA
1,2023-12-28,EQ,5249.0,5341.15,5201.5,5254.8,5235.4,5252.65,5266.53,5341.15,2905.85,30140,158733219.55,6966,POWERINDIA
2,2023-12-27,EQ,5177.95,5322.0,5166.0,5158.9,5215.0,5254.8,5259.09,5322.0,2905.85,29110,153092244.4,6230,POWERINDIA
3,2023-12-26,EQ,5131.1,5279.95,5125.15,5131.1,5198.0,5158.9,5197.3,5279.95,2905.85,31800,165274210.65,7794,POWERINDIA
4,2023-12-22,EQ,5059.9,5155.0,5020.0,5050.25,5145.0,5131.1,5105.94,5263.4,2905.85,22422,114485400.5,7353,POWERINDIA
5,2023-12-21,EQ,4994.0,5116.8,4950.05,5034.1,5082.0,5050.25,5045.54,5263.4,2905.85,18207,91864122.5,4732,POWERINDIA
6,2023-12-20,EQ,5190.0,5196.95,4980.0,5064.15,5007.0,5034.1,5086.84,5263.4,2905.85,34556,175780968.35,8118,POWERINDIA
7,2023-12-19,EQ,5212.5,5263.4,5056.15,5212.5,5073.0,5064.15,5118.5,5263.4,2905.85,32879,168291257.5,8947,POWERINDIA
8,2023-12-18,EQ,5088.0,5250.0,5073.45,5077.45,5200.2,5212.5,5193.41,5250.0,2905.85,41370,214851335.4,8348,POWERINDIA
9,2023-12-15,EQ,5100.0,5159.95,5001.0,5093.65,5090.0,5077.45,5106.18,5159.95,2905.85,31109,158848286.35,4683,POWERINDIA
10,2023-12-14,EQ,5064.0,5129.95,5020.05,5063.85,5115.0,5093.65,5083.03,5132.85,2905.85,29582,150366262.0,7611,POWERINDIA
11,2023-12-13,EQ,4899.9,5132.85,4865.1,4862.1,5037.0,5063.85,4992.57,5132.85,2905.85,112339,560859894.4,16477,POWERINDIA
12,2023-12-12,EQ,4879.1,4908.9,4830.2,4862.95,4900.0,4862.1,4891.13,4958.85,2905.85,36944,180697806.3,6646,POWERINDIA
13,2023-12-11,EQ,4850.0,4889.25,4787.55,4839.7,4854.7,4862.95,4841.74,4958.85,2905.85,27787,134537328.6,4950,POWERINDIA
14,2023-12-08,EQ,4881.7,4909.95,4816.5,4856.15,4821.0,4839.7,4866.33,4958.85,2905.85,24765,120514674.9,6835,POWERINDIA
15,2023-12-07,EQ,4815.0,4890.0,4780.95,4815.2,4875.0,4856.15,4843.41,4958.85,2905.85,73317,355104452.85,9045,POWERINDIA
16,2023-12-06,EQ,4817.0,4860.0,4745.0,4770.7,4814.0,4815.2,4792.63,4958.85,2905.85,75017,359528713.6,7270,POWERINDIA
17,2023-12-05,EQ,4836.0,4958.85,4713.2,4811.55,4790.1,4770.7,4854.65,4958.85,2905.85,59193,287361490.3,11508,POWERINDIA
18,2023-12-04,EQ,4765.0,4895.0,4751.0,4732.8,4800.0,4811.55,4833.0,4948.0,2905.85,54407,262949134.55,10186,POWERINDIA
19,2023-12-01,EQ,4700.0,4827.25,4700.0,4672.35,4720.0,4732.8,4774.93,4948.0,2875.2,112075,535150799.7,10722,POWERINDIA
20,2023-11-30,EQ,4764.7,4764.7,4651.0,4724.7,4665.0,4672.35,4697.52,4948.0,2875.2,34978,164309830.9,7797,POWERINDIA
21,2023-11-29,EQ,4750.0,4792.2,4701.05,4742.85,4717.0,4724.7,4739.44,4948.0,2875.2,22897,108519005.8,4770,POWERINDIA
22,2023-11-28,EQ,4831.15,4948.0,4689.95,4831.15,4744.0,4742.85,4837.95,4948.0,2875.2,58299,282047432.25,10268,POWERINDIA
23,2023-11-24,EQ,4832.15,4920.5,4773.0,4832.15,4807.0,4831.15,4857.3,4944.0,2840.1,45392,220482589.3,9057,POWERINDIA
24,2023-11-23,EQ,4725.0,4944.0,4703.65,4698.55,4822.45,4832.15,4829.44,4944.0,2840.1,103332,499035214.25,19055,POWERINDIA
25,2023-11-22,EQ,4670.0,4835.65,4569.9,4624.2,4705.0,4698.55,4706.04,4835.65,2840.1,98107,461695629.65,13981,POWERINDIA
26,2023-11-21,EQ,4651.0,4750.0,4600.0,4633.25,4644.0,4624.2,4688.59,4800.0,2840.1,47328,221901743.95,9468,POWERINDIA
27,2023-11-20,EQ,4600.0,4749.0,4565.0,4595.1,4620.0,4633.25,4658.52,4800.0,2840.1,26180,121959962.15,7191,POWERINDIA
28,2023-11-17,EQ,4581.25,4680.0,4549.15,4577.0,4579.0,4595.1,4604.62,4800.0,2840.1,43873,202018317.45,8474,POWERINDIA
29,2023-11-16,EQ,4396.9,4675.0,4395.05,4373.85,4599.0,4577.0,4567.78,4800.0,2840.1,58449,266982121.3,11892,POWERINDIA
30,2023-11-15,EQ,4396.0,4420.0,4299.75,4363.4,4400.0,4373.85,4360.82,4800.0,2840.1,16847,73466706.45,4363,POWERINDIA
31,2023-11-13,EQ,4417.85,4481.2,4340.0,4417.9,4348.9,4363.4,4437.62,4800.0,2840.1,40238,178560800.45,5275,POWERINDIA
32,2023-11-12,EQ,4404.0,4443.5,4392.9,4372.85,4416.75,4417.9,4423.74,4800.0,2840.1,2511,11108018.25,578,POWERINDIA
33,2023-11-10,EQ,4478.35,4500.7,4329.45,4478.35,4375.0,4372.85,4395.76,4800.0,2840.1,17932,78824781.9,4490,POWERINDIA
34,2023-11-09,EQ,4595.9,4595.9,4459.9,4571.85,4460.0,4478.35,4510.81,4800.0,2840.1,11821,53322284.15,3975,POWERINDIA
35,2023-11-08,EQ,4554.4,4670.95,4515.1,4570.75,4577.25,4571.85,4599.73,4800.0,2840.1,25031,115135957.6,4711,POWERINDIA
36,2023-11-07,EQ,4499.95,4594.6,4313.0,4404.85,4571.5,4570.75,4436.46,4800.0,2840.1,89117,395363791.4,9221,POWERINDIA
37,2023-11-06,EQ,4470.0,4499.65,4385.0,4468.6,4408.75,4404.85,4427.71,4800.0,2840.1,12029,53260918.8,3292,POWERINDIA
38,2023-11-03,EQ,4445.0,4529.0,4378.05,4471.25,4470.45,4468.6,4444.17,4800.0,2840.1,18943,84185984.8,5128,POWERINDIA
39,2023-11-02,EQ,4184.25,4520.0,4116.4,4154.15,4465.0,4471.25,4391.57,4800.0,2840.1,87851,385804203.5,16720,POWERINDIA
40,2023-11-01,EQ,4173.2,4205.15,4120.15,4143.1,4121.5,4154.15,4163.06,4800.0,2840.1,13578,56526072.7,3670,POWERINDIA
41,2023-10-31,EQ,4171.05,4221.05,4130.0,4171.05,4149.85,4143.1,4171.42,4800.0,2840.1,12500,52142750.7,4331,POWERINDIA
42,2023-10-30,EQ,4259.95,4264.0,4151.85,4251.45,4172.0,4171.05,4197.21,4800.0,2840.1,10857,45569067.05,3120,POWERINDIA
43,2023-10-27,EQ,4176.1,4320.0,4175.35,4155.35,4226.5,4251.45,4261.21,4800.0,2840.1,15220,64855603.0,5104,POWERINDIA
44,2023-10-26,EQ,4282.05,4294.6,4030.45,4282.05,4156.2,4155.35,4134.9,4800.0,2840.1,36956,152809265.35,8992,POWERINDIA
45,2023-10-25,EQ,4313.0,4346.05,4190.1,4314.35,4300.0,4282.05,4259.35,4800.0,2840.1,25250,107548543.2,7171,POWERINDIA
46,2023-10-23,EQ,4558.0,4564.3,4280.0,4551.85,4329.0,4314.35,4427.06,4800.0,2840.1,65610,290459097.4,13032,POWERINDIA
47,2023-10-20,EQ,4632.0,4632.0,4523.6,4632.4,4550.0,4551.85,4563.34,4800.0,2840.1,15368,70129475.9,4071,POWERINDIA
48,2023-10-19,EQ,4570.0,4660.9,4545.05,4581.25,4619.9,4632.4,4600.92,4800.0,2840.1,21261,97820158.2,5451,POWERINDIA
49,2023-10-18,EQ,4560.0,4650.0,4508.4,4574.7,4553.05,4581.25,4579.5,4800.0,2840.1,27446,125689022.85,6886,POWERINDIA
50,2023-10-17,EQ,4540.0,4615.0,4500.05,4549.95,4565.0,4574.7,4565.88,4800.0,2840.1,17661,80637959.05,4582,POWERINDIA
51,2023-10-16,EQ,4451.0,4577.0,4423.85,4450.5,4540.0,4549.95,4529.81,4800.0,2840.1,26656,120746708.7,5857,POWERINDIA
52,2023-10-13,EQ,4300.0,4481.0,4289.95,4317.1,4454.0,4450.5,4370.06,4800.0,2840.1,96757,422833509.3,9977,POWERINDIA
53,2023-10-12,EQ,4137.9,4343.0,4115.0,4117.35,4321.0,4317.1,4254.65,4800.0,2840.1,46124,196241330.25,10511,POWERINDIA
54,2023-10-11,EQ,4030.2,4131.0,4025.0,4010.15,4108.5,4117.35,4086.99,4800.0,2840.1,15311,62575846.65,4068,POWERINDIA
55,2023-10-10,EQ,3958.9,4020.8,3930.0,3938.2,4010.2,4010.15,3967.99,4800.0,2840.1,24894,98779123.5,3502,POWERINDIA
56,2023-10-09,EQ,3960.0,3984.6,3895.9,3970.75,3929.0,3938.2,3939.86,4800.0,2840.1,32594,128415936.2,6129,POWERINDIA
57,2023-10-06,EQ,3989.2,4010.8,3939.0,3969.4,3965.0,3970.75,3969.37,4800.0,2840.1,71199,282615168.1,6641,POWERINDIA
58,2023-10-05,EQ,4008.3,4065.35,3952.0,3997.75,3962.0,3969.4,3983.89,4800.0,2840.1,26685,106310125.25,4403,POWERINDIA
59,2023-10-04,EQ,4044.3,4107.0,3966.65,4047.3,4008.25,3997.75,4048.85,4800.0,2840.1,21432,86774859.65,4503,POWERINDIA
60,2023-10-03,EQ,4120.65,4198.0,4008.4,4100.15,4030.0,4047.3,4045.35,4800.0,2840.1,31011,125450488.7,5614,POWERINDIA
61,2023-09-29,EQ,4126.05,4186.25,4090.05,4121.4,4096.9,4100.15,4118.53,4800.0,2840.1,15281,62935237.2,3657,POWERINDIA
62,2023-09-28,EQ,4169.8,4240.0,4100.0,4149.15,4125.0,4121.4,4138.07,4800.0,2840.1,18163,75159701.25,3876,POWERINDIA
63,2023-09-27,EQ,4132.0,4206.75,4130.75,4130.0,4135.0,4149.15,4157.23,4800.0,2840.1,24207,100633953.85,4012,POWERINDIA
64,2023-09-26,EQ,4204.45,4229.95,4117.6,4183.55,4135.0,4130.0,4164.93,4800.0,2840.1,16108,67088743.75,4392,POWERINDIA
65,2023-09-25,EQ,4200.0,4240.65,4161.6,4199.8,4187.0,4183.55,4198.84,4800.0,2840.1,20693,86886618.4,3510,POWERINDIA
66,2023-09-22,EQ,4200.7,4248.3,4152.5,4179.85,4198.0,4199.8,4209.56,4800.0,2840.1,15597,65656504.7,4571,POWERINDIA
67,2023-09-21,EQ,4180.0,4249.9,4142.0,4163.1,4162.0,4179.85,4193.94,4800.0,2840.1,15578,65333273.6,5548,POWERINDIA
