,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4151.0,4468.8,4127.85,4149.7,4290.0,4285.55,4330.98,5069.45,1570.6,183374,794188596.25,28839,POWERMECH
1,2023-12-28,EQ,4168.0,4168.0,4110.0,4123.65,4150.0,4149.7,4143.02,5069.45,1570.6,10515,43563844.25,2644,POWERMECH
2,2023-12-27,EQ,4140.0,4160.0,4084.15,4093.75,4120.5,4123.65,4123.97,5069.45,1570.6,8509,35090898.35,2256,POWERMECH
3,2023-12-26,EQ,4110.0,4178.4,4071.5,4090.3,4105.0,4093.75,4121.25,5069.45,1570.6,12852,52966348.25,3134,POWERMECH
4,2023-12-22,EQ,4128.6,4148.0,4040.75,4075.8,4061.4,4090.3,4099.62,5069.45,1570.6,14322,58714739.45,4108,POWERMECH
5,2023-12-21,EQ,3990.9,4123.1,3943.0,3995.95,4081.65,4075.8,4044.96,5069.45,1570.6,31522,127505261.4,6166,POWERMECH
6,2023-12-20,EQ,4250.0,4380.0,3915.1,4260.45,3990.0,3995.95,4174.7,5069.45,1570.6,65289,272562254.35,13929,POWERMECH
7,2023-12-19,EQ,4199.9,4320.0,4147.0,4155.8,4256.4,4260.45,4256.0,5069.45,1570.6,31591,134451205.5,6742,POWERMECH
8,2023-12-18,EQ,4230.0,4294.45,4124.2,4226.2,4166.65,4155.8,4175.27,5069.45,1570.6,19693,82223603.5,3627,POWERMECH
9,2023-12-15,EQ,4300.9,4335.0,4211.35,4300.9,4211.35,4226.2,4258.04,5069.45,1570.6,14577,62069413.25,3710,POWERMECH
10,2023-12-14,EQ,4269.95,4320.0,4230.0,4251.8,4300.0,4300.9,4287.62,5069.45,1570.6,20121,86271176.05,4055,POWERMECH
11,2023-12-13,EQ,4224.0,4276.0,4175.2,4218.0,4262.0,4251.8,4237.55,5069.45,1570.6,21218,89912290.95,5569,POWERMECH
12,2023-12-12,EQ,4201.15,4306.0,4181.55,4238.8,4213.0,4218.0,4231.22,5069.45,1570.6,21316,90192749.7,6077,POWERMECH
13,2023-12-11,EQ,4139.9,4253.8,4101.55,4158.35,4220.0,4238.8,4158.0,5069.45,1570.6,43344,180224174.2,7723,POWERMECH
14,2023-12-08,EQ,4225.0,4301.0,4139.95,4221.65,4140.0,4158.35,4176.51,5069.45,1570.6,25354,105891158.35,6038,POWERMECH
15,2023-12-07,EQ,4200.0,4260.0,4180.2,4224.6,4203.05,4221.65,4218.79,5069.45,1570.6,12876,54321157.15,3652,POWERMECH
16,2023-12-06,EQ,4343.9,4343.9,4200.05,4326.0,4225.05,4224.6,4269.67,5069.45,1570.6,41408,176798669.3,12241,POWERMECH
17,2023-12-05,EQ,4380.0,4415.0,4291.1,4375.15,4300.05,4326.0,4332.69,5069.45,1570.6,22050,95535889.1,5330,POWERMECH
18,2023-12-04,EQ,4396.35,4440.0,4324.65,4310.15,4375.0,4375.15,4379.16,5069.45,1570.6,26305,115193860.85,6343,POWERMECH
19,2023-12-01,EQ,4180.0,4334.1,4179.95,4165.25,4311.0,4310.15,4293.84,5069.45,1570.6,56052,240678488.1,10437,POWERMECH
20,2023-11-30,EQ,4161.2,4175.0,4110.1,4161.85,4175.0,4165.25,4157.35,5069.45,1570.6,20409,84847349.9,6220,POWERMECH
21,2023-11-29,EQ,4148.95,4224.0,4079.25,4048.5,4160.0,4161.85,4158.89,5069.45,1570.6,26634,110767926.75,6333,POWERMECH
22,2023-11-28,EQ,4014.0,4073.05,3993.6,3991.3,4050.0,4048.5,4042.69,5069.45,1570.6,25640,103654668.35,5906,POWERMECH
23,2023-11-24,EQ,3999.0,4002.2,3959.45,3996.65,3990.0,3991.3,3985.68,5069.45,1570.6,11834,47166590.85,2160,POWERMECH
24,2023-11-23,EQ,4032.0,4032.0,3975.0,4002.4,3999.95,3996.65,3995.7,5069.45,1570.6,19391,77480585.6,5010,POWERMECH
25,2023-11-22,EQ,4099.0,4105.0,3990.0,4074.8,3995.3,4002.4,4026.25,5069.45,1570.6,24128,97145396.05,5341,POWERMECH
26,2023-11-21,EQ,4220.0,4230.05,4057.2,4180.85,4070.0,4074.8,4123.06,5069.45,1570.6,33690,138905815.55,7837,POWERMECH
