,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,120.15,121.9,118.95,120.45,120.8,120.45,120.44,141.1,59.4,278392,33529017.15,4863,PRECWIRE
1,2023-12-28,EQ,118.9,121.85,118.5,118.9,120.35,120.45,120.13,141.1,59.4,337219,40509558.05,5215,PRECWIRE
2,2023-12-27,EQ,120.75,122.25,118.0,119.6,120.0,118.9,119.77,141.1,59.4,438931,52568624.3,5249,PRECWIRE
3,2023-12-26,EQ,120.45,124.55,118.5,122.5,121.0,119.6,121.32,141.1,59.4,554868,67319040.85,7085,PRECWIRE
4,2023-12-22,EQ,119.5,125.6,118.4,118.7,119.9,122.5,121.49,141.1,59.4,659197,80083448.3,6393,PRECWIRE
5,2023-12-21,EQ,115.05,119.7,113.65,117.35,119.0,118.7,117.57,141.1,59.4,425603,50036103.95,7279,PRECWIRE
6,2023-12-20,EQ,128.5,128.75,115.95,127.05,118.0,117.35,121.73,141.1,59.4,984730,119872333.5,13338,PRECWIRE
7,2023-12-19,EQ,125.75,129.45,123.6,125.2,126.7,127.05,126.83,141.1,59.4,754639,95710283.75,8503,PRECWIRE
8,2023-12-18,EQ,126.9,128.55,124.5,126.0,125.55,125.2,126.14,141.1,59.4,323939,40863014.25,4563,PRECWIRE
9,2023-12-15,EQ,128.75,129.5,125.05,128.15,126.0,126.0,126.97,141.1,59.4,576515,73202902.25,7399,PRECWIRE
10,2023-12-14,EQ,131.05,131.9,127.5,130.8,129.0,128.15,129.28,141.1,59.4,389367,50337013.35,6307,PRECWIRE
11,2023-12-13,EQ,131.75,132.3,127.4,131.0,130.6,130.8,129.91,141.1,59.4,627623,81535855.45,8614,PRECWIRE
12,2023-12-12,EQ,131.95,134.0,128.05,131.4,133.35,131.0,130.39,141.1,59.4,582194,75914300.0,7372,PRECWIRE
13,2023-12-11,EQ,126.4,134.5,126.1,124.55,131.7,131.4,131.67,141.1,59.4,2420164,318652485.1,21471,PRECWIRE
14,2023-12-08,EQ,129.5,130.3,121.1,127.25,123.75,124.55,126.02,141.1,59.4,1160597,146254785.35,14035,PRECWIRE
15,2023-12-07,EQ,116.1,129.9,115.75,115.75,127.9,127.25,125.92,141.1,59.4,3473137,437324353.65,27380,PRECWIRE
16,2023-12-06,EQ,117.85,118.4,115.1,116.95,115.5,115.75,116.44,141.1,59.4,309733,36065165.25,4026,PRECWIRE
17,2023-12-05,EQ,117.55,120.7,115.9,117.15,117.15,116.95,117.92,141.1,59.4,416311,49091680.0,5356,PRECWIRE
18,2023-12-04,EQ,122.0,122.8,116.5,119.0,117.55,117.15,118.64,141.1,59.4,475655,56433403.05,5714,PRECWIRE
19,2023-12-01,EQ,119.0,120.2,116.45,118.8,118.8,119.0,118.72,141.1,59.4,517141,61396114.65,5238,PRECWIRE
20,2023-11-30,EQ,119.5,120.25,115.4,119.3,119.0,118.8,117.74,141.1,59.4,438781,51660690.5,6930,PRECWIRE
21,2023-11-29,EQ,115.75,120.85,113.8,114.8,119.15,119.3,118.66,141.1,59.4,1166155,138378702.45,12300,PRECWIRE
22,2023-11-28,EQ,115.3,117.05,113.5,113.95,114.6,114.8,115.21,141.1,59.4,337633,38897919.7,3654,PRECWIRE
23,2023-11-24,EQ,117.55,117.8,113.65,116.6,114.35,113.95,114.95,141.1,59.4,213460,24536851.25,3981,PRECWIRE
24,2023-11-23,EQ,113.9,119.45,113.0,112.9,116.35,116.6,116.43,141.1,59.4,689201,80241254.55,6911,PRECWIRE
25,2023-11-22,EQ,113.3,114.75,111.9,113.2,113.6,112.9,113.13,141.1,59.4,259158,29318854.8,3702,PRECWIRE
26,2023-11-21,EQ,112.85,115.7,112.8,112.85,113.25,113.2,113.97,141.1,59.4,230780,26301796.25,3285,PRECWIRE
27,2023-11-20,EQ,115.8,116.35,112.5,114.9,113.7,112.85,114.27,141.1,59.4,231601,26465935.65,3235,PRECWIRE
28,2023-11-17,EQ,116.4,117.6,114.75,115.85,114.85,114.9,116.03,141.1,59.4,346457,40200345.0,3832,PRECWIRE
29,2023-11-16,EQ,114.7,118.9,114.4,113.85,115.6,115.85,116.72,141.1,59.4,630059,73541775.6,6667,PRECWIRE
30,2023-11-15,EQ,114.05,115.8,112.1,113.15,113.7,113.85,113.39,141.1,59.4,465717,52809575.95,4532,PRECWIRE
31,2023-11-13,EQ,112.7,114.8,110.5,113.0,113.7,113.15,112.41,141.1,59.4,372142,41833549.35,5051,PRECWIRE
32,2023-11-12,EQ,115.45,117.35,111.35,114.45,113.2,113.0,114.32,141.1,59.4,251633,28766463.45,2955,PRECWIRE
33,2023-11-10,EQ,110.6,116.4,110.4,110.6,114.2,114.45,113.4,141.1,59.4,350406,39734807.8,4883,PRECWIRE
34,2023-11-09,EQ,115.05,116.55,110.0,115.05,111.3,110.6,112.23,141.1,59.4,616628,69204169.75,7561,PRECWIRE
35,2023-11-08,EQ,117.95,121.95,114.2,116.15,115.75,115.05,117.64,141.1,59.4,895217,105314601.35,12445,PRECWIRE
36,2023-11-07,EQ,120.85,120.85,114.8,120.1,116.8,116.15,116.64,141.1,59.4,475650,55477643.75,7788,PRECWIRE
37,2023-11-06,EQ,122.1,123.3,119.5,121.3,119.5,120.1,120.95,141.1,59.4,228595,27647627.6,3405,PRECWIRE
38,2023-11-03,EQ,119.9,122.5,118.4,118.85,121.45,121.3,121.14,141.1,59.4,306154,37087410.9,4855,PRECWIRE
39,2023-11-02,EQ,118.0,120.0,117.95,116.6,119.4,118.85,119.07,141.1,59.4,238641,28414810.45,3957,PRECWIRE
40,2023-11-01,EQ,117.75,119.4,115.4,119.2,116.9,116.6,117.51,141.1,59.4,229791,27003215.6,3952,PRECWIRE
41,2023-10-31,EQ,118.6,121.9,117.0,118.65,117.95,119.2,119.27,141.1,59.4,357540,42643912.2,4812,PRECWIRE
42,2023-10-30,EQ,116.75,122.85,113.45,116.75,118.2,118.65,117.99,141.1,59.4,571074,67380765.55,7006,PRECWIRE
43,2023-10-27,EQ,113.95,118.7,113.95,113.25,116.85,116.75,116.0,141.1,59.4,415242,48166309.1,5454,PRECWIRE
44,2023-10-26,EQ,110.25,114.95,106.75,112.05,113.2,113.25,110.0,141.1,59.4,610343,67135513.05,8365,PRECWIRE
45,2023-10-25,EQ,114.05,116.85,109.0,113.9,111.95,112.05,112.68,141.1,59.4,548372,61788260.45,11096,PRECWIRE
46,2023-10-23,EQ,121.9,123.2,112.5,121.15,114.1,113.9,117.09,141.1,59.4,714886,83709207.85,10154,PRECWIRE
47,2023-10-20,EQ,126.3,127.9,120.5,126.25,121.9,121.15,122.83,141.1,59.4,508344,62437466.9,7711,PRECWIRE
48,2023-10-19,EQ,124.15,127.2,124.15,126.2,126.5,126.25,126.1,141.1,59.4,229065,28885688.4,3043,PRECWIRE
49,2023-10-18,EQ,128.55,129.15,125.6,128.45,126.4,126.2,127.19,141.1,59.4,306067,38929069.25,3375,PRECWIRE
50,2023-10-17,EQ,130.05,132.5,127.05,129.1,128.0,128.45,129.97,141.1,59.4,495402,64387467.2,4873,PRECWIRE
51,2023-10-16,EQ,129.75,131.75,127.65,128.8,129.3,129.1,129.8,141.1,59.4,407487,52892308.65,4237,PRECWIRE
52,2023-10-13,EQ,131.0,133.35,128.45,131.55,128.85,128.8,130.21,141.1,59.4,563027,73313569.05,6154,PRECWIRE
53,2023-10-12,EQ,131.9,136.65,130.95,131.6,132.0,131.55,133.02,141.1,59.4,545107,72512591.85,5954,PRECWIRE
54,2023-10-11,EQ,133.25,134.45,130.6,131.6,131.5,131.6,132.41,141.1,59.4,325817,43141075.55,3773,PRECWIRE
55,2023-10-10,EQ,129.5,134.1,129.5,129.4,132.25,131.6,131.87,141.1,59.4,527911,69616349.0,4756,PRECWIRE
