,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,382.05,384.0,377.2,382.75,380.25,379.85,379.69,393.0,174.75,231548,87915817.6,8721,PRICOLLTD
1,2023-12-28,EQ,390.0,390.5,380.75,389.4,384.7,382.75,383.98,393.0,174.75,303056,116365954.35,11825,PRICOLLTD
2,2023-12-27,EQ,387.25,391.75,379.9,387.25,385.55,389.4,386.7,393.0,174.75,529198,204640570.4,16294,PRICOLLTD
3,2023-12-26,EQ,378.4,393.0,377.0,378.4,388.0,387.25,385.91,393.0,174.75,894794,345312680.25,27022,PRICOLLTD
4,2023-12-22,EQ,380.7,388.0,374.75,372.35,379.0,378.4,380.58,388.0,174.75,1468946,559050613.1,35318,PRICOLLTD
5,2023-12-21,EQ,348.0,375.7,345.55,352.4,374.9,372.35,366.62,385.7,174.75,1723588,631895919.6,49450,PRICOLLTD
6,2023-12-20,EQ,358.0,366.75,342.85,356.6,348.0,352.4,357.67,385.7,174.75,1260143,450714420.65,35822,PRICOLLTD
7,2023-12-19,EQ,348.2,365.0,348.2,343.15,358.0,356.6,355.97,385.7,174.75,1247593,444109551.8,27991,PRICOLLTD
8,2023-12-18,EQ,353.0,353.0,342.35,346.7,343.5,343.15,345.59,385.7,174.75,317844,109842280.8,10450,PRICOLLTD
9,2023-12-15,EQ,348.5,352.0,345.15,347.5,347.0,346.7,347.88,385.7,174.75,175073,60903775.45,7229,PRICOLLTD
10,2023-12-14,EQ,348.5,350.0,342.75,346.5,348.15,347.5,345.86,385.7,174.75,468382,161996242.95,19017,PRICOLLTD
11,2023-12-13,EQ,342.85,347.0,340.1,342.85,346.0,346.5,344.14,385.7,174.75,327390,112667111.7,12689,PRICOLLTD
12,2023-12-12,EQ,342.35,347.1,340.35,342.25,344.2,342.85,343.01,385.7,174.75,507833,174190181.8,18128,PRICOLLTD
13,2023-12-11,EQ,345.4,353.5,341.0,341.1,342.0,342.25,346.42,385.7,174.75,674725,233741013.35,29824,PRICOLLTD
14,2023-12-08,EQ,350.75,357.15,328.0,353.35,345.0,341.1,346.63,385.7,174.75,473386,164087684.85,15675,PRICOLLTD
15,2023-12-07,EQ,355.0,357.65,352.2,356.65,353.55,353.35,354.43,385.7,174.75,235256,83381944.4,9958,PRICOLLTD
16,2023-12-06,EQ,358.0,360.0,352.3,355.5,356.8,356.65,356.07,385.7,174.75,580348,206642052.7,16685,PRICOLLTD
17,2023-12-05,EQ,343.35,360.95,343.3,340.65,356.95,355.5,354.74,385.7,174.75,1568224,556315233.2,43318,PRICOLLTD
18,2023-12-04,EQ,342.0,347.2,340.05,341.25,341.05,340.65,342.5,385.7,174.75,213741,73206200.95,7260,PRICOLLTD
19,2023-12-01,EQ,347.7,347.75,340.05,345.15,341.0,341.25,343.08,385.7,174.75,170110,58361505.1,6405,PRICOLLTD
20,2023-11-30,EQ,339.6,348.0,338.05,338.1,343.0,345.15,344.36,385.7,174.75,1171198,403318667.15,19707,PRICOLLTD
21,2023-11-29,EQ,344.4,344.4,336.0,341.7,337.5,338.1,338.41,385.7,174.75,230411,77973705.85,9203,PRICOLLTD
22,2023-11-28,EQ,337.3,344.0,337.3,337.3,342.45,341.7,341.51,385.7,174.75,414876,141686025.6,14071,PRICOLLTD
23,2023-11-24,EQ,339.0,343.85,335.0,338.15,336.9,337.3,338.4,385.7,172.0,190505,64466585.75,9765,PRICOLLTD
24,2023-11-23,EQ,338.0,342.85,337.05,337.25,338.4,338.15,340.09,385.7,172.0,251641,85579713.15,10929,PRICOLLTD
25,2023-11-22,EQ,335.8,341.0,335.5,335.75,336.55,337.25,338.32,385.7,172.0,142058,48061573.05,9602,PRICOLLTD
26,2023-11-21,EQ,340.0,340.0,333.15,337.3,336.0,335.75,336.3,385.7,172.0,284796,95778204.95,11464,PRICOLLTD
27,2023-11-20,EQ,338.9,343.5,336.0,337.05,337.85,337.3,338.87,385.7,172.0,212488,72006541.85,10302,PRICOLLTD
28,2023-11-17,EQ,342.0,346.75,334.0,342.55,338.9,337.05,340.91,385.7,171.8,496562,169281747.75,14331,PRICOLLTD
29,2023-11-16,EQ,341.15,347.0,339.35,341.05,343.0,342.55,343.14,385.7,171.8,396645,136102884.35,12661,PRICOLLTD
30,2023-11-15,EQ,336.0,342.75,336.0,335.1,340.2,341.05,340.58,385.7,171.8,490924,167197713.65,13092,PRICOLLTD
31,2023-11-13,EQ,331.5,338.4,325.5,331.9,333.1,335.1,332.38,385.7,171.8,604916,201059564.25,14379,PRICOLLTD
32,2023-11-12,EQ,323.95,334.0,322.9,319.85,333.6,331.9,330.51,385.7,171.8,307202,101533371.25,8237,PRICOLLTD
33,2023-11-10,EQ,339.6,339.75,316.3,337.5,322.2,319.85,322.2,385.7,171.8,1441577,464472506.85,33086,PRICOLLTD
34,2023-11-09,EQ,364.95,364.95,331.05,367.6,339.65,337.5,341.6,385.7,171.8,2025185,691801739.85,51692,PRICOLLTD
35,2023-11-08,EQ,358.7,371.9,358.25,356.25,369.0,367.6,367.09,385.7,171.8,701588,257548893.6,22191,PRICOLLTD
36,2023-11-07,EQ,361.25,365.9,352.05,361.5,359.9,356.25,359.73,385.7,171.8,334173,120211424.05,9498,PRICOLLTD
37,2023-11-06,EQ,363.0,363.95,355.3,357.65,361.05,361.5,360.19,385.7,171.8,339403,122248309.55,11019,PRICOLLTD
38,2023-11-03,EQ,356.7,362.75,355.05,354.7,359.5,357.65,358.55,385.7,171.8,259052,92882436.6,9669,PRICOLLTD
39,2023-11-02,EQ,361.5,366.75,352.25,360.4,355.4,354.7,358.81,385.7,171.8,324427,116407849.85,11693,PRICOLLTD
40,2023-11-01,EQ,354.9,363.6,354.0,354.55,361.0,360.4,358.99,385.7,171.8,496912,178384011.7,16781,PRICOLLTD
41,2023-10-31,EQ,353.4,371.9,352.6,353.4,354.0,354.55,361.12,385.7,171.8,913117,329744222.75,30547,PRICOLLTD
42,2023-10-30,EQ,342.5,357.5,338.7,340.7,349.5,353.4,350.34,385.7,171.8,573858,201043715.75,15498,PRICOLLTD
43,2023-10-27,EQ,333.25,343.8,333.25,330.55,341.55,340.7,339.39,385.7,171.8,382629,129861119.5,12264,PRICOLLTD
44,2023-10-26,EQ,323.0,334.0,310.9,324.2,330.3,330.55,321.3,385.7,171.8,491111,157792621.55,19890,PRICOLLTD
45,2023-10-25,EQ,334.7,337.6,316.95,329.8,323.0,324.2,327.78,385.7,171.8,419225,137412090.65,16727,PRICOLLTD
46,2023-10-23,EQ,349.6,350.45,327.1,348.3,334.7,329.8,336.81,385.7,171.8,574579,193521276.15,18026,PRICOLLTD
47,2023-10-20,EQ,351.1,353.8,331.15,351.1,347.0,348.3,348.09,385.7,171.8,547523,190587818.05,15486,PRICOLLTD
48,2023-10-19,EQ,351.9,362.8,350.0,351.7,351.8,351.1,355.18,385.7,171.8,1159600,411864014.1,24962,PRICOLLTD
