,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1239.0,1250.0,1193.2,1229.9,1200.0,1202.9,1221.8,1378.15,703.3,42661,52123104.4,5531,PRUDENT
1,2023-12-28,EQ,1214.35,1238.2,1200.1,1207.45,1235.0,1229.9,1220.65,1378.15,703.3,29165,35600318.25,4616,PRUDENT
2,2023-12-27,EQ,1217.8,1231.0,1202.0,1209.75,1202.0,1207.45,1216.78,1378.15,703.3,14532,17682243.1,2035,PRUDENT
3,2023-12-26,EQ,1230.0,1239.95,1200.0,1216.35,1207.0,1209.75,1219.36,1378.15,703.3,16429,20032940.0,3455,PRUDENT
4,2023-12-22,EQ,1230.0,1256.0,1195.0,1212.95,1218.0,1216.35,1222.04,1378.15,703.3,23552,28781521.4,4864,PRUDENT
5,2023-12-21,EQ,1192.5,1219.5,1167.8,1169.45,1215.0,1212.95,1199.26,1378.15,703.3,25341,30390404.6,4668,PRUDENT
6,2023-12-20,EQ,1205.0,1225.0,1150.05,1201.65,1182.0,1169.45,1196.52,1378.15,703.3,30592,36603968.25,9046,PRUDENT
7,2023-12-19,EQ,1210.0,1210.0,1175.05,1198.35,1205.0,1201.65,1196.99,1378.15,703.3,22005,26339726.4,4766,PRUDENT
8,2023-12-18,EQ,1224.25,1224.3,1175.0,1224.25,1200.0,1198.35,1197.67,1378.15,703.3,38832,46507831.4,6842,PRUDENT
9,2023-12-15,EQ,1225.7,1240.95,1214.1,1216.35,1219.95,1224.25,1225.53,1378.15,703.3,9671,11852144.4,2638,PRUDENT
10,2023-12-14,EQ,1239.0,1253.0,1204.8,1221.35,1220.1,1216.35,1226.59,1378.15,703.3,19705,24169949.2,3646,PRUDENT
11,2023-12-13,EQ,1213.85,1234.5,1195.0,1195.9,1227.0,1221.35,1210.4,1378.15,703.3,34023,41181584.2,5778,PRUDENT
12,2023-12-12,EQ,1244.0,1244.0,1190.55,1229.05,1196.55,1195.9,1214.08,1378.15,703.3,25087,30457526.7,4468,PRUDENT
13,2023-12-11,EQ,1256.0,1260.55,1226.0,1256.95,1227.5,1229.05,1237.83,1378.15,703.3,20939,25918923.7,4636,PRUDENT
14,2023-12-08,EQ,1242.0,1272.95,1231.15,1233.1,1256.0,1256.95,1254.5,1378.15,703.3,18051,22644965.65,3382,PRUDENT
15,2023-12-07,EQ,1251.6,1253.95,1226.55,1246.5,1236.9,1233.1,1242.14,1378.15,703.3,19589,24332270.75,4598,PRUDENT
16,2023-12-06,EQ,1289.45,1292.95,1241.0,1286.55,1252.0,1246.5,1260.68,1378.15,703.3,29653,37382843.3,5405,PRUDENT
17,2023-12-05,EQ,1275.85,1296.45,1261.25,1263.2,1285.45,1286.55,1279.44,1378.15,703.3,23434,29982380.3,4361,PRUDENT
18,2023-12-04,EQ,1269.25,1277.95,1241.5,1250.55,1264.9,1263.2,1262.92,1378.15,703.3,22389,28275408.0,5212,PRUDENT
19,2023-12-01,EQ,1269.95,1274.0,1245.1,1267.05,1251.5,1250.55,1257.13,1378.15,703.3,33348,41922662.9,5536,PRUDENT
20,2023-11-30,EQ,1305.0,1317.7,1251.05,1304.15,1256.15,1267.05,1271.46,1378.15,703.3,164300,208901299.9,12950,PRUDENT
21,2023-11-29,EQ,1344.0,1363.25,1290.0,1337.4,1307.5,1304.15,1311.15,1378.15,703.3,29979,39306880.0,7574,PRUDENT
22,2023-11-28,EQ,1331.9,1359.0,1310.95,1320.35,1346.0,1337.4,1336.44,1378.15,703.3,48787,65201112.15,14027,PRUDENT
23,2023-11-24,EQ,1353.05,1355.0,1315.0,1357.7,1323.0,1320.35,1325.52,1378.15,703.3,56752,75225948.15,13035,PRUDENT
24,2023-11-23,EQ,1263.6,1374.55,1251.85,1260.05,1350.0,1357.7,1334.32,1378.15,703.3,185289,247234428.95,23968,PRUDENT
25,2023-11-22,EQ,1280.0,1290.0,1250.0,1271.8,1264.05,1260.05,1271.74,1378.15,703.3,28977,36851297.95,6730,PRUDENT
26,2023-11-21,EQ,1290.1,1316.0,1255.0,1294.15,1271.95,1271.8,1283.92,1378.15,703.3,37128,47669513.35,7878,PRUDENT
27,2023-11-20,EQ,1303.8,1335.5,1287.6,1295.15,1295.0,1294.15,1311.14,1378.15,703.3,41535,54458062.3,9614,PRUDENT
28,2023-11-17,EQ,1288.8,1335.5,1280.0,1282.8,1298.65,1295.15,1316.15,1378.15,703.3,36377,47877454.7,8463,PRUDENT
29,2023-11-16,EQ,1319.5,1320.0,1271.05,1309.25,1276.6,1282.8,1299.85,1378.15,703.3,28659,37252338.45,6164,PRUDENT
30,2023-11-15,EQ,1243.65,1335.0,1241.7,1217.85,1310.0,1309.25,1301.42,1378.15,703.3,128626,167396424.4,22842,PRUDENT
31,2023-11-13,EQ,1226.9,1240.75,1210.45,1229.55,1213.3,1217.85,1223.29,1378.15,703.3,14558,17808618.9,3360,PRUDENT
32,2023-11-12,EQ,1227.95,1242.6,1214.25,1207.1,1230.0,1229.55,1229.34,1378.15,703.3,9803,12051180.05,1165,PRUDENT
33,2023-11-10,EQ,1176.0,1234.0,1166.25,1184.85,1206.0,1207.1,1216.59,1378.15,703.3,47442,57717345.7,8642,PRUDENT
34,2023-11-09,EQ,1193.55,1211.95,1179.65,1193.55,1186.95,1184.85,1195.63,1378.15,703.3,21331,25503983.05,4743,PRUDENT
35,2023-11-08,EQ,1121.8,1222.45,1121.8,1121.7,1193.15,1193.55,1194.39,1378.15,703.3,111777,133505103.5,19005,PRUDENT
36,2023-11-07,EQ,1110.25,1138.25,1093.55,1110.25,1123.0,1121.7,1117.27,1378.15,703.3,158082,176620337.25,11097,PRUDENT
37,2023-11-06,EQ,1132.0,1141.95,1107.0,1129.6,1111.1,1110.25,1118.21,1378.15,703.3,40371,45143330.05,4687,PRUDENT
38,2023-11-03,EQ,1125.1,1147.8,1114.05,1124.8,1126.0,1129.6,1130.24,1378.15,678.55,52890,59778504.0,3383,PRUDENT
39,2023-11-02,EQ,1158.8,1158.8,1119.15,1133.5,1128.0,1124.8,1136.81,1378.15,678.55,31537,35851444.8,7132,PRUDENT
