,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,298.0,348.0,297.55,293.45,336.5,338.0,326.12,348.0,96.25,45390991,14803048371.2,291439,RAILTEL
1,2023-12-28,EQ,297.5,298.85,292.55,296.5,293.5,293.45,295.45,320.85,96.25,1904472,562671974.35,20281,RAILTEL
2,2023-12-27,EQ,299.0,302.8,294.2,297.75,296.05,296.5,297.76,320.85,96.25,2245883,668730277.1,23672,RAILTEL
3,2023-12-26,EQ,297.85,301.75,294.0,296.35,297.8,297.75,297.64,320.85,96.25,3613177,1075434337.3,24378,RAILTEL
4,2023-12-22,EQ,295.75,304.0,293.05,291.55,296.4,296.35,298.83,320.85,96.25,5361397,1602128907.4,48349,RAILTEL
5,2023-12-21,EQ,285.0,294.8,279.05,289.25,290.5,291.55,289.72,320.85,96.25,6265463,1815204367.1,65803,RAILTEL
6,2023-12-20,EQ,317.45,317.7,285.05,314.8,289.75,289.25,301.06,320.85,96.25,8202803,2469515793.2,84800,RAILTEL
7,2023-12-19,EQ,302.0,320.85,300.25,300.95,315.3,314.8,311.26,320.85,96.25,16494360,5134066637.05,104061,RAILTEL
8,2023-12-18,EQ,297.4,304.8,293.15,297.0,301.2,300.95,299.33,306.8,96.25,4354425,1303430642.85,34780,RAILTEL
9,2023-12-15,EQ,301.45,306.8,295.25,299.2,296.15,297.0,300.77,306.8,96.25,6313593,1898913881.85,56912,RAILTEL
10,2023-12-14,EQ,289.2,305.8,288.5,287.55,299.55,299.2,298.51,305.8,96.25,15366090,4586999050.1,103074,RAILTEL
11,2023-12-13,EQ,290.0,291.3,286.55,289.45,287.9,287.55,288.38,302.0,96.25,1970587,568282460.25,16638,RAILTEL
12,2023-12-12,EQ,296.55,297.75,286.75,294.2,289.95,289.45,292.69,302.0,96.25,3640487,1065528493.55,32612,RAILTEL
13,2023-12-11,EQ,288.4,302.0,287.05,287.15,293.95,294.2,296.08,302.0,96.25,9532610,2822448144.25,69322,RAILTEL
14,2023-12-08,EQ,286.6,299.65,283.3,285.35,286.9,287.15,291.78,299.65,96.25,10910935,3183611919.1,78629,RAILTEL
15,2023-12-07,EQ,285.0,288.25,282.0,285.8,284.9,285.35,285.4,298.5,96.25,2149036,613327545.4,17696,RAILTEL
16,2023-12-06,EQ,289.6,289.8,285.05,289.6,285.5,285.8,286.6,298.5,96.25,2442375,699980474.75,19755,RAILTEL
17,2023-12-05,EQ,287.5,292.0,280.45,286.3,288.25,289.6,286.87,298.5,96.25,3193642,916164738.35,27942,RAILTEL
18,2023-12-04,EQ,287.3,292.3,283.55,282.0,285.95,286.3,287.62,298.5,96.25,5706431,1641261950.35,41966,RAILTEL
19,2023-12-01,EQ,291.15,298.5,280.05,290.5,282.05,282.0,288.3,298.5,96.25,8917695,2570983226.7,55379,RAILTEL
20,2023-11-30,EQ,287.0,294.0,273.75,285.95,291.0,290.5,284.91,296.35,96.25,7247727,2064983679.45,47153,RAILTEL
21,2023-11-29,EQ,292.6,293.45,285.0,291.45,286.5,285.95,287.93,296.35,96.25,4875099,1403702057.8,39599,RAILTEL
22,2023-11-28,EQ,290.0,294.7,284.9,287.05,291.0,291.45,291.54,296.35,96.25,6891364,2009125185.0,60337,RAILTEL
23,2023-11-24,EQ,291.8,296.35,282.8,292.15,288.9,287.05,290.02,296.35,96.25,8992210,2607941920.05,55551,RAILTEL
24,2023-11-23,EQ,282.0,294.8,280.75,281.55,290.5,292.15,288.52,294.8,96.25,13862092,3999485062.2,81994,RAILTEL
25,2023-11-22,EQ,272.3,284.6,263.25,270.95,281.8,281.55,275.54,284.6,96.25,12411441,3419787195.75,73396,RAILTEL
26,2023-11-21,EQ,264.45,278.5,262.85,263.1,271.75,270.95,273.5,278.5,96.25,13265197,3628089593.35,87147,RAILTEL
27,2023-11-20,EQ,271.9,273.8,260.55,271.15,263.3,263.1,265.27,274.0,96.25,6760411,1793305261.85,46662,RAILTEL
28,2023-11-17,EQ,247.95,274.0,246.1,248.0,270.25,271.15,265.56,274.0,96.25,23639908,6277807248.1,133825,RAILTEL
29,2023-11-16,EQ,252.6,254.5,246.1,252.55,247.95,248.0,250.75,259.6,96.25,3072142,770349258.95,21058,RAILTEL
30,2023-11-15,EQ,257.2,257.9,250.75,254.1,252.7,252.55,254.77,259.6,96.25,4905345,1249751582.35,33038,RAILTEL
31,2023-11-13,EQ,254.25,259.6,252.0,253.95,253.25,254.1,255.33,259.6,96.25,4509054,1151276988.55,28129,RAILTEL
32,2023-11-12,EQ,253.8,257.0,252.3,251.2,253.5,253.95,254.55,258.3,96.25,2233034,568421065.65,17404,RAILTEL
33,2023-11-10,EQ,248.9,253.0,243.4,247.85,251.8,251.2,248.35,258.3,96.25,4475520,1111497690.5,27822,RAILTEL
34,2023-11-09,EQ,249.65,253.2,246.1,248.35,247.75,247.85,249.13,258.3,96.25,4785231,1192153084.25,29779,RAILTEL
35,2023-11-08,EQ,247.85,258.3,246.4,246.8,248.0,248.35,252.57,258.3,96.25,11483761,2900464147.3,65849,RAILTEL
36,2023-11-07,EQ,241.5,252.8,239.3,240.55,246.5,246.8,247.57,255.4,96.25,13367409,3309395284.0,79909,RAILTEL
37,2023-11-06,EQ,232.95,248.0,230.75,231.85,241.45,240.55,242.3,255.4,96.25,11410311,2764750651.15,74507,RAILTEL
38,2023-11-03,EQ,234.2,237.0,230.2,232.9,231.85,231.85,233.15,255.4,96.25,3315093,772911957.9,25164,RAILTEL
39,2023-11-02,EQ,231.0,234.9,225.5,221.3,232.15,232.9,230.65,255.4,96.25,5701461,1315035540.3,43357,RAILTEL
40,2023-11-01,EQ,223.5,226.9,220.35,222.65,221.75,221.3,223.5,255.4,96.25,1619567,361974963.15,15009,RAILTEL
41,2023-10-31,EQ,222.0,234.4,221.05,220.85,222.8,222.65,227.2,255.4,96.25,6088418,1383274877.0,36704,RAILTEL
42,2023-10-30,EQ,224.6,225.55,220.05,224.05,220.65,220.85,222.04,255.4,96.25,1671473,371136473.8,14114,RAILTEL
43,2023-10-27,EQ,224.9,229.2,220.2,217.75,224.5,224.05,224.64,255.4,96.25,4809251,1080354465.7,37564,RAILTEL
44,2023-10-26,EQ,210.0,219.9,202.5,210.95,217.95,217.75,210.33,255.4,96.25,3618353,761053894.15,35021,RAILTEL
45,2023-10-25,EQ,217.9,222.75,205.2,215.65,211.9,210.95,214.4,255.4,96.25,3613502,774731802.65,31970,RAILTEL
46,2023-10-23,EQ,236.05,236.25,215.0,235.0,217.9,215.65,222.64,255.4,96.25,5416321,1205912055.05,45266,RAILTEL
47,2023-10-20,EQ,233.3,244.5,232.8,233.05,234.9,235.0,239.89,255.4,96.25,8135226,1951542282.55,51238,RAILTEL
48,2023-10-19,EQ,231.5,237.0,229.0,232.2,233.5,233.05,233.13,255.4,96.25,2974412,693428683.55,21543,RAILTEL
49,2023-10-18,EQ,239.8,239.8,229.55,239.0,231.9,232.2,234.02,255.4,96.25,4103316,960254275.05,28427,RAILTEL
50,2023-10-17,EQ,225.0,244.5,223.15,223.45,237.95,239.0,237.32,255.4,96.25,16253985,3857408701.9,105974,RAILTEL
51,2023-10-16,EQ,229.25,229.5,222.6,227.1,223.3,223.45,225.0,255.4,96.25,3017857,679019048.7,20702,RAILTEL
52,2023-10-13,EQ,220.0,243.5,220.0,218.6,228.0,227.1,233.23,255.4,96.25,20200307,4711358339.3,134903,RAILTEL
53,2023-10-12,EQ,213.0,219.5,212.1,212.75,218.95,218.6,216.15,255.4,96.25,2141889,462976141.9,19118,RAILTEL
54,2023-10-11,EQ,212.7,216.4,212.0,211.7,212.65,212.75,214.09,255.4,96.25,1215658,260264213.4,13017,RAILTEL
55,2023-10-10,EQ,211.0,215.65,211.0,209.4,211.7,211.7,213.03,255.4,96.25,1519434,323691263.3,15928,RAILTEL
56,2023-10-09,EQ,213.75,213.75,207.05,218.95,208.7,209.4,210.07,255.4,96.25,1934002,406280279.05,25644,RAILTEL
57,2023-10-06,EQ,214.6,223.75,213.75,214.2,218.0,218.95,218.82,255.4,96.25,3329998,728655846.9,24362,RAILTEL
58,2023-10-05,EQ,216.4,217.75,213.2,215.6,214.2,214.2,215.02,255.4,96.25,1004205,215921476.3,10666,RAILTEL
59,2023-10-04,EQ,220.8,220.8,213.5,221.35,215.4,215.6,216.26,255.4,96.25,1385160,299558432.85,14295,RAILTEL
60,2023-10-03,EQ,223.7,225.3,220.05,223.9,220.35,221.35,221.93,255.4,96.25,1219260,270585726.5,11819,RAILTEL
61,2023-09-29,EQ,221.05,226.5,220.6,220.3,223.75,223.9,223.35,255.4,96.25,1485114,331700178.3,12428,RAILTEL
62,2023-09-28,EQ,224.35,225.0,219.3,223.25,221.2,220.3,221.89,255.4,96.25,1294829,287314579.8,11106,RAILTEL
63,2023-09-27,EQ,225.1,226.15,222.5,224.8,223.2,223.25,223.85,255.4,96.25,1601129,358413585.95,12588,RAILTEL
64,2023-09-26,EQ,228.0,233.5,223.75,228.0,225.1,224.8,227.96,255.4,96.25,2961254,675046465.25,22111,RAILTEL
65,2023-09-25,EQ,221.2,228.7,217.5,221.2,227.5,228.0,225.26,255.4,96.25,4731573,1065811069.25,32614,RAILTEL
66,2023-09-22,EQ,211.4,222.55,209.3,211.05,221.25,221.2,217.28,255.4,96.25,4089982,888685047.75,27498,RAILTEL
67,2023-09-21,EQ,218.95,219.65,210.0,219.2,211.4,211.05,214.21,255.4,96.25,2380000,509825233.45,22187,RAILTEL
68,2023-09-20,EQ,216.0,223.45,212.3,216.2,219.4,219.2,219.11,255.4,96.25,2742504,600907955.65,21255,RAILTEL
69,2023-09-18,EQ,223.0,224.25,215.3,222.75,216.75,216.2,219.54,255.4,96.25,2716842,596452350.2,23912,RAILTEL
70,2023-09-15,EQ,229.4,229.85,220.5,228.25,223.0,222.75,224.19,255.4,96.25,2926432,656081591.3,25678,RAILTEL
71,2023-09-14,EQ,226.7,231.25,222.2,224.5,227.55,228.25,227.32,255.4,96.25,5307878,1206599509.55,34318,RAILTEL
72,2023-09-13,EQ,220.0,228.55,205.55,223.55,224.95,224.5,217.27,255.4,96.25,14044874,3051473462.3,87966,RAILTEL
73,2023-09-12,EQ,250.1,253.45,223.5,248.3,223.5,223.55,233.07,255.4,96.25,13626528,3175873381.0,90266,RAILTEL
74,2023-09-11,EQ,237.15,255.4,235.6,234.25,248.05,248.3,247.44,255.4,96.25,23644730,5850584477.75,128292,RAILTEL
75,2023-09-08,EQ,232.6,240.0,229.0,231.8,234.0,234.25,235.1,251.3,96.25,8562672,2013110592.95,50134,RAILTEL
76,2023-09-07,EQ,224.2,235.0,224.2,223.4,231.25,231.8,230.9,251.3,96.25,6658097,1537342009.4,44083,RAILTEL
77,2023-09-06,EQ,231.8,232.15,220.2,230.55,223.25,223.4,223.96,251.3,96.25,5897801,1320855734.7,41610,RAILTEL
78,2023-09-05,EQ,233.0,239.8,221.9,231.65,230.0,230.55,232.18,251.3,96.25,11539424,2679186406.95,72481,RAILTEL
79,2023-09-04,EQ,240.75,251.3,227.25,241.8,231.8,231.65,240.13,251.3,96.25,31662174,7602894064.5,194098,RAILTEL
80,2023-09-01,EQ,210.0,246.7,206.25,209.35,239.3,241.8,230.78,246.7,94.2,51198083,11815678608.2,234054,RAILTEL
81,2023-08-31,EQ,201.85,210.6,198.05,200.6,208.5,209.35,205.59,210.6,94.2,16312386,3353630788.9,75889,RAILTEL
82,2023-08-30,EQ,195.0,207.9,194.1,192.7,200.65,200.6,202.67,207.9,94.2,25519039,5171877340.85,116879,RAILTEL
83,2023-08-29,EQ,196.5,202.45,189.25,190.85,192.4,192.7,195.46,202.45,94.2,30399426,5941925646.95,137925,RAILTEL
