,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,738.85,749.25,721.0,740.05,726.0,727.8,732.63,772.95,263.7,311619,228300933.15,18339,RATEGAIN
1,2023-12-28,EQ,745.2,748.0,733.0,737.65,740.4,740.05,740.14,772.95,263.7,221148,163680875.7,17451,RATEGAIN
2,2023-12-27,EQ,735.5,761.0,728.65,730.1,740.55,737.65,743.72,772.95,263.7,752640,559755236.8,36434,RATEGAIN
3,2023-12-26,EQ,740.25,759.0,723.55,740.2,727.0,730.1,742.24,772.95,263.7,444838,330175059.5,25443,RATEGAIN
4,2023-12-22,EQ,748.7,772.95,724.5,735.35,740.0,740.2,746.25,772.95,262.95,1023459,763756614.7,57111,RATEGAIN
5,2023-12-21,EQ,676.0,749.9,673.75,693.35,745.0,735.35,720.01,749.9,262.95,1325149,954122458.6,66291,RATEGAIN
6,2023-12-20,EQ,710.15,732.1,676.6,716.85,693.0,693.35,706.89,739.0,262.95,474611,335498868.05,35560,RATEGAIN
7,2023-12-19,EQ,720.1,732.45,712.15,717.4,713.75,716.85,721.3,739.0,262.95,379139,273471900.1,22616,RATEGAIN
8,2023-12-18,EQ,704.0,739.0,694.45,696.9,720.1,717.4,720.53,739.0,262.95,1332577,960161144.4,61952,RATEGAIN
9,2023-12-15,EQ,670.0,699.95,663.15,668.2,699.55,696.9,686.68,733.0,262.95,692166,475295196.25,30206,RATEGAIN
10,2023-12-14,EQ,670.1,680.3,663.95,663.55,666.0,668.2,672.8,733.0,262.95,577938,388834520.3,33808,RATEGAIN
11,2023-12-13,EQ,658.95,670.0,652.2,655.3,661.8,663.55,659.03,733.0,262.95,358335,236154567.25,31819,RATEGAIN
12,2023-12-12,EQ,652.0,672.4,641.7,652.0,653.15,655.3,661.22,733.0,262.95,592879,392021622.35,35538,RATEGAIN
13,2023-12-11,EQ,658.0,658.65,647.75,653.15,650.0,652.0,650.4,733.0,262.95,229628,149351193.85,29889,RATEGAIN
14,2023-12-08,EQ,660.0,668.7,650.65,654.4,653.0,653.15,659.89,733.0,262.95,257102,169659651.3,19627,RATEGAIN
15,2023-12-07,EQ,666.0,668.3,651.6,664.2,652.0,654.4,661.17,733.0,262.95,197492,130576687.4,20296,RATEGAIN
16,2023-12-06,EQ,650.0,666.5,647.65,646.7,664.0,664.2,658.73,733.0,262.95,498706,328511687.75,32746,RATEGAIN
17,2023-12-05,EQ,654.95,663.4,637.15,650.0,646.0,646.7,646.56,733.0,262.95,685481,443204731.35,38250,RATEGAIN
18,2023-12-04,EQ,662.0,666.6,645.1,655.35,649.0,650.0,653.26,733.0,262.95,592744,387214044.5,27323,RATEGAIN
19,2023-12-01,EQ,666.0,669.0,652.1,659.95,655.1,655.35,660.79,733.0,262.95,350802,231807008.05,19505,RATEGAIN
20,2023-11-30,EQ,666.95,672.95,654.05,660.4,657.75,659.95,663.1,733.0,262.95,1569938,1041027306.45,36733,RATEGAIN
21,2023-11-29,EQ,657.6,666.0,651.05,653.2,660.0,660.4,660.5,733.0,262.95,560711,370351658.1,22124,RATEGAIN
22,2023-11-28,EQ,660.15,660.15,650.1,660.15,652.8,653.2,654.39,733.0,262.95,588071,384827585.15,36939,RATEGAIN
23,2023-11-24,EQ,666.5,672.0,657.0,661.15,659.15,660.15,661.6,733.0,262.95,675522,446924631.8,21096,RATEGAIN
24,2023-11-23,EQ,677.85,690.0,650.0,718.65,662.0,661.15,663.95,733.0,262.95,3155340,2094976583.35,86360,RATEGAIN
25,2023-11-22,EQ,716.5,727.2,695.55,717.65,716.1,718.65,716.6,733.0,262.95,337350,241744238.4,17492,RATEGAIN
26,2023-11-21,EQ,725.0,728.0,715.3,715.9,716.5,717.65,721.47,733.0,262.95,264953,191154449.95,14977,RATEGAIN
27,2023-11-20,EQ,722.0,727.75,711.3,721.15,716.0,715.9,718.85,733.0,262.95,196193,141034120.2,13235,RATEGAIN
28,2023-11-17,EQ,706.0,733.0,703.0,704.15,720.0,721.15,718.06,733.0,262.95,603571,433402278.05,27093,RATEGAIN
29,2023-11-16,EQ,704.95,710.4,681.1,711.9,701.25,704.15,700.01,732.0,262.95,869238,608479116.65,27612,RATEGAIN
30,2023-11-15,EQ,728.0,732.0,705.0,718.3,714.95,711.9,717.8,732.0,262.95,602443,432432969.3,27841,RATEGAIN
31,2023-11-13,EQ,681.6,729.2,671.05,678.95,720.0,718.3,713.63,729.2,262.95,1120243,799441030.6,44800,RATEGAIN
32,2023-11-12,EQ,676.8,683.3,672.0,668.75,682.0,678.95,677.05,719.7,262.95,56691,38382715.2,2472,RATEGAIN
33,2023-11-10,EQ,662.05,679.0,652.1,661.45,668.0,668.75,666.68,719.7,262.95,384049,256037036.2,22139,RATEGAIN
34,2023-11-09,EQ,665.8,689.8,656.1,664.3,661.95,661.45,669.47,719.7,262.95,324559,217283227.35,20465,RATEGAIN
35,2023-11-08,EQ,671.0,685.0,661.0,669.8,664.8,664.3,671.39,719.7,262.95,424993,285336381.95,15241,RATEGAIN
36,2023-11-07,EQ,703.2,707.85,665.05,700.85,670.5,669.8,680.43,719.7,262.95,510103,347090656.05,21564,RATEGAIN
37,2023-11-06,EQ,701.0,713.65,690.05,697.2,702.1,700.85,701.78,719.7,262.95,467749,328257831.2,23271,RATEGAIN
38,2023-11-03,EQ,662.5,719.7,662.5,659.3,699.9,697.2,700.51,719.7,262.95,2666645,1868005924.9,93299,RATEGAIN
39,2023-11-02,EQ,628.25,682.0,628.25,626.05,658.05,659.3,665.26,682.0,262.95,1665704,1108128317.1,60137,RATEGAIN
40,2023-11-01,EQ,625.4,636.9,618.5,624.15,628.95,626.05,627.71,670.3,262.95,175926,110430665.65,11489,RATEGAIN
41,2023-10-31,EQ,631.0,644.0,611.0,628.3,625.0,624.15,623.21,670.3,262.95,287143,178949029.25,17473,RATEGAIN
42,2023-10-30,EQ,632.0,670.3,621.15,624.15,628.95,628.3,642.83,670.3,262.95,845314,543393047.0,29547,RATEGAIN
43,2023-10-27,EQ,600.0,639.45,600.0,601.25,625.0,624.15,625.33,650.0,262.95,1144431,715646293.1,44807,RATEGAIN
44,2023-10-26,EQ,603.0,606.6,578.45,600.8,600.0,601.25,590.32,650.0,262.95,218860,129198138.1,14235,RATEGAIN
45,2023-10-25,EQ,595.8,615.45,586.4,593.25,601.0,600.8,599.51,650.0,262.95,394573,236549047.95,20879,RATEGAIN
46,2023-10-23,EQ,628.8,643.35,590.0,623.35,595.55,593.25,617.86,650.0,262.95,477314,294911818.7,21819,RATEGAIN
47,2023-10-20,EQ,628.95,637.65,615.0,629.4,628.8,623.35,628.89,650.0,262.95,166977,105010662.65,8324,RATEGAIN
48,2023-10-19,EQ,618.1,650.0,618.1,628.9,628.0,629.4,636.44,650.0,262.95,367230,233718468.2,19460,RATEGAIN
49,2023-10-18,EQ,632.35,639.2,620.05,628.2,626.6,628.9,630.65,641.6,262.95,327907,206793765.75,15707,RATEGAIN
50,2023-10-17,EQ,606.5,640.95,603.9,601.55,628.25,628.2,628.49,641.6,262.95,536071,336914386.4,22680,RATEGAIN
