,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,806.5,816.65,795.2,802.5,800.8,799.15,801.72,903.85,536.35,188579,151187968.45,8837,ROSSARI
1,2023-12-28,EQ,804.4,809.85,793.0,800.2,802.0,802.5,798.17,903.85,536.35,138936,110894754.95,9347,ROSSARI
2,2023-12-27,EQ,800.0,813.0,791.15,795.95,794.55,800.2,800.81,903.85,536.35,62999,50450319.1,7151,ROSSARI
3,2023-12-26,EQ,796.6,806.7,792.5,792.65,799.8,795.95,798.91,903.85,536.35,61561,49181909.1,6431,ROSSARI
4,2023-12-22,EQ,791.7,797.9,784.5,787.55,795.6,792.65,789.47,903.85,536.35,172514,136195339.1,8220,ROSSARI
5,2023-12-21,EQ,779.5,795.05,770.1,787.35,783.7,787.55,783.19,903.85,536.35,235491,184433148.05,10260,ROSSARI
6,2023-12-20,EQ,812.0,820.0,770.3,807.95,785.05,787.35,792.69,903.85,536.35,114472,90740392.85,14660,ROSSARI
7,2023-12-19,EQ,818.4,822.5,805.1,814.15,806.5,807.95,810.36,903.85,536.35,54273,43980514.2,5330,ROSSARI
8,2023-12-18,EQ,823.7,823.7,810.0,819.4,814.9,814.15,813.98,903.85,536.35,72368,58906080.2,6977,ROSSARI
9,2023-12-15,EQ,810.25,823.0,806.0,810.15,818.0,819.4,816.62,903.85,536.35,92396,75452397.4,9041,ROSSARI
10,2023-12-14,EQ,823.0,824.95,804.15,818.7,806.0,810.15,813.37,903.85,536.35,91583,74490712.85,8826,ROSSARI
11,2023-12-13,EQ,825.1,827.0,807.65,821.0,819.8,818.7,814.98,903.85,536.35,61031,49739176.75,6093,ROSSARI
12,2023-12-12,EQ,820.8,827.0,807.3,816.55,826.0,821.0,814.78,903.85,536.35,79749,64977568.25,8672,ROSSARI
13,2023-12-11,EQ,816.5,823.15,803.0,819.5,816.3,816.55,811.75,903.85,536.35,158559,128709655.45,16356,ROSSARI
14,2023-12-08,EQ,829.95,840.85,815.0,826.45,820.0,819.5,824.94,903.85,536.35,138852,114544787.4,11832,ROSSARI
15,2023-12-07,EQ,842.8,844.0,815.6,831.1,830.0,826.45,832.39,903.85,536.35,424158,353063227.45,23942,ROSSARI
16,2023-12-06,EQ,808.0,838.8,787.0,796.55,831.0,831.1,817.42,903.85,536.35,576877,471553294.45,31308,ROSSARI
17,2023-12-05,EQ,771.8,810.0,771.8,771.65,795.25,796.55,796.18,903.85,536.35,571510,455026950.95,46940,ROSSARI
18,2023-12-04,EQ,784.6,784.6,766.2,759.45,771.0,771.65,771.57,903.85,536.35,140585,108471146.35,11342,ROSSARI
19,2023-12-01,EQ,735.0,772.0,734.95,722.35,762.0,759.45,758.5,903.85,536.35,882212,669159178.75,45936,ROSSARI
20,2023-11-30,EQ,707.9,732.25,702.3,707.9,719.0,722.35,718.11,903.85,536.35,165856,119103267.45,18869,ROSSARI
21,2023-11-29,EQ,711.0,716.0,707.0,710.8,708.9,707.9,709.64,903.85,536.35,55117,39112967.45,5779,ROSSARI
22,2023-11-28,EQ,718.0,720.95,709.0,711.95,713.0,710.8,714.1,903.85,536.35,85613,61136547.3,6112,ROSSARI
23,2023-11-24,EQ,713.35,715.5,706.0,709.85,714.1,711.95,709.59,903.85,536.35,47288,33554968.65,6728,ROSSARI
24,2023-11-23,EQ,715.0,716.0,708.95,711.3,712.0,709.85,711.01,903.85,536.35,40481,28782363.05,4583,ROSSARI
25,2023-11-22,EQ,719.95,719.95,708.55,714.0,711.9,711.3,710.8,903.85,536.35,43743,31092568.25,5605,ROSSARI
26,2023-11-21,EQ,717.0,720.0,712.5,713.25,712.95,714.0,714.7,903.85,536.35,62402,44598655.65,4591,ROSSARI
27,2023-11-20,EQ,722.0,725.85,712.05,726.15,713.0,713.25,715.72,903.85,536.35,96317,68935941.25,8305,ROSSARI
28,2023-11-17,EQ,745.0,760.0,720.0,728.65,722.0,726.15,742.88,903.85,536.35,450412,334603687.0,23000,ROSSARI
29,2023-11-16,EQ,735.6,738.65,727.2,732.15,728.3,728.65,730.42,903.85,536.35,43538,31800903.45,3624,ROSSARI
