,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-11-08,EQ,370.95,385.0,362.5,372.05,369.0,367.95,373.07,402.2,96.2,184238,68733009.55,7351,SAKSOFT
1,2023-11-07,EQ,392.0,400.0,369.65,389.1,371.95,372.05,380.8,402.2,96.2,335649,127816196.05,11047,SAKSOFT
2,2023-11-06,EQ,374.8,390.05,373.9,371.5,389.0,389.1,387.99,402.2,96.2,305170,118402412.0,5133,SAKSOFT
3,2023-11-03,EQ,368.8,373.7,365.35,365.45,372.4,371.5,370.79,402.2,96.2,119902,44459009.2,3645,SAKSOFT
4,2023-11-02,EQ,374.6,378.0,364.1,368.9,365.6,365.45,369.33,402.2,96.2,109438,40418381.6,4932,SAKSOFT
5,2023-11-01,EQ,378.8,380.7,365.3,376.2,369.0,368.9,371.47,402.2,96.2,139371,51771697.8,5850,SAKSOFT
6,2023-10-31,EQ,378.0,385.65,370.7,367.3,375.55,376.2,380.34,402.2,96.2,312310,118782950.75,7961,SAKSOFT
7,2023-10-30,EQ,350.0,367.3,350.0,349.85,367.3,367.3,363.82,402.2,96.2,336032,122254146.95,4357,SAKSOFT
8,2023-10-27,EQ,344.8,349.85,334.0,333.2,349.85,349.85,345.2,402.2,94.65,108817,37563745.75,2188,SAKSOFT
9,2023-10-26,EQ,338.65,339.45,327.45,344.65,333.0,333.2,330.03,402.2,94.65,401740,132585195.95,9076,SAKSOFT
10,2023-10-25,EQ,368.0,372.0,344.65,362.75,344.65,344.65,349.44,402.2,94.65,271548,94889197.7,7953,SAKSOFT
11,2023-10-23,EQ,388.3,393.85,362.75,381.85,362.75,362.75,371.04,402.2,94.65,290923,107945220.85,9126,SAKSOFT
12,2023-10-20,EQ,394.0,402.2,372.35,391.95,383.15,381.85,384.19,402.2,92.35,482718,185456691.1,11982,SAKSOFT
13,2023-10-19,EQ,375.0,391.95,360.55,373.3,391.95,391.95,383.1,391.95,92.35,274435,105136942.55,4611,SAKSOFT
14,2023-10-18,EQ,357.95,373.3,356.1,355.55,373.3,373.3,370.61,377.0,92.35,375844,139292709.7,5560,SAKSOFT
15,2023-10-17,EQ,355.0,356.75,352.3,351.3,355.0,355.55,355.3,377.0,92.35,117025,41579042.5,5734,SAKSOFT
16,2023-10-16,EQ,357.8,360.0,346.55,355.4,353.05,351.3,355.82,377.0,92.35,196663,69976510.25,7361,SAKSOFT
17,2023-10-13,EQ,352.0,359.85,349.05,351.55,355.5,355.4,355.96,377.0,92.35,199572,71040509.55,7751,SAKSOFT
18,2023-10-12,EQ,351.45,361.0,345.05,347.3,351.0,351.55,352.39,377.0,92.35,319993,112762766.8,7784,SAKSOFT
19,2023-10-11,EQ,342.0,353.0,339.8,337.6,348.0,347.3,346.38,377.0,92.35,263306,91203019.15,6353,SAKSOFT
20,2023-10-10,EQ,337.95,343.1,335.45,333.85,338.0,337.6,339.24,377.0,92.35,123861,42018908.2,6113,SAKSOFT
21,2023-10-09,EQ,339.7,354.0,324.6,341.65,333.55,333.85,342.06,377.0,92.35,393418,134573827.55,12260,SAKSOFT
22,2023-10-06,EQ,338.0,343.9,335.3,336.65,341.3,341.65,340.75,377.0,92.35,163845,55830464.0,4916,SAKSOFT
23,2023-10-05,EQ,335.0,345.0,333.55,333.2,336.2,336.65,339.27,377.0,92.35,269874,91561005.95,6593,SAKSOFT
24,2023-10-04,EQ,331.05,336.55,328.0,331.45,333.9,333.2,332.48,377.0,92.35,133094,44251428.05,4333,SAKSOFT
25,2023-10-03,EQ,335.0,340.0,329.6,326.6,331.9,331.45,333.01,377.0,92.35,126352,42076384.6,4789,SAKSOFT
26,2023-09-29,EQ,333.75,333.9,326.0,330.85,326.45,326.6,327.77,377.0,92.35,78776,25820619.7,3730,SAKSOFT
27,2023-09-28,EQ,333.95,335.0,327.0,328.8,331.75,330.85,330.09,377.0,92.35,75042,24770804.7,3151,SAKSOFT
28,2023-09-27,EQ,327.95,331.5,326.1,326.9,329.0,328.8,328.72,377.0,92.35,69000,22681567.5,2318,SAKSOFT
29,2023-09-26,EQ,330.8,331.75,324.3,330.8,327.0,326.9,327.88,377.0,92.35,80000,26230320.8,3160,SAKSOFT
30,2023-09-25,EQ,337.0,337.0,329.0,328.55,330.8,330.8,332.0,377.0,92.35,111396,36983662.75,3208,SAKSOFT
31,2023-09-22,EQ,330.2,334.6,327.0,330.25,328.95,328.55,330.51,1374.35,92.35,102584,33905318.8,3085,SAKSOFT
32,2023-09-21,EQ,327.0,332.85,327.0,329.8,328.0,330.25,330.26,1374.35,92.35,127512,42112106.6,4035,SAKSOFT
33,2023-09-20,EQ,334.15,336.7,328.0,334.15,330.3,329.8,331.09,1374.35,92.35,110778,36677412.75,3068,SAKSOFT
34,2023-09-18,EQ,339.3,342.0,332.4,336.65,334.5,334.15,337.44,1374.35,92.35,145121,48969479.6,3984,SAKSOFT
35,2023-09-15,EQ,343.95,346.0,333.3,338.45,336.75,336.65,338.81,1374.35,92.35,336066,113863950.85,9660,SAKSOFT
36,2023-09-14,EQ,327.8,338.45,325.0,322.35,338.45,338.45,337.14,1374.35,92.35,586353,197685975.25,8293,SAKSOFT
37,2023-09-13,EQ,316.0,329.0,312.95,315.65,322.9,322.35,319.72,1374.35,92.35,214349,68531318.0,6026,SAKSOFT
38,2023-09-12,EQ,333.0,334.95,312.15,328.55,314.9,315.65,319.5,1374.35,92.35,277030,88510353.1,8559,SAKSOFT
39,2023-09-11,EQ,335.8,337.15,326.55,332.4,330.5,328.55,330.35,1374.35,92.35,145787,48160594.55,6039,SAKSOFT
40,2023-09-08,EQ,336.75,342.0,330.15,334.05,334.0,332.4,334.54,1374.35,92.35,199603,66775660.95,6284,SAKSOFT
41,2023-09-07,EQ,345.85,345.85,330.15,347.5,335.8,334.05,334.07,1374.35,92.35,494761,165284593.3,11100,SAKSOFT
42,2023-09-06,EQ,348.0,354.45,341.0,337.6,343.0,347.5,351.1,1374.35,92.35,833031,292481313.45,11944,SAKSOFT
43,2023-09-05,EQ,324.4,337.6,321.55,321.55,337.6,337.6,332.5,1374.35,92.35,192034,63851289.85,3664,SAKSOFT
44,2023-09-04,EQ,319.0,324.6,318.3,318.55,322.25,321.55,322.15,1374.35,92.35,156789,50510223.45,5081,SAKSOFT
45,2023-09-01,EQ,320.45,322.7,316.35,319.85,319.6,318.55,318.98,1374.35,92.35,127174,40566446.5,4777,SAKSOFT
46,2023-08-31,EQ,326.0,326.0,318.75,322.85,320.45,319.85,321.21,1374.35,92.35,125178,40208777.6,4062,SAKSOFT
47,2023-08-30,EQ,322.0,324.15,319.2,318.75,323.0,322.85,321.59,1374.35,92.35,145269,46717691.35,4547,SAKSOFT
48,2023-08-29,EQ,314.9,323.6,311.3,314.55,318.9,318.75,317.14,1374.35,92.35,210486,66754257.05,6889,SAKSOFT
49,2023-08-28,EQ,326.0,327.0,312.45,324.4,315.85,314.55,317.7,1374.35,92.35,290952,92435318.35,12123,SAKSOFT
50,2023-08-25,EQ,327.0,338.4,321.3,335.25,325.85,324.4,328.23,1374.35,92.35,257414,84491729.25,8207,SAKSOFT
51,2023-08-24,EQ,340.0,344.05,334.7,336.7,335.45,335.25,337.36,1374.35,92.35,156325,52738156.55,4949,SAKSOFT
52,2023-08-23,EQ,348.0,348.45,333.0,344.3,337.0,336.7,336.68,1374.35,92.35,300228,101081759.25,8742,SAKSOFT
53,2023-08-22,EQ,344.95,350.0,342.05,338.75,344.95,344.3,345.17,1374.35,92.35,227762,78616438.65,6836,SAKSOFT
54,2023-08-21,EQ,344.0,352.35,331.0,344.0,339.75,338.75,336.99,1374.35,92.35,432798,145848226.0,12211,SAKSOFT
55,2023-08-18,EQ,377.0,377.0,343.8,361.9,343.95,344.0,354.94,1374.35,92.35,1148610,407684588.4,25376,SAKSOFT
56,2023-08-17,EQ,361.9,361.9,356.4,344.7,361.9,361.9,361.83,1374.35,92.35,175158,63377267.5,1570,SAKSOFT
57,2023-08-16,EQ,334.0,344.7,324.0,328.3,344.7,344.7,340.17,1374.35,92.35,517192,175935349.85,5912,SAKSOFT
58,2023-08-14,EQ,320.0,333.2,310.3,317.35,323.0,328.3,329.4,1374.35,92.35,1053891,347154301.55,15452,SAKSOFT
59,2023-08-11,EQ,318.0,321.5,313.0,315.55,318.5,317.35,317.57,1374.35,92.35,173277,55027373.45,4716,SAKSOFT
60,2023-08-10,EQ,319.5,321.0,312.0,317.75,316.75,315.55,317.74,1374.35,92.35,147762,46950120.8,4835,SAKSOFT
61,2023-08-09,EQ,310.0,321.0,307.05,310.45,318.5,317.75,316.66,1374.35,92.35,238169,75419180.0,7121,SAKSOFT
62,2023-08-08,EQ,315.45,320.0,305.5,313.55,310.85,310.45,314.57,1374.35,92.35,232340,73087878.2,6490,SAKSOFT
63,2023-08-07,EQ,313.9,317.0,310.0,309.05,312.65,313.55,313.64,1374.35,92.35,148345,46527581.3,5230,SAKSOFT
64,2023-08-04,EQ,306.2,311.05,306.2,306.0,309.8,309.05,309.33,1374.35,92.35,85267,26375781.35,3102,SAKSOFT
65,2023-08-03,EQ,305.3,309.95,303.05,307.25,307.65,306.0,305.73,1374.35,92.35,128733,39357970.3,5440,SAKSOFT
66,2023-08-02,EQ,314.0,316.9,303.0,313.65,307.7,307.25,308.6,1374.35,92.35,215394,66470413.5,7914,SAKSOFT
67,2023-08-01,EQ,307.0,323.3,306.45,307.95,314.45,313.65,316.28,1374.35,92.35,329241,104132807.7,7689,SAKSOFT
68,2023-07-31,EQ,307.0,312.65,304.65,304.65,310.0,307.95,309.05,1374.35,92.35,187125,57830708.65,6596,SAKSOFT
69,2023-07-28,EQ,307.3,310.9,302.4,307.9,306.0,304.65,305.76,1374.35,92.35,131521,40214200.1,5147,SAKSOFT
70,2023-07-27,EQ,310.9,313.75,306.1,307.95,307.2,307.9,309.47,1374.35,92.35,108013,33427200.05,4192,SAKSOFT
71,2023-07-26,EQ,304.95,311.75,302.1,305.25,308.4,307.95,308.04,1374.35,92.35,133059,40987559.15,5002,SAKSOFT
72,2023-07-25,EQ,315.8,322.0,301.0,313.4,305.0,305.25,307.98,1374.35,92.35,286409,88209227.5,10187,SAKSOFT
73,2023-07-24,EQ,314.0,317.4,311.15,314.6,312.8,313.4,314.32,1374.35,92.35,183192,57581325.65,5834,SAKSOFT
74,2023-07-21,EQ,311.1,321.0,309.55,315.4,317.0,314.6,315.46,1374.35,92.35,171511,54105606.4,5604,SAKSOFT
75,2023-07-20,EQ,322.0,322.0,314.2,316.6,314.8,315.4,317.3,1374.35,92.35,155223,49252090.4,5919,SAKSOFT
76,2023-07-19,EQ,320.0,324.2,315.0,317.9,317.0,316.6,319.06,1374.35,92.35,190340,60729090.5,4758,SAKSOFT
77,2023-07-18,EQ,317.0,319.0,310.0,318.75,318.75,317.9,315.35,1374.35,92.35,313230,98778588.65,7099,SAKSOFT
78,2023-07-17,EQ,323.85,323.85,317.0,322.7,317.8,318.75,319.12,1374.35,92.35,311747,99483216.2,7922,SAKSOFT
79,2023-07-14,EQ,314.8,326.3,310.25,310.8,322.0,322.7,322.12,1374.35,92.35,657068,211656161.25,9144,SAKSOFT
80,2023-07-13,EQ,315.9,316.0,309.0,314.2,312.4,310.8,313.0,1374.35,92.35,231792,72549852.1,6898,SAKSOFT
