,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,7988.15,8077.0,7940.0,7988.15,8040.65,8067.55,8029.6,8280.0,5202.1,10122,81275653.5,2723,SANOFI
1,2023-12-28,EQ,8010.0,8051.95,7960.0,7998.7,7985.0,7988.15,7990.0,8280.0,5202.1,12892,103007029.5,4402,SANOFI
2,2023-12-27,EQ,8049.9,8053.9,7981.2,8013.45,7999.45,7998.7,7992.87,8280.0,5202.1,25439,203330585.05,2001,SANOFI
3,2023-12-26,EQ,8040.0,8049.9,7985.0,8009.45,8004.1,8013.45,8008.67,8280.0,5202.1,5700,45649421.9,2025,SANOFI
4,2023-12-22,EQ,7954.0,8071.95,7953.1,7943.8,8012.75,8009.45,8002.94,8280.0,5202.1,12185,97515840.45,4181,SANOFI
5,2023-12-21,EQ,7900.0,7993.15,7866.5,7947.75,7952.5,7943.8,7915.96,8280.0,5202.1,20502,162292943.25,4500,SANOFI
6,2023-12-20,EQ,8099.65,8099.65,7854.25,8064.7,7895.25,7947.75,7967.94,8280.0,5202.1,14443,115080984.05,4711,SANOFI
7,2023-12-19,EQ,8120.0,8132.3,8029.8,8111.8,8040.0,8064.7,8059.7,8280.0,5202.1,11574,93282993.0,2940,SANOFI
8,2023-12-18,EQ,8049.9,8167.4,7934.75,8045.95,8040.0,8111.8,8053.78,8280.0,5202.1,26989,217363536.55,10751,SANOFI
9,2023-12-15,EQ,8126.05,8205.0,7922.35,8084.55,7951.0,8045.95,8081.27,8280.0,5202.1,20689,167193310.0,7157,SANOFI
10,2023-12-14,EQ,8220.3,8230.0,8057.15,8178.4,8090.0,8084.55,8128.7,8280.0,5202.1,7368,59892281.55,2792,SANOFI
11,2023-12-13,EQ,8140.0,8199.0,8092.0,8111.9,8195.0,8178.4,8157.19,8280.0,5202.1,40171,327682502.25,3219,SANOFI
12,2023-12-12,EQ,8153.35,8223.2,8090.0,8153.3,8129.4,8111.9,8200.39,8280.0,5202.1,31331,256926439.55,2824,SANOFI
13,2023-12-11,EQ,8160.0,8220.0,8060.0,8130.2,8200.0,8153.3,8124.13,8280.0,5202.1,9128,74157033.7,2864,SANOFI
14,2023-12-08,EQ,8200.0,8280.0,8101.05,8205.95,8111.0,8130.2,8208.34,8280.0,5202.1,9888,81164061.45,2961,SANOFI
15,2023-12-07,EQ,8230.0,8231.05,8106.2,8214.3,8205.0,8205.95,8160.17,8277.8,5202.1,11485,93719518.1,3080,SANOFI
16,2023-12-06,EQ,8216.45,8239.95,8167.55,8175.2,8173.0,8214.3,8218.77,8277.8,5202.1,37016,304225921.45,3557,SANOFI
17,2023-12-05,EQ,8085.05,8199.1,8066.2,8104.85,8193.65,8175.2,8151.36,8277.8,5202.1,15011,122360092.45,5321,SANOFI
18,2023-12-04,EQ,8250.0,8277.8,8058.0,8218.75,8103.0,8104.85,8146.49,8277.8,5202.1,18875,153764998.45,6310,SANOFI
19,2023-12-01,EQ,8050.0,8236.0,8001.3,8043.7,8201.0,8218.75,8149.9,8236.0,5202.1,19915,162305268.65,5407,SANOFI
20,2023-11-30,EQ,8049.95,8076.9,7947.1,8045.2,8025.0,8043.7,8021.45,8080.0,5202.1,17608,141241769.0,6327,SANOFI
21,2023-11-29,EQ,8030.0,8080.0,7913.5,8024.3,8015.05,8045.2,8003.81,8080.0,5202.1,21537,172377999.25,6653,SANOFI
22,2023-11-28,EQ,8032.0,8069.95,7913.25,8029.5,8001.35,8024.3,8004.9,8080.0,5202.1,8704,69674671.35,3260,SANOFI
23,2023-11-24,EQ,8025.25,8047.35,7970.65,7984.9,8030.0,8029.5,8012.7,8080.0,5202.1,31910,255685379.9,5514,SANOFI
24,2023-11-23,EQ,7900.0,8080.0,7881.05,7861.9,7995.0,7984.9,7959.56,8080.0,5202.1,42808,340732819.95,5845,SANOFI
25,2023-11-22,EQ,7734.0,7993.75,7708.05,7733.75,7877.0,7861.9,7911.36,7993.75,5202.1,48449,383297395.85,12162,SANOFI
26,2023-11-21,EQ,7759.95,7784.0,7550.5,7729.05,7700.0,7733.75,7741.08,7860.05,5202.1,20369,157677964.1,3589,SANOFI
27,2023-11-20,EQ,7703.95,7759.95,7684.75,7703.45,7718.0,7729.05,7738.35,7860.05,5202.1,10107,78211512.6,2875,SANOFI
28,2023-11-17,EQ,7707.0,7739.95,7642.6,7706.7,7707.35,7703.45,7697.13,7860.05,5202.1,7903,60830398.45,2784,SANOFI
29,2023-11-16,EQ,7788.3,7814.95,7697.05,7797.0,7700.0,7706.7,7736.94,7860.05,5202.1,11591,89678816.8,3146,SANOFI
30,2023-11-15,EQ,7838.0,7838.0,7777.0,7797.25,7799.95,7797.0,7799.47,7860.05,5202.1,4959,38677560.05,1373,SANOFI
31,2023-11-13,EQ,7804.75,7825.7,7720.1,7804.2,7761.4,7797.25,7793.43,7860.05,5202.1,6010,46838522.3,2094,SANOFI
32,2023-11-12,EQ,7799.95,7822.3,7760.9,7754.35,7810.0,7804.2,7800.82,7860.05,5202.1,2619,20430358.3,932,SANOFI
33,2023-11-10,EQ,7751.05,7847.1,7691.0,7795.0,7787.1,7754.35,7745.58,7860.05,5202.1,25830,200068402.15,7540,SANOFI
34,2023-11-09,EQ,7820.0,7860.05,7744.55,7780.2,7800.0,7795.0,7798.28,7860.05,5202.1,8770,68390889.95,2950,SANOFI
35,2023-11-08,EQ,7777.15,7801.25,7740.0,7777.15,7800.0,7780.2,7775.35,7801.25,5202.1,19559,152078106.8,2969,SANOFI
36,2023-11-07,EQ,7698.7,7800.0,7653.3,7698.75,7780.0,7777.15,7751.78,7800.0,5202.1,16185,125462480.7,4811,SANOFI
37,2023-11-06,EQ,7640.0,7716.65,7542.05,7625.85,7705.0,7698.75,7650.73,7716.65,5202.1,33616,257187016.6,5357,SANOFI
38,2023-11-03,EQ,7600.0,7640.0,7554.55,7600.85,7614.75,7625.85,7588.31,7640.0,5202.1,19448,147577470.45,3306,SANOFI
39,2023-11-02,EQ,7600.0,7636.0,7533.05,7593.4,7575.05,7600.85,7593.06,7638.95,5202.1,23705,179993539.45,3920,SANOFI
40,2023-11-01,EQ,7560.2,7638.95,7525.0,7560.2,7580.05,7593.4,7590.2,7638.95,5202.1,19393,147196841.1,7779,SANOFI
41,2023-10-31,EQ,7455.05,7575.0,7428.85,7460.1,7535.0,7560.2,7525.97,7590.0,5202.1,23781,178975021.55,5334,SANOFI
42,2023-10-30,EQ,7375.0,7509.9,7344.35,7494.05,7415.0,7460.1,7434.84,7590.0,5202.1,16184,120325436.05,3353,SANOFI
43,2023-10-27,EQ,7301.0,7511.95,7301.0,7325.4,7490.0,7494.05,7458.65,7590.0,5202.1,23460,174979912.15,6985,SANOFI
44,2023-10-26,EQ,7460.0,7460.0,7250.05,7473.2,7334.0,7325.4,7312.08,7590.0,5202.1,22423,163958846.0,6057,SANOFI
45,2023-10-25,EQ,7476.0,7500.05,7408.8,7476.75,7465.0,7473.2,7462.45,7590.0,5202.1,11481,85676402.05,4226,SANOFI
46,2023-10-23,EQ,7475.8,7500.0,7403.15,7475.8,7440.0,7476.75,7475.2,7590.0,5202.1,29531,220750109.45,4911,SANOFI
47,2023-10-20,EQ,7423.5,7497.9,7423.5,7453.5,7475.0,7475.8,7465.91,7590.0,5202.1,6853,51163892.25,3278,SANOFI
48,2023-10-19,EQ,7397.6,7469.9,7372.05,7462.7,7464.95,7453.5,7443.1,7590.0,5202.1,5949,44278972.85,2378,SANOFI
49,2023-10-18,EQ,7453.9,7477.4,7364.1,7433.9,7440.0,7462.7,7436.46,7590.0,5202.1,6761,50277932.2,2202,SANOFI
50,2023-10-17,EQ,7540.0,7547.95,7404.05,7512.25,7465.0,7433.9,7469.54,7590.0,5202.1,4948,36959289.85,2395,SANOFI
51,2023-10-16,EQ,7519.95,7532.55,7474.25,7474.15,7501.0,7512.25,7513.44,7590.0,5202.1,39023,293196777.2,3292,SANOFI
52,2023-10-13,EQ,7410.05,7527.25,7410.05,7471.3,7479.95,7474.15,7482.57,7590.0,5202.1,7803,58386469.5,2654,SANOFI
53,2023-10-12,EQ,7458.05,7542.35,7432.1,7458.05,7462.0,7471.3,7474.34,7590.0,5202.1,13629,101867732.85,4374,SANOFI
54,2023-10-11,EQ,7401.0,7469.95,7401.0,7399.5,7450.0,7458.05,7448.27,7590.0,5202.1,78886,587563936.2,4666,SANOFI
55,2023-10-10,EQ,7256.35,7415.5,7256.35,7258.75,7401.0,7399.5,7392.99,7590.0,5202.1,22840,168855830.85,6563,SANOFI
56,2023-10-09,EQ,7286.8,7295.75,7227.05,7338.75,7260.0,7258.75,7258.53,7590.0,5202.1,15006,108921506.8,2662,SANOFI
57,2023-10-06,EQ,7300.0,7444.9,7294.6,7292.4,7330.0,7338.75,7368.22,7590.0,5202.1,18339,135125846.65,5822,SANOFI
58,2023-10-05,EQ,7225.0,7311.0,7200.1,7221.0,7286.05,7292.4,7260.62,7590.0,5202.1,24765,179809310.3,3398,SANOFI
59,2023-10-04,EQ,7234.95,7271.6,7188.0,7243.4,7230.0,7221.0,7214.61,7590.0,5202.1,8156,58842389.9,2650,SANOFI
60,2023-10-03,EQ,7207.0,7256.05,7160.0,7207.3,7215.1,7243.4,7217.92,7590.0,5202.1,10304,74373419.7,2873,SANOFI
61,2023-09-29,EQ,7107.3,7219.95,7087.1,7070.9,7209.0,7207.3,7192.14,7590.0,5202.1,28300,203537662.05,4541,SANOFI
62,2023-09-28,EQ,7108.9,7177.0,7050.0,7108.9,7050.0,7070.9,7129.63,7590.0,5202.1,19684,140339724.95,3348,SANOFI
63,2023-09-27,EQ,7073.4,7123.95,7073.4,7073.4,7110.0,7108.9,7108.59,7590.0,5202.1,9222,65555427.7,1771,SANOFI
64,2023-09-26,EQ,7104.2,7127.5,7048.0,7101.4,7077.0,7073.4,7071.63,7590.0,5202.1,6099,43129856.3,2092,SANOFI
65,2023-09-25,EQ,7100.0,7185.0,7080.0,7106.65,7100.0,7101.4,7112.27,7590.0,5202.1,4819,34274052.1,1529,SANOFI
66,2023-09-22,EQ,7185.1,7185.1,7099.05,7148.35,7109.9,7106.65,7115.88,7590.0,5202.1,3812,27125725.4,1546,SANOFI
67,2023-09-21,EQ,7150.0,7163.9,7080.2,7127.8,7150.0,7148.35,7134.66,7590.0,5202.1,12598,89882399.7,3114,SANOFI
68,2023-09-20,EQ,7135.5,7250.0,7100.0,7144.0,7106.9,7127.8,7129.01,7590.0,5202.1,6266,44670372.95,1823,SANOFI
69,2023-09-18,EQ,7201.4,7216.95,7135.5,7181.25,7142.0,7144.0,7160.4,7590.0,5202.1,4828,34570427.85,1843,SANOFI
70,2023-09-15,EQ,7301.0,7301.0,7142.5,7262.1,7160.0,7181.25,7208.49,7590.0,5202.1,7060,50891930.4,2033,SANOFI
71,2023-09-14,EQ,7250.0,7324.9,7206.15,7267.15,7274.0,7262.1,7266.05,7590.0,5202.1,7948,57750572.15,2919,SANOFI
72,2023-09-13,EQ,7171.0,7345.0,7100.05,7151.25,7272.0,7267.15,7252.13,7590.0,5202.1,34041,246869661.0,8384,SANOFI
73,2023-09-12,EQ,7105.2,7168.0,7090.0,7105.2,7160.0,7151.25,7142.97,7590.0,5202.1,18509,132209177.35,6487,SANOFI
74,2023-09-11,EQ,7149.95,7163.1,7090.0,7129.6,7115.0,7105.2,7117.59,7590.0,5202.1,5961,42427940.7,2153,SANOFI
75,2023-09-08,EQ,7108.45,7145.6,7105.0,7117.2,7132.0,7129.6,7131.03,7590.0,5202.1,4971,35448356.35,1951,SANOFI
76,2023-09-07,EQ,7140.0,7145.0,7091.05,7113.9,7110.0,7117.2,7119.7,7590.0,5202.1,4895,34850932.95,2059,SANOFI
77,2023-09-06,EQ,7091.1,7140.0,7080.05,7091.4,7135.0,7113.9,7106.38,7590.0,5202.1,8656,61512804.75,2235,SANOFI
78,2023-09-05,EQ,7109.05,7182.4,7066.25,7109.05,7090.0,7091.4,7129.05,7590.0,5202.1,14624,104255249.7,5696,SANOFI
79,2023-09-04,EQ,7133.3,7166.65,7087.0,7115.9,7114.0,7109.05,7105.81,7590.0,5202.1,9752,69295839.0,2875,SANOFI
80,2023-09-01,EQ,7104.9,7151.25,7050.2,7104.9,7105.0,7115.9,7100.2,7590.0,5202.1,7556,53649108.75,2706,SANOFI
