,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,245.0,254.5,244.15,249.25,253.0,253.25,250.49,2050.0,173.15,443088,110988722.2,15270,SARDAEN
1,2023-12-28,EQ,251.9,255.5,244.6,250.5,248.9,249.25,249.69,2050.0,173.15,558220,139384262.7,19218,SARDAEN
2,2023-12-27,EQ,246.55,252.5,244.4,245.15,250.05,250.5,249.57,2050.0,173.15,688766,171894484.45,22610,SARDAEN
3,2023-12-26,EQ,250.35,252.6,243.45,250.5,245.5,245.15,246.95,2050.0,173.15,327117,80780686.55,14366,SARDAEN
4,2023-12-22,EQ,249.7,259.0,245.0,248.6,249.7,250.5,250.9,2050.0,173.15,863634,216683746.05,29047,SARDAEN
5,2023-12-21,EQ,238.0,250.8,234.0,240.75,248.0,248.6,242.81,2050.0,173.15,321358,78028853.55,13578,SARDAEN
6,2023-12-20,EQ,257.1,259.0,236.0,257.7,240.4,240.75,247.36,2050.0,173.15,511310,126476338.75,21774,SARDAEN
7,2023-12-19,EQ,258.0,261.95,251.5,257.25,257.8,257.7,257.75,2050.0,173.15,337988,87117996.1,20277,SARDAEN
8,2023-12-18,EQ,256.2,262.0,249.55,259.85,255.55,257.25,255.08,2050.0,173.15,355871,90774348.3,14836,SARDAEN
9,2023-12-15,EQ,258.0,265.0,253.95,258.5,256.0,259.85,259.38,2050.0,173.15,455773,118218074.25,16157,SARDAEN
10,2023-12-14,EQ,259.95,262.0,252.35,259.6,258.75,258.5,258.43,2050.0,173.15,358024,92523299.5,16056,SARDAEN
11,2023-12-13,EQ,244.5,264.8,240.9,243.3,258.45,259.6,254.08,2050.0,173.15,444558,112955019.25,19624,SARDAEN
12,2023-12-12,EQ,257.25,257.25,241.1,256.25,241.55,243.3,247.66,2050.0,173.15,380641,94269439.55,16384,SARDAEN
13,2023-12-11,EQ,250.95,258.9,249.45,249.45,255.4,256.25,253.68,2050.0,173.15,185696,47107208.6,8317,SARDAEN
14,2023-12-08,EQ,261.0,264.0,247.25,257.35,248.95,249.45,254.5,2050.0,173.15,375355,95526286.85,19378,SARDAEN
15,2023-12-07,EQ,257.95,263.85,250.1,258.35,261.8,257.35,256.99,2050.0,173.15,358876,92227446.0,18137,SARDAEN
16,2023-12-06,EQ,256.7,260.0,248.0,254.4,256.0,258.35,255.65,2050.0,173.15,295675,75588161.6,12346,SARDAEN
17,2023-12-05,EQ,254.8,256.5,245.65,252.1,254.9,254.4,253.07,2050.0,173.15,307342,77780289.35,12463,SARDAEN
18,2023-12-04,EQ,255.0,255.4,245.95,244.35,251.55,252.1,250.33,2050.0,173.15,414460,103753527.9,12893,SARDAEN
19,2023-12-01,EQ,241.5,247.75,240.0,239.6,243.5,244.35,243.94,2050.0,173.15,295740,72144185.5,15315,SARDAEN
20,2023-11-30,EQ,239.25,244.0,234.0,238.45,237.55,239.6,239.73,2050.0,173.15,311568,74691460.2,13570,SARDAEN
21,2023-11-29,EQ,236.9,244.0,234.25,237.55,237.5,238.45,239.0,2050.0,173.15,274514,65608792.4,13674,SARDAEN
22,2023-11-28,EQ,233.6,241.85,229.4,235.25,233.45,237.55,235.21,2050.0,173.15,162515,38225161.1,8327,SARDAEN
23,2023-11-24,EQ,231.3,237.15,230.5,232.6,234.45,235.25,233.5,2050.0,173.15,94948,22169901.2,6784,SARDAEN
24,2023-11-23,EQ,233.15,236.35,229.55,233.15,232.05,232.6,232.33,2050.0,173.15,159000,36940118.2,10632,SARDAEN
25,2023-11-22,EQ,241.45,242.8,227.0,238.15,233.35,233.15,232.75,2050.0,173.15,243288,56625704.85,14978,SARDAEN
26,2023-11-21,EQ,241.0,248.15,236.6,240.45,238.8,238.15,242.33,2050.0,173.15,310222,75176002.9,14613,SARDAEN
27,2023-11-20,EQ,233.3,242.65,229.3,233.3,241.0,240.45,238.22,2050.0,173.15,483234,115117503.55,19075,SARDAEN
28,2023-11-17,EQ,231.0,241.0,226.0,231.1,232.8,233.3,234.57,2050.0,173.15,681625,159890963.2,26867,SARDAEN
29,2023-11-16,EQ,219.45,234.05,215.45,220.55,231.95,231.1,227.22,2050.0,173.15,533808,121290466.85,17810,SARDAEN
30,2023-11-15,EQ,221.7,222.3,212.95,214.8,218.0,220.55,218.81,2050.0,173.15,276961,60600855.35,9877,SARDAEN
31,2023-11-13,EQ,215.85,218.0,206.8,215.85,213.6,214.8,212.17,2050.0,173.15,187939,39875716.25,8478,SARDAEN
32,2023-11-12,EQ,213.25,219.2,213.25,215.5,216.0,215.85,216.55,2050.0,173.15,47402,10264728.8,1574,SARDAEN
33,2023-11-10,EQ,216.0,223.5,210.05,214.25,212.55,215.5,214.92,2050.0,173.15,221728,47654208.25,8266,SARDAEN
34,2023-11-09,EQ,217.4,217.45,211.0,217.45,213.55,214.25,214.03,2050.0,173.15,137649,29460851.35,6558,SARDAEN
35,2023-11-08,EQ,210.9,220.0,210.15,208.55,218.05,217.45,214.94,2050.0,173.15,270731,58192269.3,6152,SARDAEN
36,2023-11-07,EQ,211.0,213.4,206.45,210.2,211.6,208.55,209.43,2050.0,173.15,288997,60523659.25,7155,SARDAEN
37,2023-11-06,EQ,216.05,218.05,209.0,215.65,209.0,210.2,212.92,2050.0,173.15,213960,45555358.35,6966,SARDAEN
38,2023-11-03,EQ,202.95,223.4,202.9,200.85,214.5,215.65,214.07,2050.0,173.15,569408,121893724.5,17560,SARDAEN
39,2023-11-02,EQ,201.6,204.45,199.0,201.55,201.0,200.85,201.47,2050.0,173.15,173018,34858228.75,6244,SARDAEN
40,2023-11-01,EQ,203.1,204.0,199.55,203.1,202.0,201.55,201.51,2050.0,173.15,222809,44897713.75,9311,SARDAEN
41,2023-10-31,EQ,208.0,208.3,200.0,205.25,202.15,203.1,203.18,2050.0,173.15,244198,49617046.2,6376,SARDAEN
42,2023-10-30,EQ,200.0,207.9,193.05,214.15,206.45,205.25,202.6,2050.0,173.15,587042,118931874.35,12539,SARDAEN
43,2023-10-27,EQ,203.1,217.0,203.1,204.05,215.0,214.15,210.8,2050.0,173.15,253026,53338413.25,7509,SARDAEN
44,2023-10-26,EQ,207.6,209.95,197.0,209.8,203.0,204.05,203.15,2050.0,173.15,337603,68583380.05,14896,SARDAEN
45,2023-10-25,EQ,205.0,213.75,193.15,204.65,207.0,209.8,203.08,2050.0,173.15,391395,79483303.25,13452,SARDAEN
46,2023-10-23,EQ,216.45,219.4,201.5,216.6,204.9,204.65,207.19,2050.0,173.15,331481,68677958.55,12480,SARDAEN
47,2023-10-20,EQ,220.4,222.7,215.1,220.5,216.8,216.6,218.27,2050.0,173.15,110206,24054193.5,5217,SARDAEN
48,2023-10-19,EQ,226.25,226.9,219.4,226.25,219.4,220.5,222.23,2050.0,173.15,148541,33010969.0,5251,SARDAEN
49,2023-10-18,EQ,232.45,234.8,223.1,228.65,227.4,226.25,228.38,2050.0,173.15,383525,87590849.3,13102,SARDAEN
50,2023-10-17,EQ,216.95,232.0,214.55,215.65,231.3,228.65,224.86,2050.0,173.15,532784,119800015.95,13589,SARDAEN
51,2023-10-16,EQ,217.0,219.85,213.7,215.4,215.8,215.65,216.21,2050.0,173.15,156238,33780212.65,7389,SARDAEN
52,2023-10-13,EQ,218.4,219.7,213.8,219.9,214.9,215.4,216.47,2050.0,173.15,178289,38594626.55,5536,SARDAEN
53,2023-10-12,EQ,221.0,223.1,214.35,221.55,221.2,219.9,218.87,2050.0,173.15,221578,48496353.95,6160,SARDAEN
54,2023-10-11,EQ,219.7,223.6,219.0,221.25,221.95,221.55,221.23,2050.0,173.15,174851,38682345.2,3823,SARDAEN
55,2023-10-10,EQ,213.9,223.4,212.85,212.1,218.0,221.25,219.54,2050.0,173.15,299842,65826557.6,6979,SARDAEN
56,2023-10-09,EQ,214.8,217.55,208.1,215.95,212.0,212.1,213.14,2050.0,173.15,340440,72561765.55,10186,SARDAEN
57,2023-10-06,EQ,218.6,220.35,215.1,216.05,216.0,215.95,216.73,2050.0,173.15,132023,28613972.55,3701,SARDAEN
58,2023-10-05,EQ,218.8,221.2,212.5,216.95,217.0,216.05,217.84,2050.0,173.15,218035,47496312.25,6834,SARDAEN
59,2023-10-04,EQ,221.0,224.6,213.55,222.05,218.45,216.95,218.79,2050.0,173.15,214323,46891139.95,7776,SARDAEN
60,2023-10-03,EQ,224.95,228.0,218.0,220.3,221.7,222.05,224.17,2050.0,173.15,306961,68811315.6,7801,SARDAEN
61,2023-09-29,EQ,219.0,223.0,217.45,218.6,220.0,220.3,220.15,2050.0,173.15,184643,40649783.55,5770,SARDAEN
62,2023-09-28,EQ,225.95,226.85,217.0,224.7,219.4,218.6,221.93,2050.0,173.15,198510,44054628.75,6551,SARDAEN
63,2023-09-27,EQ,222.45,225.0,220.0,222.45,224.8,224.7,222.53,2050.0,173.15,168353,37463401.3,7540,SARDAEN
64,2023-09-26,EQ,217.5,223.6,216.0,217.5,221.05,222.45,220.62,2050.0,173.15,156129,34444446.9,6675,SARDAEN
65,2023-09-25,EQ,216.0,220.45,214.0,214.9,218.7,217.5,217.62,2050.0,173.15,175478,38188040.35,7250,SARDAEN
66,2023-09-22,EQ,212.7,219.75,210.1,212.3,216.8,214.9,214.86,2050.0,173.15,174517,37495924.35,6733,SARDAEN
67,2023-09-21,EQ,212.25,218.5,211.15,214.05,213.5,212.3,214.13,2050.0,173.15,159674,34191339.7,6145,SARDAEN
68,2023-09-20,EQ,217.75,217.85,211.5,218.35,213.0,214.05,214.18,2050.0,173.15,285470,61140939.2,10646,SARDAEN
69,2023-09-18,EQ,214.6,219.5,211.5,211.5,217.55,218.35,216.89,2050.0,173.15,301589,65411940.5,9353,SARDAEN
70,2023-09-15,EQ,226.35,228.0,209.0,226.25,213.9,211.5,215.59,2050.0,173.15,912653,196755412.6,19562,SARDAEN
71,2023-09-14,EQ,222.0,230.95,221.65,222.3,229.4,226.25,227.33,2050.0,173.15,244925,55678994.65,10733,SARDAEN
72,2023-09-13,EQ,219.9,225.95,216.0,217.75,223.45,222.3,221.48,2050.0,173.15,270090,59820383.65,7412,SARDAEN
73,2023-09-12,EQ,234.85,235.0,215.1,233.15,218.9,217.75,223.92,2050.0,173.15,495284,110903744.95,13513,SARDAEN
74,2023-09-11,EQ,240.4,242.4,231.1,239.5,234.9,233.15,234.9,2050.0,173.15,289515,68007789.35,9970,SARDAEN
75,2023-09-08,EQ,234.1,242.5,225.95,234.35,240.05,239.5,233.22,2050.0,173.15,424272,98946983.9,12892,SARDAEN
76,2023-09-07,EQ,234.6,239.0,222.05,232.95,235.9,234.35,230.01,2050.0,173.15,411467,94642516.05,12373,SARDAEN
77,2023-09-06,EQ,244.9,245.45,231.15,242.25,232.5,232.95,236.77,2050.0,173.15,350261,82931030.15,10909,SARDAEN
78,2023-09-05,EQ,248.15,249.1,240.85,244.95,241.7,242.25,245.08,2050.0,173.15,405948,99488140.6,11674,SARDAEN
79,2023-09-04,EQ,243.85,256.0,242.1,241.75,247.7,244.95,247.64,2050.0,173.15,954096,236271738.15,23144,SARDAEN
80,2023-09-01,EQ,228.4,247.8,228.05,221.45,241.75,241.75,238.71,2050.0,173.15,1751445,418093421.55,40382,SARDAEN
81,2023-08-31,EQ,212.9,228.1,208.35,210.35,228.1,221.45,217.45,2050.0,173.15,790910,171981843.9,18665,SARDAEN
82,2023-08-30,EQ,211.4,214.3,207.1,211.1,211.8,210.35,211.14,2050.0,173.15,339682,71722026.45,10497,SARDAEN
83,2023-08-29,EQ,210.7,214.75,205.0,210.05,211.7,211.1,210.59,2050.0,173.15,343852,72412945.9,10289,SARDAEN
84,2023-08-28,EQ,208.45,211.65,207.05,206.8,210.6,210.05,208.86,2050.0,173.15,403984,84375558.2,11143,SARDAEN
85,2023-08-25,EQ,205.0,208.8,200.5,205.75,206.95,206.8,205.29,2050.0,173.15,429272,88123963.4,14213,SARDAEN
86,2023-08-24,EQ,211.65,214.0,203.55,209.7,207.0,205.75,208.36,2050.0,173.15,522823,108933467.3,17772,SARDAEN
87,2023-08-23,EQ,206.2,211.5,205.4,204.75,209.9,209.7,208.8,2050.0,173.15,426698,89093596.6,10036,SARDAEN
88,2023-08-22,EQ,203.8,207.25,202.1,202.35,205.0,204.75,204.54,2050.0,173.15,543739,111217150.35,20067,SARDAEN
89,2023-08-21,EQ,200.75,212.7,200.7,199.1,201.0,202.35,205.76,2050.0,173.15,1494076,307424564.3,25200,SARDAEN
90,2023-08-18,EQ,194.0,200.5,191.2,191.55,198.75,199.1,195.46,2050.0,173.15,1160863,226899894.6,18089,SARDAEN
91,2023-08-17,EQ,191.85,192.7,187.2,189.85,191.0,191.55,189.66,2050.0,173.15,570669,108233555.25,13651,SARDAEN
92,2023-08-16,EQ,192.9,193.8,188.65,192.9,190.05,189.85,191.18,2050.0,173.15,279350,53406437.3,15077,SARDAEN
93,2023-08-14,EQ,189.5,194.8,185.0,189.6,194.0,192.9,189.95,2050.0,173.15,322583,61273169.4,11217,SARDAEN
94,2023-08-11,EQ,193.7,194.7,188.0,192.9,188.7,189.6,190.09,2050.0,173.15,259523,49333865.6,9441,SARDAEN
95,2023-08-10,EQ,192.35,197.25,184.55,190.9,193.7,192.9,190.92,2050.0,173.15,701912,134011747.1,16741,SARDAEN
96,2023-08-09,EQ,178.9,199.4,178.9,178.9,192.75,190.9,191.16,2050.0,173.15,1582784,302569896.25,30410,SARDAEN
97,2023-08-08,EQ,189.95,189.95,173.15,187.95,180.15,178.9,178.26,2050.0,173.15,918384,163706647.4,19542,SARDAEN
98,2023-08-07,EQ,193.95,193.95,187.05,196.5,187.9,187.95,189.6,2050.0,187.05,496564,94146722.5,11631,SARDAEN
99,2023-08-04,EQ,193.8,201.4,190.25,1929.15,197.0,196.5,196.6,2050.0,190.25,700822,137778997.55,17570,SARDAEN
100,2023-08-03,EQ,1898.7,1939.85,1852.9,1882.95,1937.0,1929.15,1911.18,2050.0,796.0,102267,195450443.9,13721,SARDAEN
101,2023-08-02,EQ,1985.0,2005.0,1863.3,1966.95,1890.0,1882.95,1924.58,2050.0,796.0,102326,196934782.05,14791,SARDAEN
102,2023-08-01,EQ,2038.7,2050.0,1941.65,2017.8,1972.0,1966.95,1990.48,2050.0,796.0,80653,160538021.2,12572,SARDAEN
103,2023-07-31,EQ,1889.7,2025.0,1880.25,1877.9,2013.0,2017.8,1978.71,2025.0,796.0,137497,272067214.65,14888,SARDAEN
104,2023-07-28,EQ,1939.95,1947.95,1865.0,1930.85,1872.9,1877.9,1907.0,1947.95,796.0,51156,97554398.85,8390,SARDAEN
105,2023-07-27,EQ,1898.75,1944.7,1863.9,1876.85,1932.0,1930.85,1906.33,1944.7,796.0,60077,114526341.05,9045,SARDAEN
106,2023-07-26,EQ,1817.2,1888.8,1806.7,1794.4,1878.75,1876.85,1847.61,1888.8,796.0,72677,134278404.3,7772,SARDAEN
107,2023-07-25,EQ,1781.7,1800.0,1755.0,1770.25,1796.0,1794.4,1781.99,1800.0,796.0,39616,70595439.45,5857,SARDAEN
108,2023-07-24,EQ,1783.95,1783.95,1755.0,1763.7,1774.6,1770.25,1768.99,1792.1,796.0,26575,47010818.05,4167,SARDAEN
109,2023-07-21,EQ,1784.0,1784.0,1741.8,1776.95,1760.6,1763.7,1761.84,1792.1,796.0,57286,100929045.25,5702,SARDAEN
110,2023-07-20,EQ,1762.8,1792.1,1750.55,1762.8,1776.5,1776.95,1775.83,1792.1,796.0,38301,68015933.2,5135,SARDAEN
111,2023-07-19,EQ,1760.0,1783.8,1705.0,1728.25,1763.05,1762.8,1748.56,1783.8,796.0,104139,182093639.45,12326,SARDAEN
112,2023-07-18,EQ,1621.7,1749.15,1621.0,1597.0,1749.15,1728.25,1683.41,1749.15,796.0,178431,300373112.1,19421,SARDAEN
