,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3219.0,3219.0,3117.95,3211.75,3200.0,3203.0,3182.69,3726.05,2555.55,39480,125652632.8,10017,SCHAEFFLER
1,2023-12-28,EQ,3228.0,3230.65,3186.15,3220.2,3200.0,3211.75,3207.51,3726.05,2555.55,64836,207962011.4,8476,SCHAEFFLER
2,2023-12-27,EQ,3211.15,3235.45,3186.8,3200.8,3199.0,3220.2,3213.71,3726.05,2555.55,54793,176089004.95,9469,SCHAEFFLER
3,2023-12-26,EQ,3180.0,3215.0,3156.05,3176.7,3200.0,3200.8,3195.47,3726.05,2555.55,46463,148470924.8,9188,SCHAEFFLER
4,2023-12-22,EQ,3174.0,3188.0,3122.45,3126.1,3177.7,3176.7,3152.93,3726.05,2555.55,121518,383137745.6,11049,SCHAEFFLER
5,2023-12-21,EQ,3050.1,3192.8,3011.2,3069.4,3105.6,3126.1,3128.98,3726.05,2555.55,155043,485126329.65,20137,SCHAEFFLER
6,2023-12-20,EQ,3050.0,3124.0,3046.55,3049.55,3050.05,3069.4,3081.27,3726.05,2555.55,218413,672989278.4,16840,SCHAEFFLER
7,2023-12-19,EQ,3087.0,3090.0,3041.45,3070.15,3052.0,3049.55,3051.68,3726.05,2555.55,26172,79868679.35,6362,SCHAEFFLER
8,2023-12-18,EQ,3052.35,3078.2,3040.0,3052.35,3071.0,3070.15,3061.85,3726.05,2555.55,36464,111647354.85,8606,SCHAEFFLER
9,2023-12-15,EQ,3080.7,3080.7,3045.05,3065.4,3050.0,3052.35,3062.24,3726.05,2555.55,59678,182748504.35,6868,SCHAEFFLER
10,2023-12-14,EQ,3053.0,3075.25,3040.0,3034.4,3059.9,3065.4,3068.48,3726.05,2555.55,47733,146467681.05,8697,SCHAEFFLER
11,2023-12-13,EQ,3049.8,3065.05,2960.0,3049.8,3043.0,3034.4,3039.49,3726.05,2555.55,43367,131813357.85,6914,SCHAEFFLER
12,2023-12-12,EQ,3084.05,3085.0,3014.6,3076.95,3054.0,3049.8,3048.47,3726.05,2555.55,83880,255705684.65,8673,SCHAEFFLER
13,2023-12-11,EQ,3036.3,3085.0,3032.0,3037.3,3080.0,3076.95,3062.74,3726.05,2555.55,83887,256923761.55,10452,SCHAEFFLER
14,2023-12-08,EQ,3037.0,3044.65,3005.1,3027.05,3035.9,3037.3,3024.8,3726.05,2555.55,86589,261914530.9,8741,SCHAEFFLER
15,2023-12-07,EQ,3035.45,3064.35,3006.75,3008.85,3029.0,3027.05,3033.73,3726.05,2555.55,73810,223919974.6,10713,SCHAEFFLER
16,2023-12-06,EQ,2990.0,3025.0,2945.0,2973.2,3007.0,3008.85,2999.97,3726.05,2555.55,61091,183271321.8,11327,SCHAEFFLER
17,2023-12-05,EQ,2940.0,2979.0,2922.1,2940.55,2978.0,2973.2,2956.81,3726.05,2555.55,73077,216074900.35,14261,SCHAEFFLER
18,2023-12-04,EQ,2903.85,2945.0,2881.55,2867.6,2944.9,2940.55,2921.28,3726.05,2555.55,71367,208482692.6,14813,SCHAEFFLER
19,2023-12-01,EQ,2848.0,2874.95,2840.45,2838.1,2860.0,2867.6,2862.2,3726.05,2555.55,46215,132276764.65,7710,SCHAEFFLER
20,2023-11-30,EQ,2836.9,2842.0,2811.6,2823.75,2839.75,2838.1,2831.79,3726.05,2555.55,136680,387049515.2,14265,SCHAEFFLER
21,2023-11-29,EQ,2770.75,2833.95,2727.0,2770.45,2827.0,2823.75,2797.96,3726.05,2555.55,220636,617329887.15,22864,SCHAEFFLER
22,2023-11-28,EQ,2820.0,2840.0,2763.9,2794.95,2770.75,2770.45,2775.79,3726.05,2555.55,53168,147583468.25,6028,SCHAEFFLER
23,2023-11-24,EQ,2850.0,2864.95,2786.3,2842.65,2806.0,2794.95,2823.25,3726.05,2555.55,73829,208438043.45,13912,SCHAEFFLER
24,2023-11-23,EQ,2844.0,2888.15,2821.1,2811.85,2840.0,2842.65,2847.3,3726.05,2555.55,136061,387405884.2,19111,SCHAEFFLER
25,2023-11-22,EQ,2775.0,2859.0,2750.2,2770.2,2830.0,2811.85,2805.46,3726.05,2555.55,325805,914032805.15,18351,SCHAEFFLER
26,2023-11-21,EQ,2756.05,2775.0,2748.95,2756.45,2772.0,2770.2,2765.69,3726.05,2555.55,38627,106830302.1,7337,SCHAEFFLER
27,2023-11-20,EQ,2710.0,2765.0,2702.3,2711.3,2755.0,2756.45,2741.99,3726.05,2555.55,99269,272194143.9,11676,SCHAEFFLER
28,2023-11-17,EQ,2750.7,2767.4,2705.0,2747.25,2711.0,2711.3,2735.57,3726.05,2555.55,70208,192059150.25,10810,SCHAEFFLER
29,2023-11-16,EQ,2757.95,2785.0,2739.95,2754.5,2755.0,2747.25,2764.46,3726.05,2555.55,86879,240173421.6,9411,SCHAEFFLER
30,2023-11-15,EQ,2775.0,2775.8,2728.45,2732.25,2764.95,2754.5,2748.81,3726.05,2555.55,73881,203085157.1,10821,SCHAEFFLER
31,2023-11-13,EQ,2774.0,2792.95,2721.8,2787.05,2731.7,2732.25,2732.78,3726.05,2555.55,296411,810026741.95,16831,SCHAEFFLER
32,2023-11-12,EQ,2800.0,2810.0,2781.0,2748.45,2793.0,2787.05,2790.4,3726.05,2555.55,11083,30926030.2,1695,SCHAEFFLER
33,2023-11-10,EQ,2779.65,2797.15,2723.05,2773.4,2745.0,2748.45,2749.11,3726.05,2555.55,234460,644556425.3,19957,SCHAEFFLER
34,2023-11-09,EQ,2774.8,2820.0,2762.45,2760.95,2773.0,2773.4,2794.64,3726.05,2555.55,83922,234532056.0,7486,SCHAEFFLER
35,2023-11-08,EQ,2792.0,2792.0,2723.0,2770.25,2761.0,2760.95,2742.83,3726.05,2555.55,210259,576703705.55,20806,SCHAEFFLER
36,2023-11-07,EQ,2755.5,2778.0,2731.6,2741.75,2772.0,2770.25,2764.84,3726.05,2555.55,143769,397498489.95,7908,SCHAEFFLER
37,2023-11-06,EQ,2782.0,2795.85,2720.0,2737.6,2739.0,2741.75,2744.35,3726.05,2555.55,129091,354271442.0,16537,SCHAEFFLER
38,2023-11-03,EQ,2680.0,2772.95,2665.65,2651.0,2732.9,2737.6,2736.01,3726.05,2555.55,100414,274734188.7,14817,SCHAEFFLER
39,2023-11-02,EQ,2756.0,2777.25,2612.2,2739.2,2665.0,2651.0,2675.32,3726.05,2555.55,234360,626987187.95,32834,SCHAEFFLER
40,2023-11-01,EQ,2809.0,2850.0,2728.55,2817.4,2747.45,2739.2,2763.23,3726.05,2555.55,167504,462852235.6,23271,SCHAEFFLER
41,2023-10-31,EQ,2896.35,2906.15,2795.5,2859.95,2818.0,2817.4,2819.19,3726.05,2555.55,208474,587728160.95,30525,SCHAEFFLER
42,2023-10-30,EQ,2992.0,3000.0,2843.6,2992.5,2887.0,2859.95,2889.06,3726.05,2555.55,225534,651581702.0,31752,SCHAEFFLER
43,2023-10-27,EQ,3019.0,3049.7,2958.9,2972.25,2975.0,2992.5,3000.1,3726.05,2555.55,112014,336052876.75,17751,SCHAEFFLER
44,2023-10-26,EQ,2991.25,2992.45,2940.65,2981.65,2985.0,2972.25,2972.37,3726.05,2555.55,29398,87381607.5,6988,SCHAEFFLER
45,2023-10-25,EQ,2970.0,3027.0,2952.05,2965.0,2985.0,2981.65,2980.79,3726.05,2555.55,41319,123163219.45,8646,SCHAEFFLER
46,2023-10-23,EQ,3082.9,3099.0,2936.0,3082.9,3000.0,2965.0,3004.69,3726.05,2555.55,54810,164686785.2,11472,SCHAEFFLER
