,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,960.0,1106.0,955.6,947.3,1060.4,1045.9,1006.72,1106.0,562.0,2487580,2504294425.35,97537,SEAMECLTD
1,2023-12-28,EQ,945.2,952.25,930.9,940.45,949.0,947.3,942.84,983.8,562.0,60073,56638956.3,3692,SEAMECLTD
2,2023-12-27,EQ,958.0,963.9,937.75,947.15,946.75,940.45,947.7,983.8,562.0,172801,163764053.2,8841,SEAMECLTD
3,2023-12-26,EQ,935.0,969.0,927.0,941.55,940.8,947.15,948.05,983.8,562.0,137324,130190302.8,9406,SEAMECLTD
4,2023-12-22,EQ,916.6,958.0,916.25,916.6,941.5,941.55,941.73,1003.45,562.0,105682,99523667.85,7766,SEAMECLTD
5,2023-12-21,EQ,909.95,937.95,901.0,909.95,905.0,916.6,920.06,1003.45,562.0,143951,132444020.8,8099,SEAMECLTD
6,2023-12-20,EQ,958.85,961.0,892.1,954.05,924.8,909.95,935.72,1003.45,562.0,146669,137241737.65,8260,SEAMECLTD
7,2023-12-19,EQ,951.2,963.5,942.55,955.2,952.0,954.05,956.35,1003.45,562.0,119196,113992889.05,7688,SEAMECLTD
8,2023-12-18,EQ,920.0,978.0,905.0,910.4,955.0,955.2,936.0,1003.45,562.0,478474,447851589.5,20081,SEAMECLTD
9,2023-12-15,EQ,934.75,938.0,900.5,932.7,917.8,910.4,913.68,1098.7,562.0,253214,231356152.25,4927,SEAMECLTD
10,2023-12-14,EQ,941.25,947.95,930.05,944.35,934.45,932.7,936.02,1098.7,562.0,54728,51226482.15,4227,SEAMECLTD
11,2023-12-13,EQ,975.0,975.0,938.6,963.65,940.5,944.35,951.58,1098.7,562.0,134211,127712628.75,5663,SEAMECLTD
12,2023-12-12,EQ,939.7,969.0,935.4,941.05,966.0,963.65,953.3,1098.7,562.0,185424,176765011.25,12878,SEAMECLTD
13,2023-12-11,EQ,925.0,949.0,909.85,922.15,927.0,941.05,931.78,1098.7,562.0,145376,135458826.65,9653,SEAMECLTD
14,2023-12-08,EQ,924.85,937.8,915.0,923.75,923.05,922.15,923.5,1098.7,562.0,61769,57043471.5,4957,SEAMECLTD
15,2023-12-07,EQ,917.9,933.9,906.05,915.0,923.0,923.75,920.24,1098.7,562.0,80663,74228918.6,6176,SEAMECLTD
16,2023-12-06,EQ,915.0,940.0,905.0,914.4,919.7,915.0,920.04,1098.7,562.0,158545,145867431.6,8090,SEAMECLTD
17,2023-12-05,EQ,938.45,965.55,901.2,931.3,912.35,914.4,930.07,1098.7,562.0,122043,113509031.4,8856,SEAMECLTD
18,2023-12-04,EQ,965.0,970.0,916.85,931.45,934.0,931.3,936.51,1098.7,562.0,99580,93257201.4,6260,SEAMECLTD
19,2023-12-01,EQ,913.6,939.0,907.6,909.05,927.5,931.45,926.7,1098.7,562.0,129371,119888057.4,8771,SEAMECLTD
20,2023-11-30,EQ,919.95,925.45,900.0,910.0,907.5,909.05,911.03,1098.7,562.0,76751,69922259.0,4650,SEAMECLTD
21,2023-11-29,EQ,932.0,936.9,897.05,922.25,916.0,910.0,922.19,1098.7,562.0,83321,76837998.6,4864,SEAMECLTD
22,2023-11-28,EQ,918.7,932.0,903.6,914.25,930.0,922.25,916.92,1098.7,562.0,91577,83969083.9,7910,SEAMECLTD
23,2023-11-24,EQ,920.25,942.0,910.0,921.85,911.0,914.25,921.56,1098.7,562.0,202550,186661531.2,7143,SEAMECLTD
24,2023-11-23,EQ,882.3,937.45,881.55,880.2,924.0,921.85,919.47,1098.7,562.0,343755,316070960.45,17539,SEAMECLTD
25,2023-11-22,EQ,888.05,913.8,876.0,882.2,883.0,880.2,891.86,1098.7,562.0,98674,88003822.5,7989,SEAMECLTD
26,2023-11-21,EQ,904.7,909.0,876.0,900.65,888.0,882.2,888.09,1098.7,562.0,118493,105232757.15,8632,SEAMECLTD
27,2023-11-20,EQ,884.8,933.45,884.8,882.15,899.25,900.65,907.89,1098.7,562.0,184379,167396389.45,11287,SEAMECLTD
28,2023-11-17,EQ,881.0,906.5,871.3,880.9,875.0,882.15,893.68,1098.7,562.0,220436,196999046.15,9142,SEAMECLTD
29,2023-11-16,EQ,865.6,898.0,863.5,866.0,882.0,880.9,884.15,1098.7,562.0,109972,97231550.95,6370,SEAMECLTD
30,2023-11-15,EQ,879.9,881.0,860.75,866.7,865.0,866.0,867.68,1098.7,562.0,175224,152038708.95,5351,SEAMECLTD
31,2023-11-13,EQ,840.5,884.9,824.55,840.45,867.45,866.7,865.02,1098.7,562.0,405925,351134969.65,18979,SEAMECLTD
32,2023-11-12,EQ,833.0,853.95,822.25,820.4,846.0,840.45,839.8,1126.2,562.0,71245,59831340.25,1678,SEAMECLTD
33,2023-11-10,EQ,806.0,829.0,785.0,821.7,822.45,820.4,812.43,1126.2,562.0,167314,135930981.6,7618,SEAMECLTD
34,2023-11-09,EQ,801.0,830.0,792.0,800.5,819.0,821.7,816.82,1126.2,562.0,381228,311393111.35,15417,SEAMECLTD
35,2023-11-08,EQ,807.6,840.0,792.0,807.6,795.1,800.5,812.12,1126.2,562.0,421626,342409773.5,20576,SEAMECLTD
36,2023-11-07,EQ,710.0,827.95,710.0,719.05,811.0,807.6,792.97,1126.2,562.0,1476826,1171077686.2,61687,SEAMECLTD
37,2023-11-06,EQ,691.3,729.0,687.5,687.85,712.0,719.05,713.59,1126.2,562.0,85962,61341918.2,4570,SEAMECLTD
38,2023-11-03,EQ,688.55,707.9,680.0,685.1,690.0,687.85,695.55,1144.0,562.0,35251,24518812.7,3642,SEAMECLTD
39,2023-11-02,EQ,696.0,713.9,678.8,699.15,689.4,685.1,692.15,1144.0,562.0,32617,22575887.95,3528,SEAMECLTD
40,2023-11-01,EQ,707.0,716.75,695.05,713.9,703.1,699.15,705.98,1144.0,562.0,44958,31739387.2,7590,SEAMECLTD
41,2023-10-31,EQ,715.0,724.0,706.0,708.9,710.0,713.9,716.63,1144.0,562.0,59180,42410270.6,4327,SEAMECLTD
42,2023-10-30,EQ,686.25,718.0,665.0,681.8,714.0,708.9,703.09,1144.0,562.0,102301,71926507.85,7392,SEAMECLTD
43,2023-10-27,EQ,685.8,695.0,669.55,668.15,675.0,681.8,680.82,1198.95,562.0,26843,18275203.7,3467,SEAMECLTD
44,2023-10-26,EQ,669.7,685.0,629.55,661.25,685.0,668.15,647.76,1198.95,562.0,54690,35425926.0,7405,SEAMECLTD
45,2023-10-25,EQ,683.8,688.9,642.45,675.8,659.0,661.25,659.84,1198.95,562.0,45309,29896914.5,4662,SEAMECLTD
46,2023-10-23,EQ,715.0,721.45,665.0,719.9,665.0,675.8,691.85,1198.95,562.0,68594,47456832.0,6627,SEAMECLTD
47,2023-10-20,EQ,721.0,734.0,704.05,724.15,716.15,719.9,721.5,1217.8,562.0,225939,163016039.65,13081,SEAMECLTD
48,2023-10-19,EQ,643.95,739.0,637.35,642.0,712.9,724.15,708.11,1217.8,562.0,874705,619387099.2,50798,SEAMECLTD
49,2023-10-18,EQ,636.45,647.3,628.7,633.25,638.0,642.0,638.37,1217.8,562.0,29188,18632620.45,2293,SEAMECLTD
