,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1020.0,1093.95,1015.0,1002.9,1034.0,1023.5,1053.11,1224.65,381.35,497093,523493134.45,34333,SHAKTIPUMP
1,2023-12-28,EQ,997.65,1010.0,970.55,988.05,1005.0,1002.9,995.53,1224.65,381.35,60239,59969527.65,7405,SHAKTIPUMP
2,2023-12-27,EQ,1004.65,1010.0,980.0,994.7,989.0,988.05,997.45,1224.65,381.35,42463,42354789.25,4291,SHAKTIPUMP
3,2023-12-26,EQ,994.65,1012.0,986.0,985.55,1000.55,994.7,1002.95,1224.65,381.35,59099,59273082.25,6502,SHAKTIPUMP
4,2023-12-22,EQ,963.0,999.85,963.0,978.75,985.0,985.55,987.7,1224.65,381.0,47479,46895170.15,6002,SHAKTIPUMP
5,2023-12-21,EQ,938.0,982.5,928.95,938.5,975.0,978.75,966.45,1224.65,381.0,58328,56371106.05,6099,SHAKTIPUMP
6,2023-12-20,EQ,978.95,986.0,933.0,972.15,943.0,938.5,962.23,1224.65,381.0,62822,60449014.9,9088,SHAKTIPUMP
7,2023-12-19,EQ,991.95,997.75,969.0,992.35,975.0,972.15,982.41,1224.65,381.0,58474,57445405.9,6194,SHAKTIPUMP
8,2023-12-18,EQ,997.9,1005.0,990.0,993.0,990.0,992.35,997.83,1224.65,381.0,44408,44311835.9,4051,SHAKTIPUMP
9,2023-12-15,EQ,996.35,1007.0,990.0,996.35,992.05,993.0,997.61,1224.65,381.0,30669,30595759.0,3351,SHAKTIPUMP
10,2023-12-14,EQ,1006.95,1012.0,991.35,997.35,998.75,996.35,999.05,1224.65,381.0,47510,47465074.55,5360,SHAKTIPUMP
11,2023-12-13,EQ,1003.9,1014.65,993.25,1003.9,999.0,997.35,1000.63,1224.65,381.0,43796,43823588.85,4588,SHAKTIPUMP
12,2023-12-12,EQ,1027.05,1048.7,996.6,1030.4,1004.8,1003.9,1014.21,1224.65,381.0,95479,96835836.2,10097,SHAKTIPUMP
13,2023-12-11,EQ,991.0,1035.9,984.0,983.35,1033.0,1030.4,1016.94,1224.65,381.0,83521,84936076.15,8470,SHAKTIPUMP
14,2023-12-08,EQ,1009.25,1013.8,980.05,1003.25,983.25,983.35,995.71,1224.65,381.0,55456,55218366.8,5533,SHAKTIPUMP
15,2023-12-07,EQ,1018.0,1028.95,997.75,1012.95,1006.0,1003.25,1012.63,1224.65,381.0,45974,46554533.9,4932,SHAKTIPUMP
16,2023-12-06,EQ,1019.95,1034.0,1000.15,1011.15,1011.95,1012.95,1012.67,1224.65,381.0,59914,60673158.4,5785,SHAKTIPUMP
17,2023-12-05,EQ,1029.6,1040.0,1005.0,1021.7,1014.0,1011.15,1019.56,1224.65,381.0,51821,52834868.0,5822,SHAKTIPUMP
18,2023-12-04,EQ,1013.0,1055.0,1010.0,1002.8,1030.0,1021.7,1028.64,1224.65,381.0,63008,64812357.05,6790,SHAKTIPUMP
19,2023-12-01,EQ,1005.1,1018.2,1000.0,1004.6,1008.0,1002.8,1008.49,1224.65,381.0,33544,33828692.25,4086,SHAKTIPUMP
20,2023-11-30,EQ,1016.9,1021.7,996.0,1015.15,1014.4,1004.6,1005.45,1224.65,381.0,48166,48428450.2,4757,SHAKTIPUMP
21,2023-11-29,EQ,1027.5,1028.9,1011.0,1018.65,1015.4,1015.15,1021.55,1224.65,381.0,35670,36438710.95,3353,SHAKTIPUMP
22,2023-11-28,EQ,1014.3,1025.0,1010.0,1014.3,1023.5,1018.65,1018.39,1224.65,381.0,33626,34244237.25,3260,SHAKTIPUMP
23,2023-11-24,EQ,1017.85,1025.3,1005.85,1017.85,1023.0,1014.3,1016.97,1224.65,381.0,40200,40882227.75,4899,SHAKTIPUMP
24,2023-11-23,EQ,1036.65,1041.3,1013.65,1028.15,1020.0,1017.85,1023.87,1224.65,381.0,35055,35891875.35,4557,SHAKTIPUMP
25,2023-11-22,EQ,1038.6,1050.75,1005.75,1031.1,1027.0,1028.15,1027.19,1224.65,381.0,60845,62499203.05,6927,SHAKTIPUMP
26,2023-11-21,EQ,1021.75,1057.65,1021.75,1021.75,1033.0,1031.1,1035.93,1224.65,381.0,56970,59016998.75,6572,SHAKTIPUMP
27,2023-11-20,EQ,1038.05,1044.65,1017.15,1037.05,1026.0,1021.75,1027.17,1224.65,381.0,68286,70141124.75,7081,SHAKTIPUMP
28,2023-11-17,EQ,1045.95,1069.0,1021.4,1046.55,1040.0,1037.05,1044.67,1224.65,381.0,73903,77204533.0,8278,SHAKTIPUMP
29,2023-11-16,EQ,1076.5,1076.5,1033.15,1070.1,1044.0,1046.55,1052.03,1224.65,381.0,82304,86586575.5,7271,SHAKTIPUMP
30,2023-11-15,EQ,1083.4,1099.85,1065.55,1076.1,1072.45,1070.1,1078.78,1224.65,381.0,89385,96427187.3,6435,SHAKTIPUMP
31,2023-11-13,EQ,1073.5,1094.2,1053.85,1072.25,1078.0,1076.1,1079.77,1224.65,381.0,87919,94932721.45,8051,SHAKTIPUMP
32,2023-11-12,EQ,1066.0,1078.0,1065.0,1058.85,1070.0,1072.25,1070.7,1224.65,381.0,27107,29023447.05,2418,SHAKTIPUMP
33,2023-11-10,EQ,1066.15,1069.7,1050.1,1066.15,1055.2,1058.85,1060.29,1224.65,381.0,60476,64122244.05,4462,SHAKTIPUMP
34,2023-11-09,EQ,1071.95,1095.0,1055.55,1069.55,1065.05,1066.15,1074.33,1224.65,381.0,101912,109487300.6,8129,SHAKTIPUMP
35,2023-11-08,EQ,1068.0,1074.4,1028.05,1046.9,1071.0,1069.55,1053.78,1224.65,381.0,122949,129561595.55,8182,SHAKTIPUMP
36,2023-11-07,EQ,1076.6,1079.0,1042.05,1072.95,1047.5,1046.9,1054.25,1224.65,381.0,105142,110845871.7,7376,SHAKTIPUMP
37,2023-11-06,EQ,1078.0,1128.0,1064.55,1057.0,1072.0,1072.95,1088.72,1224.65,381.0,334668,364359313.5,17636,SHAKTIPUMP
38,2023-11-03,EQ,1062.0,1078.8,1044.3,1049.5,1061.0,1057.0,1063.09,1224.65,381.0,161937,172152946.5,8144,SHAKTIPUMP
39,2023-11-02,EQ,1078.0,1091.8,1036.25,1068.45,1048.1,1049.5,1063.67,1224.65,381.0,137521,146276599.35,9033,SHAKTIPUMP
40,2023-11-01,EQ,1041.9,1082.0,1028.5,1035.65,1063.4,1068.45,1051.41,1224.65,381.0,242721,255200033.35,14485,SHAKTIPUMP
41,2023-10-31,EQ,1024.5,1103.45,1024.45,1012.8,1034.25,1035.65,1064.96,1224.65,381.0,818641,871821451.1,42605,SHAKTIPUMP
42,2023-10-30,EQ,1035.0,1041.4,1000.95,1033.85,1015.0,1012.8,1015.97,1224.65,381.0,116414,118273562.4,11109,SHAKTIPUMP
43,2023-10-27,EQ,1065.0,1077.0,1025.25,1052.7,1031.0,1033.85,1049.33,1224.65,381.0,213949,224502081.5,15588,SHAKTIPUMP
44,2023-10-26,EQ,1020.1,1107.9,982.5,1035.95,1052.0,1052.7,1050.73,1224.65,381.0,826140,868047252.2,45731,SHAKTIPUMP
45,2023-10-25,EQ,1098.8,1104.9,1004.05,1072.75,1044.0,1035.95,1049.7,1224.65,381.0,426540,447740312.1,23423,SHAKTIPUMP
46,2023-10-23,EQ,1145.0,1166.95,1053.3,1136.05,1070.0,1072.75,1108.92,1224.65,381.0,871160,966045036.0,51299,SHAKTIPUMP
47,2023-10-20,EQ,1185.0,1224.65,1116.0,1110.5,1139.0,1136.05,1165.78,1224.65,381.0,4134317,4819700747.25,152365,SHAKTIPUMP
48,2023-10-19,EQ,950.0,1110.5,937.1,925.45,1110.5,1110.5,1044.65,1110.5,381.0,3124365,3263853400.15,95960,SHAKTIPUMP
49,2023-10-18,EQ,931.85,932.0,903.0,929.45,926.5,925.45,920.8,963.2,381.0,162581,149704962.9,8697,SHAKTIPUMP
50,2023-10-17,EQ,919.0,938.9,912.8,910.3,929.0,929.45,927.97,963.2,381.0,261818,242958435.95,13537,SHAKTIPUMP
51,2023-10-16,EQ,918.7,928.0,905.2,914.35,912.3,910.3,915.01,963.2,381.0,162213,148427019.85,8933,SHAKTIPUMP
52,2023-10-13,EQ,909.0,944.7,898.2,909.9,915.0,914.35,920.91,963.2,381.0,563679,519097704.2,25391,SHAKTIPUMP
53,2023-10-12,EQ,898.0,917.75,897.95,890.25,914.0,909.9,909.27,963.2,381.0,271803,247141429.9,14004,SHAKTIPUMP
54,2023-10-11,EQ,897.4,914.9,884.8,888.55,895.6,890.25,899.25,963.2,381.0,249123,224024037.95,13674,SHAKTIPUMP
