,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,624.0,631.75,610.7,620.1,629.0,618.8,619.97,745.0,377.65,149236,92521661.6,12487,SJS
1,2023-12-28,EQ,619.3,625.05,607.3,619.3,620.0,620.1,613.95,745.0,377.65,213197,130892886.4,18051,SJS
2,2023-12-27,EQ,634.5,634.5,614.6,631.3,618.0,619.3,620.49,745.0,377.65,213955,132756769.6,19025,SJS
3,2023-12-26,EQ,620.7,637.55,618.3,620.7,626.5,631.3,628.22,745.0,377.65,106814,67103061.1,12989,SJS
4,2023-12-22,EQ,627.5,633.8,613.3,627.5,619.5,620.7,622.47,745.0,377.65,137260,85440028.35,11871,SJS
5,2023-12-21,EQ,612.0,635.0,612.0,622.85,626.0,627.5,625.71,745.0,377.65,124262,77751794.75,10699,SJS
6,2023-12-20,EQ,633.0,642.0,618.85,636.2,623.5,622.85,627.39,745.0,377.65,98867,62028551.7,7909,SJS
7,2023-12-19,EQ,636.4,645.0,630.5,635.6,635.0,636.2,638.24,745.0,377.65,67540,43106529.45,5640,SJS
8,2023-12-18,EQ,643.9,643.9,633.0,643.9,636.4,635.6,637.1,745.0,377.65,60602,38609520.1,5596,SJS
9,2023-12-15,EQ,642.95,651.7,639.35,644.8,645.0,643.9,645.87,745.0,377.65,196851,127139938.2,11610,SJS
10,2023-12-14,EQ,630.0,655.2,622.85,624.25,644.5,644.8,638.78,745.0,377.65,463410,296016197.7,22181,SJS
11,2023-12-13,EQ,625.8,629.05,615.0,625.8,623.15,624.25,624.17,745.0,377.65,43196,26961745.35,3883,SJS
12,2023-12-12,EQ,634.0,634.0,623.1,625.45,626.8,625.8,627.23,745.0,377.65,60523,37961860.5,5159,SJS
13,2023-12-11,EQ,635.2,635.6,623.7,632.15,624.6,625.45,626.32,745.0,377.65,79621,49867952.05,5221,SJS
14,2023-12-08,EQ,641.7,642.8,628.55,637.0,630.0,632.15,634.72,745.0,377.65,72895,46267741.35,6317,SJS
15,2023-12-07,EQ,621.0,645.05,621.0,624.5,639.0,637.0,637.45,745.0,377.65,131318,83709173.3,9667,SJS
16,2023-12-06,EQ,630.0,632.2,621.75,624.3,625.95,624.5,625.67,745.0,377.65,86731,54265091.35,5740,SJS
17,2023-12-05,EQ,620.0,630.5,619.05,623.9,625.8,624.3,623.04,745.0,377.65,84219,52471835.05,6349,SJS
18,2023-12-04,EQ,636.9,636.9,617.95,626.55,621.0,623.9,624.33,745.0,377.65,97874,61105271.95,8382,SJS
19,2023-12-01,EQ,635.8,639.55,624.75,630.6,625.0,626.55,629.58,745.0,377.65,83641,52658580.4,6795,SJS
20,2023-11-30,EQ,634.8,641.0,627.05,634.85,630.0,630.6,633.52,745.0,377.65,103326,65459081.5,9293,SJS
21,2023-11-29,EQ,618.0,638.0,614.0,614.15,633.0,634.85,630.02,745.0,377.65,282904,178234785.9,9986,SJS
22,2023-11-28,EQ,614.15,624.95,610.0,614.15,617.0,614.15,616.62,745.0,377.65,98596,60796692.0,8206,SJS
23,2023-11-24,EQ,622.05,622.7,605.0,618.3,613.0,614.15,616.26,745.0,377.65,82678,50951444.95,6136,SJS
24,2023-11-23,EQ,630.0,630.0,614.0,632.2,620.0,618.3,618.41,745.0,377.65,291418,180214888.15,9225,SJS
25,2023-11-22,EQ,618.1,638.45,614.15,618.1,630.0,632.2,628.08,745.0,377.65,489969,307738745.7,10500,SJS
26,2023-11-21,EQ,625.0,625.3,616.0,624.55,617.15,618.1,619.87,745.0,377.65,86891,53861300.55,7627,SJS
27,2023-11-20,EQ,622.0,628.0,610.7,620.0,621.2,624.55,618.08,745.0,377.65,138500,85604294.35,9520,SJS
28,2023-11-17,EQ,615.0,622.95,610.0,618.85,617.3,620.0,617.83,745.0,377.65,134378,83022261.25,9015,SJS
29,2023-11-16,EQ,624.0,625.45,613.9,621.75,617.0,618.85,619.25,745.0,377.65,89440,55385667.05,6061,SJS
30,2023-11-15,EQ,628.0,632.05,619.25,627.05,624.8,621.75,627.27,745.0,377.65,148119,92910042.35,12852,SJS
31,2023-11-13,EQ,635.95,635.95,621.05,638.75,625.5,627.05,629.11,745.0,377.65,106939,67276439.25,7628,SJS
32,2023-11-12,EQ,638.7,645.0,630.0,630.55,632.5,638.75,638.9,745.0,377.65,106105,67790004.2,3910,SJS
33,2023-11-10,EQ,613.0,633.35,608.85,611.7,628.0,630.55,623.35,745.0,377.65,262101,163380521.15,12348,SJS
34,2023-11-09,EQ,647.5,651.95,608.5,641.25,619.0,611.7,620.53,745.0,377.65,844229,523868336.3,41236,SJS
35,2023-11-08,EQ,680.0,687.85,635.8,697.45,646.0,641.25,660.76,745.0,377.65,888425,587038427.25,42833,SJS
36,2023-11-07,EQ,705.0,709.75,676.15,700.45,700.0,697.45,701.5,745.0,377.65,107008,75066537.85,6774,SJS
37,2023-11-06,EQ,692.35,707.45,692.35,689.8,700.1,700.45,701.1,745.0,377.65,77846,54578206.3,6761,SJS
38,2023-11-03,EQ,686.6,698.8,679.95,679.95,692.35,689.8,689.61,745.0,377.65,82822,57115115.4,6702,SJS
39,2023-11-02,EQ,671.95,688.6,671.95,666.3,681.55,679.95,680.88,745.0,377.65,44034,29981845.0,4382,SJS
40,2023-11-01,EQ,678.0,680.45,661.15,676.65,666.0,666.3,668.04,745.0,377.65,53378,35658663.15,4099,SJS
41,2023-10-31,EQ,678.05,687.9,675.0,680.8,675.3,676.65,679.44,745.0,377.65,47062,31976004.9,4426,SJS
42,2023-10-30,EQ,672.0,692.0,662.7,672.0,676.05,680.8,681.09,745.0,377.65,140409,95631158.65,6923,SJS
43,2023-10-27,EQ,675.0,684.8,662.6,668.85,667.0,672.0,673.21,745.0,377.65,86173,58012787.4,6263,SJS
44,2023-10-26,EQ,666.4,688.0,622.4,656.55,671.3,668.85,640.47,745.0,377.65,514263,329370612.1,29020,SJS
45,2023-10-25,EQ,667.7,684.4,650.0,667.3,658.0,656.55,664.85,745.0,377.65,115375,76706781.15,10511,SJS
46,2023-10-23,EQ,693.75,696.5,660.2,693.75,665.0,667.3,677.36,745.0,377.65,97297,65905196.75,7895,SJS
47,2023-10-20,EQ,688.5,718.8,687.75,684.6,693.25,693.75,703.61,745.0,377.65,253380,178279829.25,12489,SJS
48,2023-10-19,EQ,696.6,696.6,683.0,692.6,687.2,684.6,686.75,745.0,377.65,76570,52584566.8,5584,SJS
