,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4580.15,4654.7,4571.2,4557.35,4582.2,4600.1,4603.08,5534.95,3960.1,43395,199750590.25,4348,SKFINDIA
1,2023-12-28,EQ,4599.0,4658.55,4550.0,4595.6,4559.95,4557.35,4592.32,5534.95,3960.1,22647,104002360.25,6571,SKFINDIA
2,2023-12-27,EQ,4662.9,4712.0,4450.15,4660.2,4589.5,4595.6,4632.87,5534.95,3960.1,80841,374525546.15,9042,SKFINDIA
3,2023-12-26,EQ,4739.9,4739.9,4624.2,4697.3,4678.0,4660.2,4668.94,5534.95,3960.1,10648,49714838.85,3156,SKFINDIA
4,2023-12-22,EQ,4701.0,4739.9,4651.0,4699.75,4700.0,4697.3,4700.26,5534.95,3960.1,70480,331274374.2,4892,SKFINDIA
5,2023-12-21,EQ,4602.3,4704.0,4525.0,4644.5,4697.3,4699.75,4668.9,5534.95,3960.1,114155,532978822.7,5018,SKFINDIA
6,2023-12-20,EQ,4725.4,4725.4,4579.8,4700.7,4615.05,4644.5,4660.76,5534.95,3960.1,17083,79619830.85,5175,SKFINDIA
7,2023-12-19,EQ,4708.0,4720.6,4675.0,4675.3,4697.95,4700.7,4695.23,5534.95,3960.1,10355,48619143.3,2721,SKFINDIA
8,2023-12-18,EQ,4637.9,4688.0,4580.15,4590.9,4688.0,4675.3,4647.49,5534.95,3960.1,29213,135767220.85,6136,SKFINDIA
9,2023-12-15,EQ,4500.0,4625.0,4479.75,4451.05,4599.95,4590.9,4579.41,5534.95,3960.1,31369,143651624.4,7826,SKFINDIA
10,2023-12-14,EQ,4461.75,4550.0,4441.0,4449.8,4481.8,4451.05,4474.33,5534.95,3960.1,25383,113572029.0,6301,SKFINDIA
11,2023-12-13,EQ,4518.1,4520.25,4445.0,4494.45,4450.0,4449.8,4467.69,5534.95,3960.1,17391,77697529.35,4556,SKFINDIA
12,2023-12-12,EQ,4568.9,4598.9,4477.2,4545.0,4490.0,4494.45,4532.13,5534.95,3960.1,17039,77223045.85,4336,SKFINDIA
13,2023-12-11,EQ,4575.0,4613.05,4522.25,4568.95,4549.0,4545.0,4590.17,5534.95,3960.1,56507,259376886.25,5388,SKFINDIA
14,2023-12-08,EQ,4626.65,4665.8,4555.15,4620.65,4570.0,4568.95,4588.16,5534.95,3960.1,18717,85876580.7,4485,SKFINDIA
15,2023-12-07,EQ,4646.5,4646.5,4589.6,4622.2,4628.0,4620.65,4612.66,5534.95,3960.1,17820,82197576.25,4186,SKFINDIA
16,2023-12-06,EQ,4720.0,4727.4,4600.05,4699.0,4613.0,4622.2,4694.33,5534.95,3960.1,52893,248297020.35,6384,SKFINDIA
