,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,639.05,651.65,633.1,631.8,643.5,644.5,642.65,651.65,398.05,4121670,2648797347.25,81724,SONACOMS
1,2023-12-28,EQ,618.0,636.85,608.0,614.5,634.5,631.8,626.07,636.85,398.05,7406636,4637062356.5,141899,SONACOMS
2,2023-12-27,EQ,582.0,625.7,581.0,578.85,616.05,614.5,612.97,625.95,398.05,10419288,6386731922.25,231249,SONACOMS
3,2023-12-26,EQ,579.95,589.8,576.0,577.0,577.95,578.85,581.61,625.95,398.05,962004,559510682.65,37561,SONACOMS
4,2023-12-22,EQ,575.0,580.9,571.65,571.4,575.8,577.0,577.26,625.95,398.05,1187816,685675810.85,37102,SONACOMS
5,2023-12-21,EQ,538.0,573.75,531.6,538.0,570.0,571.4,563.75,625.95,398.05,3442828,1940904750.75,90071,SONACOMS
6,2023-12-20,EQ,564.0,567.5,534.25,560.35,537.7,538.0,556.24,625.95,398.05,2182459,1213965563.3,82468,SONACOMS
7,2023-12-19,EQ,564.7,567.8,559.1,562.7,561.0,560.35,563.06,625.95,398.05,1918653,1080315185.4,27682,SONACOMS
8,2023-12-18,EQ,556.5,570.8,552.95,552.8,562.8,562.7,564.66,625.95,398.05,1685214,951576349.95,42853,SONACOMS
9,2023-12-15,EQ,560.0,562.65,548.5,558.1,552.95,552.8,554.07,625.95,398.05,1254239,694936385.35,46260,SONACOMS
10,2023-12-14,EQ,559.6,562.25,555.35,555.95,558.2,558.1,558.02,625.95,398.05,552515,308316079.9,22514,SONACOMS
11,2023-12-13,EQ,562.6,562.6,552.6,557.75,556.3,555.95,555.52,625.95,398.05,807360,448503975.05,30513,SONACOMS
12,2023-12-12,EQ,570.0,571.7,554.05,570.0,559.4,557.75,561.37,625.95,398.05,878426,493120316.1,42336,SONACOMS
13,2023-12-11,EQ,571.8,573.0,566.25,571.8,568.9,570.0,569.39,625.95,398.05,378595,215566597.95,18994,SONACOMS
14,2023-12-08,EQ,580.0,583.3,570.3,577.25,571.0,571.8,575.02,625.95,398.05,706183,406072016.95,27528,SONACOMS
15,2023-12-07,EQ,575.4,584.55,573.05,572.35,578.9,577.25,579.9,625.95,398.05,837733,485799447.95,31262,SONACOMS
16,2023-12-06,EQ,583.0,585.5,569.1,578.75,573.0,572.35,575.66,625.95,398.05,836932,481791558.5,27257,SONACOMS
17,2023-12-05,EQ,562.8,579.95,562.55,562.35,578.9,578.75,574.94,625.95,398.05,1670248,960297049.1,42578,SONACOMS
18,2023-12-04,EQ,565.0,571.8,559.0,562.15,563.4,562.35,561.98,625.95,398.05,1681465,944947645.9,33670,SONACOMS
19,2023-12-01,EQ,563.5,566.0,556.0,558.0,562.8,562.15,560.32,625.95,398.05,2072845,1161460549.75,53106,SONACOMS
20,2023-11-30,EQ,555.6,562.6,551.5,554.8,558.0,558.0,558.11,625.95,398.05,3660273,2042851359.05,69039,SONACOMS
21,2023-11-29,EQ,563.0,564.7,551.25,558.25,555.2,554.8,557.93,625.95,398.05,1285471,717202517.5,49138,SONACOMS
22,2023-11-28,EQ,572.4,573.4,555.5,568.15,559.1,558.25,560.43,625.95,398.05,1375997,771151211.0,55577,SONACOMS
23,2023-11-24,EQ,575.9,577.7,566.95,575.75,568.8,568.15,571.93,625.95,398.05,986656,564302761.2,27382,SONACOMS
24,2023-11-23,EQ,579.65,582.9,572.0,578.15,578.0,575.75,577.38,625.95,398.05,479014,276574445.3,19300,SONACOMS
25,2023-11-22,EQ,586.95,588.6,574.25,585.5,578.8,578.15,579.25,625.95,398.05,860263,498307333.8,34518,SONACOMS
26,2023-11-21,EQ,580.95,598.4,568.9,579.25,585.0,585.5,587.86,625.95,398.05,1656263,973654708.0,47696,SONACOMS
27,2023-11-20,EQ,586.4,592.0,575.6,585.8,581.25,579.25,580.24,625.95,398.05,487724,282995879.9,21111,SONACOMS
28,2023-11-17,EQ,580.4,590.6,577.15,579.2,586.5,585.8,583.96,625.95,398.05,1018975,595043680.7,32470,SONACOMS
29,2023-11-16,EQ,592.7,603.9,575.6,588.25,579.5,579.2,584.95,625.95,398.05,1868117,1092761644.65,49482,SONACOMS
30,2023-11-15,EQ,568.95,592.95,564.25,559.95,587.5,588.25,578.58,625.95,398.05,2325445,1345464098.55,62043,SONACOMS
31,2023-11-13,EQ,570.0,572.75,558.0,571.0,560.5,559.95,564.4,625.95,398.05,738903,417040429.1,21172,SONACOMS
32,2023-11-12,EQ,570.0,574.0,568.05,565.25,570.5,571.0,571.53,625.95,398.05,157784,90177721.15,7889,SONACOMS
33,2023-11-10,EQ,565.0,568.45,561.3,565.3,565.8,565.25,564.97,625.95,398.05,736785,416258662.3,18150,SONACOMS
34,2023-11-09,EQ,562.85,566.65,555.2,562.6,565.5,565.3,563.65,625.95,398.05,721273,406544229.25,23776,SONACOMS
35,2023-11-08,EQ,567.7,567.75,558.35,563.95,561.0,562.6,563.36,625.95,398.05,498569,280873780.3,15204,SONACOMS
