,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,558.7,562.75,555.85,558.75,560.0,559.6,559.58,800.0,345.3,66432,37174266.6,3286,SPLPETRO
1,2023-12-28,EQ,551.8,563.0,549.6,550.25,554.1,558.75,559.02,800.0,345.3,92720,51832711.65,6886,SPLPETRO
2,2023-12-27,EQ,553.95,556.75,546.2,553.95,551.8,550.25,551.53,800.0,345.3,55900,30830564.5,7182,SPLPETRO
3,2023-12-26,EQ,561.5,565.0,550.1,558.7,553.85,553.95,558.1,800.0,345.3,26886,15005027.5,2720,SPLPETRO
4,2023-12-22,EQ,547.4,564.0,547.4,544.7,562.25,558.7,557.94,800.0,345.3,60027,33491453.4,5703,SPLPETRO
5,2023-12-21,EQ,545.05,555.6,536.1,549.25,543.15,544.7,545.87,800.0,345.3,66719,36419698.25,6316,SPLPETRO
6,2023-12-20,EQ,561.4,565.9,545.0,558.6,547.95,549.25,557.98,800.0,345.3,135969,75867418.7,8715,SPLPETRO
7,2023-12-19,EQ,564.0,569.1,550.0,561.9,559.95,558.6,563.56,800.0,345.3,166442,93799844.55,11460,SPLPETRO
8,2023-12-18,EQ,563.65,565.0,552.05,551.75,562.25,561.9,560.27,800.0,345.3,108463,60768421.25,11066,SPLPETRO
9,2023-12-15,EQ,557.7,565.25,549.5,555.8,554.4,551.75,558.72,800.0,345.3,80882,45190373.85,5510,SPLPETRO
10,2023-12-14,EQ,565.0,566.0,552.5,562.6,554.0,555.8,560.5,800.0,345.3,30305,16985892.6,3156,SPLPETRO
11,2023-12-13,EQ,550.0,563.85,544.35,548.4,563.0,562.6,555.49,800.0,345.3,64160,35640339.2,6050,SPLPETRO
12,2023-12-12,EQ,561.2,561.2,545.0,557.1,548.95,548.4,551.09,800.0,345.3,75359,41529831.55,8130,SPLPETRO
13,2023-12-11,EQ,554.5,559.75,551.0,555.25,559.0,557.1,555.39,800.0,345.3,48539,26958000.95,4087,SPLPETRO
14,2023-12-08,EQ,560.0,561.0,551.5,558.65,554.75,555.25,556.01,800.0,345.3,47728,26537473.2,2410,SPLPETRO
15,2023-12-07,EQ,558.5,564.7,556.1,558.35,556.5,558.65,560.24,800.0,345.3,62925,35253233.9,5440,SPLPETRO
16,2023-12-06,EQ,565.9,566.8,554.05,564.8,556.1,558.35,560.09,800.0,345.3,79407,44475128.1,7380,SPLPETRO
17,2023-12-05,EQ,568.15,572.0,559.0,568.15,567.0,564.8,568.38,800.0,345.3,60189,34210255.4,4788,SPLPETRO
18,2023-12-04,EQ,569.0,580.0,565.95,563.35,570.0,568.15,573.0,800.0,345.3,86997,49849706.35,9905,SPLPETRO
19,2023-12-01,EQ,565.0,571.5,556.1,565.05,562.0,563.35,564.53,800.0,345.3,102909,58095172.35,5924,SPLPETRO
20,2023-11-30,EQ,564.5,567.0,559.0,560.4,565.0,565.05,564.57,800.0,345.3,112886,63731920.5,6257,SPLPETRO
21,2023-11-29,EQ,565.0,566.0,556.8,563.75,562.45,560.4,561.32,800.0,345.3,62279,34958205.5,5796,SPLPETRO
22,2023-11-28,EQ,560.0,571.9,560.0,556.75,565.0,563.75,564.54,800.0,345.3,103528,58445570.9,12739,SPLPETRO
23,2023-11-24,EQ,552.0,562.4,552.0,552.0,560.5,556.75,558.22,800.0,345.3,58136,32452626.85,6779,SPLPETRO
24,2023-11-23,EQ,559.95,563.7,547.5,558.8,550.45,552.0,553.14,800.0,345.3,39952,22098921.7,4249,SPLPETRO
25,2023-11-22,EQ,555.0,564.3,546.0,556.2,559.0,558.8,556.6,800.0,345.3,87616,48766772.7,9346,SPLPETRO
26,2023-11-21,EQ,560.3,566.0,551.1,560.3,554.2,556.2,560.75,800.0,345.3,50105,28096230.55,6948,SPLPETRO
27,2023-11-20,EQ,564.5,569.1,551.45,562.4,560.0,560.3,561.35,800.0,345.3,152816,85783368.35,10580,SPLPETRO
28,2023-11-17,EQ,563.8,572.0,558.0,563.8,561.0,562.4,565.16,800.0,345.3,91216,51551805.15,7807,SPLPETRO
29,2023-11-16,EQ,574.0,575.0,562.0,570.9,563.0,563.8,566.97,800.0,345.3,58247,33024529.4,3732,SPLPETRO
30,2023-11-15,EQ,562.1,574.0,557.85,567.9,570.0,570.9,566.91,800.0,345.3,85232,48319144.45,6841,SPLPETRO
31,2023-11-13,EQ,566.0,580.0,564.1,568.85,568.0,567.9,571.91,800.0,345.3,48682,27841611.7,4709,SPLPETRO
32,2023-11-12,EQ,578.95,585.0,568.0,572.65,572.2,568.85,572.13,800.0,345.3,21032,12033109.9,1108,SPLPETRO
33,2023-11-10,EQ,567.7,578.65,563.3,567.7,568.6,572.65,569.04,800.0,345.3,30747,17496289.05,3449,SPLPETRO
34,2023-11-09,EQ,579.0,582.85,564.4,578.85,566.65,567.7,571.53,800.0,345.3,43212,24696948.7,4443,SPLPETRO
35,2023-11-08,EQ,581.0,598.0,577.0,580.05,577.0,578.85,584.08,800.0,345.3,60788,35504983.25,4912,SPLPETRO
