,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1745.0,1745.0,1711.75,1733.0,1722.0,1721.8,1726.09,1970.7,945.0,17913,30919526.45,3892,STYLAMIND
1,2023-12-28,EQ,1736.95,1740.0,1722.0,1734.65,1730.0,1733.0,1733.43,1970.7,945.0,23512,40756469.75,4390,STYLAMIND
2,2023-12-27,EQ,1755.0,1762.25,1725.0,1752.45,1725.95,1734.65,1741.04,1970.7,945.0,24369,42427508.1,4936,STYLAMIND
3,2023-12-26,EQ,1776.25,1776.25,1745.0,1754.2,1748.0,1752.45,1761.08,1970.7,945.0,13985,24628692.2,3165,STYLAMIND
4,2023-12-22,EQ,1776.3,1780.0,1740.0,1770.4,1747.9,1754.2,1757.31,1970.7,945.0,9130,16044259.0,2053,STYLAMIND
5,2023-12-21,EQ,1725.0,1773.05,1698.8,1725.3,1772.0,1770.4,1742.65,1970.7,945.0,19436,33870204.6,3666,STYLAMIND
6,2023-12-20,EQ,1741.55,1772.75,1702.2,1736.45,1715.0,1725.3,1739.13,1970.7,945.0,22221,38645298.5,5118,STYLAMIND
7,2023-12-19,EQ,1721.0,1769.3,1721.0,1719.1,1740.0,1736.45,1742.38,1970.7,945.0,20581,35859851.45,4941,STYLAMIND
8,2023-12-18,EQ,1759.0,1759.0,1705.05,1751.4,1715.0,1719.1,1725.86,1970.7,945.0,23175,39996812.45,4110,STYLAMIND
9,2023-12-15,EQ,1742.75,1785.5,1734.3,1740.95,1754.85,1751.4,1760.76,1970.7,945.0,28282,49797804.15,4384,STYLAMIND
10,2023-12-14,EQ,1762.65,1769.35,1727.6,1758.4,1738.0,1740.95,1742.74,1970.7,945.0,22816,39762463.15,3234,STYLAMIND
11,2023-12-13,EQ,1756.05,1790.0,1739.75,1740.8,1750.9,1758.4,1766.09,1970.7,945.0,16518,29172350.75,3738,STYLAMIND
12,2023-12-12,EQ,1695.8,1755.9,1695.8,1695.8,1745.0,1740.8,1729.07,1970.7,945.0,44805,77471067.7,7966,STYLAMIND
13,2023-12-11,EQ,1733.2,1737.35,1669.05,1720.2,1689.0,1695.8,1695.45,1970.7,945.0,65358,110811004.8,8121,STYLAMIND
14,2023-12-08,EQ,1770.1,1778.5,1707.75,1766.1,1721.0,1720.2,1748.24,1970.7,945.0,50653,88553851.7,8398,STYLAMIND
15,2023-12-07,EQ,1794.05,1803.1,1755.0,1794.05,1782.15,1766.1,1773.36,1970.7,945.0,22669,40200274.8,4732,STYLAMIND
16,2023-12-06,EQ,1839.0,1849.0,1789.0,1844.4,1794.95,1794.05,1808.99,1970.7,945.0,29766,53846289.45,5724,STYLAMIND
17,2023-12-05,EQ,1865.0,1865.0,1814.6,1846.75,1860.0,1844.4,1838.49,1970.7,945.0,21573,39661676.5,3699,STYLAMIND
18,2023-12-04,EQ,1875.0,1890.0,1834.6,1862.3,1843.0,1846.75,1859.74,1970.7,945.0,29355,54592710.3,6777,STYLAMIND
19,2023-12-01,EQ,1860.3,1879.0,1840.0,1854.1,1859.0,1862.3,1861.68,1970.7,945.0,31803,59207102.7,5041,STYLAMIND
20,2023-11-30,EQ,1828.1,1880.15,1826.45,1822.0,1846.0,1854.1,1851.83,1970.7,945.0,44565,82526852.2,7437,STYLAMIND
21,2023-11-29,EQ,1867.7,1867.7,1803.15,1807.2,1815.05,1822.0,1819.26,1970.7,945.0,14131,25707957.7,2701,STYLAMIND
22,2023-11-28,EQ,1802.0,1825.0,1800.0,1799.1,1800.0,1807.2,1809.29,1970.7,945.0,9252,16739562.85,2418,STYLAMIND
23,2023-11-24,EQ,1850.0,1850.0,1788.05,1837.0,1804.0,1799.1,1810.38,1970.7,945.0,13870,25109924.4,3057,STYLAMIND
24,2023-11-23,EQ,1842.65,1862.4,1820.05,1840.85,1830.0,1837.0,1831.47,1970.7,945.0,14712,26944550.95,3104,STYLAMIND
25,2023-11-22,EQ,1877.0,1878.95,1827.45,1857.05,1835.0,1840.85,1842.47,1970.7,945.0,21099,38874275.8,5481,STYLAMIND
26,2023-11-21,EQ,1860.0,1875.0,1812.75,1806.35,1858.0,1857.05,1847.79,1970.7,945.0,62266,115054799.25,11337,STYLAMIND
27,2023-11-20,EQ,1761.8,1818.95,1732.0,1755.65,1811.0,1806.35,1786.52,1970.7,945.0,54679,97685220.3,9502,STYLAMIND
28,2023-11-17,EQ,1787.35,1795.0,1750.0,1786.7,1751.0,1755.65,1770.62,1970.7,945.0,24809,43927242.0,10179,STYLAMIND
29,2023-11-16,EQ,1792.9,1809.0,1768.65,1785.15,1790.0,1786.7,1795.12,1970.7,945.0,24065,43199676.55,7967,STYLAMIND
30,2023-11-15,EQ,1780.0,1799.0,1745.05,1765.45,1766.05,1785.15,1774.17,1970.7,945.0,31812,56439797.7,7273,STYLAMIND
31,2023-11-13,EQ,1735.5,1770.0,1726.05,1739.85,1760.0,1765.45,1755.84,1970.7,945.0,19017,33390810.7,4696,STYLAMIND
32,2023-11-12,EQ,1720.95,1748.0,1705.0,1727.5,1731.0,1739.85,1722.01,1970.7,945.0,10067,17335507.05,1101,STYLAMIND
33,2023-11-10,EQ,1770.0,1774.7,1715.65,1756.2,1720.95,1727.5,1747.51,1970.7,945.0,20101,35126720.55,5340,STYLAMIND
34,2023-11-09,EQ,1752.1,1770.0,1729.0,1735.95,1750.0,1756.2,1755.63,1970.7,945.0,34014,59715918.1,7127,STYLAMIND
35,2023-11-08,EQ,1728.0,1750.85,1698.75,1715.55,1736.0,1735.95,1721.33,1970.7,945.0,19624,33779424.9,3912,STYLAMIND
36,2023-11-07,EQ,1743.05,1758.0,1702.3,1745.75,1715.0,1715.55,1726.76,1970.7,945.0,34371,59350541.05,6981,STYLAMIND
37,2023-11-06,EQ,1743.0,1788.0,1737.0,1737.3,1759.0,1745.75,1760.56,1970.7,945.0,90537,159395666.45,11720,STYLAMIND
38,2023-11-03,EQ,1729.0,1745.0,1696.05,1703.2,1741.0,1737.3,1723.39,1970.7,945.0,21717,37426773.25,3604,STYLAMIND
39,2023-11-02,EQ,1698.9,1720.0,1690.0,1695.55,1706.0,1703.2,1700.45,1970.7,945.0,12065,20515885.8,2635,STYLAMIND
40,2023-11-01,EQ,1675.65,1702.05,1669.3,1670.7,1695.0,1695.55,1688.33,1970.7,945.0,17038,28765774.7,4416,STYLAMIND
41,2023-10-31,EQ,1759.45,1759.45,1660.25,1703.05,1680.0,1670.7,1710.0,1970.7,945.0,52630,89997165.4,13762,STYLAMIND
42,2023-10-30,EQ,1655.0,1716.35,1642.25,1665.55,1691.0,1703.05,1687.8,1970.7,945.0,28245,47672039.55,5343,STYLAMIND
43,2023-10-27,EQ,1640.0,1693.0,1621.0,1621.9,1661.0,1665.55,1665.58,1970.7,945.0,30444,50706841.3,5490,STYLAMIND
44,2023-10-26,EQ,1550.7,1645.0,1535.4,1582.2,1639.7,1621.9,1596.23,1970.7,945.0,50166,80076678.55,13012,STYLAMIND
45,2023-10-25,EQ,1649.95,1663.9,1523.8,1647.55,1576.0,1582.2,1589.33,1970.7,945.0,72628,115430067.5,13586,STYLAMIND
46,2023-10-23,EQ,1687.75,1694.35,1610.0,1654.65,1620.0,1647.55,1643.91,1970.7,945.0,34890,57356089.35,7579,STYLAMIND
47,2023-10-20,EQ,1707.55,1708.1,1649.9,1707.55,1662.95,1654.65,1671.28,1970.7,945.0,37411,62524366.5,6936,STYLAMIND
48,2023-10-19,EQ,1705.3,1727.0,1681.0,1731.95,1692.0,1707.55,1706.53,1970.7,945.0,85289,145548042.45,5733,STYLAMIND
49,2023-10-18,EQ,1800.0,1800.0,1714.0,1777.3,1734.0,1731.95,1757.13,1970.7,945.0,29654,52106064.05,8968,STYLAMIND
50,2023-10-17,EQ,1762.5,1830.9,1747.85,1746.65,1799.0,1777.3,1802.66,1970.7,945.0,107804,194334286.3,16788,STYLAMIND
51,2023-10-16,EQ,1740.0,1772.95,1723.35,1742.1,1759.0,1746.65,1750.88,1970.7,945.0,26881,47065397.45,5984,STYLAMIND
52,2023-10-13,EQ,1749.9,1765.65,1730.15,1754.7,1744.7,1742.1,1750.87,1970.7,945.0,21545,37722411.0,4214,STYLAMIND
53,2023-10-12,EQ,1759.95,1780.15,1744.05,1761.2,1760.0,1754.7,1759.56,1970.7,945.0,23388,41152487.85,5390,STYLAMIND
54,2023-10-11,EQ,1780.0,1780.0,1740.05,1748.85,1756.1,1761.2,1759.05,1970.7,945.0,30533,53708971.25,5761,STYLAMIND
55,2023-10-10,EQ,1731.9,1750.0,1705.15,1709.6,1748.0,1748.85,1740.82,1970.7,945.0,32450,56489551.25,5526,STYLAMIND
56,2023-10-09,EQ,1709.15,1738.95,1646.6,1740.5,1709.0,1709.6,1701.65,1970.7,945.0,56370,95922285.85,10159,STYLAMIND
57,2023-10-06,EQ,1725.05,1750.0,1712.3,1717.05,1747.5,1740.5,1737.96,1970.7,945.0,27105,47107344.05,5785,STYLAMIND
