,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,405.45,409.55,402.0,404.85,404.0,404.05,404.85,499.0,371.0,189738,76814859.1,9229,SUMICHEM
1,2023-12-28,EQ,408.8,409.95,402.1,406.8,404.9,404.85,404.94,499.0,371.0,392019,158745131.15,12553,SUMICHEM
2,2023-12-27,EQ,404.8,413.8,404.05,402.7,407.05,406.8,409.07,499.0,371.0,286993,117400130.6,11810,SUMICHEM
3,2023-12-26,EQ,407.95,412.0,401.05,406.3,402.0,402.7,406.1,499.0,371.0,498815,202569637.2,19526,SUMICHEM
4,2023-12-22,EQ,408.65,411.95,404.0,406.7,406.1,406.3,407.76,499.0,371.0,99732,40666441.65,7407,SUMICHEM
5,2023-12-21,EQ,398.6,409.0,396.05,401.9,408.9,406.7,404.29,499.0,371.0,178405,72128077.8,10146,SUMICHEM
6,2023-12-20,EQ,417.45,420.0,391.15,415.55,398.7,401.9,410.97,499.0,371.0,606808,249382022.95,16356,SUMICHEM
7,2023-12-19,EQ,412.85,417.25,410.05,412.85,415.15,415.55,414.26,499.0,371.0,262885,108903033.45,7951,SUMICHEM
8,2023-12-18,EQ,412.15,413.95,407.0,407.7,413.0,412.85,411.09,499.0,371.0,235481,96804250.65,9972,SUMICHEM
9,2023-12-15,EQ,407.45,415.0,404.3,403.55,406.3,407.7,410.48,499.0,371.0,330468,135651031.15,15526,SUMICHEM
10,2023-12-14,EQ,409.0,410.8,402.65,407.9,404.25,403.55,405.33,499.0,371.0,109277,44292939.05,6617,SUMICHEM
11,2023-12-13,EQ,401.25,410.8,400.5,401.25,408.0,407.9,406.33,499.0,371.0,140830,57223823.4,7415,SUMICHEM
12,2023-12-12,EQ,407.0,409.95,400.0,411.1,402.5,401.25,404.78,499.0,371.0,215421,87197588.55,10508,SUMICHEM
13,2023-12-11,EQ,418.95,420.1,409.05,417.3,410.5,411.1,412.93,499.0,371.0,228284,94264294.9,14115,SUMICHEM
14,2023-12-08,EQ,418.0,421.85,412.55,415.0,417.0,417.3,417.86,499.0,371.0,278135,116221967.85,10712,SUMICHEM
15,2023-12-07,EQ,414.0,416.0,410.55,412.65,415.5,415.0,414.41,499.0,371.0,425840,176472414.85,11816,SUMICHEM
16,2023-12-06,EQ,411.1,415.95,410.55,410.5,413.5,412.65,413.55,499.0,371.0,186303,77045310.4,9314,SUMICHEM
17,2023-12-05,EQ,409.5,414.6,408.15,408.7,411.0,410.5,411.96,499.0,371.0,242647,99961949.6,10929,SUMICHEM
18,2023-12-04,EQ,412.0,419.0,406.9,410.15,406.9,408.7,412.66,499.0,371.0,260877,107654497.6,13023,SUMICHEM
19,2023-12-01,EQ,413.0,416.0,404.05,406.95,409.0,410.15,411.18,499.0,371.0,444930,182944893.25,17605,SUMICHEM
20,2023-11-30,EQ,387.9,408.5,387.9,387.3,407.0,406.95,401.06,499.0,371.0,587996,235820962.65,23274,SUMICHEM
21,2023-11-29,EQ,384.65,390.0,384.05,384.0,387.9,387.3,387.02,499.0,371.0,148279,57387235.0,6400,SUMICHEM
22,2023-11-28,EQ,389.0,389.0,382.0,389.9,384.5,384.0,385.19,499.0,371.0,140541,54135109.9,6283,SUMICHEM
23,2023-11-24,EQ,389.0,392.95,388.25,388.35,389.0,389.9,390.52,499.0,371.0,121129,47302823.3,5503,SUMICHEM
24,2023-11-23,EQ,383.65,390.0,383.65,384.5,389.0,388.35,387.85,499.0,371.0,163307,63339107.0,6435,SUMICHEM
25,2023-11-22,EQ,384.4,388.0,381.0,384.4,385.0,384.5,384.28,499.0,371.0,98916,38011310.35,5428,SUMICHEM
26,2023-11-21,EQ,390.5,390.6,383.05,385.4,384.5,384.4,385.2,499.0,371.0,155075,59734452.6,9507,SUMICHEM
27,2023-11-20,EQ,389.25,390.75,384.0,389.2,385.95,385.4,386.24,499.0,371.0,110444,42657534.5,6422,SUMICHEM
28,2023-11-17,EQ,392.0,392.95,388.0,391.75,389.0,389.2,390.39,499.0,371.0,124358,48547781.05,6657,SUMICHEM
29,2023-11-16,EQ,388.0,395.7,384.3,386.75,390.5,391.75,391.32,499.0,371.0,287023,112318152.1,13132,SUMICHEM
30,2023-11-15,EQ,386.5,387.6,383.7,382.85,387.0,386.75,385.95,499.0,371.0,145881,56303133.6,6051,SUMICHEM
31,2023-11-13,EQ,386.0,387.5,381.4,386.05,383.0,382.85,383.53,499.0,371.0,99765,38263174.2,4232,SUMICHEM
32,2023-11-12,EQ,382.8,388.0,382.45,382.3,386.5,386.05,385.81,499.0,371.0,82576,31858777.55,3302,SUMICHEM
33,2023-11-10,EQ,384.4,384.4,380.5,384.5,382.9,382.3,382.02,499.0,371.0,118494,45267360.05,5486,SUMICHEM
34,2023-11-09,EQ,386.6,388.9,383.6,384.6,384.75,384.5,385.49,499.0,371.0,332577,128206366.45,10238,SUMICHEM
35,2023-11-08,EQ,384.0,389.2,383.3,382.7,385.0,384.6,386.39,499.0,371.0,218703,84504943.85,9132,SUMICHEM
36,2023-11-07,EQ,378.45,384.7,375.25,376.45,382.05,382.7,380.94,499.0,371.0,305699,116451604.25,14545,SUMICHEM
37,2023-11-06,EQ,375.9,379.5,374.4,372.2,376.25,376.45,376.94,499.0,371.0,170950,64438656.3,7753,SUMICHEM
38,2023-11-03,EQ,373.3,377.6,371.0,373.2,373.05,372.2,374.13,504.2,371.0,248096,92820285.65,9281,SUMICHEM
39,2023-11-02,EQ,375.8,377.6,372.05,373.8,372.5,373.2,374.02,504.2,372.05,140023,52371992.7,7973,SUMICHEM
40,2023-11-01,EQ,380.0,380.0,373.2,373.25,374.0,373.8,374.57,504.2,372.05,196827,73725482.5,10109,SUMICHEM
41,2023-10-31,EQ,385.0,387.15,372.05,381.45,373.0,373.25,376.46,504.2,372.05,598872,225452652.4,17456,SUMICHEM
42,2023-10-30,EQ,379.45,388.95,378.55,383.4,383.5,381.45,383.77,504.2,373.25,281084,107872655.6,13727,SUMICHEM
43,2023-10-27,EQ,380.05,402.95,379.0,379.7,380.0,383.4,389.13,540.8,373.25,850799,331074470.15,37368,SUMICHEM
44,2023-10-26,EQ,375.0,383.8,373.25,384.8,379.0,379.7,377.33,540.8,373.25,443291,167266423.4,16301,SUMICHEM
45,2023-10-25,EQ,402.25,406.2,381.65,401.65,383.95,384.8,387.17,540.8,381.65,1015645,393224519.45,18950,SUMICHEM
46,2023-10-23,EQ,414.55,416.75,399.6,414.6,400.0,401.65,406.1,540.8,382.0,183439,74495235.9,8052,SUMICHEM
47,2023-10-20,EQ,416.6,421.85,412.55,417.2,414.9,414.6,415.85,540.8,382.0,98914,41133506.6,3962,SUMICHEM
48,2023-10-19,EQ,419.85,424.35,416.5,419.85,416.6,417.2,419.57,540.8,382.0,171569,71984370.8,4899,SUMICHEM
49,2023-10-18,EQ,420.75,422.35,414.3,420.85,421.25,419.85,416.93,540.8,382.0,469429,195716871.25,13879,SUMICHEM
50,2023-10-17,EQ,421.55,423.9,419.2,419.9,420.0,420.85,420.96,540.8,382.0,172985,72819550.6,5649,SUMICHEM
51,2023-10-16,EQ,427.35,429.6,419.0,427.95,419.9,419.9,422.65,540.8,382.0,202148,85438361.7,7033,SUMICHEM
52,2023-10-13,EQ,425.1,431.05,423.2,428.95,427.5,427.95,427.29,540.8,382.0,172752,73814480.7,5694,SUMICHEM
53,2023-10-12,EQ,423.0,432.0,422.15,422.8,429.4,428.95,426.92,540.8,382.0,171361,73157801.9,6768,SUMICHEM
54,2023-10-11,EQ,424.8,429.5,422.0,422.35,423.0,422.8,424.95,540.8,382.0,134153,57007811.8,6890,SUMICHEM
55,2023-10-10,EQ,424.95,429.9,422.0,425.4,422.0,422.35,424.81,540.8,382.0,168392,71534523.1,5587,SUMICHEM
56,2023-10-09,EQ,430.0,433.85,424.55,438.45,425.1,425.4,428.28,540.8,382.0,142320,60952200.2,7112,SUMICHEM
57,2023-10-06,EQ,436.8,440.8,433.1,440.8,437.2,438.45,437.2,540.8,382.0,167386,73181794.6,7639,SUMICHEM
