,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1237.0,1253.0,1222.45,1235.7,1247.8,1248.9,1240.41,1340.7,910.05,181375,224978501.75,18089,SUNDRMFAST
1,2023-12-28,EQ,1245.45,1247.85,1230.1,1245.15,1234.5,1235.7,1239.18,1340.7,910.05,99328,123085193.5,10747,SUNDRMFAST
2,2023-12-27,EQ,1243.9,1250.0,1223.0,1244.25,1241.15,1245.15,1234.71,1340.7,910.05,164895,203597133.7,13918,SUNDRMFAST
3,2023-12-26,EQ,1252.0,1276.0,1226.25,1259.55,1236.8,1244.25,1252.35,1340.7,910.05,97419,122002265.45,9017,SUNDRMFAST
4,2023-12-22,EQ,1237.3,1267.75,1236.05,1237.3,1260.0,1259.55,1258.06,1340.7,910.05,171961,216336800.6,9912,SUNDRMFAST
5,2023-12-21,EQ,1248.4,1251.8,1226.55,1248.4,1235.9,1237.3,1239.06,1340.7,910.05,44197,54762945.8,7750,SUNDRMFAST
6,2023-12-20,EQ,1242.9,1258.9,1221.3,1242.15,1254.95,1248.4,1243.11,1340.7,910.05,63950,79496984.15,6860,SUNDRMFAST
7,2023-12-19,EQ,1249.0,1256.0,1238.45,1249.95,1239.0,1242.15,1245.84,1340.7,910.05,18391,22912296.95,4330,SUNDRMFAST
8,2023-12-18,EQ,1251.7,1260.0,1234.05,1251.7,1259.0,1249.95,1250.63,1340.7,910.05,100615,125832372.5,8647,SUNDRMFAST
9,2023-12-15,EQ,1246.7,1265.0,1234.1,1242.65,1252.5,1251.7,1247.75,1340.7,910.05,216504,270143553.1,13027,SUNDRMFAST
10,2023-12-14,EQ,1246.2,1251.5,1225.3,1239.65,1248.0,1242.65,1239.7,1340.7,910.05,97065,120331372.85,11687,SUNDRMFAST
11,2023-12-13,EQ,1233.6,1270.05,1222.2,1227.45,1245.0,1239.65,1247.38,1340.7,910.05,158910,198220773.45,17888,SUNDRMFAST
12,2023-12-12,EQ,1248.05,1250.15,1216.0,1241.85,1220.05,1227.45,1230.2,1340.7,910.05,53165,65403489.75,9759,SUNDRMFAST
13,2023-12-11,EQ,1249.15,1266.6,1237.0,1249.15,1237.05,1241.85,1250.13,1340.7,910.05,252278,315381476.45,7171,SUNDRMFAST
14,2023-12-08,EQ,1251.3,1259.9,1236.0,1249.5,1250.9,1249.15,1249.05,1340.7,907.3,552056,689544491.2,4862,SUNDRMFAST
15,2023-12-07,EQ,1260.0,1269.0,1242.05,1260.5,1247.85,1249.5,1250.95,1340.7,907.3,254860,318816593.05,6011,SUNDRMFAST
16,2023-12-06,EQ,1261.0,1266.9,1239.4,1258.05,1264.5,1260.5,1253.0,1340.7,907.3,49831,62438270.75,8654,SUNDRMFAST
17,2023-12-05,EQ,1272.0,1273.7,1246.65,1272.55,1256.0,1258.05,1255.64,1340.7,907.3,66074,82965096.4,9630,SUNDRMFAST
18,2023-12-04,EQ,1250.0,1275.0,1234.05,1234.05,1267.0,1272.55,1258.65,1340.7,907.3,84114,105870245.15,14666,SUNDRMFAST
19,2023-12-01,EQ,1239.4,1249.7,1227.0,1237.0,1240.6,1234.05,1235.36,1340.7,895.25,55351,68378523.9,7221,SUNDRMFAST
20,2023-11-30,EQ,1238.95,1246.85,1215.05,1237.4,1238.0,1237.0,1231.41,1340.7,895.25,182480,224707397.95,13667,SUNDRMFAST
21,2023-11-29,EQ,1222.5,1241.25,1205.9,1222.4,1230.0,1237.4,1224.67,1340.7,895.25,427789,523899180.8,12302,SUNDRMFAST
22,2023-11-28,EQ,1227.0,1232.7,1210.1,1223.2,1221.5,1222.4,1221.25,1340.7,895.25,32530,39727209.8,4820,SUNDRMFAST
23,2023-11-24,EQ,1244.8,1251.0,1216.15,1239.5,1221.0,1223.2,1232.0,1340.7,878.3,31691,39043429.4,4456,SUNDRMFAST
24,2023-11-23,EQ,1245.0,1254.7,1231.55,1242.5,1245.0,1239.5,1239.77,1340.7,878.3,114785,142307297.4,4390,SUNDRMFAST
25,2023-11-22,EQ,1243.7,1250.0,1228.55,1239.8,1243.5,1242.5,1232.33,1340.7,878.3,106412,131134174.45,4853,SUNDRMFAST
26,2023-11-21,EQ,1238.0,1250.0,1228.0,1230.25,1237.0,1239.8,1237.29,1340.7,878.3,107145,132569271.55,6569,SUNDRMFAST
27,2023-11-20,EQ,1242.85,1254.85,1221.0,1242.85,1230.0,1230.25,1232.04,1340.7,878.3,63297,77984304.5,8147,SUNDRMFAST
28,2023-11-17,EQ,1236.0,1252.2,1217.65,1235.1,1250.0,1242.85,1228.69,1340.7,878.3,141241,173540721.25,10791,SUNDRMFAST
29,2023-11-16,EQ,1248.95,1255.35,1231.1,1247.7,1233.4,1235.1,1241.59,1340.7,878.3,51043,63374421.0,6369,SUNDRMFAST
30,2023-11-15,EQ,1273.8,1278.75,1240.0,1267.1,1244.35,1247.7,1255.84,1340.7,878.3,45648,57326464.15,5837,SUNDRMFAST
31,2023-11-13,EQ,1281.95,1284.9,1258.9,1278.9,1267.05,1267.1,1268.76,1340.7,878.3,33330,42287782.0,3787,SUNDRMFAST
32,2023-11-12,EQ,1275.0,1288.85,1271.3,1265.85,1284.5,1278.9,1278.93,1340.7,878.3,7782,9952633.05,1101,SUNDRMFAST
33,2023-11-10,EQ,1250.0,1278.0,1237.5,1251.25,1273.0,1265.85,1253.84,1340.7,878.3,43861,54994789.35,8498,SUNDRMFAST
34,2023-11-09,EQ,1265.45,1275.05,1248.8,1259.2,1248.8,1251.25,1259.81,1340.7,878.3,34656,43660031.15,4475,SUNDRMFAST
