,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,316.0,319.4,313.15,315.4,315.0,314.75,316.06,325.25,170.15,356775,112761910.25,9054,SUPRIYA
1,2023-12-28,EQ,316.4,325.25,313.5,314.25,316.0,315.4,319.52,325.25,170.15,1072655,342738299.95,23579,SUPRIYA
2,2023-12-27,EQ,319.4,319.8,310.5,317.05,314.95,314.25,314.89,319.8,170.15,817813,257521774.5,23655,SUPRIYA
3,2023-12-26,EQ,300.0,319.25,299.5,297.05,316.5,317.05,312.75,319.25,170.15,3163458,989386323.4,65605,SUPRIYA
4,2023-12-22,EQ,279.35,303.0,275.65,276.6,297.5,297.05,294.56,310.6,170.15,2675705,788159821.9,55529,SUPRIYA
5,2023-12-21,EQ,272.05,279.8,270.15,272.2,276.5,276.6,273.84,310.6,170.15,231949,63517019.6,11817,SUPRIYA
6,2023-12-20,EQ,275.3,287.4,270.0,275.45,275.0,272.2,280.32,310.6,170.15,685917,192274805.6,26804,SUPRIYA
7,2023-12-19,EQ,277.8,278.25,271.25,275.8,275.0,275.45,274.4,310.6,170.15,184336,50581384.1,9558,SUPRIYA
8,2023-12-18,EQ,275.1,278.95,273.55,275.7,275.0,275.8,276.15,310.6,170.15,122146,33730519.2,6530,SUPRIYA
9,2023-12-15,EQ,283.5,285.0,274.8,281.05,275.7,275.7,278.4,310.6,170.15,201118,55990251.05,10673,SUPRIYA
10,2023-12-14,EQ,273.9,284.8,271.65,271.6,283.7,281.05,277.64,310.6,170.15,312578,86785596.45,9547,SUPRIYA
11,2023-12-13,EQ,278.55,278.65,269.1,276.2,272.0,271.6,271.46,310.6,170.15,286315,77723950.75,10663,SUPRIYA
12,2023-12-12,EQ,271.45,280.0,269.0,270.2,276.0,276.2,274.76,310.6,170.15,573560,157591706.95,13127,SUPRIYA
13,2023-12-11,EQ,279.0,279.0,268.9,272.1,270.3,270.2,273.43,310.6,170.15,230445,63010745.7,8008,SUPRIYA
14,2023-12-08,EQ,276.9,281.4,270.5,275.6,272.0,272.1,275.22,310.6,170.15,281551,77487782.95,12504,SUPRIYA
15,2023-12-07,EQ,277.0,279.5,274.8,277.55,276.9,275.6,277.03,310.6,170.15,167931,46521157.5,7391,SUPRIYA
16,2023-12-06,EQ,281.0,286.0,276.05,281.6,278.3,277.55,280.97,310.6,170.15,237677,66780885.0,10288,SUPRIYA
17,2023-12-05,EQ,283.7,287.7,280.0,283.3,281.55,281.6,283.38,310.6,170.15,246716,69914080.25,9663,SUPRIYA
18,2023-12-04,EQ,284.95,290.95,282.0,282.35,283.0,283.3,285.9,310.6,170.15,277982,79473675.0,10131,SUPRIYA
19,2023-12-01,EQ,291.4,294.35,281.1,291.3,282.0,282.35,288.06,310.6,170.15,504519,145330999.8,17640,SUPRIYA
20,2023-11-30,EQ,288.0,294.45,286.0,285.75,291.0,291.3,290.67,310.6,170.15,926574,269330615.85,21959,SUPRIYA
21,2023-11-29,EQ,281.9,290.0,277.5,280.4,285.55,285.75,284.39,310.6,170.15,893172,254013207.45,24724,SUPRIYA
22,2023-11-28,EQ,280.5,285.9,274.7,276.3,281.0,280.4,280.84,310.6,170.15,1458206,409521269.05,29932,SUPRIYA
23,2023-11-24,EQ,251.0,279.1,246.9,249.7,279.0,276.3,269.81,310.6,170.15,3160695,852796304.6,59095,SUPRIYA
24,2023-11-23,EQ,251.85,254.85,247.6,251.8,251.15,249.7,250.14,310.6,170.15,202178,50573280.55,6158,SUPRIYA
25,2023-11-22,EQ,246.0,254.8,243.35,245.25,252.95,251.8,251.12,310.6,170.15,500586,125705278.3,11920,SUPRIYA
26,2023-11-21,EQ,245.95,247.25,239.8,244.15,245.95,245.25,244.45,310.6,170.15,222300,54341377.15,7023,SUPRIYA
27,2023-11-20,EQ,248.45,249.0,242.65,247.2,245.0,244.15,244.32,310.6,170.15,154077,37644605.85,6316,SUPRIYA
28,2023-11-17,EQ,246.95,248.9,244.5,245.7,247.5,247.2,246.68,310.6,170.15,114405,28221738.45,5179,SUPRIYA
