,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,699.4,730.0,697.05,698.2,729.95,722.8,715.36,730.0,463.3,396489,283633361.35,23513,SUVENPHAR
1,2023-12-28,EQ,705.0,706.0,693.1,697.05,700.0,698.2,698.05,720.0,463.3,124206,86702045.45,12959,SUVENPHAR
2,2023-12-27,EQ,715.0,720.0,694.15,709.7,696.6,697.05,704.37,720.0,463.3,129841,91456065.4,12045,SUVENPHAR
3,2023-12-26,EQ,720.0,720.0,694.0,712.1,712.9,709.7,704.92,720.0,463.3,144654,101968886.0,12167,SUVENPHAR
4,2023-12-22,EQ,679.0,720.0,674.85,675.8,720.0,712.1,698.88,720.0,463.3,390855,273160322.85,16596,SUVENPHAR
5,2023-12-21,EQ,656.0,681.25,656.0,674.85,668.0,675.8,667.44,718.1,463.3,162847,108690228.15,11353,SUVENPHAR
6,2023-12-20,EQ,691.1,697.5,660.7,687.65,675.1,674.85,678.52,718.1,463.3,210550,142862335.8,17344,SUVENPHAR
7,2023-12-19,EQ,698.1,700.0,680.25,694.6,691.95,687.65,689.99,718.1,463.3,127803,88182252.2,9833,SUVENPHAR
8,2023-12-18,EQ,695.5,708.95,687.0,698.6,696.35,694.6,694.3,718.1,463.3,513694,356656646.3,18376,SUVENPHAR
9,2023-12-15,EQ,676.75,718.1,671.55,673.25,698.85,698.6,691.88,718.1,460.0,663281,458909532.1,22006,SUVENPHAR
10,2023-12-14,EQ,691.7,691.7,669.55,688.1,675.0,673.25,676.24,701.6,460.0,193133,130605177.0,11000,SUVENPHAR
11,2023-12-13,EQ,698.8,698.8,680.15,695.75,685.7,688.1,685.61,701.6,460.0,145370,99667513.3,22564,SUVENPHAR
12,2023-12-12,EQ,692.0,701.6,680.1,690.2,692.1,695.75,689.17,701.6,460.0,181296,124943985.05,16564,SUVENPHAR
13,2023-12-11,EQ,665.65,700.0,663.05,665.65,689.9,690.2,681.14,700.0,460.0,649196,442192719.3,26024,SUVENPHAR
14,2023-12-08,EQ,686.1,688.0,660.0,682.55,665.25,665.65,674.56,690.0,456.0,132985,89706112.7,9336,SUVENPHAR
15,2023-12-07,EQ,666.0,686.7,660.25,666.3,681.35,682.55,669.34,690.0,456.0,377445,252638842.4,12131,SUVENPHAR
16,2023-12-06,EQ,670.0,676.85,655.3,667.3,661.0,666.3,666.4,690.0,456.0,325843,217142669.95,12568,SUVENPHAR
17,2023-12-05,EQ,678.35,681.4,662.35,675.0,662.35,667.3,670.1,690.0,456.0,183098,122693575.45,13729,SUVENPHAR
18,2023-12-04,EQ,680.5,690.0,670.0,674.35,675.0,675.0,676.16,690.0,456.0,157787,106689027.6,11536,SUVENPHAR
19,2023-12-01,EQ,659.7,683.0,659.7,659.7,673.95,674.35,679.0,683.0,450.5,387978,263438285.1,12999,SUVENPHAR
20,2023-11-30,EQ,655.6,665.0,648.0,655.35,658.05,659.7,659.34,671.45,450.5,184501,121648165.4,13744,SUVENPHAR
21,2023-11-29,EQ,652.75,671.45,643.2,649.4,655.0,655.35,661.9,671.45,450.5,509064,336950815.6,26522,SUVENPHAR
22,2023-11-28,EQ,624.9,659.45,611.8,615.4,652.9,649.4,640.83,659.45,450.5,1333986,854864755.15,33509,SUVENPHAR
23,2023-11-24,EQ,614.0,634.95,608.5,614.05,616.0,615.4,620.44,634.95,450.5,589234,365583255.0,30700,SUVENPHAR
24,2023-11-23,EQ,611.5,621.0,604.2,611.05,610.0,614.05,610.76,622.0,450.5,149910,91559694.0,8922,SUVENPHAR
25,2023-11-22,EQ,615.0,622.0,605.0,600.05,610.0,611.05,612.99,622.0,450.5,583129,357452109.1,28807,SUVENPHAR
26,2023-11-21,EQ,600.0,615.0,593.35,593.4,595.75,600.05,606.6,615.0,450.5,461932,280208194.1,20506,SUVENPHAR
27,2023-11-20,EQ,580.0,595.0,577.0,579.9,594.4,593.4,590.68,600.0,450.5,393959,232704180.2,22016,SUVENPHAR
28,2023-11-17,EQ,570.5,580.0,563.0,570.5,580.0,579.9,577.88,600.0,425.6,192190,111063666.1,15272,SUVENPHAR
29,2023-11-16,EQ,573.2,576.85,565.05,570.2,571.0,570.5,572.18,600.0,425.6,154853,88603237.25,14796,SUVENPHAR
30,2023-11-15,EQ,578.0,580.7,558.5,577.95,568.0,570.2,572.51,600.0,425.6,237076,135727362.95,21439,SUVENPHAR
31,2023-11-13,EQ,582.65,584.85,576.0,587.9,578.0,577.95,579.71,600.0,425.6,92624,53695171.55,6612,SUVENPHAR
32,2023-11-12,EQ,586.0,598.95,582.2,580.7,585.0,587.9,591.39,600.0,405.3,60726,35912573.25,1969,SUVENPHAR
33,2023-11-10,EQ,549.7,585.9,542.1,556.6,580.0,580.7,569.68,600.0,405.3,769856,438573578.85,22402,SUVENPHAR
34,2023-11-09,EQ,568.3,569.85,550.0,568.25,557.7,556.6,559.11,600.0,405.3,212363,118733633.6,15059,SUVENPHAR
35,2023-11-08,EQ,572.0,574.8,565.0,571.85,565.9,568.25,571.49,600.0,405.3,163900,93667799.55,9118,SUVENPHAR
36,2023-11-07,EQ,573.75,579.95,566.9,570.8,569.2,571.85,575.15,600.0,405.3,251607,144711249.2,22533,SUVENPHAR
37,2023-11-06,EQ,557.0,574.0,554.1,557.0,572.0,570.8,566.18,600.0,405.3,143915,81481732.5,9278,SUVENPHAR
38,2023-11-03,EQ,576.5,585.5,552.05,578.7,552.1,557.0,561.04,600.0,391.5,347532,194979639.75,19446,SUVENPHAR
39,2023-11-02,EQ,573.15,580.75,573.15,573.15,578.9,578.7,579.31,600.0,391.5,120752,69953268.1,5585,SUVENPHAR
40,2023-11-01,EQ,581.55,581.55,570.15,578.7,570.6,573.15,573.42,600.0,391.5,55970,32094433.05,5745,SUVENPHAR
41,2023-10-31,EQ,564.15,588.2,560.45,564.15,575.0,578.7,574.46,600.0,391.5,247346,142090939.75,13823,SUVENPHAR
