,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-10-09,EQ,28.2,28.35,27.65,29.1,27.65,27.65,27.78,29.8,6.6,151080200,4197053474.0,121174,SUZLON
1,2023-10-06,EQ,28.85,29.8,28.4,29.5,29.25,29.1,29.1,29.8,6.6,273969163,7971359424.75,186591,SUZLON
2,2023-10-05,EQ,28.6,29.5,28.55,28.1,29.5,29.5,29.23,29.5,6.6,285672016,8349754206.9,173158,SUZLON
3,2023-10-04,EQ,27.35,28.25,27.1,26.95,28.25,28.1,27.9,28.25,6.6,346015638,9652979150.2,190195,SUZLON
4,2023-10-03,EQ,25.95,27.05,25.75,25.8,27.05,26.95,26.83,27.05,6.6,215807142,5790215677.3,128269,SUZLON
5,2023-09-29,EQ,25.85,26.2,25.55,25.65,25.75,25.8,25.84,27.05,6.6,76660245,1980793137.05,63126,SUZLON
6,2023-09-28,EQ,25.7,26.4,25.45,25.65,25.7,25.65,25.81,27.05,6.6,75375280,1945298365.85,64661,SUZLON
7,2023-09-27,EQ,25.1,25.9,25.05,26.0,25.6,25.65,25.57,27.05,6.6,94771055,2423677465.75,80335,SUZLON
8,2023-09-26,EQ,25.6,26.1,24.95,25.5,25.95,26.0,25.6,27.05,6.6,110565689,2830086177.35,74257,SUZLON
9,2023-09-25,EQ,25.75,26.05,25.1,25.05,25.45,25.5,25.48,27.05,6.6,71458712,1820721085.05,76228,SUZLON
10,2023-09-22,EQ,25.65,25.85,24.5,25.5,25.2,25.05,25.21,27.05,6.6,95275738,2401916375.4,87012,SUZLON
11,2023-09-21,EQ,25.85,26.25,25.15,25.85,25.5,25.5,25.76,27.05,6.6,166438893,4287905696.75,113873,SUZLON
12,2023-09-20,EQ,24.95,25.95,24.5,24.75,25.95,25.85,25.28,27.05,6.6,166418138,4207510722.6,125036,SUZLON
13,2023-09-18,EQ,24.7,25.1,24.5,24.2,24.85,24.75,24.82,27.05,6.6,142270040,3531505975.0,111369,SUZLON
14,2023-09-15,EQ,23.6,24.4,23.15,23.25,24.4,24.2,23.97,27.05,6.6,225766744,5411634412.15,103751,SUZLON
15,2023-09-14,EQ,22.35,23.25,21.75,22.15,23.25,23.25,23.02,27.05,6.6,178268509,4104095481.7,94929,SUZLON
16,2023-09-13,EQ,22.2,22.5,21.7,22.8,22.35,22.15,21.92,27.05,6.6,236321372,5179683693.3,120833,SUZLON
17,2023-09-12,EQ,24.15,24.2,22.8,24.0,22.8,22.8,23.01,27.05,6.6,146034046,3360257456.5,120723,SUZLON
18,2023-09-11,EQ,24.3,24.4,23.75,24.05,24.05,24.0,24.06,27.05,6.6,93344063,2246200750.6,113665,SUZLON
19,2023-09-08,EQ,24.2,24.3,23.65,24.1,24.0,24.05,23.96,27.05,6.6,87741294,2102391565.45,82876,SUZLON
20,2023-09-07,EQ,24.1,24.95,23.55,23.8,24.15,24.1,24.26,27.05,6.6,170673034,4139760249.65,118583,SUZLON
21,2023-09-06,EQ,23.8,24.4,23.4,23.6,23.85,23.8,23.82,27.05,6.6,107987698,2571901185.8,104500,SUZLON
22,2023-09-05,EQ,24.6,24.9,23.5,24.1,23.65,23.6,23.93,27.05,6.6,131411045,3144960891.95,162039,SUZLON
23,2023-09-04,EQ,25.45,25.7,23.85,25.0,24.5,24.1,24.79,27.05,6.6,189499859,4697194711.55,208504,SUZLON
24,2023-09-01,EQ,24.55,25.75,23.95,24.55,25.0,25.0,25.17,27.05,6.6,209113483,5264039025.9,166485,SUZLON
25,2023-08-31,EQ,26.5,27.05,24.55,25.85,24.55,24.55,25.24,27.05,6.6,413958502,10448214718.95,301834,SUZLON
26,2023-08-30,EQ,25.85,25.85,25.35,24.65,25.85,25.85,25.82,25.85,6.6,88452282,2284116292.6,40081,SUZLON
27,2023-08-29,EQ,24.0,24.65,23.95,23.5,24.65,24.65,24.48,24.65,6.6,203593052,4984024660.3,90977,SUZLON
28,2023-08-28,EQ,23.4,23.5,23.25,22.4,23.5,23.5,23.48,23.5,6.6,192627964,4522248345.45,73529,SUZLON
29,2023-08-25,EQ,21.65,22.55,21.55,21.5,22.55,22.4,22.11,22.85,6.6,166449370,3680294570.1,125526,SUZLON
30,2023-08-24,EQ,22.75,22.85,21.25,21.85,21.55,21.5,22.32,22.85,6.6,269657749,6018893836.9,171887,SUZLON
31,2023-08-23,EQ,21.0,21.85,21.0,20.85,21.85,21.85,21.7,21.85,6.6,204874807,4444992810.8,74643,SUZLON
32,2023-08-22,EQ,19.95,20.85,19.95,19.9,20.85,20.85,20.67,21.25,6.6,189624524,3920038779.4,72490,SUZLON
33,2023-08-21,EQ,20.1,20.15,19.8,19.8,19.9,19.9,19.97,21.25,6.6,71793107,1433469951.8,62551,SUZLON
34,2023-08-18,EQ,19.8,20.05,19.5,19.7,19.8,19.8,19.74,21.25,6.6,70016385,1382329803.85,51557,SUZLON
35,2023-08-17,EQ,19.85,20.0,19.4,20.25,19.7,19.7,19.67,21.25,6.6,130822363,2573677336.15,77005,SUZLON
36,2023-08-16,EQ,20.05,20.5,20.05,20.05,20.3,20.25,20.26,21.25,6.6,66006572,1337183369.05,59249,SUZLON
37,2023-08-14,EQ,19.55,20.2,19.3,20.2,20.0,20.05,19.77,21.25,6.6,110526997,2184837633.85,72419,SUZLON
38,2023-08-11,EQ,20.75,21.25,19.8,20.45,20.15,20.2,20.4,21.25,6.6,193133275,3940838382.3,114981,SUZLON
39,2023-08-10,EQ,19.95,20.45,19.9,19.5,20.45,20.45,20.35,20.8,6.6,198521194,4039226902.25,70605,SUZLON
40,2023-08-09,EQ,18.95,19.5,18.9,18.6,19.5,19.5,19.41,20.8,6.6,204669757,3973307761.5,63351,SUZLON
41,2023-08-08,EQ,18.65,18.95,18.35,18.65,18.8,18.6,18.66,20.8,6.6,107177129,1999408341.45,50149,SUZLON
42,2023-08-07,EQ,18.6,19.0,18.25,18.4,18.6,18.65,18.6,20.8,6.6,119709706,2227031775.75,66634,SUZLON
43,2023-08-04,EQ,18.0,18.8,18.0,17.95,18.5,18.4,18.62,20.8,6.55,241151653,4490719292.55,77168,SUZLON
44,2023-08-03,EQ,18.45,18.45,17.7,18.5,17.95,17.95,18.02,20.8,6.55,122802683,2212811253.5,75368,SUZLON
45,2023-08-02,EQ,19.35,19.35,18.35,19.3,18.35,18.5,18.7,20.8,6.55,229699866,4296248415.2,100760,SUZLON
46,2023-08-01,EQ,19.55,19.85,19.1,18.95,19.25,19.3,19.47,20.8,6.55,167771796,3266792585.25,84077,SUZLON
47,2023-07-31,EQ,18.2,18.95,18.05,18.05,18.95,18.95,18.55,20.8,6.55,123353716,2287874908.25,64751,SUZLON
48,2023-07-28,EQ,17.8,18.25,17.7,17.85,18.0,18.05,18.03,20.8,5.9,97658422,1761031294.55,68291,SUZLON
49,2023-07-27,EQ,17.65,18.4,17.45,18.05,17.85,17.85,17.79,20.8,5.9,250669150,4459000542.75,138962,SUZLON
50,2023-07-26,EQ,18.05,18.05,18.05,19.0,18.05,18.05,18.05,20.8,5.9,41086178,741605512.9,49053,SUZLON
51,2023-07-25,EQ,20.25,20.8,19.0,20.0,19.0,19.0,19.87,20.8,5.9,276540698,5494132217.7,142263,SUZLON
52,2023-07-24,EQ,20.55,20.55,19.2,19.6,20.05,20.0,20.28,20.55,5.9,517944819,10504653272.5,226382,SUZLON
53,2023-07-21,EQ,19.25,19.6,19.1,18.7,19.6,19.6,19.5,19.6,5.9,86292023,1682529843.25,32153,SUZLON
54,2023-07-20,EQ,17.95,18.7,17.85,17.85,18.7,18.7,18.52,18.7,5.9,242575898,4492341177.05,76052,SUZLON
55,2023-07-19,EQ,18.0,18.1,17.8,17.9,17.9,17.85,17.92,18.55,5.9,48709437,872644718.65,43365,SUZLON
56,2023-07-18,EQ,18.3,18.3,17.8,18.2,17.95,17.9,17.97,18.55,5.9,89012544,1599479057.15,59314,SUZLON
57,2023-07-17,EQ,18.25,18.45,18.1,17.7,18.25,18.2,18.28,18.55,5.9,129569292,2368055149.5,81822,SUZLON
58,2023-07-14,EQ,17.65,17.9,17.3,17.55,17.65,17.7,17.57,18.55,5.9,81517693,1432441549.5,57428,SUZLON
59,2023-07-13,EQ,18.15,18.35,17.45,18.0,17.6,17.55,17.85,18.55,5.9,149133001,2662511188.4,87179,SUZLON
60,2023-07-12,EQ,18.0,18.55,17.6,17.95,18.0,18.0,18.1,18.55,5.9,201949606,3655890028.95,103991,SUZLON
61,2023-07-11,EQ,17.5,18.2,17.05,17.35,17.9,17.95,17.97,18.45,5.9,369539889,6640647546.45,130796,SUZLON
62,2023-07-10,EQ,18.05,18.1,17.2,17.85,17.4,17.35,17.51,18.45,5.9,142507601,2496020100.3,111350,SUZLON
63,2023-07-07,EQ,17.55,18.3,17.45,17.65,17.8,17.85,18.0,18.45,5.9,267551084,4816567941.1,131845,SUZLON
64,2023-07-06,EQ,16.8,17.95,16.65,17.4,17.65,17.65,17.19,18.45,5.9,415023310,7134888885.9,152754,SUZLON
65,2023-07-05,EQ,17.95,18.15,17.4,18.3,17.4,17.4,17.62,18.45,5.9,264737406,4663557817.15,111108,SUZLON
66,2023-07-04,EQ,17.45,18.45,17.15,16.8,18.45,18.3,17.9,18.45,5.9,701973517,12562529260.3,329263,SUZLON
67,2023-07-03,EQ,15.75,16.8,15.75,15.3,16.8,16.8,16.51,16.8,5.9,389920926,6436744940.8,130317,SUZLON
68,2023-06-30,EQ,15.05,15.65,14.95,14.75,15.3,15.3,15.3,15.75,5.9,260744421,3990260704.85,111778,SUZLON
69,2023-06-28,EQ,14.2,15.0,14.2,14.1,14.8,14.75,14.72,15.75,5.9,204357357,3008525543.45,85426,SUZLON
70,2023-06-27,EQ,14.05,14.4,14.0,14.0,14.1,14.1,14.19,15.75,5.9,81222094,1152823635.7,39894,SUZLON
71,2023-06-26,EQ,13.95,14.25,13.65,13.85,13.95,14.0,14.0,15.75,5.9,93075149,1302613623.15,52363,SUZLON
72,2023-06-23,EQ,13.6,14.15,13.25,13.6,13.9,13.85,13.74,15.75,5.9,133077725,1828969240.8,57950,SUZLON
73,2023-06-22,EQ,14.05,14.1,13.3,14.0,13.6,13.6,13.62,15.75,5.9,150787608,2054125388.75,84760,SUZLON
74,2023-06-21,EQ,14.3,14.55,13.85,14.25,14.1,14.0,14.19,15.75,5.9,134315767,1905838155.65,61706,SUZLON
75,2023-06-20,EQ,14.65,14.7,13.65,14.55,14.25,14.25,14.15,15.75,5.9,196840707,2785988585.25,95277,SUZLON
76,2023-06-19,EQ,14.95,15.05,14.25,14.75,14.5,14.55,14.61,15.75,5.9,163607569,2391000862.1,92348,SUZLON
77,2023-06-16,EQ,14.55,15.15,14.55,14.45,14.7,14.75,14.89,15.75,5.9,282491085,4205390874.6,106852,SUZLON
78,2023-06-15,EQ,14.4,14.6,14.0,14.4,14.5,14.45,14.33,15.75,5.9,178864927,2563831063.3,83277,SUZLON
79,2023-06-14,EQ,15.25,15.35,14.15,15.1,14.4,14.4,14.56,15.75,5.9,222177502,3235099102.75,122841,SUZLON
80,2023-06-13,EQ,15.4,15.75,14.75,15.3,15.1,15.1,15.23,15.75,5.9,390548184,5947982707.7,195421,SUZLON
81,2023-06-12,EQ,14.15,15.4,14.1,14.0,15.4,15.3,14.91,15.4,5.9,461323199,6878678276.9,230886,SUZLON
82,2023-06-09,EQ,13.5,14.2,13.3,13.35,14.0,14.0,13.83,14.6,5.9,293778902,4064411374.85,131954,SUZLON
83,2023-06-08,EQ,14.2,14.2,13.2,14.45,13.45,13.35,13.62,14.6,5.9,522427881,7113256690.25,221390,SUZLON
84,2023-06-07,EQ,12.55,14.6,12.5,12.2,14.35,14.45,13.82,14.6,5.9,1419985233,19628129971.0,448498,SUZLON
85,2023-06-06,EQ,11.55,12.4,11.35,11.4,12.35,12.2,11.99,12.4,5.9,533178450,6391621876.0,180806,SUZLON
86,2023-06-05,EQ,11.1,11.5,11.0,11.0,11.5,11.4,11.29,12.15,5.9,272291792,3074269834.25,116995,SUZLON
87,2023-06-02,EQ,11.25,11.4,10.85,11.15,11.0,11.0,11.02,12.15,5.9,258642228,2850000825.35,98946,SUZLON
88,2023-06-01,EQ,11.85,12.0,11.05,11.75,11.2,11.15,11.39,12.15,5.9,316019955,3599252022.5,144753,SUZLON
89,2023-05-31,EQ,10.9,11.85,10.65,10.65,11.75,11.75,11.41,12.15,5.9,751320632,8574681214.45,218265,SUZLON
90,2023-05-30,EQ,10.35,10.75,10.2,10.35,10.65,10.65,10.56,12.15,5.9,294083000,3105911639.4,65144,SUZLON
91,2023-05-29,EQ,10.15,10.45,10.1,10.0,10.3,10.35,10.28,12.15,5.9,179747106,1846971531.25,73833,SUZLON
92,2023-05-26,EQ,9.8,10.15,9.45,9.8,10.0,10.0,9.85,12.15,5.9,149372185,1471646714.7,51930,SUZLON
93,2023-05-25,EQ,10.2,10.3,9.7,10.05,9.8,9.8,9.92,12.15,5.9,165323748,1640026401.2,46250,SUZLON
94,2023-05-24,EQ,9.55,10.2,9.55,9.45,10.1,10.05,9.97,12.15,5.9,277827881,2770489891.9,85778,SUZLON
95,2023-05-23,EQ,9.45,9.65,9.15,9.25,9.5,9.45,9.42,12.15,5.9,161014013,1516180151.2,55196,SUZLON
96,2023-05-22,EQ,8.6,9.6,8.5,8.5,9.4,9.25,9.1,12.15,5.9,317257961,2887549581.7,68621,SUZLON
97,2023-05-19,EQ,8.6,8.65,8.35,8.5,8.55,8.5,8.47,12.15,5.9,58371953,494617184.65,15676,SUZLON
98,2023-05-18,EQ,8.85,9.0,8.4,8.65,8.45,8.5,8.68,12.15,5.9,133866221,1161943630.45,35099,SUZLON
99,2023-05-17,EQ,8.25,8.8,8.2,8.2,8.8,8.65,8.51,12.15,5.9,137647805,1170896556.8,27833,SUZLON
100,2023-05-16,EQ,8.25,8.35,8.2,8.25,8.25,8.2,8.25,12.15,5.9,25372907,209294876.05,15349,SUZLON
101,2023-05-15,EQ,8.25,8.35,8.2,8.25,8.25,8.25,8.28,12.15,5.9,51475490,426238130.55,18442,SUZLON
102,2023-05-12,EQ,8.4,8.4,8.2,8.35,8.25,8.25,8.3,12.15,5.9,32986632,273708361.75,15919,SUZLON
103,2023-05-11,EQ,8.4,8.5,8.3,8.35,8.35,8.35,8.39,12.15,5.9,35885308,301248110.0,14291,SUZLON
104,2023-05-10,EQ,8.4,8.45,8.2,8.4,8.4,8.35,8.34,12.15,5.9,45546501,379757605.55,16028,SUZLON
105,2023-05-09,EQ,8.6,8.8,8.3,8.55,8.35,8.4,8.56,12.15,5.9,83194488,711824151.25,21915,SUZLON
106,2023-05-08,EQ,8.7,8.8,8.45,8.65,8.6,8.55,8.56,12.15,5.9,70124868,600265822.05,27186,SUZLON
107,2023-05-05,EQ,8.65,8.9,8.5,8.6,8.65,8.65,8.69,12.15,5.9,122285005,1062160582.4,33356,SUZLON
108,2023-05-04,EQ,8.2,8.7,8.2,8.1,8.65,8.6,8.47,12.15,5.9,197115631,1669201556.0,38219,SUZLON
109,2023-05-03,EQ,8.1,8.3,8.0,8.1,8.15,8.1,8.16,12.15,5.9,58132884,474223550.0,23080,SUZLON
110,2023-05-02,EQ,8.35,8.4,7.9,8.3,8.1,8.1,8.16,12.15,5.9,91311768,744716374.5,37266,SUZLON
111,2023-04-28,EQ,8.25,8.45,8.15,8.2,8.35,8.3,8.3,12.15,5.9,57266827,475517246.4,19971,SUZLON
112,2023-04-27,EQ,8.2,8.25,8.1,8.2,8.25,8.2,8.17,12.15,5.9,45358977,370445818.35,23793,SUZLON
113,2023-04-26,EQ,8.25,8.75,8.1,8.15,8.2,8.2,8.42,12.15,5.9,140422847,1182475347.65,29460,SUZLON
114,2023-04-25,EQ,7.95,8.3,7.9,7.95,8.3,8.15,8.08,12.15,5.9,82252903,664327603.6,16691,SUZLON
115,2023-04-24,EQ,8.0,8.1,7.9,7.95,8.0,7.95,7.98,12.15,5.9,31696681,252959587.9,13128,SUZLON
116,2023-04-21,EQ,8.0,8.05,7.95,7.95,8.0,7.95,7.98,12.15,5.9,12324483,98294124.6,11585,SUZLON
117,2023-04-20,EQ,8.05,8.1,7.95,8.0,7.95,7.95,8.01,12.15,5.9,18933562,151712438.95,14199,SUZLON
118,2023-04-19,EQ,8.0,8.15,7.95,8.05,8.0,8.0,8.02,12.15,5.9,36980183,296754709.45,18112,SUZLON
119,2023-04-18,EQ,8.15,8.2,8.0,8.15,8.05,8.05,8.09,12.15,5.9,39250925,317362610.0,14922,SUZLON
120,2023-04-17,EQ,8.0,8.2,7.95,8.05,8.1,8.15,8.09,12.15,5.9,45874702,371197102.7,21472,SUZLON
121,2023-04-13,EQ,8.15,8.25,8.0,8.1,8.05,8.05,8.1,12.2,5.9,49318062,399718611.35,17377,SUZLON
122,2023-04-12,EQ,8.15,8.25,8.05,8.15,8.15,8.1,8.14,12.2,5.9,37352480,304226051.0,16593,SUZLON
123,2023-04-11,EQ,8.1,8.35,8.0,8.05,8.2,8.15,8.21,12.2,5.9,44136206,362165086.5,15848,SUZLON
124,2023-04-10,EQ,8.2,8.2,8.0,8.15,8.1,8.05,8.06,12.2,5.9,22032132,177586485.7,14957,SUZLON
125,2023-04-06,EQ,8.15,8.3,8.05,8.1,8.15,8.15,8.19,12.35,5.9,32437850,265603889.1,15187,SUZLON
126,2023-04-05,EQ,8.15,8.3,8.0,8.1,8.05,8.1,8.11,12.35,5.9,34055807,276251315.65,19967,SUZLON
127,2023-04-03,EQ,7.9,8.2,7.9,7.9,8.15,8.1,8.01,12.35,5.9,38896680,311697709.2,19985,SUZLON
128,2023-03-31,EQ,8.05,8.25,7.85,7.95,7.9,7.9,8.0,12.35,5.9,61243637,489650657.9,29595,SUZLON
129,2023-03-29,EQ,7.1,8.1,7.05,7.05,8.05,7.95,7.64,12.35,5.9,131787323,1007170504.5,41116,SUZLON
130,2023-03-28,EQ,7.25,7.35,6.95,7.2,7.1,7.05,7.1,12.35,5.9,55049453,390864501.65,26129,SUZLON
131,2023-03-27,EQ,7.6,7.6,7.15,7.55,7.25,7.2,7.35,12.35,5.9,46753705,343583643.6,25803,SUZLON
132,2023-03-24,EQ,7.75,7.8,7.5,7.75,7.55,7.55,7.62,12.35,5.9,36581412,278581365.4,23195,SUZLON
133,2023-03-23,EQ,7.8,7.9,7.7,7.8,7.75,7.75,7.81,12.35,5.9,23864906,186398983.75,14809,SUZLON
134,2023-03-22,EQ,7.85,7.95,7.8,7.8,7.85,7.8,7.87,12.35,5.9,22956081,180569372.35,14429,SUZLON
135,2023-03-21,EQ,7.85,7.9,7.75,7.75,7.85,7.8,7.8,12.35,5.9,27594112,215135485.2,20172,SUZLON
136,2023-03-20,EQ,8.0,8.0,7.7,8.0,7.75,7.75,7.8,12.35,5.9,42986085,335142440.1,32718,SUZLON
137,2023-03-17,EQ,7.95,8.15,7.9,7.9,8.05,8.0,8.0,12.35,5.9,40883551,326935864.05,18078,SUZLON
138,2023-03-16,EQ,8.0,8.0,7.7,7.95,7.95,7.9,7.86,12.35,5.9,56722948,445901044.3,29009,SUZLON
139,2023-03-15,EQ,7.8,8.15,7.75,7.95,7.95,7.95,8.0,12.35,5.9,59556915,476479195.9,25835,SUZLON
140,2023-03-14,EQ,8.15,8.2,7.7,8.1,7.8,7.95,8.04,12.35,5.9,52110143,418848993.3,32347,SUZLON
141,2023-03-13,EQ,8.4,8.5,8.0,8.4,8.15,8.1,8.24,12.35,5.9,50754201,418012752.0,32130,SUZLON
142,2023-03-10,EQ,8.6,8.65,8.35,8.7,8.35,8.4,8.5,12.35,5.9,51783687,440082477.4,23704,SUZLON
143,2023-03-09,EQ,8.7,8.95,8.65,8.6,8.7,8.7,8.8,12.35,5.9,74757405,657705275.15,24346,SUZLON
144,2023-03-08,EQ,8.55,8.7,8.45,8.6,8.7,8.6,8.56,12.35,5.9,39328106,336496567.95,20132,SUZLON
145,2023-03-06,EQ,8.55,8.9,8.5,8.5,8.6,8.6,8.7,12.35,5.9,75423846,655973762.6,27040,SUZLON
146,2023-03-03,EQ,8.3,8.75,8.3,8.25,8.5,8.5,8.52,12.35,5.9,96295154,820787869.35,29935,SUZLON
147,2023-03-02,EQ,8.4,8.45,8.2,8.4,8.25,8.25,8.33,12.35,5.9,45131745,376005498.15,22973,SUZLON
148,2023-03-01,EQ,8.25,8.6,8.2,8.2,8.45,8.4,8.42,12.35,5.9,55018196,463436379.0,27621,SUZLON
149,2023-02-28,EQ,8.15,8.3,8.05,8.1,8.25,8.2,8.15,12.35,5.9,33919586,276302344.15,21513,SUZLON
150,2023-02-27,EQ,8.4,8.4,8.05,8.4,8.15,8.1,8.15,12.35,5.9,47631704,388313951.65,29114,SUZLON
151,2023-02-24,EQ,8.2,8.55,8.15,8.15,8.4,8.4,8.39,12.35,5.9,57101906,479326031.1,22344,SUZLON
152,2023-02-23,EQ,8.3,8.35,8.05,8.3,8.15,8.15,8.21,12.35,5.9,57513590,472132133.95,23653,SUZLON
153,2023-02-22,EQ,8.4,8.5,8.2,8.4,8.25,8.3,8.33,12.35,5.9,41332864,344179057.1,24987,SUZLON
154,2023-02-21,EQ,8.6,8.65,8.35,8.55,8.4,8.4,8.52,12.35,5.9,39042076,332604441.05,34082,SUZLON
155,2023-02-20,EQ,8.9,9.1,8.45,8.9,8.6,8.55,8.8,12.35,5.9,118491096,1042566133.8,38442,SUZLON
156,2023-02-17,EQ,8.9,9.15,8.85,8.9,8.9,8.9,9.0,12.35,5.9,61270881,551489830.5,19069,SUZLON
157,2023-02-16,EQ,9.05,9.05,8.85,9.0,8.95,8.9,8.92,12.35,5.9,35573041,317284045.4,26397,SUZLON
158,2023-02-15,EQ,8.85,9.05,8.8,8.8,8.95,9.0,8.96,12.35,5.9,40241204,360464447.45,22595,SUZLON
159,2023-02-14,EQ,9.05,9.15,8.75,9.05,8.8,8.8,8.91,12.35,5.9,38860144,346377429.7,28918,SUZLON
160,2023-02-13,EQ,9.2,9.25,8.95,9.15,9.1,9.05,9.07,12.35,5.9,45209836,410110572.3,29298,SUZLON
161,2023-02-10,EQ,9.3,9.65,9.05,9.2,9.15,9.15,9.33,12.35,5.9,71596394,668203670.75,32543,SUZLON
162,2023-02-09,EQ,9.0,9.35,8.95,9.0,9.2,9.2,9.13,12.35,5.9,72874809,665258354.35,27064,SUZLON
163,2023-02-08,EQ,9.05,9.25,8.95,8.95,9.0,9.0,9.06,12.35,5.9,47849321,433699056.85,26332,SUZLON
164,2023-02-07,EQ,9.05,9.15,8.9,9.05,9.0,8.95,9.0,12.35,5.9,35950091,323626648.35,24453,SUZLON
165,2023-02-06,EQ,9.05,9.25,9.0,9.05,9.05,9.05,9.11,12.35,5.9,45864843,417604237.7,25403,SUZLON
166,2023-02-03,EQ,9.2,9.3,8.7,9.2,9.05,9.05,8.97,12.5,5.9,103617993,929372958.25,43373,SUZLON
167,2023-02-02,EQ,9.15,9.6,9.05,9.2,9.15,9.2,9.28,12.5,5.9,86094874,798759553.2,32653,SUZLON
168,2023-02-01,EQ,10.1,10.2,8.9,9.8,9.3,9.2,9.51,12.5,5.9,144996475,1379565239.1,52743,SUZLON
169,2023-01-31,EQ,9.0,9.95,8.9,8.95,9.95,9.8,9.47,12.5,5.9,122433631,1159926420.25,35011,SUZLON
170,2023-01-30,EQ,9.0,9.35,8.8,9.1,8.95,8.95,9.02,12.5,5.9,94496123,852063960.35,41100,SUZLON
171,2023-01-27,EQ,9.5,9.7,8.95,9.5,9.1,9.1,9.22,12.5,5.9,96786728,892324043.75,53378,SUZLON
172,2023-01-25,EQ,9.65,9.75,9.4,9.65,9.5,9.5,9.55,12.5,5.9,47479501,453345782.65,29960,SUZLON
173,2023-01-24,EQ,9.75,9.85,9.6,9.75,9.65,9.65,9.72,12.5,5.9,36745668,357201482.45,23004,SUZLON
174,2023-01-23,EQ,10.05,10.1,9.7,10.0,9.75,9.75,9.85,12.5,5.9,54689324,538535064.6,31008,SUZLON
175,2023-01-20,EQ,9.65,10.25,9.6,9.65,10.1,10.0,10.02,13.1,5.9,112834934,1130314990.8,36302,SUZLON
176,2023-01-19,EQ,9.8,9.8,9.6,9.8,9.7,9.65,9.7,13.1,5.9,51419762,498945615.7,26639,SUZLON
177,2023-01-18,EQ,9.95,10.0,9.75,10.0,9.8,9.8,9.88,13.1,5.9,39381363,389254139.0,39514,SUZLON
178,2023-01-17,EQ,10.0,10.05,9.9,10.0,9.95,10.0,9.98,13.1,5.9,46626799,465352817.05,21367,SUZLON
179,2023-01-16,EQ,10.1,10.15,9.95,10.05,10.0,10.0,10.04,13.1,5.9,46621802,467968331.65,32054,SUZLON
180,2023-01-13,EQ,10.0,10.1,9.85,10.0,10.05,10.05,10.0,13.1,5.9,64749356,647794425.7,26714,SUZLON
181,2023-01-12,EQ,10.15,10.2,9.9,10.1,10.0,10.0,10.01,13.1,5.9,75308002,753843081.8,30249,SUZLON
182,2023-01-11,EQ,10.15,10.3,10.05,10.05,10.15,10.1,10.17,13.1,5.9,58400770,594162796.8,23462,SUZLON
183,2023-01-10,EQ,10.25,10.25,9.95,10.2,10.1,10.05,10.09,13.1,5.9,70863324,715355616.0,29729,SUZLON
184,2023-01-09,EQ,10.35,10.55,10.2,10.2,10.25,10.2,10.34,13.1,5.9,88848012,918968239.15,33254,SUZLON
185,2023-01-06,EQ,10.35,10.4,10.05,10.25,10.25,10.2,10.21,13.1,5.9,114171473,1165829016.85,36819,SUZLON
186,2023-01-05,EQ,10.55,10.6,10.05,10.4,10.35,10.25,10.23,13.1,5.9,142768735,1460646856.15,46587,SUZLON
187,2023-01-04,EQ,10.75,10.8,10.3,10.75,10.45,10.4,10.47,13.1,5.9,113590256,1189364897.25,51328,SUZLON
188,2023-01-03,EQ,10.75,11.0,10.6,10.7,10.7,10.75,10.8,13.1,5.9,126373567,1364822029.7,49303,SUZLON
