,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2474.95,2483.4,2401.0,2472.85,2413.0,2422.8,2426.58,2553.75,1513.2,10187,24719536.0,2204,SWARAJENG
1,2023-12-28,EQ,2492.9,2500.0,2456.05,2480.45,2485.0,2472.85,2482.26,2553.75,1513.2,5898,14640383.55,1435,SWARAJENG
2,2023-12-27,EQ,2500.0,2500.0,2458.6,2495.35,2479.95,2480.45,2480.22,2553.75,1513.2,6021,14933386.55,1388,SWARAJENG
3,2023-12-26,EQ,2470.0,2500.0,2430.05,2446.7,2494.35,2495.35,2483.85,2553.75,1513.2,10010,24863355.4,1968,SWARAJENG
4,2023-12-22,EQ,2441.85,2476.75,2395.55,2405.75,2448.3,2446.7,2442.82,2553.75,1513.2,8110,19811255.0,2558,SWARAJENG
5,2023-12-21,EQ,2341.4,2425.0,2326.65,2376.75,2403.8,2405.75,2388.34,2553.75,1513.2,11291,26966742.7,2884,SWARAJENG
6,2023-12-20,EQ,2505.0,2533.45,2343.0,2489.55,2384.5,2376.75,2454.22,2553.75,1513.2,23175,56876561.75,5736,SWARAJENG
7,2023-12-19,EQ,2537.45,2553.0,2466.0,2508.65,2486.75,2489.55,2495.15,2553.75,1513.2,26837,66962289.3,4897,SWARAJENG
8,2023-12-18,EQ,2298.75,2553.75,2291.6,2280.15,2518.0,2508.65,2467.42,2553.75,1513.2,158008,389872802.7,24406,SWARAJENG
9,2023-12-15,EQ,2269.65,2294.0,2260.1,2258.35,2282.2,2280.15,2281.37,2299.0,1513.2,10726,24469939.75,1252,SWARAJENG
10,2023-12-14,EQ,2250.05,2295.15,2250.05,2246.5,2255.0,2258.35,2274.23,2299.0,1513.2,8247,18755562.35,1844,SWARAJENG
11,2023-12-13,EQ,2235.05,2286.0,2226.3,2234.65,2245.15,2246.5,2253.14,2299.0,1513.2,17102,38533278.3,2666,SWARAJENG
12,2023-12-12,EQ,2211.3,2239.0,2211.3,2211.3,2235.0,2234.65,2231.1,2299.0,1513.2,6535,14580225.65,1312,SWARAJENG
13,2023-12-11,EQ,2176.0,2226.0,2175.0,2175.35,2212.0,2211.3,2205.54,2299.0,1513.2,4704,10374847.1,1009,SWARAJENG
14,2023-12-08,EQ,2230.95,2261.0,2151.1,2220.3,2184.0,2175.35,2227.39,2299.0,1513.2,14698,32738245.6,2861,SWARAJENG
15,2023-12-07,EQ,2225.0,2230.15,2212.6,2219.05,2216.05,2220.3,2220.6,2299.0,1513.2,5985,13290311.05,883,SWARAJENG
16,2023-12-06,EQ,2200.0,2226.0,2188.55,2200.0,2215.5,2219.05,2212.47,2299.0,1513.2,13844,30629412.05,2482,SWARAJENG
17,2023-12-05,EQ,2186.3,2208.1,2175.0,2186.3,2204.6,2200.0,2197.55,2299.0,1513.2,11161,24526880.95,1636,SWARAJENG
18,2023-12-04,EQ,2250.0,2250.0,2173.0,2202.6,2175.0,2186.3,2202.82,2299.0,1513.2,7915,17435306.8,1441,SWARAJENG
19,2023-12-01,EQ,2211.45,2225.0,2181.4,2200.4,2210.0,2202.6,2208.68,2299.0,1513.2,9284,20505379.1,1946,SWARAJENG
20,2023-11-30,EQ,2225.0,2225.0,2173.05,2190.2,2202.0,2200.4,2198.46,2299.0,1513.2,6039,13276484.75,1135,SWARAJENG
21,2023-11-29,EQ,2188.9,2223.6,2164.05,2188.9,2193.0,2190.2,2197.41,2299.0,1513.2,5225,11481445.85,954,SWARAJENG
22,2023-11-28,EQ,2190.15,2209.6,2155.0,2190.15,2191.6,2188.9,2185.87,2299.0,1513.2,6920,15126188.7,1576,SWARAJENG
23,2023-11-24,EQ,2199.65,2217.25,2174.05,2190.75,2185.0,2190.15,2191.23,2299.0,1513.2,7601,16655561.4,1910,SWARAJENG
24,2023-11-23,EQ,2177.3,2229.0,2170.4,2177.3,2190.0,2190.75,2201.52,2299.0,1513.2,14882,32763008.75,2770,SWARAJENG
25,2023-11-22,EQ,2162.0,2185.95,2160.0,2155.1,2179.8,2177.3,2173.96,2299.0,1513.2,5632,12243760.55,1184,SWARAJENG
26,2023-11-21,EQ,2172.3,2186.45,2140.05,2161.45,2170.0,2155.1,2173.03,2299.0,1513.2,13884,30170350.25,2530,SWARAJENG
27,2023-11-20,EQ,2147.8,2175.0,2142.0,2135.15,2167.0,2161.45,2157.92,2299.0,1513.2,11543,24908870.55,2258,SWARAJENG
28,2023-11-17,EQ,2104.0,2139.95,2088.1,2097.8,2130.0,2135.15,2128.48,2299.0,1513.2,10740,22859923.7,1789,SWARAJENG
29,2023-11-16,EQ,2103.25,2119.9,2090.0,2103.25,2100.0,2097.8,2102.12,2299.0,1513.2,7811,16419665.85,1682,SWARAJENG
30,2023-11-15,EQ,2101.45,2119.9,2085.0,2090.95,2100.0,2103.25,2099.96,2299.0,1513.2,6172,12960935.1,1393,SWARAJENG
31,2023-11-13,EQ,2108.15,2116.25,2065.65,2105.65,2085.8,2090.95,2089.54,2299.0,1513.2,5740,11993965.4,1262,SWARAJENG
32,2023-11-12,EQ,2100.0,2111.0,2081.4,2073.1,2110.0,2105.65,2104.15,2299.0,1513.2,4097,8620684.2,823,SWARAJENG
33,2023-11-10,EQ,2054.3,2100.0,2049.05,2049.6,2075.0,2073.1,2078.55,2299.0,1513.2,10784,22415115.15,2101,SWARAJENG
34,2023-11-09,EQ,2047.0,2061.0,2031.1,2037.6,2046.0,2049.6,2046.25,2299.0,1513.2,3623,7413571.2,626,SWARAJENG
35,2023-11-08,EQ,2022.65,2042.3,2013.6,2022.65,2037.0,2037.6,2028.48,2299.0,1513.2,3654,7412073.2,669,SWARAJENG
36,2023-11-07,EQ,2018.25,2028.35,2004.6,2018.25,2020.0,2022.65,2019.76,2299.0,1513.2,4495,9078807.65,746,SWARAJENG
37,2023-11-06,EQ,2021.35,2031.3,2001.0,2021.35,2018.0,2018.25,2014.1,2299.0,1513.2,4829,9726065.6,983,SWARAJENG
38,2023-11-03,EQ,2060.05,2079.95,2010.9,2045.45,2013.0,2021.35,2048.29,2299.0,1513.2,4100,8397977.6,783,SWARAJENG
39,2023-11-02,EQ,2047.9,2094.0,2024.4,2035.9,2045.3,2045.45,2056.69,2299.0,1513.2,7775,15990741.35,1457,SWARAJENG
40,2023-11-01,EQ,2015.25,2047.0,2007.95,2013.0,2033.0,2035.9,2031.86,2299.0,1513.2,10516,21367048.9,1957,SWARAJENG
