,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,879.85,888.0,871.0,875.8,877.6,876.0,875.61,1219.0,825.0,63747,55817219.2,6109,SYMPHONY
1,2023-12-28,EQ,890.4,891.0,873.0,886.0,876.3,875.8,880.1,1219.0,825.0,174136,153256671.25,8443,SYMPHONY
2,2023-12-27,EQ,886.0,891.15,882.2,884.05,888.0,886.0,885.77,1219.0,825.0,65999,58459877.65,5939,SYMPHONY
3,2023-12-26,EQ,878.95,895.0,877.35,878.15,885.0,884.05,884.68,1219.0,825.0,82080,72614646.7,7399,SYMPHONY
4,2023-12-22,EQ,879.05,883.35,874.05,877.3,876.8,878.15,878.17,1219.0,825.0,47837,42008781.95,5108,SYMPHONY
5,2023-12-21,EQ,876.75,885.0,875.0,876.75,876.0,877.3,879.62,1219.0,825.0,74583,65604464.95,6022,SYMPHONY
6,2023-12-20,EQ,880.3,897.0,870.7,875.95,877.0,876.75,880.52,1219.0,825.0,767847,676104771.8,16254,SYMPHONY
7,2023-12-19,EQ,874.0,886.0,871.55,873.5,877.3,875.95,878.92,1219.0,825.0,74438,65424795.0,6801,SYMPHONY
8,2023-12-18,EQ,878.05,890.6,866.1,873.7,874.0,873.5,875.3,1219.0,825.0,89813,78613289.1,8633,SYMPHONY
9,2023-12-15,EQ,874.75,878.8,872.1,874.75,872.1,873.7,875.6,1219.0,825.0,26342,23064932.0,3551,SYMPHONY
10,2023-12-14,EQ,878.0,879.65,872.05,873.95,875.0,874.75,875.58,1219.0,825.0,43119,37754325.6,3751,SYMPHONY
11,2023-12-13,EQ,891.95,894.0,871.05,885.55,872.6,873.95,876.87,1219.0,825.0,42936,37649102.0,6589,SYMPHONY
12,2023-12-12,EQ,880.95,891.0,874.2,880.9,883.9,885.55,885.0,1219.0,825.0,51193,45306005.75,6916,SYMPHONY
13,2023-12-11,EQ,885.0,886.45,878.4,883.8,882.95,880.9,881.04,1219.0,825.0,28503,25112256.55,3920,SYMPHONY
14,2023-12-08,EQ,888.25,895.45,881.0,888.25,883.0,883.8,887.48,1219.0,825.0,71267,63248094.95,8919,SYMPHONY
15,2023-12-07,EQ,885.55,892.0,875.6,885.4,887.0,888.25,883.85,1219.0,825.0,35005,30939235.35,5092,SYMPHONY
16,2023-12-06,EQ,888.0,891.9,875.0,885.25,883.0,885.4,881.42,1219.0,825.0,38055,33542439.45,5475,SYMPHONY
17,2023-12-05,EQ,885.0,887.8,876.0,878.1,885.8,885.25,882.78,1219.0,825.0,33354,29444111.7,5258,SYMPHONY
18,2023-12-04,EQ,894.7,894.7,872.0,870.45,879.0,878.1,877.77,1219.0,825.0,67656,59386573.65,8512,SYMPHONY
19,2023-12-01,EQ,865.0,874.2,860.5,862.05,870.0,870.45,868.14,1219.0,825.0,22467,19504414.05,3453,SYMPHONY
20,2023-11-30,EQ,866.45,868.05,859.1,866.35,861.85,862.05,862.02,1219.0,825.0,27406,23624545.65,4313,SYMPHONY
21,2023-11-29,EQ,868.95,872.3,865.0,868.95,866.0,866.35,866.98,1219.0,825.0,19786,17154110.65,2835,SYMPHONY
22,2023-11-28,EQ,874.0,875.95,866.3,871.3,870.0,868.95,870.73,1219.0,825.0,16587,14442824.55,1899,SYMPHONY
23,2023-11-24,EQ,875.8,877.75,866.0,872.55,870.0,871.3,870.33,1219.0,825.0,19420,16901752.2,3101,SYMPHONY
24,2023-11-23,EQ,871.5,875.95,870.0,872.8,873.8,872.55,873.0,1219.0,825.0,15839,13827429.3,2334,SYMPHONY
25,2023-11-22,EQ,870.25,879.05,870.25,874.05,874.0,872.8,873.87,1219.0,825.0,16473,14395219.2,2570,SYMPHONY
26,2023-11-21,EQ,869.4,883.75,869.4,869.1,874.0,874.05,875.69,1219.0,825.0,27439,24028182.35,3321,SYMPHONY
27,2023-11-20,EQ,875.7,875.7,866.0,871.1,872.4,869.1,868.61,1219.0,825.0,16086,13972381.05,2241,SYMPHONY
28,2023-11-17,EQ,874.8,879.5,868.3,877.25,871.8,871.1,872.6,1219.0,825.0,15748,13741777.85,2241,SYMPHONY
29,2023-11-16,EQ,882.0,884.95,874.05,879.1,877.85,877.25,879.15,1219.0,825.0,24115,21200629.85,3393,SYMPHONY
30,2023-11-15,EQ,880.5,880.85,873.15,874.7,878.0,879.1,877.84,1219.0,825.0,22153,19446761.25,2325,SYMPHONY
31,2023-11-13,EQ,871.75,876.85,867.0,874.25,875.0,874.7,872.92,1219.0,825.0,17536,15307518.85,1870,SYMPHONY
32,2023-11-12,EQ,871.0,878.0,869.5,869.5,874.4,874.25,874.45,1219.0,825.0,11828,10342938.5,1211,SYMPHONY
33,2023-11-10,EQ,875.0,875.0,863.1,869.85,871.4,869.5,868.12,1219.0,825.0,13529,11744790.15,2117,SYMPHONY
34,2023-11-09,EQ,873.0,876.95,865.2,868.65,869.05,869.85,870.0,1219.0,825.0,14131,12293905.65,2346,SYMPHONY
35,2023-11-08,EQ,865.15,880.95,860.7,865.8,868.0,868.65,868.14,1219.0,825.0,30222,26236860.45,4464,SYMPHONY
36,2023-11-07,EQ,868.0,870.0,855.0,860.75,868.0,865.8,862.55,1219.0,825.0,25166,21706862.4,3673,SYMPHONY
37,2023-11-06,EQ,851.2,864.95,845.7,846.95,862.9,860.75,858.27,1219.0,825.0,24137,20716168.1,3348,SYMPHONY
38,2023-11-03,EQ,842.0,849.8,840.0,841.9,849.0,846.95,844.83,1219.0,820.6,19534,16502827.75,2454,SYMPHONY
39,2023-11-02,EQ,837.95,848.95,835.05,833.1,838.15,841.9,841.55,1219.0,820.6,16047,13504330.0,3135,SYMPHONY
40,2023-11-01,EQ,843.65,855.9,830.5,843.55,833.1,833.1,840.1,1219.0,820.6,32205,27055382.2,3828,SYMPHONY
41,2023-10-31,EQ,854.55,854.55,838.35,846.1,844.0,843.55,844.92,1219.0,820.6,19482,16460739.25,3957,SYMPHONY
42,2023-10-30,EQ,844.0,850.75,839.25,846.75,845.1,846.1,845.06,1219.0,820.6,11492,9711380.5,2463,SYMPHONY
43,2023-10-27,EQ,838.5,850.8,833.05,835.95,845.0,846.75,844.02,1219.0,820.6,26379,22264440.25,5104,SYMPHONY
44,2023-10-26,EQ,840.0,855.0,825.0,847.7,836.0,835.95,836.08,1219.0,820.6,108688,90871865.0,10421,SYMPHONY
45,2023-10-25,EQ,845.1,853.95,843.2,845.8,846.45,847.7,847.88,1219.0,820.6,29509,25020008.75,4887,SYMPHONY
46,2023-10-23,EQ,853.5,859.7,843.05,853.0,845.9,845.8,848.18,1219.0,820.6,24602,20866841.85,3518,SYMPHONY
47,2023-10-20,EQ,851.9,857.95,848.0,851.5,853.9,853.0,852.68,1219.0,820.6,21457,18295858.0,3756,SYMPHONY
48,2023-10-19,EQ,837.0,852.95,833.05,837.5,852.4,851.5,844.87,1219.0,820.6,37873,31997685.25,5688,SYMPHONY
49,2023-10-18,EQ,866.05,872.25,825.0,869.45,832.7,837.5,844.39,1219.0,820.6,117824,99489763.2,11274,SYMPHONY
50,2023-10-17,EQ,869.0,874.0,864.0,868.25,869.0,869.45,869.54,1219.0,820.6,23382,20331624.75,4617,SYMPHONY
51,2023-10-16,EQ,871.9,873.45,864.0,867.55,869.5,868.25,868.08,1219.0,820.6,16918,14686114.5,3128,SYMPHONY
52,2023-10-13,EQ,863.15,873.6,863.0,867.3,867.0,867.55,868.37,1219.0,820.6,20508,17808558.7,3194,SYMPHONY
53,2023-10-12,EQ,870.0,874.7,864.0,869.35,868.95,867.3,870.0,1219.0,820.6,20918,18198699.65,3929,SYMPHONY
54,2023-10-11,EQ,861.95,880.0,860.25,861.05,867.45,869.35,870.44,1219.0,820.6,28975,25221103.55,5157,SYMPHONY
55,2023-10-10,EQ,864.95,868.85,859.0,864.55,860.0,861.05,862.47,1219.0,820.6,18857,16263625.6,3741,SYMPHONY
56,2023-10-09,EQ,866.0,869.85,860.15,872.05,868.4,864.55,865.08,1219.0,820.6,17345,15004887.35,3709,SYMPHONY
57,2023-10-06,EQ,879.9,880.85,870.0,876.9,870.0,872.05,873.78,1219.0,820.6,16654,14551953.2,2135,SYMPHONY
58,2023-10-05,EQ,876.8,880.0,870.95,872.45,878.95,876.9,874.62,1219.0,820.6,15519,13573264.05,2326,SYMPHONY
59,2023-10-04,EQ,870.85,881.95,870.5,880.7,874.95,872.45,875.39,1219.0,820.6,22958,20097293.15,3776,SYMPHONY
60,2023-10-03,EQ,884.35,884.35,873.25,879.95,881.95,880.7,879.16,1219.0,820.6,19845,17447007.9,3656,SYMPHONY
61,2023-09-29,EQ,888.25,888.25,877.0,883.8,883.0,879.95,881.69,1219.0,820.6,12208,10763633.45,2330,SYMPHONY
