,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,229.0,233.5,227.7,228.3,228.8,228.75,230.01,286.15,168.95,60772,13978172.15,2693,TAJGVK
1,2023-12-28,EQ,229.4,229.4,226.6,228.25,228.95,228.3,227.97,286.15,168.95,35825,8166951.35,1885,TAJGVK
2,2023-12-27,EQ,231.8,231.95,227.2,228.65,228.8,228.25,229.84,286.15,168.95,71829,16509212.75,4252,TAJGVK
3,2023-12-26,EQ,227.85,230.0,224.55,226.7,229.0,228.65,228.02,286.15,168.95,72436,16517209.45,3568,TAJGVK
4,2023-12-22,EQ,225.9,228.95,225.05,225.9,227.4,226.7,226.99,286.15,168.95,46032,10448748.85,2794,TAJGVK
5,2023-12-21,EQ,223.6,229.0,221.8,223.6,227.0,225.9,225.18,286.15,168.95,63953,14400903.0,3467,TAJGVK
6,2023-12-20,EQ,234.3,234.3,222.0,233.1,222.75,223.6,228.09,286.15,168.95,105998,24176840.2,5279,TAJGVK
7,2023-12-19,EQ,234.05,235.5,232.1,234.0,234.0,233.1,233.46,286.15,168.95,67459,15748984.75,3309,TAJGVK
8,2023-12-18,EQ,230.75,237.0,230.05,230.75,233.35,234.0,233.71,286.15,168.95,123269,28809576.15,5276,TAJGVK
9,2023-12-15,EQ,231.5,232.85,229.9,230.3,230.7,230.75,230.81,286.15,168.95,51830,11962946.9,2568,TAJGVK
10,2023-12-14,EQ,231.35,234.0,229.95,230.15,230.9,230.3,231.1,286.15,168.95,61863,14296480.0,3746,TAJGVK
11,2023-12-13,EQ,231.7,232.85,229.05,231.7,230.3,230.15,230.47,286.15,168.95,49573,11425069.05,3245,TAJGVK
12,2023-12-12,EQ,235.3,236.8,231.1,235.0,233.0,231.7,233.43,286.15,168.95,85038,19850041.4,5885,TAJGVK
13,2023-12-11,EQ,235.0,237.0,231.5,233.8,235.45,235.0,234.36,286.15,168.95,120751,28298752.1,8159,TAJGVK
14,2023-12-08,EQ,239.0,239.0,231.6,234.45,233.5,233.8,235.76,286.15,168.95,191752,45207165.3,8354,TAJGVK
15,2023-12-07,EQ,226.35,236.0,225.1,225.2,235.0,234.45,231.99,286.15,168.95,427373,99147779.85,11384,TAJGVK
16,2023-12-06,EQ,222.85,226.0,220.05,221.75,225.4,225.2,223.77,286.15,168.95,125393,28059736.45,6076,TAJGVK
17,2023-12-05,EQ,220.65,223.2,220.65,221.55,222.0,221.75,221.89,286.15,168.95,92156,20448634.6,2988,TAJGVK
18,2023-12-04,EQ,221.6,223.95,220.3,221.35,221.45,221.55,221.86,286.15,168.95,99609,22099511.35,3191,TAJGVK
19,2023-12-01,EQ,220.1,224.2,219.7,220.2,222.55,221.35,221.81,286.15,168.95,103768,23016358.7,3762,TAJGVK
20,2023-11-30,EQ,221.85,222.75,219.75,221.25,220.15,220.2,220.51,286.15,168.95,53459,11788202.5,2143,TAJGVK
21,2023-11-29,EQ,223.9,224.0,220.1,222.75,220.9,221.25,222.35,286.15,168.95,40682,9045569.5,2178,TAJGVK
22,2023-11-28,EQ,220.7,223.5,220.0,220.05,223.2,222.75,222.0,286.15,168.95,70893,15738025.9,4422,TAJGVK
23,2023-11-24,EQ,221.35,222.7,218.8,222.3,220.15,220.05,220.4,286.15,168.95,64896,14302758.95,3012,TAJGVK
24,2023-11-23,EQ,221.1,222.75,217.1,220.55,221.8,222.3,220.75,286.15,168.95,59187,13065363.75,2730,TAJGVK
25,2023-11-22,EQ,220.8,223.55,219.0,220.05,220.3,220.55,220.75,286.15,168.95,55879,12335374.05,2562,TAJGVK
26,2023-11-21,EQ,222.15,223.1,219.3,222.1,219.9,220.05,220.56,286.15,168.95,64223,14165047.15,2820,TAJGVK
27,2023-11-20,EQ,222.55,223.4,220.0,221.6,221.75,222.1,221.94,286.15,168.95,58637,13014066.9,4469,TAJGVK
28,2023-11-17,EQ,224.0,224.75,220.9,222.25,222.6,221.6,222.27,286.15,168.95,61574,13686051.65,3967,TAJGVK
29,2023-11-16,EQ,224.4,224.95,221.15,224.1,224.75,222.25,222.85,286.15,168.95,65903,14686474.2,2147,TAJGVK
30,2023-11-15,EQ,224.0,225.95,221.95,221.0,224.15,224.1,223.95,286.15,168.95,61789,13837802.75,2645,TAJGVK
31,2023-11-13,EQ,221.4,223.9,219.25,221.4,221.5,221.0,221.9,286.15,168.95,54448,12082067.9,1948,TAJGVK
32,2023-11-12,EQ,219.5,221.95,219.5,218.45,221.0,221.4,221.26,286.15,168.95,28726,6355902.2,985,TAJGVK
33,2023-11-10,EQ,218.0,220.35,218.0,219.25,219.0,218.45,218.74,286.15,168.95,70085,15330330.3,3192,TAJGVK
34,2023-11-09,EQ,223.1,224.5,217.9,222.0,219.0,219.25,220.38,286.15,168.95,148807,32794277.9,3617,TAJGVK
35,2023-11-08,EQ,231.85,232.85,213.7,231.85,222.5,222.0,222.84,286.15,168.95,349446,77870134.2,9128,TAJGVK
36,2023-11-07,EQ,228.05,234.25,228.05,230.9,231.9,231.85,231.42,286.15,168.95,76251,17646208.05,2603,TAJGVK
37,2023-11-06,EQ,229.15,231.5,227.65,228.0,230.8,230.9,230.05,286.15,168.95,64114,14749347.6,2289,TAJGVK
38,2023-11-03,EQ,231.35,232.8,224.7,230.2,228.3,228.0,227.63,286.15,168.95,113550,25847170.2,3141,TAJGVK
39,2023-11-02,EQ,229.65,231.4,229.4,229.65,229.55,230.2,230.22,286.15,168.95,37243,8573928.75,1507,TAJGVK
40,2023-11-01,EQ,228.0,231.2,226.75,227.9,230.0,229.65,229.55,286.15,168.95,41939,9626966.6,2064,TAJGVK
41,2023-10-31,EQ,226.2,230.35,226.2,227.65,228.0,227.9,228.24,286.15,168.95,33510,7648375.1,1801,TAJGVK
42,2023-10-30,EQ,227.2,230.6,222.5,227.2,226.2,227.65,227.55,286.15,168.95,66788,15197473.05,2868,TAJGVK
43,2023-10-27,EQ,221.45,228.95,221.45,221.1,226.8,227.2,225.47,286.15,168.95,59061,13316595.85,2521,TAJGVK
44,2023-10-26,EQ,222.5,222.5,212.7,223.75,221.0,221.1,217.4,286.15,168.95,167995,36521858.5,5456,TAJGVK
45,2023-10-25,EQ,222.05,225.85,216.35,222.05,224.1,223.75,221.11,286.15,168.95,92967,20555881.2,4339,TAJGVK
46,2023-10-23,EQ,231.25,233.8,220.0,232.65,221.1,222.05,225.52,286.15,168.95,249819,56340257.2,7729,TAJGVK
47,2023-10-20,EQ,236.65,237.85,231.15,236.65,232.0,232.65,234.12,286.15,168.95,108540,25411348.5,3438,TAJGVK
48,2023-10-19,EQ,238.0,240.8,234.7,238.45,236.25,236.65,237.12,286.15,168.95,113343,26876398.35,3862,TAJGVK
49,2023-10-18,EQ,240.85,243.45,235.3,239.65,238.05,238.45,238.93,286.15,168.95,124424,29729074.8,4226,TAJGVK
50,2023-10-17,EQ,245.55,248.3,238.1,245.55,240.0,239.65,242.28,286.15,168.95,197616,47878754.6,5217,TAJGVK
51,2023-10-16,EQ,248.25,248.25,244.0,246.65,244.35,245.55,245.28,286.15,168.95,136427,33462758.4,3329,TAJGVK
52,2023-10-13,EQ,244.2,249.4,243.0,245.55,246.1,246.65,246.53,286.15,168.95,211579,52160625.6,4658,TAJGVK
53,2023-10-12,EQ,242.7,248.9,238.5,241.55,243.2,245.55,243.73,286.15,168.95,341795,83305432.35,9016,TAJGVK
54,2023-10-11,EQ,243.0,244.95,238.8,240.75,241.6,241.55,241.25,286.15,168.95,131861,31811324.7,5048,TAJGVK
55,2023-10-10,EQ,241.45,241.6,238.45,236.55,240.1,240.75,240.22,286.15,168.95,89967,21611441.6,3289,TAJGVK
56,2023-10-09,EQ,240.5,244.0,235.55,242.45,239.9,236.55,239.58,286.15,168.95,228850,54827997.8,8913,TAJGVK
57,2023-10-06,EQ,235.5,249.45,235.0,234.35,244.2,242.45,245.27,286.15,168.95,855096,209730333.1,19224,TAJGVK
58,2023-10-05,EQ,237.4,238.45,233.05,236.25,234.0,234.35,235.58,286.15,168.95,87854,20696794.45,3525,TAJGVK
59,2023-10-04,EQ,235.95,238.25,231.9,236.3,235.75,236.25,235.1,286.15,168.95,114723,26971767.6,3549,TAJGVK
60,2023-10-03,EQ,235.9,240.35,232.05,235.5,236.75,236.3,238.07,286.15,168.95,153046,36436203.65,5314,TAJGVK
61,2023-09-29,EQ,236.5,238.0,234.15,235.3,236.0,235.5,236.06,286.15,168.95,58776,13874446.15,2371,TAJGVK
62,2023-09-28,EQ,237.5,238.05,232.35,235.95,236.0,235.3,235.25,286.15,168.95,66130,15557377.1,2897,TAJGVK
63,2023-09-27,EQ,229.5,237.0,228.6,228.9,235.2,235.95,233.38,286.15,168.95,111826,26097676.2,4207,TAJGVK
64,2023-09-26,EQ,229.5,231.4,226.35,228.75,228.65,228.9,229.52,286.15,168.95,59110,13566733.45,2843,TAJGVK
65,2023-09-25,EQ,232.45,233.95,228.05,231.5,228.55,228.75,230.02,286.15,168.95,92554,21289685.4,5335,TAJGVK
66,2023-09-22,EQ,231.75,231.9,228.0,230.75,231.8,231.5,230.3,286.15,168.95,51720,11911054.05,2197,TAJGVK
67,2023-09-21,EQ,232.55,234.2,230.0,232.6,231.85,230.75,231.87,286.15,168.95,54372,12607436.3,2386,TAJGVK
68,2023-09-20,EQ,235.85,237.25,231.2,235.9,232.0,232.6,233.87,286.15,168.95,58627,13711247.5,2671,TAJGVK
69,2023-09-18,EQ,233.6,239.5,233.6,233.6,236.4,235.9,236.37,286.15,168.95,102515,24231736.25,3521,TAJGVK
70,2023-09-15,EQ,236.75,237.0,232.0,234.25,234.6,233.6,234.75,286.15,168.95,74964,17597990.4,2871,TAJGVK
71,2023-09-14,EQ,231.0,236.0,231.0,229.85,234.5,234.25,233.31,286.15,168.95,95905,22375207.5,2649,TAJGVK
72,2023-09-13,EQ,234.8,235.75,229.0,232.25,230.0,229.85,230.4,286.15,168.95,119918,27629015.55,2843,TAJGVK
73,2023-09-12,EQ,239.6,240.0,230.55,238.55,233.95,232.25,234.38,286.15,168.95,158172,37073003.75,4118,TAJGVK
74,2023-09-11,EQ,239.45,240.95,237.2,239.2,239.85,238.55,238.65,286.15,168.95,92510,22077757.05,2475,TAJGVK
75,2023-09-08,EQ,242.4,243.2,239.0,241.2,239.4,239.2,240.16,286.15,168.95,117731,28274562.8,3206,TAJGVK
76,2023-09-07,EQ,244.3,245.95,240.7,242.25,241.0,241.2,242.68,286.15,168.95,115236,27965681.65,3632,TAJGVK
77,2023-09-06,EQ,241.75,243.85,240.1,240.7,242.4,242.25,242.34,286.15,168.95,150533,36480428.5,4384,TAJGVK
78,2023-09-05,EQ,240.0,242.0,239.0,238.95,240.8,240.7,240.5,286.15,168.95,103588,24913293.0,3290,TAJGVK
79,2023-09-04,EQ,238.05,240.95,237.6,237.25,238.0,238.95,238.7,286.15,168.95,119724,28577862.55,3583,TAJGVK
80,2023-09-01,EQ,244.7,244.7,236.2,241.4,237.9,237.25,238.87,286.15,164.0,290727,69444572.9,7886,TAJGVK
81,2023-08-31,EQ,242.7,248.0,239.85,240.75,240.95,241.4,242.5,286.15,164.0,197549,47905206.55,5631,TAJGVK
82,2023-08-30,EQ,234.6,242.4,234.3,233.4,240.8,240.75,239.23,286.15,164.0,367448,87906139.05,8930,TAJGVK
83,2023-08-29,EQ,233.9,235.3,232.1,232.7,233.0,233.4,233.79,286.15,164.0,78207,18284357.75,2362,TAJGVK
84,2023-08-28,EQ,234.9,235.0,231.95,231.7,232.8,232.7,233.65,286.15,164.0,88853,20760663.65,3013,TAJGVK
85,2023-08-25,EQ,233.95,237.35,231.0,233.55,232.15,231.7,233.05,286.15,160.0,143079,33345226.65,4477,TAJGVK
86,2023-08-24,EQ,235.55,237.45,232.95,234.4,234.0,233.55,234.62,286.15,160.0,99590,23365326.7,3900,TAJGVK
87,2023-08-23,EQ,233.75,238.4,233.0,233.0,234.5,234.4,235.08,286.15,160.0,228996,53833515.95,6544,TAJGVK
88,2023-08-22,EQ,232.5,235.35,230.5,229.9,233.05,233.0,232.67,286.15,160.0,157848,36726128.55,5586,TAJGVK
89,2023-08-21,EQ,235.9,239.95,229.1,234.25,230.0,229.9,232.34,286.15,160.0,237862,55264007.8,8098,TAJGVK
90,2023-08-18,EQ,236.5,237.5,231.0,233.55,233.5,234.25,233.95,286.15,160.0,129184,30223066.05,5679,TAJGVK
91,2023-08-17,EQ,238.9,240.3,231.0,235.15,233.65,233.55,234.83,286.15,160.0,103744,24361728.55,4823,TAJGVK
92,2023-08-16,EQ,236.25,238.65,231.05,234.85,236.75,235.15,234.78,286.15,160.0,144690,33970229.0,5805,TAJGVK
93,2023-08-14,EQ,243.0,243.9,233.8,239.95,235.0,234.85,236.28,286.15,160.0,185081,43731595.7,6366,TAJGVK
94,2023-08-11,EQ,238.85,244.0,236.15,233.45,240.35,239.95,241.21,286.15,159.75,371825,89686928.5,12259,TAJGVK
95,2023-08-10,EQ,252.1,257.05,229.05,252.0,237.2,233.45,240.08,286.15,159.75,1564651,375635806.15,41650,TAJGVK
96,2023-08-09,EQ,278.95,281.7,247.2,277.6,252.8,252.0,260.31,286.15,159.75,1103777,287320534.15,28527,TAJGVK
97,2023-08-08,EQ,278.7,281.8,276.5,278.7,278.75,277.6,278.65,286.15,159.75,80728,22494984.9,4456,TAJGVK
98,2023-08-07,EQ,278.9,283.35,276.35,276.3,277.0,278.7,280.32,286.15,159.75,125602,35208786.85,4510,TAJGVK
99,2023-08-04,EQ,279.9,285.0,275.0,276.05,276.3,276.3,279.61,286.15,151.4,151472,42352612.1,5949,TAJGVK
100,2023-08-03,EQ,279.55,281.0,272.25,276.5,276.65,276.05,276.72,286.15,151.4,116784,32316959.75,4262,TAJGVK
101,2023-08-02,EQ,282.3,283.2,265.3,279.75,278.5,276.5,275.94,286.15,151.4,324493,89540770.95,10830,TAJGVK
102,2023-08-01,EQ,278.0,286.15,277.1,274.6,281.0,279.75,281.6,286.15,151.4,559340,157510053.75,13243,TAJGVK
