,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-11-28,EQ,312.9,315.0,299.0,306.75,301.5,303.95,306.86,1163.5,213.3,206236,63285990.5,6482,TALBROAUTO
1,2023-11-24,EQ,318.9,318.9,305.0,313.45,307.0,306.75,308.89,1163.5,213.3,252623,78033741.25,7548,TALBROAUTO
2,2023-11-23,EQ,315.0,323.0,303.05,314.05,313.0,313.45,313.67,1163.5,213.3,498669,156418453.8,10534,TALBROAUTO
3,2023-11-22,EQ,335.5,346.95,308.35,323.65,314.0,314.05,323.49,1163.5,213.3,1798626,581845159.2,46958,TALBROAUTO
4,2023-11-21,EQ,296.6,333.0,296.6,281.7,324.0,323.65,319.79,1163.5,213.3,3776745,1207767851.0,76996,TALBROAUTO
5,2023-11-20,EQ,253.45,281.7,250.0,234.75,281.7,281.7,274.78,1163.5,213.3,2795304,768097332.4,38409,TALBROAUTO
6,2023-11-17,EQ,235.5,241.85,234.0,236.9,235.0,234.75,236.68,1163.5,213.3,150372,35589942.35,8467,TALBROAUTO
7,2023-11-16,EQ,244.9,244.95,235.1,243.75,236.85,236.9,239.6,1163.5,213.3,177856,42614254.95,6406,TALBROAUTO
8,2023-11-15,EQ,247.25,253.0,241.5,245.8,244.0,243.75,245.19,1163.5,213.3,196459,48169732.5,7126,TALBROAUTO
9,2023-11-13,EQ,243.5,251.0,241.25,242.45,246.5,245.8,247.29,1163.5,213.3,258480,63919386.45,11047,TALBROAUTO
10,2023-11-12,EQ,242.55,245.0,239.45,238.65,240.5,242.45,242.19,1163.5,213.3,155864,37747942.3,4552,TALBROAUTO
11,2023-11-10,EQ,242.7,243.8,235.4,241.2,238.65,238.65,239.62,1163.5,213.3,153848,36864847.55,7265,TALBROAUTO
12,2023-11-09,EQ,244.95,253.85,240.0,240.7,242.7,241.2,246.45,1163.5,213.3,467941,115322720.95,12113,TALBROAUTO
13,2023-11-08,EQ,234.55,247.7,230.95,233.05,243.0,240.7,239.91,1163.5,213.3,649489,155817708.45,17783,TALBROAUTO
14,2023-11-07,EQ,233.7,235.0,227.6,231.7,235.0,233.05,230.88,1163.5,213.3,167409,38651596.25,5260,TALBROAUTO
15,2023-11-06,EQ,233.25,238.25,230.1,230.25,232.5,231.7,234.02,1163.5,213.3,275119,64384281.8,9403,TALBROAUTO
16,2023-11-03,EQ,232.85,234.55,228.7,227.0,229.5,230.25,231.07,1163.5,213.3,222667,51450781.3,8406,TALBROAUTO
17,2023-11-02,EQ,219.95,235.0,217.0,218.75,228.1,227.0,227.73,1163.5,213.3,646832,147303909.7,21977,TALBROAUTO
18,2023-11-01,EQ,230.0,230.0,217.0,227.65,217.5,218.75,220.69,1163.5,213.3,302434,66745209.65,12768,TALBROAUTO
19,2023-10-31,EQ,243.15,245.35,225.9,236.1,227.0,227.65,234.28,1163.5,213.3,480524,112576527.15,17495,TALBROAUTO
20,2023-10-30,EQ,263.0,264.0,232.1,251.45,236.0,236.1,242.91,1163.5,213.3,1154833,280521666.4,30282,TALBROAUTO
21,2023-10-27,EQ,213.3,251.45,213.3,1047.65,251.45,251.45,244.63,1163.5,213.3,1099136,268880435.05,20215,TALBROAUTO
22,2023-10-26,EQ,982.05,1059.7,955.05,990.45,1053.0,1047.65,1002.93,1163.5,369.8,82762,83004261.3,11077,TALBROAUTO
23,2023-10-25,EQ,1050.0,1073.65,966.2,1030.95,992.0,990.45,1012.04,1163.5,369.8,94181,95314545.0,12131,TALBROAUTO
24,2023-10-23,EQ,1113.0,1117.5,1021.3,1106.15,1032.0,1030.95,1053.9,1163.5,369.8,62068,65413447.15,9823,TALBROAUTO
25,2023-10-20,EQ,1134.9,1144.0,1102.0,1135.0,1113.0,1106.15,1117.92,1163.5,369.8,35833,40058538.5,3530,TALBROAUTO
