,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,814.0,824.9,809.6,811.8,820.0,822.8,818.32,912.0,566.05,40327,33000364.85,2569,TCI
1,2023-12-28,EQ,811.5,813.55,803.6,804.65,812.8,811.8,809.89,912.0,566.05,22980,18611260.5,2269,TCI
2,2023-12-27,EQ,821.25,822.2,803.0,818.15,805.0,804.65,809.84,912.0,566.05,24898,20163370.0,2477,TCI
3,2023-12-26,EQ,820.85,828.1,811.85,816.75,815.0,818.15,818.82,912.0,566.05,20892,17106846.45,2785,TCI
4,2023-12-22,EQ,805.0,821.1,805.0,804.5,818.0,816.75,814.59,912.0,555.25,25882,21083321.0,3799,TCI
5,2023-12-21,EQ,805.35,805.95,790.05,801.9,803.2,804.5,801.1,912.0,555.25,13679,10958187.9,2626,TCI
6,2023-12-20,EQ,821.0,823.95,796.0,808.15,800.05,801.9,811.34,912.0,555.25,62655,50834695.5,5285,TCI
7,2023-12-19,EQ,818.3,818.45,807.15,811.6,809.0,808.15,811.44,912.0,555.25,34039,27620492.25,3422,TCI
8,2023-12-18,EQ,809.8,821.65,806.5,809.8,814.0,811.6,813.44,912.0,555.25,35345,28750886.85,3925,TCI
9,2023-12-15,EQ,817.0,824.95,806.05,812.3,814.0,809.8,813.57,912.0,555.25,41758,33972863.1,4979,TCI
10,2023-12-14,EQ,824.0,826.8,806.0,819.75,807.85,812.3,815.98,912.0,555.25,50113,40891149.15,6031,TCI
11,2023-12-13,EQ,833.85,833.85,815.15,829.7,821.55,819.75,820.62,912.0,555.25,29288,24034273.9,5393,TCI
12,2023-12-12,EQ,842.8,852.0,824.05,838.1,834.0,829.7,833.4,912.0,555.25,45558,37968206.2,7075,TCI
13,2023-12-11,EQ,835.2,844.2,832.35,836.7,839.45,838.1,837.77,912.0,555.25,28031,23483625.7,6069,TCI
14,2023-12-08,EQ,851.5,891.5,834.0,852.7,840.4,836.7,845.18,912.0,555.25,41676,35223861.6,7427,TCI
15,2023-12-07,EQ,864.0,864.0,850.2,864.85,851.15,852.7,855.14,912.0,555.25,21053,18003223.9,4296,TCI
16,2023-12-06,EQ,870.8,873.95,861.0,870.5,865.0,864.85,866.18,912.0,555.25,22591,19567767.8,4972,TCI
17,2023-12-05,EQ,875.0,879.8,864.15,870.2,872.0,870.5,872.67,912.0,555.25,30114,26279696.25,5171,TCI
18,2023-12-04,EQ,865.25,886.95,862.15,858.15,872.5,870.2,873.17,912.0,555.25,44629,38968674.4,6625,TCI
19,2023-12-01,EQ,860.0,865.55,850.0,859.3,864.95,858.15,856.4,912.0,555.25,34199,29288094.8,4018,TCI
20,2023-11-30,EQ,869.0,870.0,840.0,860.1,852.15,859.3,861.16,912.0,555.25,24863,21411103.2,3837,TCI
21,2023-11-29,EQ,844.95,870.0,844.95,844.95,868.65,860.1,856.23,912.0,555.25,20267,17353226.3,2261,TCI
22,2023-11-28,EQ,851.65,857.8,839.1,851.65,842.15,844.95,850.26,912.0,555.25,17100,14539408.0,2079,TCI
23,2023-11-24,EQ,852.65,855.9,848.0,852.05,854.0,851.65,851.67,912.0,555.25,12670,10790646.65,1531,TCI
24,2023-11-23,EQ,855.65,861.6,844.05,855.65,856.0,852.05,852.23,912.0,555.25,14112,12026671.45,1669,TCI
25,2023-11-22,EQ,861.5,864.4,848.3,861.5,853.95,855.65,855.0,912.0,555.25,24428,20886017.9,3192,TCI
26,2023-11-21,EQ,868.8,876.25,859.4,866.4,860.0,861.5,865.22,912.0,555.25,15936,13788204.4,2592,TCI
27,2023-11-20,EQ,852.05,884.7,852.05,859.5,866.0,866.4,872.76,912.0,555.25,31021,27073827.65,4478,TCI
28,2023-11-17,EQ,879.0,881.8,854.5,877.45,862.0,859.5,864.55,912.0,555.25,32105,27756299.65,5709,TCI
29,2023-11-16,EQ,876.1,901.0,865.0,876.0,870.5,877.45,880.15,912.0,555.25,42144,37092839.65,5621,TCI
30,2023-11-15,EQ,886.1,891.0,868.0,881.7,874.3,876.0,879.14,912.0,555.25,26517,23312285.25,4079,TCI
31,2023-11-13,EQ,890.45,894.25,875.05,893.4,881.0,881.7,885.73,912.0,555.25,26786,23725155.6,3721,TCI
32,2023-11-12,EQ,899.9,911.4,886.0,892.65,897.95,893.4,899.24,912.0,555.25,22287,20041460.4,2139,TCI
33,2023-11-10,EQ,867.5,898.0,862.05,867.5,896.35,892.65,885.67,912.0,555.25,48946,43349761.0,6430,TCI
34,2023-11-09,EQ,883.7,887.6,862.0,880.0,867.0,867.5,875.62,912.0,555.25,38798,33972140.85,5645,TCI
35,2023-11-08,EQ,889.05,904.45,871.3,888.1,883.0,880.0,888.39,912.0,555.25,82979,73717355.05,8459,TCI
36,2023-11-07,EQ,889.95,912.0,877.45,879.9,890.0,888.1,895.58,912.0,555.25,314068,281273212.9,21570,TCI
37,2023-11-06,EQ,817.05,890.0,806.0,817.05,889.0,879.9,866.36,890.0,555.25,362772,314289616.15,25617,TCI
38,2023-11-03,EQ,810.0,819.0,805.15,805.05,817.0,817.05,813.66,867.95,555.25,17607,14326144.55,2825,TCI
39,2023-11-02,EQ,792.0,810.0,792.0,795.95,809.9,805.05,801.05,867.95,555.25,11472,9189608.9,2039,TCI
40,2023-11-01,EQ,823.45,823.5,790.2,818.8,792.0,795.95,802.33,867.95,555.25,40101,32174362.25,5399,TCI
41,2023-10-31,EQ,823.85,826.0,804.85,808.0,821.0,818.8,817.01,867.95,555.25,27344,22340426.65,4205,TCI
42,2023-10-30,EQ,801.5,830.0,791.1,801.1,801.15,808.0,813.33,867.95,555.25,44265,36002189.2,5169,TCI
43,2023-10-27,EQ,791.2,805.15,787.45,785.85,800.0,801.1,798.15,867.95,555.25,25775,20572297.9,3288,TCI
44,2023-10-26,EQ,802.45,802.45,760.9,798.95,788.0,785.85,781.52,867.95,555.25,38353,29973538.3,4797,TCI
45,2023-10-25,EQ,780.8,806.8,780.8,795.5,803.75,798.95,794.09,867.95,555.25,48449,38473053.3,5609,TCI
46,2023-10-23,EQ,801.0,848.95,771.0,803.6,778.0,795.5,819.69,867.95,555.25,326265,267437721.05,30230,TCI
47,2023-10-20,EQ,803.05,808.95,799.95,803.05,801.15,803.6,805.29,867.95,555.25,30587,24631458.25,3876,TCI
48,2023-10-19,EQ,790.05,805.55,786.05,796.1,796.0,803.05,798.06,867.95,555.25,18762,14973253.3,2147,TCI
49,2023-10-18,EQ,797.0,804.15,789.95,797.6,802.4,796.1,799.03,867.95,555.25,24964,19946860.9,2483,TCI
50,2023-10-17,EQ,803.2,810.0,785.3,797.5,799.0,797.6,800.32,867.95,555.25,42115,33705672.5,4028,TCI
51,2023-10-16,EQ,801.95,801.95,792.05,798.45,792.8,797.5,796.43,867.95,555.25,15705,12507883.95,2531,TCI
52,2023-10-13,EQ,789.95,800.1,775.05,787.5,796.15,798.45,794.17,867.95,555.25,24190,19210923.8,2934,TCI
53,2023-10-12,EQ,783.8,794.7,781.45,781.15,792.95,787.5,788.27,867.95,555.25,18897,14895971.7,3246,TCI
54,2023-10-11,EQ,780.0,791.65,778.65,778.8,783.0,781.15,786.43,867.95,555.25,27946,21977472.95,4417,TCI
55,2023-10-10,EQ,784.0,794.65,771.9,784.35,777.5,778.8,782.44,867.95,555.25,36816,28806346.0,5354,TCI
56,2023-10-09,EQ,787.95,792.9,770.6,791.75,783.0,784.35,782.25,867.95,555.25,31686,24786266.0,5561,TCI
57,2023-10-06,EQ,798.4,800.55,781.0,796.4,794.9,791.75,794.99,867.95,555.25,18463,14677968.4,3855,TCI
58,2023-10-05,EQ,797.2,805.35,790.6,795.75,796.0,796.4,797.66,867.95,555.25,13081,10434129.7,3435,TCI
59,2023-10-04,EQ,792.65,799.15,786.15,792.65,795.0,795.75,794.16,867.95,555.25,40232,31950457.85,4364,TCI
60,2023-10-03,EQ,784.0,794.9,780.15,783.75,794.9,792.65,789.84,867.95,555.25,22833,18034485.85,3507,TCI
61,2023-09-29,EQ,787.9,794.45,780.05,783.95,782.0,783.75,785.92,867.95,555.25,25457,20007086.25,3510,TCI
62,2023-09-28,EQ,790.9,794.7,775.3,790.8,785.05,783.95,785.47,867.95,555.25,78314,61513288.35,6327,TCI
63,2023-09-27,EQ,784.85,795.25,782.1,784.85,793.3,790.8,789.83,867.95,555.25,18121,14312537.3,2689,TCI
64,2023-09-26,EQ,792.0,793.45,782.0,789.8,785.0,784.85,787.74,867.95,555.25,30509,24033253.5,3292,TCI
65,2023-09-25,EQ,785.0,799.95,779.65,787.25,788.0,789.8,788.62,867.95,555.25,40571,31995255.65,5334,TCI
66,2023-09-22,EQ,787.65,796.55,780.0,792.25,785.0,787.25,787.29,867.95,555.25,55214,43469634.2,5484,TCI
67,2023-09-21,EQ,771.0,867.95,771.0,779.55,783.0,792.25,817.17,867.95,555.25,441731,360968208.85,26814,TCI
68,2023-09-20,EQ,780.25,793.45,772.2,780.25,778.4,779.55,779.92,844.95,555.25,29544,23042096.75,3891,TCI
69,2023-09-18,EQ,784.3,789.05,772.0,784.8,785.0,780.25,779.45,844.95,555.25,38745,30199634.75,3859,TCI
70,2023-09-15,EQ,795.05,797.8,770.0,798.35,781.0,784.8,777.59,844.95,555.25,165904,129005340.05,14445,TCI
71,2023-09-14,EQ,789.0,804.45,789.0,788.35,799.45,798.35,797.75,844.95,555.25,11367,9068053.8,1967,TCI
72,2023-09-13,EQ,786.8,795.9,780.0,789.15,789.95,788.35,787.89,844.95,555.25,16225,12783475.8,2955,TCI
73,2023-09-12,EQ,803.75,808.6,776.2,803.75,789.6,789.15,794.02,844.95,555.25,35842,28459378.25,4938,TCI
74,2023-09-11,EQ,817.0,822.0,797.25,815.4,803.75,803.75,809.51,844.95,555.25,31886,25811956.55,4373,TCI
75,2023-09-08,EQ,821.1,823.25,812.0,816.3,812.1,815.4,818.18,844.95,555.25,18954,15507821.35,2896,TCI
76,2023-09-07,EQ,819.0,825.8,812.0,814.15,815.2,816.3,819.79,844.95,555.25,24167,19811821.4,3774,TCI
77,2023-09-06,EQ,807.4,815.2,803.0,806.75,815.2,814.15,811.23,844.95,555.25,16552,13427413.45,2648,TCI
78,2023-09-05,EQ,818.0,820.0,805.05,814.1,807.0,806.75,812.16,844.95,555.25,23961,19460087.8,2930,TCI
79,2023-09-04,EQ,812.1,822.05,807.95,812.1,811.0,814.1,814.44,844.95,555.25,30569,24896670.0,3897,TCI
80,2023-09-01,EQ,814.8,815.0,807.35,810.75,813.45,812.1,811.42,844.95,555.25,23423,19005992.5,2635,TCI
81,2023-08-31,EQ,805.6,814.95,800.1,805.55,811.0,810.75,807.35,844.95,555.25,24889,20094168.65,2671,TCI
82,2023-08-30,EQ,808.9,809.95,800.1,803.7,806.9,805.55,803.54,844.95,555.25,23544,18918500.55,2582,TCI
83,2023-08-29,EQ,804.0,813.75,799.7,803.25,801.2,803.7,803.97,844.95,555.25,17804,14313820.6,2472,TCI
