,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,262.1,264.5,258.15,261.65,260.3,260.05,260.75,307.85,114.2,288411,75204080.4,10278,TDPOWERSYS
1,2023-12-28,EQ,262.2,266.65,257.95,262.2,263.0,261.65,261.19,307.85,114.2,455468,118963776.05,14398,TDPOWERSYS
2,2023-12-27,EQ,267.6,274.0,258.1,266.0,259.85,262.2,266.6,307.85,114.2,574575,153183606.1,15983,TDPOWERSYS
3,2023-12-26,EQ,268.0,270.5,265.3,267.55,266.0,266.0,267.38,307.85,114.2,264458,70710465.55,10687,TDPOWERSYS
4,2023-12-22,EQ,269.3,276.35,265.5,267.85,268.4,267.55,269.55,307.85,108.6,338964,91368841.15,17582,TDPOWERSYS
5,2023-12-21,EQ,266.5,272.9,263.35,271.5,268.95,267.85,268.6,307.85,108.6,511120,137288951.9,23848,TDPOWERSYS
6,2023-12-20,EQ,289.25,291.95,266.0,288.9,271.8,271.5,277.66,307.85,108.6,621026,172433012.85,32433,TDPOWERSYS
7,2023-12-19,EQ,290.9,295.0,286.2,287.7,290.25,288.9,291.29,307.85,108.6,549521,160069045.65,17680,TDPOWERSYS
8,2023-12-18,EQ,291.45,299.2,284.1,290.7,285.9,287.7,292.03,307.85,108.6,410753,119952808.7,17173,TDPOWERSYS
9,2023-12-15,EQ,297.05,300.0,289.0,295.1,290.0,290.7,293.65,307.85,108.6,678025,199105326.35,23549,TDPOWERSYS
10,2023-12-14,EQ,281.0,307.85,281.0,278.15,296.2,295.1,299.79,307.85,108.6,4426361,1326999294.65,103578,TDPOWERSYS
11,2023-12-13,EQ,269.9,280.0,264.3,268.8,279.0,278.15,272.86,291.0,108.6,496701,135531354.3,22986,TDPOWERSYS
12,2023-12-12,EQ,269.85,271.0,265.0,267.8,269.25,268.8,267.76,291.0,108.6,226110,60544019.35,13302,TDPOWERSYS
13,2023-12-11,EQ,270.0,273.7,265.2,269.5,268.7,267.8,267.54,291.0,108.6,257432,68872547.55,13055,TDPOWERSYS
14,2023-12-08,EQ,265.5,270.4,263.0,265.35,270.0,269.5,267.42,291.0,108.6,182691,48854789.3,7468,TDPOWERSYS
15,2023-12-07,EQ,265.0,268.5,261.55,268.5,267.9,265.35,264.31,291.0,108.6,231673,61234513.0,13183,TDPOWERSYS
16,2023-12-06,EQ,273.8,273.95,261.9,271.7,269.5,268.5,267.81,291.0,108.6,233301,62480343.75,9381,TDPOWERSYS
17,2023-12-05,EQ,279.8,280.5,266.9,277.5,273.75,271.7,272.85,291.0,108.6,351235,95833275.5,13068,TDPOWERSYS
