,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3080.8,3143.9,3070.7,3090.8,3075.2,3081.5,3112.82,3230.0,1850.0,77975,242721874.75,10698,THERMAX
1,2023-12-28,EQ,3030.05,3138.65,3020.4,3008.35,3088.0,3090.8,3103.87,3230.0,1850.0,223158,692652618.35,27872,THERMAX
2,2023-12-27,EQ,3100.0,3100.0,2987.35,3064.2,3024.0,3008.35,3028.51,3230.0,1850.0,64870,196459615.4,11340,THERMAX
3,2023-12-26,EQ,3144.95,3144.95,3050.0,3143.7,3069.95,3064.2,3095.0,3230.0,1850.0,140991,436367573.35,27097,THERMAX
4,2023-12-22,EQ,3030.0,3167.8,3018.05,2991.8,3144.9,3143.7,3119.26,3230.0,1830.65,152793,476600484.9,19964,THERMAX
5,2023-12-21,EQ,2983.0,3062.5,2910.05,2983.0,3018.0,2991.8,3003.29,3230.0,1830.65,144874,435099066.4,15485,THERMAX
6,2023-12-20,EQ,2983.0,3157.95,2966.6,3012.15,2987.0,2983.0,3069.92,3230.0,1830.65,268053,822901889.35,28902,THERMAX
7,2023-12-19,EQ,2998.95,3037.95,2982.45,2998.95,3006.0,3012.15,3007.18,3230.0,1830.65,134266,403761926.05,18624,THERMAX
8,2023-12-18,EQ,2823.0,3024.0,2823.0,2821.7,2993.0,2998.95,2974.23,3230.0,1830.65,473743,1409020453.4,53475,THERMAX
9,2023-12-15,EQ,2715.0,2834.7,2708.2,2705.0,2820.0,2821.7,2795.02,3230.0,1830.65,171270,478703226.8,26944,THERMAX
10,2023-12-14,EQ,2737.95,2737.95,2701.0,2713.95,2703.65,2705.0,2709.86,3230.0,1830.65,54656,148110188.85,9469,THERMAX
11,2023-12-13,EQ,2755.0,2760.0,2690.85,2725.75,2710.0,2713.95,2716.53,3230.0,1830.65,130350,354100307.95,20930,THERMAX
12,2023-12-12,EQ,2693.1,2741.55,2646.75,2679.75,2734.0,2725.75,2705.39,3230.0,1830.65,379938,1027879790.25,48461,THERMAX
13,2023-12-11,EQ,2715.0,2723.3,2675.0,2710.6,2678.0,2679.75,2685.27,3230.0,1830.65,36106,96954254.9,6604,THERMAX
14,2023-12-08,EQ,2714.9,2728.0,2673.65,2698.4,2708.0,2710.6,2696.22,3230.0,1830.65,97333,262430956.15,16394,THERMAX
15,2023-12-07,EQ,2712.05,2720.0,2680.05,2686.8,2690.1,2698.4,2703.89,3230.0,1830.65,58324,157701547.4,12415,THERMAX
16,2023-12-06,EQ,2688.9,2709.95,2631.0,2674.8,2690.3,2686.8,2675.52,3230.0,1830.65,106966,286190115.9,15517,THERMAX
17,2023-12-05,EQ,2705.0,2729.95,2657.5,2702.95,2667.85,2674.8,2684.97,3230.0,1830.65,153365,411781033.6,31049,THERMAX
18,2023-12-04,EQ,2660.0,2759.0,2659.65,2609.65,2700.0,2702.95,2715.56,3230.0,1830.65,387412,1052042388.75,45031,THERMAX
19,2023-12-01,EQ,2559.0,2634.0,2559.0,2535.0,2625.0,2609.65,2606.01,3230.0,1830.65,246563,642544458.75,25832,THERMAX
20,2023-11-30,EQ,2527.0,2644.95,2500.25,2519.15,2521.25,2535.0,2555.81,3230.0,1830.65,1239793,3168670134.55,45268,THERMAX
