,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,137.9,138.0,135.4,137.6,136.25,135.85,136.76,167.9,113.55,918742,125650723.75,8189,THOMASCOOK
1,2023-12-28,EQ,138.25,139.5,134.7,137.85,137.3,137.6,137.12,167.9,113.55,1482659,203305516.5,10507,THOMASCOOK
2,2023-12-27,EQ,141.4,143.2,136.65,140.3,137.0,137.85,139.12,167.9,113.55,1282351,178399007.4,9601,THOMASCOOK
3,2023-12-26,EQ,140.8,143.4,136.4,139.8,140.25,140.3,141.17,167.9,113.55,1320422,186404352.75,10186,THOMASCOOK
4,2023-12-22,EQ,143.2,144.6,138.95,142.35,139.9,139.8,141.14,167.9,113.55,936631,132196435.65,7838,THOMASCOOK
5,2023-12-21,EQ,136.4,143.5,135.25,137.9,142.75,142.35,140.77,167.9,113.55,2098601,295411670.95,17423,THOMASCOOK
6,2023-12-20,EQ,145.45,149.6,135.55,144.3,137.25,137.9,143.68,167.9,113.55,3696544,531103853.4,20629,THOMASCOOK
7,2023-12-19,EQ,144.0,147.4,140.1,143.95,144.55,144.3,144.27,167.9,113.55,1663437,239984249.6,16180,THOMASCOOK
8,2023-12-18,EQ,146.0,147.9,143.1,146.0,143.8,143.95,145.29,167.9,113.55,1361112,197754287.45,11885,THOMASCOOK
9,2023-12-15,EQ,147.5,149.8,145.0,147.75,145.75,146.0,147.48,167.9,113.55,1038662,153186415.2,6565,THOMASCOOK
10,2023-12-14,EQ,149.75,150.0,146.8,148.35,147.95,147.75,148.82,167.9,113.55,1732321,257812010.7,10476,THOMASCOOK
11,2023-12-13,EQ,147.85,149.95,145.5,146.95,147.7,148.35,148.26,167.9,113.55,2092861,310292525.2,20641,THOMASCOOK
12,2023-12-12,EQ,151.8,151.8,145.3,150.45,145.7,146.95,147.91,167.9,113.55,2003202,296299465.1,13777,THOMASCOOK
13,2023-12-11,EQ,147.4,151.4,145.15,147.25,150.0,150.45,148.92,167.9,113.55,2510003,373798334.1,25045,THOMASCOOK
14,2023-12-08,EQ,152.0,154.7,145.0,151.5,147.3,147.25,149.98,167.9,113.55,2477902,371642963.1,12292,THOMASCOOK
15,2023-12-07,EQ,151.4,153.7,147.5,150.15,151.4,151.5,151.22,167.9,113.55,2795816,422795412.2,19332,THOMASCOOK
16,2023-12-06,EQ,154.4,154.65,146.65,152.85,150.0,150.15,150.56,167.9,113.55,2460290,370421962.0,13651,THOMASCOOK
17,2023-12-05,EQ,155.0,159.4,149.85,154.55,153.35,152.85,154.13,167.9,113.55,5248187,808895513.55,21393,THOMASCOOK
18,2023-12-04,EQ,148.0,154.55,147.45,147.2,154.55,154.55,150.93,167.9,113.55,12910086,1948539434.35,31882,THOMASCOOK
19,2023-12-01,EQ,143.0,149.3,143.0,150.5,147.3,147.2,144.66,167.9,113.55,30523509,4415540854.2,61206,THOMASCOOK
20,2023-11-30,EQ,150.5,150.5,150.5,158.4,150.5,150.5,150.5,167.9,113.55,2364814,355904507.0,4543,THOMASCOOK
21,2023-11-29,EQ,167.9,167.9,157.65,165.95,157.65,158.4,161.79,167.9,113.55,947248,153255250.4,10406,THOMASCOOK
22,2023-11-28,EQ,160.7,166.45,160.15,158.55,165.9,165.95,165.45,166.45,113.55,1249969,206813353.5,10718,THOMASCOOK
23,2023-11-24,EQ,159.0,162.0,157.1,156.45,158.8,158.55,159.58,162.75,113.55,452488,72206233.45,8738,THOMASCOOK
24,2023-11-23,EQ,157.9,159.85,155.25,154.85,156.1,156.45,157.74,162.75,113.1,367853,58025358.3,7818,THOMASCOOK
25,2023-11-22,EQ,161.4,162.15,153.3,159.7,154.5,154.85,157.77,162.75,113.1,481980,76040866.0,9335,THOMASCOOK
26,2023-11-21,EQ,159.1,162.75,156.55,157.4,159.8,159.7,160.47,162.75,112.5,706497,113371301.5,11413,THOMASCOOK
27,2023-11-20,EQ,154.05,161.0,154.05,154.85,156.4,157.4,157.24,162.55,111.0,988862,155485138.35,19104,THOMASCOOK
28,2023-11-17,EQ,158.15,162.0,154.2,159.35,154.65,154.85,156.85,162.55,111.0,677205,106216832.2,10503,THOMASCOOK
29,2023-11-16,EQ,157.35,162.55,154.1,154.85,161.0,159.35,160.96,162.55,111.0,2487047,400310983.35,12333,THOMASCOOK
30,2023-11-15,EQ,150.4,154.85,148.0,147.5,154.85,154.85,154.55,154.85,111.0,1073201,165858366.6,3574,THOMASCOOK
31,2023-11-13,EQ,149.1,151.0,146.5,148.4,147.1,147.5,148.22,152.95,111.0,304855,45186778.2,5392,THOMASCOOK
32,2023-11-12,EQ,150.45,150.8,147.5,147.3,148.5,148.4,149.07,152.95,110.2,176703,26341423.55,1705,THOMASCOOK
33,2023-11-10,EQ,148.9,150.0,143.35,146.6,147.9,147.3,147.56,152.95,110.2,420577,62059059.25,4302,THOMASCOOK
34,2023-11-09,EQ,148.05,152.95,145.0,148.05,147.45,146.6,149.08,152.95,110.2,856584,127702326.5,12156,THOMASCOOK
35,2023-11-08,EQ,142.1,148.05,139.0,141.0,148.05,148.05,146.75,148.05,110.2,1068064,156741239.2,4042,THOMASCOOK
36,2023-11-07,EQ,143.95,143.95,138.15,144.5,141.7,141.0,141.8,147.2,110.2,422965,59977415.5,3252,THOMASCOOK
37,2023-08-14,EQ,106.0,107.6,95.65,105.9,103.7,104.45,104.03,116.7,52.1,3129784,325583592.8,17124,THOMASCOOK
38,2023-08-11,EQ,108.0,111.25,105.05,104.75,106.0,105.9,108.26,116.7,52.1,4496080,486751380.25,23737,THOMASCOOK
