,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,244.0,244.0,240.0,243.85,241.0,240.95,241.27,291.4,96.95,340879,82242958.35,10589,TI
1,2023-12-28,EQ,241.95,244.5,239.65,240.45,244.25,243.85,241.79,291.4,96.95,424102,102545667.6,10994,TI
2,2023-12-27,EQ,242.8,243.65,239.4,240.65,241.0,240.45,241.19,291.4,96.95,450050,108547294.3,12362,TI
3,2023-12-26,EQ,240.4,247.7,238.55,237.9,239.95,240.65,242.57,291.4,96.95,848680,205864210.45,17332,TI
4,2023-12-22,EQ,241.05,243.45,236.6,238.9,238.05,237.9,239.87,291.4,92.6,581856,139571289.8,15170,TI
5,2023-12-21,EQ,236.95,240.4,233.45,237.95,238.95,238.9,237.54,291.4,92.6,664233,157781936.6,21163,TI
6,2023-12-20,EQ,249.0,250.9,234.0,245.35,238.8,237.95,242.83,291.4,92.6,1080347,262340275.9,25536,TI
7,2023-12-19,EQ,245.05,249.7,242.4,244.75,246.6,245.35,245.3,291.4,92.6,958090,235020895.75,19901,TI
8,2023-12-18,EQ,252.6,253.7,242.55,251.3,244.5,244.75,245.64,291.4,92.6,1225655,301075606.5,27408,TI
9,2023-12-15,EQ,254.25,254.9,251.0,252.4,251.05,251.3,252.45,291.4,92.6,402089,101505862.9,9518,TI
10,2023-12-14,EQ,253.0,255.5,251.15,252.55,253.15,252.4,253.46,291.4,92.6,527309,133653808.9,10667,TI
11,2023-12-13,EQ,253.7,255.35,251.75,253.6,252.65,252.55,253.42,291.4,92.6,380371,96395090.15,10066,TI
12,2023-12-12,EQ,255.0,262.2,252.45,254.1,252.5,253.6,256.71,291.4,92.6,610516,156722705.0,15126,TI
13,2023-12-11,EQ,257.3,258.5,253.05,257.25,253.45,254.1,255.12,291.4,92.6,434795,110923771.0,8794,TI
14,2023-12-08,EQ,261.0,263.75,255.1,260.95,257.0,257.25,259.41,291.4,92.6,316203,82027548.35,6664,TI
15,2023-12-07,EQ,264.8,264.8,260.0,263.55,260.85,260.95,261.38,291.4,92.6,347919,90938542.8,6768,TI
16,2023-12-06,EQ,271.9,271.9,262.0,269.5,264.3,263.55,265.28,291.4,92.6,542683,143962320.05,8819,TI
17,2023-12-05,EQ,269.0,275.0,265.0,268.9,270.5,269.5,269.33,291.4,92.6,720976,194178869.1,11207,TI
18,2023-12-04,EQ,275.0,276.5,268.0,271.0,269.75,268.9,270.54,291.4,92.6,511005,138245459.25,7126,TI
19,2023-12-01,EQ,274.0,279.0,269.25,265.65,270.05,271.0,272.79,291.4,92.6,1789590,488186749.95,18225,TI
20,2023-11-30,EQ,256.0,268.0,252.4,256.4,260.0,265.65,263.92,291.4,92.6,2907526,767360802.65,24959,TI
21,2023-11-29,EQ,256.0,260.95,250.5,256.75,256.0,256.4,254.94,291.4,92.6,935607,238523520.65,15838,TI
22,2023-11-28,EQ,262.0,264.0,255.5,260.5,256.95,256.75,258.98,291.4,92.6,782132,202555246.75,13776,TI
23,2023-11-24,EQ,263.4,268.0,258.2,262.15,261.0,260.5,263.71,291.4,92.6,1156444,304969062.15,15985,TI
24,2023-11-23,EQ,278.0,278.5,251.55,278.4,263.4,262.15,260.14,291.4,92.6,9259877,2408875343.65,44303,TI
25,2023-11-22,EQ,282.2,291.4,275.2,280.4,278.6,278.4,282.84,291.4,92.6,970522,274497635.0,14525,TI
26,2023-11-21,EQ,274.0,281.7,271.0,273.3,280.9,280.4,277.28,284.9,92.6,942689,261389435.0,12771,TI
27,2023-11-20,EQ,273.5,274.5,268.0,271.95,272.4,273.3,272.32,284.9,92.6,484016,131808566.65,9274,TI
28,2023-11-17,EQ,274.0,278.9,264.5,273.95,272.0,271.95,272.0,284.9,92.6,767649,208803892.45,12044,TI
29,2023-11-16,EQ,279.3,281.0,272.0,277.45,274.1,273.95,276.32,284.9,92.6,1320081,364768019.0,27131,TI
30,2023-11-15,EQ,256.0,284.9,255.9,253.2,277.0,277.45,274.22,284.9,92.6,5030779,1379545838.0,79871,TI
31,2023-11-13,EQ,255.3,256.8,249.05,257.9,253.2,253.2,253.05,265.75,92.6,877782,222120810.9,14776,TI
32,2023-11-12,EQ,260.0,262.8,255.6,249.0,257.7,257.9,258.92,265.75,92.6,766159,198371500.4,11670,TI
33,2023-11-10,EQ,251.35,253.8,245.95,251.35,247.25,249.0,249.65,265.75,92.6,793966,198214511.8,13269,TI
34,2023-11-09,EQ,244.9,255.5,242.25,242.75,250.3,251.35,250.29,265.75,92.6,1661309,415815088.6,24751,TI
35,2023-11-08,EQ,253.6,254.5,241.0,248.3,243.7,242.75,247.89,265.75,92.6,1419857,351972806.0,19312,TI
36,2023-11-07,EQ,253.85,258.0,242.2,252.1,250.75,248.3,249.16,265.75,92.6,1813142,451756261.2,22679,TI
37,2023-11-06,EQ,242.9,265.75,242.8,242.9,251.95,252.1,253.87,265.75,92.6,4613441,1171235182.65,56258,TI
38,2023-11-03,EQ,232.75,248.25,223.35,213.95,239.8,242.9,236.69,248.25,90.85,11147503,2638456376.45,116691,TI
39,2023-11-02,EQ,216.5,217.9,212.05,214.45,212.7,213.95,214.02,227.0,90.85,308629,66051489.35,6105,TI
40,2023-11-01,EQ,212.0,216.0,204.5,209.45,214.0,214.45,213.98,227.0,90.85,708402,151582691.6,12588,TI
41,2023-10-31,EQ,201.0,212.65,200.9,200.6,210.0,209.45,208.54,227.0,90.85,569658,118796835.2,11341,TI
42,2023-10-30,EQ,205.0,205.4,198.25,203.95,201.0,200.6,202.19,227.0,90.85,260623,52696451.3,7126,TI
43,2023-10-27,EQ,197.6,205.0,197.6,197.6,203.15,203.95,203.07,227.0,90.85,267271,54275763.7,8411,TI
44,2023-10-26,EQ,191.85,199.8,180.55,191.85,197.0,197.6,191.8,227.0,90.85,536188,102843442.3,16897,TI
45,2023-10-25,EQ,201.0,204.55,177.0,199.5,192.0,191.85,189.69,227.0,90.85,1092740,207281838.35,25215,TI
46,2023-10-23,EQ,213.5,215.15,192.25,214.15,199.3,199.5,202.4,227.0,90.85,559079,113156694.85,14332,TI
47,2023-10-20,EQ,213.3,223.8,206.6,213.4,213.0,214.15,216.55,227.0,90.85,752788,163018082.85,15743,TI
48,2023-10-19,EQ,215.5,216.6,212.2,215.3,213.2,213.4,213.89,227.0,90.85,136786,29256926.85,4436,TI
49,2023-10-18,EQ,218.9,220.1,212.55,218.95,215.95,215.3,215.69,227.0,90.85,234387,50554024.8,5443,TI
50,2023-10-17,EQ,218.45,221.7,215.9,216.7,218.3,218.95,218.6,227.0,90.85,300974,65794256.0,6135,TI
51,2023-10-16,EQ,219.45,222.25,216.0,217.6,217.3,216.7,218.53,227.0,90.85,229132,50072068.3,5192,TI
52,2023-10-13,EQ,215.8,227.0,214.05,216.1,219.4,217.6,220.73,227.0,90.85,992464,219065250.3,18815,TI
53,2023-10-12,EQ,208.9,218.9,207.55,207.55,217.8,216.1,215.39,224.95,90.85,570723,122928943.55,12180,TI
54,2023-10-11,EQ,209.45,212.5,207.05,207.75,207.95,207.55,209.38,224.95,90.85,199108,41688395.65,5983,TI
55,2023-10-10,EQ,209.0,211.9,207.0,207.6,207.3,207.75,208.92,224.95,90.85,170487,35618947.8,5573,TI
56,2023-10-09,EQ,212.85,214.0,206.85,213.1,207.5,207.6,209.48,224.95,90.85,296915,62198942.35,8488,TI
57,2023-10-06,EQ,209.45,217.95,209.4,209.1,214.1,213.1,214.88,224.95,90.0,832497,178887951.7,15568,TI
58,2023-10-05,EQ,204.95,211.9,204.75,203.55,209.85,209.1,209.5,224.95,90.0,383944,80434893.75,8364,TI
59,2023-10-04,EQ,204.4,209.0,202.0,204.9,202.9,203.55,205.18,224.95,90.0,234448,48104358.7,6488,TI
60,2023-10-03,EQ,203.25,206.7,202.7,202.7,204.7,204.9,205.27,224.95,90.0,127330,26137516.2,3924,TI
61,2023-09-29,EQ,202.8,205.6,201.35,200.85,201.95,202.7,203.33,224.95,87.15,159701,32471579.3,4858,TI
62,2023-09-28,EQ,201.4,204.0,197.1,200.1,201.35,200.85,200.61,224.95,87.15,237820,47709060.45,6291,TI
63,2023-09-27,EQ,200.4,203.7,199.0,199.95,201.1,200.1,200.82,224.95,87.15,226823,45550850.15,5052,TI
64,2023-09-26,EQ,200.95,204.5,199.1,200.2,201.0,199.95,201.31,224.95,87.15,185786,37400492.8,6107,TI
65,2023-09-25,EQ,205.95,206.75,199.0,204.85,201.0,200.2,202.55,224.95,87.15,228203,46222278.2,6038,TI
66,2023-09-22,EQ,206.5,207.9,203.0,205.6,205.5,204.85,205.73,224.95,87.15,215597,44354499.2,4793,TI
67,2023-09-21,EQ,206.85,210.35,204.2,206.95,206.0,205.6,206.96,224.95,87.15,138903,28747844.45,4185,TI
68,2023-09-20,EQ,214.2,215.5,202.4,214.85,206.8,206.95,208.21,224.95,87.15,415778,86568646.0,9338,TI
69,2023-09-18,EQ,215.75,215.75,211.4,215.75,215.1,214.85,213.71,224.95,87.15,322237,68866215.3,8392,TI
70,2023-09-15,EQ,206.6,217.5,202.05,205.1,215.0,215.75,212.19,224.95,77.05,756574,160535779.1,13058,TI
71,2023-09-14,EQ,204.0,207.4,202.8,202.95,205.75,205.1,204.92,224.95,77.05,249787,51186233.2,6094,TI
72,2023-09-13,EQ,198.7,206.0,195.85,198.2,203.55,202.95,201.28,224.95,77.05,334481,67324376.3,8272,TI
