,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2528.95,2556.45,2460.0,2492.95,2515.0,2536.9,2525.95,2725.0,879.7,13231,33420878.65,3388,TIIL
1,2023-12-28,EQ,2477.0,2520.0,2459.55,2451.35,2478.0,2492.95,2498.45,2725.0,879.7,8155,20374885.3,1646,TIIL
2,2023-12-27,EQ,2557.45,2557.45,2423.2,2525.9,2468.0,2451.35,2477.17,2725.0,879.7,11753,29114173.3,2356,TIIL
3,2023-12-26,EQ,2553.0,2579.15,2504.55,2553.8,2528.0,2525.9,2538.25,2725.0,879.7,6581,16704240.4,1451,TIIL
4,2023-12-22,EQ,2535.55,2564.8,2519.0,2535.55,2563.95,2553.8,2546.31,2725.0,869.05,4212,10725071.6,1129,TIIL
5,2023-12-21,EQ,2540.05,2599.95,2510.0,2577.8,2535.0,2535.55,2545.7,2725.0,869.05,6414,16328101.15,1577,TIIL
6,2023-12-20,EQ,2687.95,2710.55,2476.75,2688.0,2604.9,2577.8,2572.09,2725.0,869.05,44347,114064646.0,7626,TIIL
7,2023-12-19,EQ,2700.05,2719.9,2650.0,2700.55,2688.9,2688.0,2685.09,2725.0,869.05,16868,45292031.6,2982,TIIL
8,2023-12-18,EQ,2668.95,2725.0,2659.0,2671.8,2709.0,2700.55,2692.02,2725.0,869.05,27423,73823206.1,2795,TIIL
9,2023-12-15,EQ,2682.85,2699.0,2613.0,2697.3,2671.0,2671.8,2657.92,2701.35,869.05,7671,20388872.35,2073,TIIL
10,2023-12-14,EQ,2620.0,2701.35,2620.0,2652.95,2697.0,2697.3,2689.66,2701.35,869.05,42820,115171097.6,4623,TIIL
11,2023-12-13,EQ,2570.05,2675.0,2530.1,2574.85,2620.0,2652.95,2610.94,2675.0,869.05,16136,42130194.65,3665,TIIL
12,2023-12-12,EQ,2464.0,2650.85,2452.0,2431.4,2594.0,2574.85,2554.69,2650.85,869.05,61448,156980611.8,12746,TIIL
13,2023-12-11,EQ,2304.0,2449.0,2297.55,2304.65,2430.0,2431.4,2383.41,2449.0,869.05,33742,80420959.0,5220,TIIL
14,2023-12-08,EQ,2279.0,2320.0,2253.1,2279.65,2294.0,2304.65,2278.62,2359.7,869.05,6655,15164218.65,1475,TIIL
15,2023-12-07,EQ,2292.0,2296.25,2257.25,2292.9,2286.15,2279.65,2279.16,2359.7,869.05,4431,10098960.45,1171,TIIL
16,2023-12-06,EQ,2320.0,2330.0,2259.6,2326.8,2286.0,2292.9,2291.35,2359.7,869.05,4745,10872449.85,1144,TIIL
17,2023-12-05,EQ,2304.0,2335.0,2258.1,2306.95,2310.0,2326.8,2304.73,2359.7,869.05,8951,20629608.65,1829,TIIL
18,2023-12-04,EQ,2299.95,2324.0,2254.1,2260.75,2296.0,2306.95,2288.82,2359.7,869.05,14366,32881189.0,2477,TIIL
19,2023-12-01,EQ,2260.55,2278.6,2228.1,2228.75,2261.95,2260.75,2258.27,2359.7,852.5,8503,19202091.35,1636,TIIL
20,2023-11-30,EQ,2248.95,2300.0,2185.05,2248.8,2300.0,2228.75,2225.89,2359.7,852.5,11317,25190390.9,2098,TIIL
21,2023-11-29,EQ,2150.0,2275.0,2136.15,2153.5,2275.0,2248.8,2208.16,2359.7,852.5,13240,29236051.75,2364,TIIL
