,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,175.8,177.45,173.8,176.2,176.3,176.7,175.25,194.1,69.4,1432693,251078079.5,12146,TIMETECHNO
1,2023-12-28,EQ,179.95,180.75,175.5,178.8,175.75,176.2,177.74,194.1,69.4,1038064,184500994.4,9531,TIMETECHNO
2,2023-12-27,EQ,181.15,185.8,177.6,179.9,180.4,178.8,181.03,194.1,69.4,1419227,256927440.25,15726,TIMETECHNO
3,2023-12-26,EQ,176.95,180.75,174.65,175.55,180.5,179.9,178.03,194.1,69.4,1726009,307289311.4,12543,TIMETECHNO
4,2023-12-22,EQ,174.9,178.0,173.1,173.4,175.1,175.55,175.93,194.1,69.4,1390788,244677478.2,16212,TIMETECHNO
5,2023-12-21,EQ,171.5,176.6,169.85,173.4,173.65,173.4,173.88,194.1,69.4,1503995,261516626.3,14421,TIMETECHNO
6,2023-12-20,EQ,183.2,186.6,172.05,182.2,173.5,173.4,180.45,194.1,69.4,2772937,500383936.95,26780,TIMETECHNO
7,2023-12-19,EQ,185.95,186.4,181.25,185.3,182.45,182.2,183.14,194.1,69.4,1893430,346770544.7,22664,TIMETECHNO
8,2023-12-18,EQ,190.0,192.75,184.4,191.85,184.7,185.3,188.29,194.1,69.4,2367977,445865767.95,25401,TIMETECHNO
9,2023-12-15,EQ,181.5,194.1,181.5,181.3,191.2,191.85,188.64,194.1,69.4,3746792,706795840.2,31222,TIMETECHNO
10,2023-12-14,EQ,183.4,187.3,180.6,181.4,181.35,181.3,184.57,188.7,69.4,2625599,484601080.85,17705,TIMETECHNO
11,2023-12-13,EQ,180.6,184.4,179.65,179.35,182.2,181.4,181.83,188.7,69.4,1298220,236056779.75,16434,TIMETECHNO
12,2023-12-12,EQ,181.9,184.8,177.35,181.3,179.35,179.35,181.33,188.7,69.4,1853539,336106982.55,14298,TIMETECHNO
13,2023-12-11,EQ,183.6,185.5,176.05,183.15,181.0,181.3,183.3,188.7,69.4,1290149,236486740.4,11903,TIMETECHNO
14,2023-12-08,EQ,186.5,188.05,182.05,186.15,183.1,183.15,184.98,188.7,69.4,1393216,257714573.9,11160,TIMETECHNO
15,2023-12-07,EQ,186.4,188.0,182.9,185.55,186.35,186.15,185.73,188.7,69.4,2482081,460989010.25,19680,TIMETECHNO
16,2023-12-06,EQ,186.0,186.95,182.5,184.85,185.6,185.55,184.71,188.7,69.4,2302130,425216547.65,17674,TIMETECHNO
17,2023-12-05,EQ,178.55,188.7,176.5,178.75,184.9,184.85,184.01,188.7,69.4,4142437,762239185.6,46137,TIMETECHNO
18,2023-12-04,EQ,180.9,182.6,177.1,178.7,178.8,178.75,179.84,182.6,69.4,2351832,422948520.15,17002,TIMETECHNO
19,2023-12-01,EQ,177.0,180.35,174.15,176.5,177.65,178.7,177.31,182.45,69.4,1712318,303612028.55,18581,TIMETECHNO
20,2023-11-30,EQ,177.8,179.65,175.35,177.65,176.1,176.5,177.15,182.45,69.4,1160522,205588924.2,18619,TIMETECHNO
21,2023-11-29,EQ,180.8,181.2,176.6,179.55,179.5,177.65,178.84,182.45,69.4,1961066,350719549.15,25023,TIMETECHNO
22,2023-11-28,EQ,174.0,181.0,173.05,173.0,179.5,179.55,178.21,182.45,69.4,3067832,546705274.95,34429,TIMETECHNO
23,2023-11-24,EQ,173.5,174.95,170.9,173.25,172.25,173.0,172.61,182.45,69.4,1691690,292009020.65,20713,TIMETECHNO
24,2023-11-23,EQ,176.35,178.6,172.45,176.0,172.95,173.25,175.23,182.45,69.4,1337463,234367482.95,17168,TIMETECHNO
25,2023-11-22,EQ,178.5,180.0,175.05,178.2,175.6,176.0,177.53,182.45,69.4,1659163,294547672.0,13203,TIMETECHNO
26,2023-11-21,EQ,176.8,182.45,174.75,176.15,178.5,178.2,178.97,182.45,69.4,3303198,591163267.4,30160,TIMETECHNO
27,2023-11-20,EQ,171.6,177.0,168.5,171.0,176.6,176.15,172.6,178.6,69.4,3115028,537642269.7,31540,TIMETECHNO
28,2023-11-17,EQ,175.7,177.6,170.0,174.9,170.85,171.0,174.35,178.6,69.4,1736791,302811262.7,22362,TIMETECHNO
29,2023-11-16,EQ,174.15,178.6,173.0,173.9,175.75,174.9,176.04,178.6,69.4,2130213,375006544.5,17009,TIMETECHNO
30,2023-11-15,EQ,174.5,176.55,170.0,172.45,173.8,173.9,173.33,176.7,69.4,3285283,569453103.45,25991,TIMETECHNO
31,2023-11-13,EQ,168.55,176.7,167.75,169.1,171.9,172.45,173.02,176.7,69.4,3502240,605962401.6,22267,TIMETECHNO
