,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,343.0,344.95,340.05,343.35,341.4,341.9,341.58,1890.0,148.3,280009,95644630.2,7474,TIPSINDLTD
1,2023-12-28,EQ,349.0,350.8,339.35,347.05,341.95,343.35,344.93,1890.0,148.3,379749,130987145.25,18104,TIPSINDLTD
2,2023-12-27,EQ,351.15,358.0,345.1,351.8,348.5,347.05,351.26,1890.0,148.3,1568982,551122240.15,34631,TIPSINDLTD
3,2023-12-26,EQ,350.5,355.3,345.95,351.35,350.0,351.8,349.42,1890.0,148.3,468420,163673130.05,14244,TIPSINDLTD
4,2023-12-22,EQ,351.85,354.9,344.55,352.05,350.0,351.35,350.47,1890.0,148.3,577384,202358221.3,19063,TIPSINDLTD
5,2023-12-21,EQ,342.4,354.9,337.25,342.7,348.0,352.05,347.89,1890.0,148.3,1465607,509877198.55,27648,TIPSINDLTD
6,2023-12-20,EQ,355.0,363.7,338.0,365.35,346.0,342.7,351.38,1890.0,148.3,9278958,3260430424.85,83407,TIPSINDLTD
7,2023-12-19,EQ,366.85,371.45,360.9,366.25,364.05,365.35,365.15,1890.0,148.3,189571,69222346.85,10178,TIPSINDLTD
8,2023-12-18,EQ,367.05,378.15,359.55,366.4,367.9,366.25,367.26,1890.0,148.3,269472,98966926.6,15057,TIPSINDLTD
9,2023-12-15,EQ,376.6,376.6,352.3,371.55,375.5,366.4,362.93,1890.0,148.3,637193,231254831.0,22776,TIPSINDLTD
10,2023-12-14,EQ,357.0,374.95,350.25,358.95,373.5,371.55,368.79,1890.0,148.3,361481,133311619.1,20875,TIPSINDLTD
11,2023-12-13,EQ,366.0,368.2,356.75,364.6,359.0,358.95,360.51,1890.0,148.3,141753,51103555.1,8475,TIPSINDLTD
12,2023-12-12,EQ,365.25,374.5,362.1,364.6,363.15,364.6,368.11,1890.0,148.3,165443,60901226.45,10054,TIPSINDLTD
13,2023-12-11,EQ,360.6,366.0,355.05,357.5,365.9,364.6,361.75,1890.0,148.3,142916,51699193.4,10788,TIPSINDLTD
14,2023-12-08,EQ,355.0,361.0,350.1,353.9,357.95,357.5,356.73,1890.0,148.3,89678,31991150.75,6699,TIPSINDLTD
15,2023-12-07,EQ,355.1,359.8,352.0,354.8,354.65,353.9,355.41,1890.0,148.3,90389,32124954.95,6704,TIPSINDLTD
16,2023-12-06,EQ,352.95,359.3,347.15,352.6,355.0,354.8,352.06,1890.0,148.3,231683,81566999.25,12259,TIPSINDLTD
