,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2256.5,2310.15,2249.35,2255.6,2303.0,2305.55,2293.0,2310.15,1445.55,194385,445725509.6,20618,TORNTPHARM
1,2023-12-28,EQ,2268.15,2278.15,2248.05,2263.75,2256.55,2255.6,2254.87,2302.85,1445.55,549145,1238248517.85,66420,TORNTPHARM
2,2023-12-27,EQ,2279.25,2302.85,2256.75,2282.3,2262.5,2263.75,2272.48,2302.85,1445.55,244967,556683139.2,29359,TORNTPHARM
3,2023-12-26,EQ,2223.9,2289.65,2223.0,2222.5,2280.0,2282.3,2263.8,2289.65,1445.55,277523,628256607.85,27437,TORNTPHARM
4,2023-12-22,EQ,2197.0,2235.6,2189.35,2195.2,2219.25,2222.5,2211.76,2235.6,1445.55,288655,638436224.1,22964,TORNTPHARM
5,2023-12-21,EQ,2135.5,2206.7,2113.8,2147.05,2198.0,2195.2,2179.02,2206.7,1445.55,272796,594427120.85,25198,TORNTPHARM
6,2023-12-20,EQ,2185.0,2200.0,2131.3,2170.55,2134.2,2147.05,2169.97,2200.0,1445.55,352547,765016481.45,36413,TORNTPHARM
7,2023-12-19,EQ,2166.8,2184.5,2147.6,2144.2,2170.95,2170.55,2165.38,2184.5,1445.55,342287,741179993.85,26480,TORNTPHARM
8,2023-12-18,EQ,2096.05,2153.0,2095.2,2093.35,2152.0,2144.2,2135.85,2172.55,1445.55,568660,1214572475.6,62301,TORNTPHARM
9,2023-12-15,EQ,2107.45,2110.0,2074.35,2103.4,2100.0,2093.35,2091.66,2172.55,1445.55,550534,1151532031.15,51014,TORNTPHARM
10,2023-12-14,EQ,2085.0,2110.0,2073.45,2079.1,2107.0,2103.4,2096.73,2172.55,1445.55,183980,385755965.1,25414,TORNTPHARM
11,2023-12-13,EQ,2046.1,2086.55,2025.7,2048.0,2075.0,2079.1,2059.0,2172.55,1445.55,267134,550027933.65,25882,TORNTPHARM
12,2023-12-12,EQ,2070.0,2097.0,2032.0,2078.35,2036.25,2048.0,2062.56,2172.55,1445.55,279183,575830626.8,33577,TORNTPHARM
13,2023-12-11,EQ,2058.8,2080.0,2037.7,2053.45,2071.5,2078.35,2064.79,2172.55,1445.55,254019,524496993.7,24267,TORNTPHARM
14,2023-12-08,EQ,2099.5,2103.9,2044.15,2100.55,2059.0,2053.45,2064.8,2172.55,1445.55,221098,456522973.3,22166,TORNTPHARM
15,2023-12-07,EQ,2085.4,2107.95,2074.5,2079.95,2100.0,2100.55,2093.58,2172.55,1445.55,145283,304161476.55,14583,TORNTPHARM
16,2023-12-06,EQ,2106.8,2125.0,2075.0,2100.0,2080.0,2079.95,2091.2,2172.55,1445.55,183439,383608300.7,23143,TORNTPHARM
17,2023-12-05,EQ,2135.75,2160.0,2096.05,2133.6,2099.9,2100.0,2120.44,2172.55,1445.55,676468,1434409603.3,33466,TORNTPHARM
18,2023-12-04,EQ,2170.0,2172.55,2112.3,2151.25,2131.4,2133.6,2134.26,2172.55,1445.55,272694,582000470.65,19577,TORNTPHARM
19,2023-12-01,EQ,2135.0,2157.45,2118.5,2126.55,2147.0,2151.25,2144.68,2157.45,1445.55,308776,662225957.9,26797,TORNTPHARM
20,2023-11-30,EQ,2091.85,2140.0,2077.85,2091.85,2136.6,2126.55,2119.96,2145.0,1445.55,529836,1123230903.95,22812,TORNTPHARM
21,2023-11-29,EQ,2081.0,2124.95,2074.3,2079.0,2094.4,2091.85,2100.59,2145.0,1445.55,209338,439733195.35,22625,TORNTPHARM
22,2023-11-28,EQ,2099.8,2105.2,2072.25,2090.8,2075.3,2079.0,2089.55,2145.0,1445.55,306047,639499726.85,25427,TORNTPHARM
23,2023-11-24,EQ,2109.9,2129.0,2083.3,2106.55,2084.75,2090.8,2102.32,2145.0,1445.55,157910,331976669.55,24107,TORNTPHARM
24,2023-11-23,EQ,2135.05,2135.95,2082.0,2111.55,2106.95,2106.55,2102.49,2145.0,1445.55,189688,398816672.7,22165,TORNTPHARM
25,2023-11-22,EQ,2116.2,2132.4,2083.4,2119.65,2123.1,2111.55,2105.45,2145.0,1445.55,164055,345409194.45,12801,TORNTPHARM
26,2023-11-21,EQ,2134.0,2145.0,2109.55,2110.75,2115.6,2119.65,2127.73,2145.0,1445.55,288221,613255734.2,16980,TORNTPHARM
27,2023-11-20,EQ,2082.35,2118.8,2081.8,2082.35,2115.5,2110.75,2099.99,2118.8,1445.55,318186,668186359.85,24827,TORNTPHARM
28,2023-11-17,EQ,2039.6,2088.0,2024.65,2039.55,2075.6,2082.35,2072.85,2094.55,1445.55,147474,305691332.5,21833,TORNTPHARM
29,2023-11-16,EQ,2057.95,2057.95,2033.95,2054.6,2037.3,2039.55,2043.55,2094.55,1445.55,342090,699079175.1,32329,TORNTPHARM
30,2023-11-15,EQ,2084.75,2084.75,2048.75,2066.0,2050.55,2054.6,2055.22,2094.55,1445.55,179655,369230689.25,20117,TORNTPHARM
31,2023-11-13,EQ,2056.2,2075.6,2049.25,2063.9,2060.0,2066.0,2062.14,2094.55,1445.55,188309,388319272.6,13392,TORNTPHARM
32,2023-11-12,EQ,2066.2,2076.75,2050.0,2058.2,2051.1,2063.9,2067.41,2094.55,1445.55,17428,36030887.4,1352,TORNTPHARM
33,2023-11-10,EQ,2061.2,2068.9,2044.25,2051.2,2062.0,2058.2,2059.46,2094.55,1445.55,206637,425560314.85,21472,TORNTPHARM
