,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3030.3,3060.35,3001.4,3026.0,3050.75,3054.95,3040.42,3060.35,1155.0,430702,1309512948.45,41054,TRENT
1,2023-12-28,EQ,3025.0,3045.0,3003.0,3010.75,3025.25,3026.0,3027.04,3059.7,1155.0,503705,1524734785.9,59118,TRENT
2,2023-12-27,EQ,2975.65,3059.7,2975.55,2970.0,3006.15,3010.75,3016.32,3059.7,1155.0,584065,1761724898.4,50350,TRENT
3,2023-12-26,EQ,2986.1,2991.95,2961.65,2965.5,2975.65,2970.0,2974.99,3025.0,1155.0,315645,939039675.5,34009,TRENT
4,2023-12-22,EQ,2978.8,2981.95,2928.35,2955.2,2968.0,2965.5,2964.58,3025.0,1155.0,518707,1537750730.85,26916,TRENT
5,2023-12-21,EQ,2909.95,2969.9,2879.5,2948.95,2969.9,2955.2,2934.31,3025.0,1155.0,631420,1852781333.15,48351,TRENT
6,2023-12-20,EQ,3022.0,3025.0,2927.7,3000.8,2952.85,2948.95,2971.72,3025.0,1155.0,713170,2119344892.05,64199,TRENT
7,2023-12-19,EQ,2988.0,3013.6,2957.0,2971.45,2992.7,3000.8,2987.39,3024.55,1155.0,533290,1593146383.9,46187,TRENT
8,2023-12-18,EQ,2998.55,3001.5,2961.2,2989.75,2977.5,2971.45,2978.85,3024.55,1155.0,646708,1926445417.4,50166,TRENT
9,2023-12-15,EQ,3000.0,3024.55,2980.05,2984.75,2993.8,2989.75,2999.24,3024.55,1155.0,682553,2047141485.75,57824,TRENT
10,2023-12-14,EQ,2990.2,2995.0,2944.5,2963.45,2990.35,2984.75,2970.05,2995.0,1155.0,425400,1263459264.35,42406,TRENT
11,2023-12-13,EQ,2895.0,2973.95,2887.05,2883.55,2963.0,2963.45,2944.51,2973.95,1155.0,887243,2612496563.7,73196,TRENT
12,2023-12-12,EQ,2896.9,2909.9,2849.7,2881.4,2881.0,2883.55,2883.16,2918.0,1155.0,462633,1333843301.25,51713,TRENT
13,2023-12-11,EQ,2858.95,2907.35,2841.1,2841.3,2885.0,2881.4,2881.18,2918.0,1155.0,577553,1664035918.1,52493,TRENT
14,2023-12-08,EQ,2857.3,2887.3,2800.2,2845.2,2844.45,2841.3,2837.64,2918.0,1155.0,688323,1953213922.1,56890,TRENT
15,2023-12-07,EQ,2881.95,2918.0,2836.55,2867.85,2850.0,2845.2,2866.9,2918.0,1155.0,961559,2756695406.45,45943,TRENT
16,2023-12-06,EQ,2890.2,2912.45,2854.6,2874.75,2861.0,2867.85,2876.07,2912.45,1155.0,487235,1401320242.1,36292,TRENT
17,2023-12-05,EQ,2820.0,2898.5,2817.5,2816.85,2870.1,2874.75,2865.92,2898.5,1155.0,676125,1937723540.35,64220,TRENT
18,2023-12-04,EQ,2847.0,2867.0,2772.25,2807.7,2810.0,2816.85,2808.87,2867.0,1155.0,685830,1926407107.05,73110,TRENT
19,2023-12-01,EQ,2787.0,2837.4,2752.4,2787.0,2822.4,2807.7,2803.85,2837.4,1155.0,1049846,2943615384.45,63482,TRENT
20,2023-11-30,EQ,2676.4,2809.75,2675.0,2676.4,2780.0,2787.0,2772.11,2809.75,1155.0,2343154,6495477760.25,100543,TRENT
21,2023-11-29,EQ,2694.0,2720.0,2668.0,2671.75,2680.0,2676.4,2687.46,2720.0,1155.0,460234,1236859867.7,43184,TRENT
22,2023-11-28,EQ,2668.5,2683.5,2645.05,2649.7,2680.0,2671.75,2663.57,2683.5,1155.0,535972,1427598433.95,55103,TRENT
23,2023-11-24,EQ,2659.95,2668.0,2640.0,2655.05,2644.0,2649.7,2653.72,2668.0,1155.0,325606,864067021.75,34077,TRENT
24,2023-11-23,EQ,2644.8,2664.5,2631.5,2627.15,2653.0,2655.05,2654.4,2664.5,1155.0,398832,1058659673.5,31398,TRENT
25,2023-11-22,EQ,2625.0,2647.05,2607.5,2613.75,2630.0,2627.15,2632.25,2652.0,1155.0,395438,1040892344.05,39264,TRENT
26,2023-11-21,EQ,2634.9,2652.0,2605.95,2622.75,2613.55,2613.75,2624.83,2652.0,1155.0,519349,1363201642.9,38006,TRENT
27,2023-11-20,EQ,2595.0,2637.3,2585.3,2576.4,2624.0,2622.75,2615.12,2637.3,1155.0,568578,1486898266.05,44305,TRENT
28,2023-11-17,EQ,2547.55,2613.7,2544.75,2544.7,2577.0,2576.4,2576.43,2613.7,1155.0,717236,1847905760.9,46296,TRENT
29,2023-11-16,EQ,2556.5,2558.15,2491.4,2553.15,2550.0,2544.7,2524.96,2579.8,1155.0,766675,1935822680.6,47666,TRENT
30,2023-11-15,EQ,2579.8,2579.8,2534.85,2559.05,2551.0,2553.15,2554.41,2579.8,1155.0,599328,1530931348.7,48723,TRENT
31,2023-11-13,EQ,2495.0,2564.0,2485.35,2494.25,2556.35,2559.05,2543.1,2564.0,1155.0,1131761,2878178363.45,69803,TRENT
32,2023-11-12,EQ,2510.2,2515.0,2491.15,2489.35,2495.95,2494.25,2498.24,2515.0,1155.0,75038,187463186.25,5530,TRENT
33,2023-11-10,EQ,2476.95,2504.15,2454.05,2478.05,2491.6,2489.35,2483.71,2504.15,1155.0,644072,1599685677.3,39940,TRENT
34,2023-11-09,EQ,2453.0,2487.25,2438.2,2452.85,2477.0,2478.05,2472.22,2503.85,1155.0,684007,1691019156.05,38358,TRENT
