,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,422.4,428.0,416.0,422.4,422.75,424.15,423.7,456.6,241.6,478348,202673709.25,17252,TRITURBINE
1,2023-12-28,EQ,414.6,425.0,409.45,414.5,424.0,422.4,418.6,456.6,241.6,529649,221710715.65,16409,TRITURBINE
2,2023-12-27,EQ,407.2,417.0,405.3,408.35,415.0,414.5,411.42,456.6,241.6,435529,179184709.15,15576,TRITURBINE
3,2023-12-26,EQ,404.9,409.75,401.45,401.9,405.0,408.35,406.8,456.6,241.6,307464,125075820.8,14753,TRITURBINE
4,2023-12-22,EQ,406.3,408.0,400.5,403.8,401.95,401.9,403.57,456.6,241.6,216412,87336492.0,12396,TRITURBINE
5,2023-12-21,EQ,399.0,410.85,391.2,404.2,403.0,403.8,399.4,456.6,241.6,713570,285001474.7,29439,TRITURBINE
6,2023-12-20,EQ,407.9,411.8,398.15,404.35,401.65,404.2,406.05,456.6,241.6,724352,294124764.35,35111,TRITURBINE
7,2023-12-19,EQ,407.95,408.3,402.35,406.25,404.5,404.35,404.45,456.6,241.6,235757,95350830.75,12592,TRITURBINE
8,2023-12-18,EQ,415.45,416.2,405.55,414.2,406.5,406.25,407.96,456.6,241.6,339875,138655649.4,23254,TRITURBINE
9,2023-12-15,EQ,419.95,419.95,412.6,415.2,412.6,414.2,415.19,456.6,241.6,349807,145236116.35,15443,TRITURBINE
10,2023-12-14,EQ,410.3,422.5,408.05,405.25,414.9,415.2,416.63,456.6,241.6,668996,278725443.2,29158,TRITURBINE
11,2023-12-13,EQ,405.0,412.0,399.1,403.0,406.0,405.25,405.35,456.6,241.6,391861,158841597.55,18945,TRITURBINE
12,2023-12-12,EQ,413.95,413.95,395.55,411.25,404.35,403.0,401.15,456.6,241.6,878558,352434459.65,28835,TRITURBINE
13,2023-12-11,EQ,417.15,419.4,410.0,417.1,411.2,411.25,412.87,456.6,241.6,209245,86390160.3,11233,TRITURBINE
14,2023-12-08,EQ,417.0,420.9,411.55,416.3,417.0,417.1,417.13,456.6,241.6,230742,96248972.4,17234,TRITURBINE
15,2023-12-07,EQ,422.95,426.5,413.45,422.95,417.5,416.3,420.35,456.6,241.6,250213,105176244.0,12613,TRITURBINE
16,2023-12-06,EQ,434.8,436.9,421.1,434.8,422.95,422.95,424.94,456.6,241.6,358484,152333574.9,14890,TRITURBINE
