,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,347.05,347.1,330.1,348.8,336.1,336.95,336.73,373.0,235.3,613950,206734551.1,16266,UDS
1,2023-12-28,EQ,350.1,373.0,346.0,349.8,347.0,348.8,360.51,373.0,235.3,677948,244404290.4,33302,UDS
2,2023-12-27,EQ,350.0,356.65,340.5,350.65,350.0,349.8,348.27,362.25,235.3,562328,195839363.6,31635,UDS
3,2023-12-26,EQ,353.05,354.5,337.9,354.65,348.7,350.65,346.48,362.25,235.3,475866,164878790.1,20543,UDS
4,2023-12-22,EQ,311.0,362.25,309.4,310.45,354.0,354.65,343.27,362.25,235.3,1990015,683109517.9,59585,UDS
5,2023-12-21,EQ,307.0,320.45,306.0,313.25,309.4,310.45,313.33,326.9,235.3,765999,240009080.65,31025,UDS
6,2023-12-20,EQ,306.5,326.9,302.0,306.15,310.0,313.25,316.11,326.9,235.3,1729561,546723684.0,77174,UDS
7,2023-12-19,EQ,313.0,317.0,301.0,310.95,305.4,306.15,307.23,322.85,235.3,729192,224030264.9,31500,UDS
8,2023-12-18,EQ,305.0,322.85,301.0,303.85,311.0,310.95,313.06,322.85,235.3,1007031,315265373.7,74410,UDS
9,2023-12-15,EQ,303.65,306.3,298.45,302.05,303.15,303.85,303.32,314.45,235.3,1096162,332492690.85,49191,UDS
10,2023-12-14,EQ,303.95,308.8,295.0,301.4,303.05,302.05,301.54,314.45,235.3,1187387,358048226.15,52977,UDS
11,2023-12-13,EQ,276.0,314.45,276.0,270.3,301.0,301.4,305.23,314.45,235.3,3946936,1204706677.35,137987,UDS
12,2023-12-12,EQ,271.0,272.5,266.55,269.85,270.0,270.3,270.05,301.75,235.3,123800,33432616.2,9549,UDS
13,2023-12-11,EQ,265.15,271.45,264.0,266.85,267.1,269.85,267.34,301.75,235.3,197221,52725199.5,8164,UDS
14,2023-12-08,EQ,267.25,269.4,264.05,266.85,264.05,266.85,266.78,301.75,235.3,177426,47333062.05,10438,UDS
15,2023-12-07,EQ,266.1,269.0,265.0,269.6,265.55,266.85,266.8,301.75,235.3,86190,22995201.3,4722,UDS
16,2023-12-06,EQ,274.45,274.45,267.7,272.55,268.05,269.6,270.24,301.75,235.3,45016,12165284.1,2872,UDS
17,2023-12-05,EQ,272.0,274.5,268.45,273.0,272.0,272.55,272.46,301.75,235.3,57550,15679916.4,4089,UDS
18,2023-12-04,EQ,269.45,274.0,267.1,266.85,272.0,273.0,271.05,301.75,235.3,147752,40047528.1,6173,UDS
19,2023-12-01,EQ,263.0,268.3,261.8,261.95,267.0,266.85,266.47,301.75,235.3,179229,47758892.7,9644,UDS
20,2023-11-30,EQ,269.95,270.25,259.5,265.35,263.0,261.95,265.02,301.75,235.3,246805,65408002.15,16782,UDS
21,2023-11-29,EQ,267.3,269.05,263.2,267.25,265.7,265.35,265.3,301.75,235.3,337994,89668864.9,22933,UDS
22,2023-11-28,EQ,269.0,269.5,265.4,268.05,266.55,267.25,267.65,301.75,235.3,265731,71123259.15,13093,UDS
23,2023-11-24,EQ,269.1,271.15,267.0,269.1,267.05,268.05,268.42,301.75,235.3,197418,52990992.8,15350,UDS
24,2023-11-23,EQ,272.75,272.75,265.65,268.95,266.0,269.1,268.97,301.75,235.3,301346,81053399.4,8271,UDS
25,2023-11-22,EQ,274.0,274.0,262.6,272.6,268.0,268.95,268.38,301.75,235.3,128744,34552391.7,6858,UDS
26,2023-11-21,EQ,279.95,279.95,270.55,277.35,272.0,272.6,274.1,301.75,235.3,114707,31440995.25,4983,UDS
27,2023-11-20,EQ,284.8,284.8,273.0,282.15,278.0,277.35,278.79,301.75,235.3,274502,76527573.85,14612,UDS
28,2023-11-17,EQ,279.95,283.65,277.0,281.35,282.0,282.15,281.41,301.75,235.3,153003,43056520.9,4528,UDS
