,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,666.7,690.85,665.95,666.75,689.0,687.65,682.87,694.7,435.0,927928,633657820.0,42130,UNOMINDA
1,2023-12-28,EQ,674.8,677.15,660.0,672.3,671.05,666.75,667.77,694.7,435.0,341022,227723336.1,22121,UNOMINDA
2,2023-12-27,EQ,665.25,674.95,663.0,663.4,672.85,672.3,671.25,694.7,435.0,284035,190659779.45,21050,UNOMINDA
3,2023-12-26,EQ,672.8,674.8,661.3,669.05,663.5,663.4,663.97,694.7,435.0,140761,93461599.75,11084,UNOMINDA
4,2023-12-22,EQ,656.0,669.95,651.55,652.35,665.2,669.05,664.35,694.7,435.0,435437,289283558.2,27246,UNOMINDA
5,2023-12-21,EQ,635.3,656.0,629.0,654.2,654.6,652.35,644.57,694.7,435.0,357728,230579510.2,25951,UNOMINDA
6,2023-12-20,EQ,669.75,670.9,646.45,664.95,652.0,654.2,659.9,694.7,435.0,581038,383425406.95,27576,UNOMINDA
7,2023-12-19,EQ,661.85,669.0,656.25,657.9,665.0,664.95,664.19,694.7,435.0,249796,165911527.6,15164,UNOMINDA
8,2023-12-18,EQ,653.0,659.75,649.0,651.0,659.0,657.9,656.79,694.7,435.0,278346,182815529.0,18222,UNOMINDA
9,2023-12-15,EQ,651.95,655.95,647.0,647.95,650.95,651.0,651.11,694.7,435.0,176887,115173757.2,11389,UNOMINDA
10,2023-12-14,EQ,669.95,674.0,644.0,660.5,650.55,647.95,655.62,694.7,435.0,652103,427534874.4,24453,UNOMINDA
11,2023-12-13,EQ,638.65,665.0,636.35,638.65,665.0,660.5,646.73,694.7,435.0,1020426,659939701.7,31833,UNOMINDA
12,2023-12-12,EQ,652.1,652.1,635.0,646.2,638.0,638.65,641.33,694.7,435.0,374450,240147423.85,17327,UNOMINDA
13,2023-12-11,EQ,656.05,658.0,645.0,654.6,646.0,646.2,649.58,694.7,435.0,242941,157810169.85,15627,UNOMINDA
14,2023-12-08,EQ,672.4,672.4,650.3,668.45,652.0,654.6,657.4,694.7,435.0,408646,268642045.35,27094,UNOMINDA
15,2023-12-07,EQ,656.5,672.0,647.5,652.3,668.0,668.45,658.15,694.7,435.0,482601,317625830.95,20254,UNOMINDA
16,2023-12-06,EQ,663.7,668.95,650.0,659.7,654.5,652.3,658.9,694.7,435.0,393663,259384010.85,18799,UNOMINDA
17,2023-12-05,EQ,662.95,674.0,653.15,658.65,660.0,659.7,661.23,694.7,435.0,423666,280139797.25,25758,UNOMINDA
18,2023-12-04,EQ,666.0,674.3,655.0,657.6,658.0,658.65,662.22,694.7,435.0,521555,345382661.75,24278,UNOMINDA
19,2023-12-01,EQ,672.8,678.8,655.0,673.25,659.0,657.6,664.45,694.7,435.0,597586,397066152.95,27335,UNOMINDA
20,2023-11-30,EQ,678.8,684.45,655.0,674.9,662.0,673.25,673.95,694.7,435.0,1417035,955009424.7,61544,UNOMINDA
21,2023-11-29,EQ,681.4,684.45,669.95,675.5,675.0,674.9,675.64,694.7,435.0,362948,245222426.65,17875,UNOMINDA
22,2023-11-28,EQ,685.6,690.0,672.5,679.4,679.95,675.5,678.38,694.7,435.0,360709,244696710.15,22407,UNOMINDA
23,2023-11-24,EQ,686.0,694.7,676.15,683.6,681.5,679.4,689.29,694.7,435.0,784455,540717987.3,27592,UNOMINDA
24,2023-11-23,EQ,680.0,689.05,677.5,674.9,684.0,683.6,683.33,689.05,435.0,726539,496463560.7,33598,UNOMINDA
25,2023-11-22,EQ,658.0,684.95,653.85,654.95,675.5,674.9,674.79,684.95,435.0,1525875,1029649947.6,49214,UNOMINDA
26,2023-11-21,EQ,643.8,658.0,641.3,643.25,652.0,654.95,652.91,660.9,435.0,480698,313850999.75,21918,UNOMINDA
27,2023-11-20,EQ,644.0,653.0,637.0,642.45,641.6,643.25,646.42,660.9,435.0,429035,277335159.1,19312,UNOMINDA
28,2023-11-17,EQ,639.85,644.95,634.2,639.9,642.6,642.45,641.79,660.9,435.0,382309,245360982.35,15830,UNOMINDA
29,2023-11-16,EQ,644.5,648.9,635.5,641.25,636.0,639.9,642.48,660.9,435.0,329760,211863573.1,16554,UNOMINDA
30,2023-11-15,EQ,634.2,646.0,632.0,629.2,639.7,641.25,641.57,660.9,435.0,683911,438776039.45,30637,UNOMINDA
31,2023-11-13,EQ,633.95,634.35,627.2,636.35,629.5,629.2,630.95,660.9,435.0,353585,223092768.5,11713,UNOMINDA
32,2023-11-12,EQ,637.8,639.9,633.8,632.75,635.85,636.35,636.99,660.9,435.0,60022,38233415.15,3805,UNOMINDA
33,2023-11-10,EQ,635.8,645.0,630.0,631.35,631.0,632.75,636.25,660.9,435.0,960805,611315873.25,38723,UNOMINDA
34,2023-11-09,EQ,607.85,636.0,605.7,602.0,636.0,631.35,628.15,660.9,435.0,2019254,1268403177.2,72261,UNOMINDA
35,2023-11-08,EQ,590.75,607.9,589.25,582.75,603.0,602.0,597.24,660.9,435.0,2216084,1323525919.7,165979,UNOMINDA
36,2023-11-07,EQ,582.0,599.0,579.5,580.65,579.7,582.75,591.31,660.9,435.0,840461,496976967.95,42610,UNOMINDA
37,2023-11-06,EQ,583.0,583.2,577.15,577.7,580.6,580.65,580.14,660.9,435.0,105920,61448637.0,10024,UNOMINDA
38,2023-11-03,EQ,586.6,589.7,576.0,584.4,577.0,577.7,581.36,660.9,435.0,166523,96809120.1,10643,UNOMINDA
39,2023-11-02,EQ,583.0,589.7,579.55,580.35,588.0,584.4,583.48,660.9,435.0,113081,65980086.5,8154,UNOMINDA
40,2023-11-01,EQ,586.7,591.0,578.0,582.7,579.0,580.35,583.03,660.9,435.0,565148,329499932.05,13188,UNOMINDA
41,2023-10-31,EQ,590.0,594.45,578.25,586.65,587.0,582.7,585.61,660.9,435.0,200599,117472552.55,18120,UNOMINDA
42,2023-10-30,EQ,588.25,588.85,577.05,583.25,585.0,586.65,584.38,660.9,435.0,86776,50710118.3,7441,UNOMINDA
43,2023-10-27,EQ,574.65,595.65,574.0,574.65,584.95,583.25,586.82,660.9,435.0,348874,204726045.35,21292,UNOMINDA
44,2023-10-26,EQ,568.0,578.2,548.6,572.5,574.05,574.65,566.42,660.9,435.0,550619,311883432.35,35538,UNOMINDA
45,2023-10-25,EQ,585.95,589.65,565.05,578.2,577.0,572.5,573.2,660.9,435.0,314940,180522883.2,21994,UNOMINDA
46,2023-10-23,EQ,605.25,611.0,570.0,605.25,580.05,578.2,590.5,660.9,435.0,356247,210365465.3,23266,UNOMINDA
47,2023-10-20,EQ,599.1,610.5,598.25,599.1,604.95,605.25,606.01,660.9,435.0,218901,132656334.9,19351,UNOMINDA
