,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,868.4,868.4,853.5,860.35,867.0,866.6,862.82,917.9,608.0,124115,107088324.8,7848,UTIAMC
1,2023-12-28,EQ,848.85,874.0,848.0,847.55,860.5,860.35,859.97,917.9,608.0,97230,83614508.35,9175,UTIAMC
2,2023-12-27,EQ,850.0,856.0,842.5,848.75,848.0,847.55,848.52,917.9,608.0,55556,47140606.2,3969,UTIAMC
3,2023-12-26,EQ,863.0,865.0,843.25,858.1,847.4,848.75,854.44,917.9,608.0,63770,54487485.35,5916,UTIAMC
4,2023-12-22,EQ,846.0,860.0,843.4,838.6,855.25,858.1,853.95,917.9,608.0,113065,96551921.7,9815,UTIAMC
5,2023-12-21,EQ,830.0,865.5,829.3,842.2,840.0,838.6,844.84,917.9,608.0,238339,201358698.55,20165,UTIAMC
6,2023-12-20,EQ,882.8,917.9,829.25,870.9,834.0,842.2,892.54,917.9,608.0,947490,845670266.65,51851,UTIAMC
7,2023-12-19,EQ,877.2,891.25,863.0,877.2,874.85,870.9,877.72,908.0,608.0,317855,278986641.65,21983,UTIAMC
8,2023-12-18,EQ,835.25,884.5,835.25,825.95,877.0,877.2,870.08,908.0,608.0,1039983,904863727.85,51383,UTIAMC
9,2023-12-15,EQ,835.9,846.4,821.0,830.45,824.0,825.95,832.24,908.0,608.0,91724,76336189.95,7612,UTIAMC
10,2023-12-14,EQ,828.2,838.0,825.55,821.15,830.6,830.45,830.86,908.0,608.0,79375,65949819.7,5693,UTIAMC
11,2023-12-13,EQ,822.95,827.3,815.05,816.55,821.6,821.15,821.23,908.0,608.0,98617,80987143.75,8882,UTIAMC
12,2023-12-12,EQ,834.85,836.5,806.05,830.2,819.0,816.55,821.26,908.0,608.0,152786,125477582.1,11482,UTIAMC
13,2023-12-11,EQ,835.0,839.1,829.05,830.15,830.0,830.2,831.41,908.0,608.0,100132,83250674.9,7204,UTIAMC
14,2023-12-08,EQ,835.15,843.95,827.0,835.95,832.9,830.15,834.8,908.0,608.0,183771,153411899.2,13463,UTIAMC
15,2023-12-07,EQ,836.0,844.8,831.3,839.7,834.9,835.95,836.8,908.0,608.0,86870,72692543.15,6075,UTIAMC
16,2023-12-06,EQ,850.0,854.95,836.25,848.3,841.0,839.7,843.27,908.0,608.0,196344,165570869.5,10423,UTIAMC
17,2023-12-05,EQ,840.0,852.0,831.55,833.75,849.0,848.3,845.53,908.0,608.0,306845,259448058.45,14487,UTIAMC
18,2023-12-04,EQ,840.0,842.25,824.0,826.6,833.95,833.75,833.01,908.0,608.0,190463,158657620.05,12466,UTIAMC
19,2023-12-01,EQ,829.8,837.8,821.05,823.75,822.9,826.6,827.53,908.0,608.0,176922,146408710.2,11019,UTIAMC
20,2023-11-30,EQ,805.9,834.9,805.9,802.7,823.0,823.75,822.58,908.0,608.0,409684,336996173.3,25982,UTIAMC
21,2023-11-29,EQ,793.6,805.0,792.45,791.7,804.2,802.7,799.85,908.0,608.0,141529,113201422.45,5800,UTIAMC
22,2023-11-28,EQ,792.95,799.5,788.1,790.1,792.0,791.7,795.12,908.0,608.0,297017,236165518.85,10709,UTIAMC
23,2023-11-24,EQ,794.0,798.0,775.3,784.45,791.9,790.1,787.81,908.0,608.0,133351,105055512.65,8572,UTIAMC
24,2023-11-23,EQ,780.0,786.65,775.85,778.65,783.2,784.45,783.23,908.0,608.0,87007,68146287.35,7839,UTIAMC
25,2023-11-22,EQ,787.5,792.45,776.25,790.35,776.5,778.65,781.72,908.0,608.0,73171,57199335.95,7400,UTIAMC
26,2023-11-21,EQ,790.9,797.0,787.5,788.25,790.0,790.35,792.94,908.0,608.0,100787,79918311.0,10099,UTIAMC
27,2023-11-20,EQ,795.0,796.75,785.0,786.8,790.5,788.25,790.67,908.0,608.0,107508,85003823.05,9235,UTIAMC
28,2023-11-17,EQ,776.4,797.7,773.35,776.35,787.0,786.8,787.62,908.0,608.0,294806,232193861.85,12727,UTIAMC
