,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1441.0,1464.5,1390.0,1354.5,1403.0,1400.55,1434.38,1578.9,693.0,1050439,1506726680.65,62727,VENUSPIPES
1,2023-12-28,EQ,1372.0,1378.95,1349.0,1371.55,1354.5,1354.5,1359.38,1578.9,693.0,34726,47205848.85,4254,VENUSPIPES
2,2023-12-27,EQ,1380.0,1384.5,1361.05,1371.35,1365.0,1371.55,1372.01,1578.9,693.0,50004,68605903.1,4706,VENUSPIPES
3,2023-12-26,EQ,1396.0,1396.0,1362.85,1373.4,1369.0,1371.35,1371.92,1578.9,693.0,41804,57351721.85,5531,VENUSPIPES
4,2023-12-22,EQ,1350.0,1396.0,1342.55,1332.65,1379.9,1373.4,1370.65,1578.9,675.0,128654,176339097.3,11860,VENUSPIPES
5,2023-12-21,EQ,1315.0,1349.85,1296.05,1314.45,1343.95,1332.65,1326.99,1578.9,675.0,63744,84587617.05,11019,VENUSPIPES
6,2023-12-20,EQ,1383.95,1392.0,1293.05,1372.85,1324.0,1314.45,1339.51,1578.9,675.0,88804,118953742.65,11617,VENUSPIPES
7,2023-12-19,EQ,1391.0,1405.8,1361.0,1380.65,1373.65,1372.85,1374.98,1578.9,675.0,81770,112432128.9,9692,VENUSPIPES
8,2023-12-18,EQ,1357.9,1389.9,1343.7,1345.9,1378.0,1380.65,1377.51,1578.9,675.0,124814,171933057.4,11457,VENUSPIPES
9,2023-12-15,EQ,1355.0,1369.5,1340.0,1346.7,1347.2,1345.9,1354.17,1578.9,675.0,30955,41918369.85,3871,VENUSPIPES
10,2023-12-14,EQ,1341.8,1364.15,1333.6,1336.6,1344.9,1346.7,1349.91,1578.9,675.0,40338,54452668.1,5875,VENUSPIPES
11,2023-12-13,EQ,1359.9,1368.7,1325.05,1350.85,1351.0,1336.6,1341.16,1578.9,675.0,66008,88527466.95,7726,VENUSPIPES
12,2023-12-12,EQ,1386.0,1395.45,1340.8,1382.8,1352.2,1350.85,1367.45,1578.9,675.0,60111,82198490.35,7343,VENUSPIPES
13,2023-12-11,EQ,1335.05,1392.2,1330.15,1333.15,1384.8,1382.8,1367.29,1578.9,675.0,120459,164701789.2,10743,VENUSPIPES
14,2023-12-08,EQ,1315.0,1348.0,1312.8,1310.2,1328.0,1333.15,1331.46,1578.9,675.0,111221,148085872.6,8166,VENUSPIPES
15,2023-12-07,EQ,1310.05,1316.0,1295.0,1308.75,1315.0,1310.2,1305.89,1578.9,675.0,38110,49767497.35,4715,VENUSPIPES
16,2023-12-06,EQ,1300.1,1313.45,1292.0,1294.55,1305.05,1308.75,1304.79,1578.9,675.0,59774,77992615.75,6076,VENUSPIPES
17,2023-12-05,EQ,1325.0,1327.4,1290.2,1318.7,1294.0,1294.55,1302.43,1578.9,675.0,90386,117721743.45,9749,VENUSPIPES
18,2023-12-04,EQ,1335.0,1340.0,1293.2,1309.15,1318.5,1318.7,1310.74,1578.9,675.0,102032,133737458.85,11678,VENUSPIPES
19,2023-12-01,EQ,1319.05,1340.0,1304.95,1318.25,1309.45,1309.15,1317.8,1578.9,644.55,72474,95506580.6,9169,VENUSPIPES
20,2023-11-30,EQ,1328.6,1348.9,1307.15,1325.8,1324.1,1318.25,1325.08,1578.9,644.55,121288,160716720.2,13163,VENUSPIPES
21,2023-11-29,EQ,1351.95,1370.0,1291.95,1340.25,1330.0,1325.8,1328.88,1578.9,644.55,131683,174990986.5,16032,VENUSPIPES
22,2023-11-28,EQ,1385.0,1390.7,1331.85,1388.1,1340.0,1340.25,1353.22,1578.9,644.55,85997,116372474.9,10155,VENUSPIPES
23,2023-11-24,EQ,1400.0,1407.95,1381.05,1400.1,1388.0,1388.1,1390.16,1578.9,644.55,53752,74723900.55,5915,VENUSPIPES
24,2023-11-23,EQ,1408.9,1412.3,1391.05,1405.5,1399.0,1400.1,1398.38,1578.9,644.55,32756,45805393.15,3356,VENUSPIPES
25,2023-11-22,EQ,1399.9,1424.2,1384.5,1392.05,1402.25,1405.5,1408.13,1578.9,644.55,71081,100091028.65,6618,VENUSPIPES
26,2023-11-21,EQ,1422.85,1422.85,1385.1,1406.35,1392.0,1392.05,1400.24,1578.9,644.55,55940,78329350.9,5992,VENUSPIPES
27,2023-11-20,EQ,1420.9,1430.05,1400.0,1411.4,1409.9,1406.35,1412.31,1578.9,644.55,48967,69156636.55,5464,VENUSPIPES
28,2023-11-17,EQ,1436.1,1436.1,1409.0,1414.9,1411.35,1411.4,1415.42,1578.9,644.55,38499,54492072.95,3996,VENUSPIPES
29,2023-11-16,EQ,1455.05,1465.0,1405.5,1454.85,1419.95,1414.9,1423.74,1578.9,644.55,110611,157481782.55,10139,VENUSPIPES
30,2023-11-15,EQ,1477.0,1477.0,1442.05,1461.05,1450.0,1454.85,1457.55,1578.9,644.55,91044,132701154.85,7917,VENUSPIPES
31,2023-11-13,EQ,1466.0,1477.0,1440.35,1460.2,1463.0,1461.05,1464.13,1578.9,644.55,45398,66468784.55,5211,VENUSPIPES
32,2023-11-12,EQ,1462.05,1465.95,1459.15,1452.05,1461.45,1460.2,1460.82,1578.9,644.55,48733,71190064.05,1838,VENUSPIPES
33,2023-11-10,EQ,1450.1,1463.0,1443.1,1459.7,1453.0,1452.05,1453.1,1578.9,644.55,31404,45633168.95,3778,VENUSPIPES
34,2023-11-09,EQ,1465.0,1468.0,1440.05,1456.1,1461.8,1459.7,1457.95,1578.9,644.55,74178,108147687.85,5762,VENUSPIPES
35,2023-11-08,EQ,1469.4,1469.4,1435.35,1456.6,1457.0,1456.1,1452.65,1578.9,644.55,54096,78582584.75,6766,VENUSPIPES
36,2023-11-07,EQ,1429.9,1468.0,1428.05,1424.6,1464.0,1456.6,1449.1,1578.9,644.55,160892,233148109.85,10524,VENUSPIPES
37,2023-11-06,EQ,1410.0,1430.35,1403.0,1405.0,1427.0,1424.6,1418.53,1578.9,644.55,89518,126983890.0,6231,VENUSPIPES
38,2023-11-03,EQ,1380.1,1417.15,1380.1,1376.05,1408.0,1405.0,1402.39,1578.9,644.55,327835,459751744.0,11248,VENUSPIPES
39,2023-11-02,EQ,1370.0,1398.0,1370.0,1362.85,1371.0,1376.05,1383.49,1578.9,644.55,87928,121647471.55,6351,VENUSPIPES
