,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3579.9,3644.9,3568.0,3567.15,3590.0,3591.4,3596.75,3971.0,1527.2,18195,65442801.25,4515,VESUVIUS
1,2023-12-28,EQ,3574.75,3640.0,3542.15,3574.75,3565.05,3567.15,3561.14,3971.0,1527.2,6032,21480806.75,1959,VESUVIUS
2,2023-12-27,EQ,3560.45,3599.0,3526.05,3560.45,3583.0,3574.75,3562.45,3971.0,1527.2,9487,33797005.55,2794,VESUVIUS
3,2023-12-26,EQ,3616.0,3616.0,3550.0,3587.45,3557.1,3560.45,3575.05,3971.0,1527.2,5208,18618866.8,1575,VESUVIUS
4,2023-12-22,EQ,3614.4,3633.9,3580.0,3592.0,3589.0,3587.45,3596.9,3971.0,1527.2,4509,16218440.65,1608,VESUVIUS
5,2023-12-21,EQ,3608.0,3646.45,3575.0,3612.45,3590.0,3592.0,3604.03,3971.0,1527.2,6979,25152490.6,2454,VESUVIUS
6,2023-12-20,EQ,3604.55,3690.0,3554.3,3604.55,3600.0,3612.45,3632.23,3971.0,1527.2,10906,39613097.85,2898,VESUVIUS
7,2023-12-19,EQ,3591.9,3623.85,3551.0,3591.9,3601.85,3604.55,3588.22,3971.0,1527.2,6366,22842598.05,2420,VESUVIUS
8,2023-12-18,EQ,3665.6,3708.9,3581.95,3665.6,3585.0,3591.9,3611.7,3971.0,1527.2,20539,74180706.55,4309,VESUVIUS
9,2023-12-15,EQ,3658.0,3686.0,3641.0,3657.95,3659.75,3665.6,3663.94,3971.0,1527.2,4664,17088634.95,1715,VESUVIUS
10,2023-12-14,EQ,3719.6,3740.0,3650.0,3700.65,3659.65,3657.95,3686.99,3971.0,1527.2,7115,26232901.8,2694,VESUVIUS
11,2023-12-13,EQ,3630.95,3732.65,3630.95,3619.7,3698.0,3700.65,3685.61,3971.0,1527.2,7700,28379197.9,2626,VESUVIUS
12,2023-12-12,EQ,3644.0,3675.0,3601.0,3616.7,3649.0,3619.7,3623.83,3971.0,1527.2,7071,25624135.25,3323,VESUVIUS
13,2023-12-11,EQ,3679.95,3708.05,3600.0,3675.95,3615.0,3616.7,3639.23,3971.0,1527.2,8284,30147406.15,2564,VESUVIUS
14,2023-12-08,EQ,3768.8,3787.0,3650.1,3745.75,3668.0,3675.95,3696.26,3971.0,1527.2,6255,23120083.5,2303,VESUVIUS
15,2023-12-07,EQ,3836.0,3878.95,3736.2,3846.85,3742.05,3745.75,3784.64,3971.0,1527.2,7981,30205187.3,2930,VESUVIUS
16,2023-12-06,EQ,3897.75,3944.9,3821.55,3864.45,3869.9,3846.85,3889.47,3971.0,1527.2,6927,26942371.8,2363,VESUVIUS
17,2023-12-05,EQ,3889.0,3908.65,3821.0,3890.45,3869.95,3864.45,3871.86,3971.0,1527.2,6607,25581368.55,2762,VESUVIUS
18,2023-12-04,EQ,3800.0,3923.0,3757.55,3724.75,3889.0,3890.45,3828.46,3971.0,1527.2,15789,60447574.7,5000,VESUVIUS
19,2023-12-01,EQ,3771.0,3805.0,3706.35,3776.95,3712.3,3724.75,3750.15,3971.0,1527.2,9050,33938838.35,3653,VESUVIUS
20,2023-11-30,EQ,3668.7,3806.9,3627.6,3668.7,3796.95,3776.95,3717.21,3971.0,1527.2,14070,52301076.15,5152,VESUVIUS
21,2023-11-29,EQ,3763.15,3784.8,3651.5,3763.15,3683.9,3668.7,3693.66,3971.0,1527.2,15968,58980288.65,5782,VESUVIUS
22,2023-11-28,EQ,3792.2,3824.5,3750.0,3792.2,3761.8,3763.15,3780.72,3971.0,1527.2,8950,33837423.7,3371,VESUVIUS
23,2023-11-24,EQ,3839.9,3841.0,3741.05,3804.3,3800.0,3792.2,3788.88,3971.0,1527.2,10278,38942087.0,4697,VESUVIUS
24,2023-11-23,EQ,3904.0,3971.0,3771.0,3875.75,3810.0,3804.3,3842.93,3971.0,1527.2,12349,47456299.5,4157,VESUVIUS
25,2023-11-22,EQ,3835.0,3889.8,3750.0,3787.9,3881.0,3875.75,3847.91,3891.3,1527.2,21193,81548828.6,6047,VESUVIUS
26,2023-11-21,EQ,3735.0,3799.0,3735.0,3751.3,3790.0,3787.9,3777.87,3891.3,1527.2,10763,40661167.7,4005,VESUVIUS
27,2023-11-20,EQ,3720.0,3857.55,3687.55,3705.9,3750.0,3751.3,3778.31,3891.3,1527.2,23001,86904846.85,8409,VESUVIUS
28,2023-11-17,EQ,3660.0,3800.0,3641.5,3664.75,3698.0,3705.9,3719.57,3891.3,1481.5,25608,95250842.55,9688,VESUVIUS
29,2023-11-16,EQ,3697.95,3750.0,3613.25,3674.95,3659.5,3664.75,3667.13,3891.3,1481.5,8727,32003019.25,3609,VESUVIUS
30,2023-11-15,EQ,3698.95,3891.3,3636.0,3632.9,3675.0,3674.95,3746.75,3891.3,1481.5,30420,113976023.3,8128,VESUVIUS
31,2023-11-13,EQ,3556.0,3657.9,3510.1,3581.65,3628.0,3632.9,3602.37,3738.0,1481.5,8874,31967425.3,3690,VESUVIUS
32,2023-11-12,EQ,3569.9,3610.0,3535.5,3535.85,3599.0,3581.65,3569.41,3738.0,1481.5,1749,6242903.55,688,VESUVIUS
33,2023-11-10,EQ,3499.8,3689.9,3459.95,3470.5,3536.8,3535.85,3577.06,3738.0,1481.5,14096,50422174.75,4400,VESUVIUS
34,2023-11-09,EQ,3463.2,3519.9,3445.05,3501.5,3480.0,3470.5,3476.92,3738.0,1481.5,6855,23834258.15,2205,VESUVIUS
35,2023-11-08,EQ,3550.0,3590.0,3490.05,3537.1,3509.9,3501.5,3532.21,3738.0,1481.5,4704,16615504.75,1792,VESUVIUS
36,2023-11-07,EQ,3564.95,3614.5,3505.1,3543.7,3524.9,3537.1,3558.03,3738.0,1481.5,9457,33648310.0,2584,VESUVIUS
37,2023-11-06,EQ,3489.0,3549.8,3450.05,3453.25,3548.0,3543.7,3505.8,3738.0,1481.5,13891,48699050.8,2496,VESUVIUS
38,2023-11-03,EQ,3479.0,3479.0,3432.05,3444.5,3457.0,3453.25,3455.86,3738.0,1452.25,4472,15454594.1,1276,VESUVIUS
