,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,286.9,294.0,285.1,284.2,292.4,292.35,290.87,335.0,229.05,485620,141254105.85,15806,VGUARD
1,2023-12-28,EQ,288.95,290.65,283.35,288.0,284.9,284.2,285.62,335.0,229.05,313944,89668330.1,9726,VGUARD
2,2023-12-27,EQ,292.25,292.35,287.2,290.65,288.0,288.0,288.8,335.0,229.05,379768,109677361.3,11050,VGUARD
3,2023-12-26,EQ,293.25,294.9,289.55,293.2,290.9,290.65,290.64,335.0,229.05,270238,78540987.35,15026,VGUARD
4,2023-12-22,EQ,295.0,304.3,290.65,287.15,291.85,293.2,295.81,335.0,229.05,782677,231521304.1,23840,VGUARD
5,2023-12-21,EQ,290.0,291.25,284.0,290.6,287.0,287.15,288.7,335.0,229.05,717624,207175592.7,19688,VGUARD
6,2023-12-20,EQ,289.25,306.0,287.1,289.6,287.3,290.6,297.01,335.0,229.05,960014,285136744.25,30116,VGUARD
7,2023-12-19,EQ,289.3,292.45,289.1,291.0,289.25,289.6,290.27,335.0,229.05,179939,52230891.55,7251,VGUARD
8,2023-12-18,EQ,292.4,293.15,290.5,292.9,290.75,291.0,291.42,335.0,229.05,168626,49140839.15,6444,VGUARD
9,2023-12-15,EQ,294.15,295.6,292.3,293.8,292.6,292.9,293.15,335.0,229.05,131279,38484774.4,6426,VGUARD
10,2023-12-14,EQ,294.05,297.0,292.75,293.8,294.0,293.8,294.17,335.0,229.05,113360,33347001.6,5548,VGUARD
11,2023-12-13,EQ,297.55,297.55,293.0,297.55,294.0,293.8,294.52,335.0,229.05,143562,42281498.45,6007,VGUARD
12,2023-12-12,EQ,298.4,299.75,296.45,298.4,296.65,297.55,297.78,335.0,229.05,107709,32073417.0,6979,VGUARD
13,2023-12-11,EQ,300.3,301.8,296.65,299.35,297.6,298.4,298.09,335.0,229.05,176931,52741495.35,9140,VGUARD
14,2023-12-08,EQ,298.9,301.3,296.8,298.9,299.0,299.35,299.07,335.0,229.05,559627,167365284.6,6102,VGUARD
15,2023-12-07,EQ,300.8,301.4,298.05,300.2,298.5,298.9,299.72,335.0,229.05,131172,39314474.2,8109,VGUARD
16,2023-12-06,EQ,302.55,303.75,298.75,301.05,300.0,300.2,301.01,335.0,229.05,143863,43304417.8,6969,VGUARD
17,2023-12-05,EQ,300.9,305.3,299.5,299.35,301.65,301.05,302.16,335.0,229.05,482578,145815739.75,11664,VGUARD
18,2023-12-04,EQ,301.35,303.8,296.1,296.9,299.05,299.35,300.41,335.0,229.05,186024,55883582.75,9016,VGUARD
19,2023-12-01,EQ,301.65,303.6,296.25,301.6,297.65,296.9,298.75,335.0,229.05,165031,49303091.1,8723,VGUARD
20,2023-11-30,EQ,303.45,304.4,297.35,300.9,300.2,301.6,300.62,335.0,229.05,173969,52297835.7,7779,VGUARD
21,2023-11-29,EQ,299.65,303.05,296.05,300.55,301.0,300.9,299.57,335.0,229.05,665776,199447256.95,23150,VGUARD
22,2023-11-28,EQ,289.2,302.9,288.15,287.1,300.4,300.55,297.27,335.0,229.05,636569,189230160.5,20326,VGUARD
23,2023-11-24,EQ,288.0,291.25,285.15,287.15,286.4,287.1,287.22,335.0,229.05,253368,72773436.3,10170,VGUARD
24,2023-11-23,EQ,289.0,289.0,286.25,287.6,286.3,287.15,287.52,335.0,229.05,121983,35072737.3,7618,VGUARD
25,2023-11-22,EQ,289.0,290.7,287.05,289.25,287.1,287.6,288.15,335.0,229.05,80466,23185950.7,4657,VGUARD
26,2023-11-21,EQ,290.0,294.9,287.6,291.15,288.35,289.25,289.61,335.0,229.05,129655,37549962.35,6061,VGUARD
27,2023-11-20,EQ,291.7,292.8,288.4,291.7,291.8,291.15,290.87,335.0,229.05,72703,21147294.0,3732,VGUARD
28,2023-11-17,EQ,293.9,295.55,289.5,293.3,291.5,291.7,291.75,335.0,229.05,186641,54452853.3,6027,VGUARD
29,2023-11-16,EQ,288.9,298.4,288.9,288.55,294.1,293.3,295.2,335.0,229.05,351185,103668926.6,17660,VGUARD
30,2023-11-15,EQ,290.0,292.95,287.1,290.55,289.0,288.55,288.82,335.0,229.05,173182,50018906.65,5739,VGUARD
