,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,650.85,678.0,645.55,654.7,674.0,675.7,666.14,686.1,349.25,348328,232034975.4,14780,VIJAYA
1,2023-12-28,EQ,649.25,656.7,639.2,649.25,656.45,654.7,650.15,686.1,349.25,389246,253066963.7,14212,VIJAYA
2,2023-12-27,EQ,634.0,651.1,623.7,630.8,644.0,649.25,640.01,686.1,349.25,294732,188630448.3,16988,VIJAYA
3,2023-12-26,EQ,639.0,646.75,627.0,640.9,628.0,630.8,633.9,686.1,349.25,448041,284013534.8,20307,VIJAYA
4,2023-12-22,EQ,650.0,659.7,635.05,647.25,640.0,640.9,645.4,686.1,349.25,840885,542704106.55,25636,VIJAYA
5,2023-12-21,EQ,672.15,672.15,643.0,674.55,647.0,647.25,652.25,686.1,349.25,1702080,1110176504.7,51841,VIJAYA
6,2023-12-20,EQ,637.0,685.0,635.0,628.45,681.0,674.55,662.89,686.1,349.25,1899202,1258958130.3,70518,VIJAYA
7,2023-12-19,EQ,629.95,648.95,625.0,615.15,632.3,628.45,636.48,686.1,349.25,731401,465523966.55,37444,VIJAYA
8,2023-12-18,EQ,622.0,643.95,612.25,612.3,616.0,615.15,626.17,686.1,349.25,239667,150073119.2,15629,VIJAYA
9,2023-12-15,EQ,616.0,625.45,608.0,621.75,612.1,612.3,614.73,686.1,349.25,106877,65700758.2,12920,VIJAYA
10,2023-12-14,EQ,620.45,633.8,617.0,617.25,621.15,621.75,623.67,686.1,349.25,138903,86629209.55,12795,VIJAYA
11,2023-12-13,EQ,617.6,626.0,608.05,617.6,619.0,617.25,616.15,686.1,349.25,69433,42781434.55,6563,VIJAYA
12,2023-12-12,EQ,623.0,627.65,609.6,623.2,620.0,617.6,622.14,686.1,349.25,102482,63758466.8,7966,VIJAYA
13,2023-12-11,EQ,611.0,630.85,609.7,611.7,620.0,623.2,625.42,686.1,349.25,257510,161052751.1,16567,VIJAYA
14,2023-12-08,EQ,600.0,622.65,599.95,602.0,609.5,611.7,609.69,686.1,349.25,323139,197015586.5,11376,VIJAYA
15,2023-12-07,EQ,610.0,612.5,595.1,607.85,598.25,602.0,603.94,686.1,349.25,174965,105668343.25,7590,VIJAYA
16,2023-12-06,EQ,630.0,631.45,603.0,622.4,611.0,607.85,611.46,686.1,349.25,179998,110061784.75,12257,VIJAYA
17,2023-12-05,EQ,638.75,686.1,614.15,634.75,620.5,622.4,655.22,686.1,349.25,1507193,987545466.9,61421,VIJAYA
18,2023-12-04,EQ,644.9,644.9,632.35,628.15,635.0,634.75,637.06,653.9,349.25,146853,93553969.5,10106,VIJAYA
19,2023-12-01,EQ,638.75,644.0,622.0,638.8,629.4,628.15,630.22,653.9,349.25,113314,71412541.8,10663,VIJAYA
20,2023-11-30,EQ,630.7,642.5,618.85,630.7,635.0,638.8,630.61,653.9,349.25,126425,79725185.25,11181,VIJAYA
21,2023-11-29,EQ,642.0,645.95,627.0,641.4,628.0,630.7,632.85,653.9,349.25,195657,123821621.05,16185,VIJAYA
22,2023-11-28,EQ,610.95,645.0,610.95,607.9,640.2,641.4,631.97,653.9,349.25,499347,315573765.8,28124,VIJAYA
23,2023-11-24,EQ,589.85,614.6,584.4,584.0,605.5,607.9,606.03,653.9,349.25,320245,194078574.6,16567,VIJAYA
24,2023-11-23,EQ,609.7,615.0,580.8,609.7,585.0,584.0,590.21,653.9,349.25,266730,157425928.3,18518,VIJAYA
25,2023-11-22,EQ,622.9,624.35,601.35,621.5,611.8,609.7,610.92,653.9,349.25,87824,53653649.4,8582,VIJAYA
26,2023-11-21,EQ,617.05,624.75,610.6,612.55,623.95,621.5,619.09,653.9,349.25,101829,63041561.5,7817,VIJAYA
27,2023-11-20,EQ,598.2,624.4,594.15,597.25,616.6,612.55,614.76,653.9,349.25,186955,114932489.1,16929,VIJAYA
28,2023-11-17,EQ,595.0,604.85,589.95,606.05,597.0,597.25,596.95,653.9,349.25,228127,136179340.65,25076,VIJAYA
29,2023-11-16,EQ,610.0,634.8,583.95,608.45,611.3,606.05,609.39,653.9,349.25,203836,124215406.3,12274,VIJAYA
30,2023-11-15,EQ,622.25,626.8,601.55,623.1,605.1,608.45,608.78,653.9,349.25,204231,124331631.5,12345,VIJAYA
31,2023-11-13,EQ,636.95,652.5,615.6,638.75,617.9,623.1,634.96,653.9,349.25,326836,207527069.6,15725,VIJAYA
32,2023-11-12,EQ,635.0,649.1,632.05,630.1,637.65,638.75,640.16,653.9,349.25,95357,61043435.65,4262,VIJAYA
33,2023-11-10,EQ,594.0,653.9,594.0,590.9,631.5,630.1,636.25,653.9,349.25,3210355,2042576308.3,103632,VIJAYA
34,2023-11-09,EQ,584.15,597.65,576.35,583.45,591.0,590.9,587.63,603.0,349.25,162960,95760290.9,12359,VIJAYA
35,2023-11-08,EQ,572.45,601.0,568.6,567.9,586.7,583.45,587.82,603.0,349.25,487506,286564981.75,34388,VIJAYA
36,2023-11-07,EQ,589.0,591.35,563.05,585.45,566.6,567.9,574.64,603.0,349.25,208674,119911693.15,14371,VIJAYA
37,2023-11-06,EQ,576.0,590.0,576.0,579.85,585.0,585.45,582.64,603.0,349.25,84584,49281812.85,6217,VIJAYA
