,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,410.0,410.0,401.0,409.05,404.3,403.55,405.25,623.15,291.85,35045,14202012.85,2631,VIMTALABS
1,2023-12-28,EQ,403.25,412.95,401.5,405.15,403.0,409.05,407.1,623.15,291.85,42492,17298303.6,3980,VIMTALABS
2,2023-12-27,EQ,408.4,410.9,402.7,405.4,406.0,405.15,407.14,623.15,291.85,42906,17468902.7,4468,VIMTALABS
3,2023-12-26,EQ,405.3,407.5,399.7,399.3,405.55,405.4,403.24,623.15,291.85,46496,18748949.75,4274,VIMTALABS
4,2023-12-22,EQ,395.85,403.0,393.3,393.6,401.0,399.3,396.75,623.15,291.85,41121,16314591.5,3995,VIMTALABS
5,2023-12-21,EQ,391.0,399.0,390.3,392.0,393.5,393.6,392.97,623.15,291.85,57156,22460712.3,4164,VIMTALABS
6,2023-12-20,EQ,404.9,408.3,391.0,401.15,393.55,392.0,398.94,623.15,291.85,116695,46554297.05,5970,VIMTALABS
7,2023-12-19,EQ,407.0,417.1,399.0,405.95,402.5,401.15,405.94,623.15,291.85,90244,36634039.0,6301,VIMTALABS
8,2023-12-18,EQ,407.95,408.3,402.55,407.6,407.6,405.95,405.73,623.15,291.85,62023,25164854.95,3729,VIMTALABS
9,2023-12-15,EQ,412.8,417.0,406.05,412.8,408.0,407.6,410.85,623.15,291.85,56057,23031163.05,3561,VIMTALABS
10,2023-12-14,EQ,422.5,422.5,408.25,417.65,412.2,412.8,413.73,623.15,291.85,100579,41612131.5,5998,VIMTALABS
11,2023-12-13,EQ,423.95,428.25,415.6,423.45,420.1,417.65,420.11,623.15,291.85,41299,17350018.75,3529,VIMTALABS
12,2023-12-12,EQ,432.0,437.9,421.5,429.35,424.0,423.45,427.46,623.15,291.85,33115,14155358.8,3249,VIMTALABS
13,2023-12-11,EQ,435.4,441.6,427.95,433.7,430.0,429.35,431.58,623.15,291.85,65563,28295911.8,8410,VIMTALABS
14,2023-12-08,EQ,439.8,443.25,431.5,438.7,434.8,433.7,437.88,623.15,291.85,78491,34369573.3,7135,VIMTALABS
15,2023-12-07,EQ,416.0,451.0,416.0,419.85,438.2,438.7,437.41,623.15,291.85,228145,99793355.3,27100,VIMTALABS
16,2023-12-06,EQ,422.2,424.45,413.4,420.3,420.0,419.85,418.48,623.15,291.85,48652,20359964.5,4509,VIMTALABS
17,2023-12-05,EQ,425.9,427.2,417.15,419.7,420.9,420.3,423.43,623.15,291.85,39963,16921683.7,3830,VIMTALABS
18,2023-12-04,EQ,425.0,426.0,415.1,415.4,420.95,419.7,420.47,623.15,291.85,28668,12053952.35,3488,VIMTALABS
19,2023-12-01,EQ,418.9,424.45,411.35,416.7,415.0,415.4,418.64,623.15,291.85,33139,13873329.2,2902,VIMTALABS
20,2023-11-30,EQ,412.5,420.3,412.5,415.8,415.7,416.7,417.51,623.15,291.85,16362,6831307.25,2067,VIMTALABS
21,2023-11-29,EQ,421.0,429.0,413.0,420.1,417.0,415.8,417.28,623.15,291.85,35500,14813363.7,3889,VIMTALABS
22,2023-11-28,EQ,423.95,428.3,417.0,424.6,419.6,420.1,421.71,623.15,291.85,29680,12516256.15,3759,VIMTALABS
23,2023-11-24,EQ,430.0,430.0,420.55,427.55,424.25,424.6,425.24,623.15,291.85,25429,10813544.6,2702,VIMTALABS
24,2023-11-23,EQ,433.65,434.0,423.6,427.25,425.5,427.55,427.73,623.15,291.85,28438,12163831.5,2942,VIMTALABS
25,2023-11-22,EQ,434.1,440.1,425.0,428.5,427.0,427.25,433.56,623.15,291.85,71680,31077616.7,5047,VIMTALABS
26,2023-11-21,EQ,425.0,433.0,421.3,420.35,428.5,428.5,428.37,623.15,291.85,62652,26838416.25,5426,VIMTALABS
27,2023-11-20,EQ,415.0,433.7,415.0,413.0,420.0,420.35,423.97,623.15,291.85,100012,42401843.45,8688,VIMTALABS
28,2023-11-17,EQ,405.0,414.0,400.55,401.85,412.0,413.0,406.69,623.15,291.85,78074,31752214.55,5068,VIMTALABS
29,2023-11-16,EQ,413.0,421.05,399.0,411.1,404.2,401.85,408.65,623.15,291.85,112989,46172701.1,5295,VIMTALABS
30,2023-11-15,EQ,411.0,418.0,409.0,408.25,412.0,411.1,412.54,623.15,291.85,28921,11930959.95,2784,VIMTALABS
31,2023-11-13,EQ,415.0,416.95,405.05,411.45,409.0,408.25,410.99,623.15,291.85,39711,16320702.0,3493,VIMTALABS
32,2023-11-12,EQ,400.05,416.0,400.05,400.55,415.0,411.45,408.12,623.15,291.85,26720,10905001.95,1595,VIMTALABS
33,2023-11-10,EQ,415.45,417.0,398.5,413.8,400.0,400.55,404.99,623.15,291.85,76670,31050484.7,4706,VIMTALABS
34,2023-11-09,EQ,415.0,417.7,410.3,413.45,415.0,413.8,413.57,623.15,291.85,34179,14135328.5,3188,VIMTALABS
35,2023-11-08,EQ,421.0,426.4,410.0,422.1,413.6,413.45,416.47,623.15,291.85,103336,43036419.7,7601,VIMTALABS
36,2023-11-07,EQ,437.4,438.7,419.15,435.4,423.4,422.1,427.12,623.15,291.85,82950,35429996.75,5504,VIMTALABS
37,2023-11-06,EQ,439.0,442.2,430.1,435.7,437.2,435.4,435.34,623.15,291.85,44930,19559989.3,4112,VIMTALABS
38,2023-11-03,EQ,443.7,448.8,433.9,438.3,434.25,435.7,439.27,623.15,291.85,52769,23179701.6,4882,VIMTALABS
39,2023-11-02,EQ,448.5,456.2,435.1,439.25,438.05,438.3,445.76,623.15,291.85,75701,33744743.5,5785,VIMTALABS
40,2023-11-01,EQ,459.4,459.4,432.95,454.4,443.5,439.25,439.22,623.15,291.85,116957,51369803.55,8058,VIMTALABS
41,2023-10-31,EQ,431.0,480.0,431.0,450.45,457.8,454.4,462.23,623.15,291.85,211047,97551788.05,17685,VIMTALABS
42,2023-10-30,EQ,509.0,511.7,446.7,505.7,448.6,450.45,464.26,623.15,291.85,264245,122678183.3,11057,VIMTALABS
43,2023-10-27,EQ,504.7,515.0,497.45,497.05,512.9,505.7,503.6,623.15,291.85,32595,16414769.3,2973,VIMTALABS
44,2023-10-26,EQ,504.25,519.0,470.55,504.2,505.0,497.05,483.68,623.15,291.85,69712,33718012.25,6983,VIMTALABS
45,2023-10-25,EQ,523.7,534.95,500.0,523.7,509.0,504.2,512.23,623.15,291.85,39971,20474439.15,5038,VIMTALABS
46,2023-10-23,EQ,568.4,578.45,510.9,568.4,522.05,523.7,531.84,623.15,291.85,117707,62601308.35,10832,VIMTALABS
47,2023-10-20,EQ,587.0,590.9,557.55,586.35,569.0,568.4,571.75,623.15,291.85,29382,16799061.65,3636,VIMTALABS
48,2023-10-19,EQ,586.55,589.3,574.0,586.55,585.5,586.35,580.93,623.15,291.85,48524,28189276.6,4489,VIMTALABS
49,2023-10-18,EQ,567.9,595.95,553.55,555.45,587.0,586.55,579.61,623.15,291.85,180215,104453815.75,13060,VIMTALABS
50,2023-10-17,EQ,565.05,569.95,549.55,564.85,557.0,555.45,557.17,623.15,291.85,21272,11852191.25,2759,VIMTALABS
51,2023-10-16,EQ,568.0,570.0,556.05,562.45,568.3,564.85,563.5,623.15,291.85,34143,19239415.4,4290,VIMTALABS
52,2023-10-13,EQ,557.0,565.0,553.8,556.85,560.0,562.45,560.99,623.15,291.85,23449,13154766.8,2895,VIMTALABS
53,2023-10-12,EQ,549.05,564.0,546.0,548.65,563.9,556.85,552.42,623.15,291.85,21291,11761486.65,3087,VIMTALABS
54,2023-10-11,EQ,546.9,555.0,540.35,546.9,547.0,548.65,547.08,623.15,291.85,21076,11530198.95,2706,VIMTALABS
55,2023-10-10,EQ,552.9,565.95,542.1,546.75,550.0,546.9,553.15,623.15,291.85,19551,10814574.75,2530,VIMTALABS
56,2023-10-09,EQ,553.0,557.55,540.05,559.9,548.0,546.75,548.38,623.15,291.85,30853,16919267.2,4775,VIMTALABS
57,2023-10-06,EQ,567.4,574.25,556.25,567.3,559.0,559.9,562.85,623.15,291.85,23453,13200440.2,4370,VIMTALABS
58,2023-10-05,EQ,577.9,585.95,564.45,576.0,565.5,567.3,572.11,623.15,291.85,23712,13565960.5,2714,VIMTALABS
59,2023-10-04,EQ,579.2,592.0,566.0,579.55,577.5,576.0,579.6,623.15,291.85,43137,25002351.3,3481,VIMTALABS
