,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,6400.0,6541.1,6397.3,6417.4,6517.0,6520.6,6493.73,6700.0,2387.5,20147,130829272.8,5672,VOLTAMP
1,2023-12-28,EQ,6544.6,6554.75,6301.1,6478.55,6427.0,6417.4,6416.2,6700.0,2387.5,26029,167007181.5,8456,VOLTAMP
2,2023-12-27,EQ,6253.1,6563.75,6253.1,6253.1,6455.15,6478.55,6436.59,6700.0,2387.5,28864,185785795.6,10415,VOLTAMP
3,2023-12-26,EQ,6243.3,6336.0,6060.05,6184.35,6273.0,6253.1,6194.11,6700.0,2387.5,23587,146100491.1,8250,VOLTAMP
4,2023-12-22,EQ,6165.0,6268.95,6112.0,6153.0,6178.0,6184.35,6205.36,6700.0,2387.5,13885,86161464.15,6418,VOLTAMP
5,2023-12-21,EQ,5900.0,6214.95,5900.0,6001.75,6156.75,6153.0,6134.18,6700.0,2387.5,28275,173443993.05,10408,VOLTAMP
6,2023-12-20,EQ,6518.0,6518.0,5750.0,6444.9,5880.0,6001.75,6204.85,6700.0,2387.5,36751,228034568.5,9957,VOLTAMP
7,2023-12-19,EQ,6448.0,6572.0,6390.0,6430.8,6450.0,6444.9,6478.11,6700.0,2387.5,20112,130287734.95,6745,VOLTAMP
8,2023-12-18,EQ,6546.25,6650.75,6401.45,6483.8,6434.0,6430.8,6547.86,6700.0,2387.5,31463,206015330.3,8904,VOLTAMP
9,2023-12-15,EQ,6600.0,6629.95,6426.0,6575.1,6489.7,6483.8,6497.25,6700.0,2387.5,37438,243243923.0,10668,VOLTAMP
10,2023-12-14,EQ,6500.0,6700.0,6281.0,6400.25,6622.2,6575.1,6466.66,6700.0,2387.5,65638,424458508.75,14753,VOLTAMP
11,2023-12-13,EQ,6104.0,6479.95,6036.45,6023.85,6435.0,6400.25,6292.98,6479.95,2387.5,141780,892219314.25,29234,VOLTAMP
12,2023-12-12,EQ,6000.0,6240.0,6000.0,5943.0,6036.5,6023.85,6116.76,6240.0,2387.5,44729,273596355.5,12029,VOLTAMP
13,2023-12-11,EQ,5794.9,5995.0,5754.55,5766.45,5975.0,5943.0,5918.4,6097.75,2387.5,31536,186642610.05,9367,VOLTAMP
14,2023-12-08,EQ,5670.0,5799.95,5666.55,5652.2,5766.0,5766.45,5751.84,6097.75,2387.5,21580,124124813.5,6939,VOLTAMP
15,2023-12-07,EQ,5740.0,5826.85,5625.0,5762.75,5645.8,5652.2,5700.82,6097.75,2387.5,24300,138529959.15,6595,VOLTAMP
16,2023-12-06,EQ,5862.0,5900.0,5730.0,5862.75,5731.15,5762.75,5781.57,6097.75,2387.5,16175,93516932.15,4990,VOLTAMP
17,2023-12-05,EQ,5998.0,6012.0,5840.0,5998.3,5850.0,5862.75,5898.63,6097.75,2387.5,33587,198117203.9,10537,VOLTAMP
