,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,221.5,222.5,216.0,221.5,218.0,218.6,219.17,431.6,174.8,82395,18058863.1,3606,VSSL
1,2023-12-28,EQ,220.4,225.0,219.15,219.3,222.1,221.5,222.09,431.6,174.8,109483,24315461.85,7493,VSSL
2,2023-12-27,EQ,219.25,226.0,217.5,219.25,218.75,219.3,221.0,431.6,174.8,102433,22637482.55,5567,VSSL
3,2023-12-26,EQ,219.2,222.7,214.05,221.2,219.25,219.25,219.34,431.6,174.8,145842,31988697.5,6598,VSSL
4,2023-12-22,EQ,225.3,228.0,220.0,222.95,220.5,221.2,223.9,431.6,174.8,127998,28658768.35,5456,VSSL
5,2023-12-21,EQ,215.55,224.3,211.75,215.55,223.0,222.95,218.5,431.6,174.8,163156,35649970.3,8868,VSSL
6,2023-12-20,EQ,228.05,230.3,212.05,227.5,215.5,215.55,220.21,431.6,174.8,244422,53822964.8,10330,VSSL
7,2023-12-19,EQ,228.05,231.95,226.5,227.4,227.9,227.5,228.32,431.6,174.8,79339,18114952.4,4289,VSSL
8,2023-12-18,EQ,228.9,232.25,226.65,227.8,227.9,227.4,229.7,431.6,174.8,139474,32037154.15,8638,VSSL
9,2023-12-15,EQ,228.0,235.25,225.0,227.85,229.0,227.8,231.69,431.6,174.8,260391,60329405.05,9890,VSSL
10,2023-12-14,EQ,234.0,234.85,224.8,232.85,227.5,227.85,229.95,431.6,174.8,143572,33014373.4,5455,VSSL
11,2023-12-13,EQ,234.6,237.6,229.45,231.6,232.6,232.85,233.57,431.6,174.8,164357,38389213.1,9841,VSSL
12,2023-12-12,EQ,233.45,235.8,228.8,232.35,232.0,231.6,232.5,431.6,174.8,155834,36231086.75,7628,VSSL
13,2023-12-11,EQ,230.7,236.5,228.3,229.55,232.9,232.35,232.38,431.6,174.8,195352,45395124.15,8573,VSSL
14,2023-12-08,EQ,235.65,237.45,227.85,236.55,229.3,229.55,232.01,431.6,174.8,146106,33898340.15,6883,VSSL
15,2023-12-07,EQ,235.5,239.5,229.55,236.05,235.0,236.55,235.39,431.6,174.8,336571,79225424.95,12374,VSSL
16,2023-12-06,EQ,237.8,244.0,233.9,232.0,234.5,236.05,238.75,431.6,174.8,1035692,247268932.9,37802,VSSL
17,2023-12-05,EQ,223.0,234.0,221.85,223.15,233.9,232.0,229.2,431.6,174.8,480309,110086624.35,15952,VSSL
18,2023-12-04,EQ,223.25,226.5,219.0,222.1,222.65,223.15,223.33,431.6,174.8,157556,35187313.5,9652,VSSL
19,2023-12-01,EQ,221.0,225.7,217.95,220.9,221.95,222.1,222.87,431.6,174.8,221859,49444684.4,9908,VSSL
20,2023-11-30,EQ,226.0,227.05,218.6,224.25,219.1,220.9,223.77,431.6,174.8,208418,46636766.15,11131,VSSL
21,2023-11-29,EQ,219.8,229.7,217.5,219.15,224.0,224.25,225.33,431.6,174.8,446009,100498699.35,16607,VSSL
22,2023-11-28,EQ,222.4,225.0,217.5,223.45,218.7,219.15,221.27,431.6,174.8,144853,32052203.8,7032,VSSL
