,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3775.0,3794.95,3750.85,3774.8,3777.7,3778.3,3774.35,4196.0,2100.0,4932,18615072.15,1323,VSTTILLERS
1,2023-12-28,EQ,3788.85,3823.25,3762.65,3771.8,3780.0,3774.8,3782.21,4196.0,2100.0,6296,23812776.6,1479,VSTTILLERS
2,2023-12-27,EQ,3821.15,3834.4,3762.0,3802.1,3766.85,3771.8,3784.33,4196.0,2100.0,6465,24465688.5,1677,VSTTILLERS
3,2023-12-26,EQ,3870.0,3890.0,3790.0,3832.45,3820.4,3802.1,3844.7,4196.0,2100.0,7836,30127061.55,2342,VSTTILLERS
4,2023-12-22,EQ,3845.15,3864.95,3800.0,3826.0,3850.0,3832.45,3833.27,4196.0,2100.0,4168,15977053.35,1340,VSTTILLERS
5,2023-12-21,EQ,3754.65,3838.0,3685.1,3754.65,3825.0,3826.0,3755.93,4196.0,2100.0,9042,33961103.95,2946,VSTTILLERS
6,2023-12-20,EQ,3875.4,3878.55,3735.9,3856.85,3735.9,3754.65,3804.07,4196.0,2100.0,14138,53782006.75,3610,VSTTILLERS
7,2023-12-19,EQ,3867.75,3914.95,3850.0,3867.75,3850.0,3856.85,3880.32,4196.0,2100.0,3493,13553972.5,1107,VSTTILLERS
8,2023-12-18,EQ,3862.0,3907.45,3819.95,3862.55,3833.4,3867.75,3865.6,4196.0,2100.0,9820,37960194.5,2583,VSTTILLERS
9,2023-12-15,EQ,3846.0,3950.0,3820.0,3840.15,3821.0,3862.55,3887.41,4196.0,2100.0,12694,49346835.7,2735,VSTTILLERS
10,2023-12-14,EQ,3895.0,3955.95,3815.55,3899.0,3848.0,3840.15,3863.32,4196.0,2100.0,19458,75172555.85,4448,VSTTILLERS
11,2023-12-13,EQ,3963.0,3998.9,3856.55,3951.7,3910.0,3899.0,3922.28,4196.0,2100.0,13296,52150568.6,3715,VSTTILLERS
12,2023-12-12,EQ,4048.8,4049.0,3935.05,4006.75,3977.0,3951.7,3986.79,4196.0,2100.0,8794,35059874.4,2487,VSTTILLERS
13,2023-12-11,EQ,4095.0,4095.0,4000.0,4060.15,4007.0,4006.75,4046.41,4196.0,2100.0,10898,44097823.95,2859,VSTTILLERS
14,2023-12-08,EQ,4059.0,4092.45,4010.05,4042.3,4050.0,4060.15,4049.35,4196.0,2100.0,10696,43311900.25,2714,VSTTILLERS
15,2023-12-07,EQ,4017.0,4060.0,3990.0,4011.05,4024.0,4042.3,4013.8,4196.0,2100.0,10597,42534196.45,3387,VSTTILLERS
